,District,Rooms,Price
0,Karabağlar,1+1,9.500 TL
1,Dikili / Çandarlı,2+1,4.000 TL
2,Bornova / Kazımdirik,Stüdyo (1+0),9.750 TL
3,Karabağlar / Hatay,Stüdyo (1+0),9.500 TL
4,Konak / Gürçeşme,1+1,9.000 TL
5,Aliağa,3+1,9.000 TL
6,Konak / Alsancak,Stüdyo (1+0),9.000 TL
7,Buca,Stüdyo (1+0),8.000 TL
8,Balçova,3+1,8.000 TL
9,Buca,Stüdyo (1+0),8.000 TL
10,Buca / Şirinyer,Stüdyo (1+0),7.000 TL
11,Seferihisar / Ürkmez,3+1,6.000 TL
12,Ödemiş,2+1,8.750 TL
13,Bornova,Stüdyo (1+0),9.500 TL
14,Konak / Alsancak,Stüdyo (1+0),9.500 TL
15,Konak / Alsancak,3+1,7.500 TL
16,Dikili,4+1,5.000 TL
17,Karabağlar / Hatay,Stüdyo (1+0),8.500 TL
18,Bayraklı / Alpaslan,2+1,8.500 TL
19,Buca / Şirinyer,2+0,9.000 TL
20,Dikili / Çandarlı,4+1,5.000 TL
21,Aliağa,2+1,8.000 TL
22,Buca,Stüdyo (1+0),9.000 TL
23,Buca,Stüdyo (1+0),9.000 TL
24,Konak / Yenişehir,Stüdyo (1+0),9.500 TL
25,Buca / İşçievleri,Stüdyo (1+0),1.750 TL
26,Ödemiş,3+1,9.500 TL
27,Bornova / Naldöken,4+0,7.500 TL
28,Buca / Şirinyer,Stüdyo (1+0),7.000 TL
29,Buca,Stüdyo (1+0),9.000 TL
30,Bornova / Kazımdirik,3+1,7.500 TL
31,Buca,Stüdyo (1+0),7.000 TL
32,Bayraklı / Gümüşpala,1+1,9.000 TL
33,Bornova / Kazımdirik,3+1,7.500 TL
34,Konak,Stüdyo (1+0),9.750 TL
35,Bayraklı / Manavkuyu,3+1,7.000 TL
36,Bayraklı,3+1,7.000 TL
37,Çeşme / Alaçatı,4+1,9.000 TL
38,Buca,Stüdyo (1+0),8.000 TL
39,Çeşme,3+1,6.000 TL
40,Buca,3+1,9.750 TL
41,Buca,Stüdyo (1+0),9.000 TL
42,Çeşme,1+1,3.000 TL
43,Bornova / Atatürk,2+1,9.000 TL
44,Aliağa,3+1,9.000 TL
45,Tire,2+1,9.000 TL
46,Bayraklı / Gümüşpala,2+1,8.000 TL
47,Aliağa,3+1,9.000 TL
48,Çeşme,3+1,5.000 TL
49,Ödemiş,1+1,9.500 TL
50,Buca,1+1,9.000 TL
51,Menderes / Köyler,1+1,3.000 TL
52,Konak / Basmane,Stüdyo (1+0),7.000 TL
53,Çiğli / Balatçık,2+1,6.000 TL
54,Buca,1+1,14.500 TL
55,Karabağlar,1+1,12.000 TL
56,Karabağlar / Yeşilyurt,2+1,13.000 TL
57,Menemen / Seyrek,1+1,14.000 TL
58,Menemen / Koyundere,1+1,12.500 TL
59,Buca,1+1,13.000 TL
60,Bornova / Altındağ,1+1,11.000 TL
61,Menemen / Seyrek,1+1,14.500 TL
62,Ödemiş / Kaymakçı,2+0,11.000 TL
63,Konak,2+1,12.000 TL
64,Buca,1+1,13.500 TL
65,Buca / Şirinyer,2+1,14.000 TL
66,Karabağlar / Günaltay,2+1,14.000 TL
67,Karabağlar,2+1,12.500 TL
68,Menemen / Seyrek,1+1,14.000 TL
69,Menemen / Seyrek,1+1,14.000 TL
70,Menemen / Seyrek,1+1,14.500 TL
71,Menemen / Seyrek,1+1,14.000 TL
72,Tire,2+0,12.000 TL
73,Bayraklı / Gümüşpala,2+1,14.000 TL
74,Buca / Şirinyer,2+1,14.000 TL
75,Buca,1+1,14.500 TL
76,Bayraklı / Alpaslan,2+1,11.000 TL
77,Konak / Gürçeşme,2+1,10.000 TL
78,Ödemiş,2+1,14.000 TL
79,Tire,1+1,14.500 TL
80,Bayraklı / Alpaslan,3+1,14.000 TL
81,Karabağlar / Günaltay,3+1,14.000 TL
82,Bergama,Stüdyo (1+0),12.500 TL
83,Menemen / Seyrek,1+1,14.500 TL
84,Buca,Stüdyo (1+0),10.000 TL
85,Bergama,1+1,13.500 TL
86,Buca,1+1,13.000 TL
87,Menemen / Seyrek,2+1,14.000 TL
88,Menemen / Seyrek,1+1,14.000 TL
89,Menemen / Seyrek,1+1,14.000 TL
90,Menemen / Seyrek,1+1,14.000 TL
91,Konak / Gürçeşme,2+0,10.000 TL
92,Karabağlar / Kibar,1+1,14.500 TL
93,Kiraz,2+0,12.000 TL
94,Buca / İşçievleri,1+1,14.500 TL
95,Bornova / Atatürk,2+1,12.000 TL
96,Buca,1+1,14.000 TL
97,Karabağlar / Kibar,3+1,14.000 TL
98,Torbalı,1+1,14.500 TL
99,Bayraklı / Alpaslan,1+1,13.000 TL
100,Buca / Şirinyer,2+1,13.000 TL
101,Menemen / Seyrek,1+1,14.500 TL
102,Ödemiş,1+1,13.000 TL
103,Seferihisar / Köyler,3+1,12.000 TL
104,Karabağlar,2+1,12.000 TL
105,Menemen / Seyrek,1+1,14.500 TL
106,Bornova / Çamdibi,2+1,13.499 TL
107,Karabağlar / Günaltay,3+1,14.000 TL
108,Ödemiş,2+1,10.000 TL
109,Buca,1+1,14.000 TL
110,Karabağlar / Günaltay,2+1,12.000 TL
111,Ödemiş,1+1,12.000 TL
112,Çeşme / Alaçatı,Stüdyo (1+0),14.000 TL
113,Buca / Şirinyer,2+0,13.000 TL
114,Ödemiş,3+1,12.500 TL
115,Konak / Gürçeşme,3+0,13.000 TL
116,Menemen / Seyrek,1+1,14.500 TL
117,Bayraklı,2+1,12.000 TL
118,Buca,1+1,13.000 TL
119,Bornova / Naldöken,Stüdyo (1+0),14.000 TL
120,Torbalı / Ayrancılar,2+1,10.000 TL
121,Buca,Stüdyo (1+0),14.000 TL
122,Konak / Basmane,2+1,12.500 TL
123,Menemen / Asarlık,2+1,13.000 TL
124,Karabağlar / Günaltay,3+1,12.000 TL
125,Menemen / Seyrek,1+1,13.500 TL
126,Menemen / Seyrek,1+1,14.000 TL
127,Menemen / Seyrek,1+1,13.000 TL
128,Seferihisar,2+1,12.000 TL
129,Karabağlar / Yeşilyurt,1+1,10.000 TL
130,Buca,2+1,12.500 TL
131,Bayraklı / Alpaslan,2+1,14.000 TL
132,Menemen / Seyrek,1+1,14.500 TL
133,Menemen / Seyrek,1+1,14.000 TL
134,Menemen,3+1,11.500 TL
135,Buca / Şirinyer,2+0,13.000 TL
