District,Rooms,Price
Merkez,2+1,10.000 TL
Merkez / Balıklı,1+1,8.000 TL
Merkez / Bahçelievler,3+1,10.000 TL
Merkez / Balıklı,2+1,10.000 TL
Merkez / Bahçelievler,Stüdyo (1+0),10.000 TL
Merkez / Hamidiye,1+1,10.000 TL
Merkez / Alipaşa,Stüdyo (1+0),9.000 TL
Merkez / Hamidiye,1+1,8.000 TL
Merkez / Alipaşa,1+1,8.750 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Bahçelievler,1+1,10.000 TL
Merkez,2+1,10.000 TL
Merkez / Bahçelievler,1+1,10.000 TL
Merkez / Balıklı,Stüdyo (1+0),8.000 TL
Merkez / Hamidiye,1+1,8.500 TL
Merkez / Alipaşa,Stüdyo (1+0),10.000 TL
Merkez / Hamidiye,1+1,10.000 TL
Merkez / Alipaşa,1+1,10.000 TL
Merkez / Hamidiye,1+1,10.000 TL
Merkez / Balıklı,1+1,9.000 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Bahçelievler,1+1,7.500 TL
Merkez / Alipaşa,1+1,8.500 TL
Merkez / Hamidiye,2+1,10.000 TL
Merkez / Bahçelievler,Stüdyo (1+0),10.000 TL
Merkez / Balıklı,Stüdyo (1+0),8.000 TL
Merkez / Alipaşa,Stüdyo (1+0),7.000 TL
Merkez / Alipaşa,1+1,8.000 TL
Merkez / Alipaşa,2+0,8.000 TL
Merkez / Hamidiye,1+1,10.000 TL
Tavşanlı,2+1,9.000 TL
Merkez / Bahçelievler,1+1,7.500 TL
Merkez / Bahçelievler,Stüdyo (1+0),8.000 TL
Merkez / Hamidiye,2+1,9.500 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Alipaşa,2+0,10.000 TL
Merkez / Hamidiye,1+1,8.000 TL
Merkez / Balıklı,Stüdyo (1+0),9.000 TL
Merkez / Alipaşa,1+1,9.000 TL
Çavdarhisar,2+1,10.000 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Balıklı,1+1,10.000 TL
Tavşanlı,2+1,10.000 TL
Merkez / Hamidiye,1+1,9.750 TL
Merkez / Alipaşa,1+1,10.000 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Balıklı,1+1,9.000 TL
Merkez / Balıklı,2+0,9.000 TL
Merkez / Balıklı,1+1,9.200 TL
Merkez / Balıklı,1+1,9.500 TL
Merkez / Hamidiye,1+1,8.500 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Alipaşa,2+0,9.750 TL
Merkez / Balıklı,Stüdyo (1+0),10.000 TL
Merkez / Hamidiye,1+1,9.000 TL
Merkez / Alipaşa,1+1,9.000 TL
Merkez / Alipaşa,1+1,10.000 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Alipaşa,2+0,9.000 TL
Merkez / Alipaşa,1+1,9.000 TL
Merkez / Balıklı,1+1,7.500 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Kirazpınar,Stüdyo (1+0),10.000 TL
Merkez / Balıklı,1+1,10.000 TL
Merkez / Alipaşa,Stüdyo (1+0),8.900 TL
Merkez,2+1,10.000 TL
Merkez / Bahçelievler,1+1,8.250 TL
Merkez / Alipaşa,1+1,10.000 TL
Merkez / Hamidiye,1+1,10.000 TL
Merkez / Kirazpınar,2+0,8.000 TL
Merkez / Balıklı,2+0,10.000 TL
Merkez / Alipaşa,1+1,9.500 TL
Merkez / Balıklı,1+1,8.500 TL
Merkez / Alipaşa,2+1,10.000 TL
Merkez / Alipaşa,1+1,10.000 TL
Merkez / Bahçelievler,1+1,10.000 TL
Merkez / Alipaşa,1+1,10.000 TL
Merkez / Alipaşa,1+1,9.500 TL
Merkez / Alipaşa,1+1,10.000 TL
Merkez / Balıklı,1+1,7.500 TL
Merkez / Balıklı,Stüdyo (1+0),7.490 TL
Merkez / Hamidiye,1+1,10.000 TL
Merkez / Hamidiye,1+1,10.000 TL
Merkez / Balıklı,Stüdyo (1+0),10.000 TL
Merkez / Alipaşa,1+1,10.000 TL
Merkez / Balıklı,1+1,9.750 TL
Merkez / Hamidiye,1+1,9.750 TL
