District,Rooms,Price
PamukkaleMerkez,1+1,24750.0
PamukkaleMerkez,2+1,19000.0
MerkezefendiBereketli,2.5+1,24000.0
MerkezefendiBereketli,2+1,17500.0
MerkezefendiÜçler,3+1,30000.0
MerkezefendiBereketli,1+1,16500.0
PamukkaleMerkez,2+1,16000.0
MerkezefendiMerkez,1+1,26000.0
PamukkaleMerkez,1+1,15000.0
PamukkaleMerkez,1+1,8000.0
PamukkaleMerkez,2+1,11000.0
MerkezefendiKiremitçi,1+1,12000.0
MerkezefendiKiremitçi,2+1,15000.0
PamukkaleMerkez,2+1,13000.0
PamukkaleMerkez,1+1,10000.0
PamukkaleMerkez,2+1,15000.0
PamukkaleMerkez,1+1,21000.0
MerkezefendiKiremitçi,1+1,14000.0
PamukkaleMerkez,2+1,15000.0
Merkezefendiİlbadı,3+1,36000.0
PamukkaleMerkez,1+1,12000.0
PamukkaleMerkez,1+1,20000.0
PamukkaleMerkez,1+1,20000.0
PamukkaleMerkez,2+1,18000.0
PamukkaleMerkez,1+1,7000.0
PamukkaleMerkez,1+1,15000.0
MerkezefendiBereketli,1+1,15000.0
PamukkaleMerkez,2+1,18000.0
PamukkaleMerkez,1+1,20000.0
PamukkaleMerkez,3+1,27500.0
MerkezefendiGümüşler,4+1,48000.0
PamukkaleMerkez,1+1,13000.0
PamukkaleMerkez,2+1,20000.0
PamukkaleMerkez,1+1,14000.0
MerkezefendiMerkez,2.5+1,29000.0
PamukkaleMerkez,2+1,15000.0
MerkezefendiBaşkarcı,3+1,25000.0
MerkezefendiÜçler,2+1,26000.0
MerkezefendiÜçler,2+1,30000.0
MerkezefendiBereketli,2+1,19900.0
PamukkaleMerkez,1+1,14000.0
PamukkaleMerkez,1+1,22000.0
MerkezefendiKiremitçi,2+1,20250.0
PamukkaleMerkez,2+1,15000.0
MerkezefendiÜçler,3+1,37000.0
PamukkaleMerkez,2+1,13000.0
PamukkaleMerkez,2+1,14000.0
PamukkaleMerkez,1+1,18000.0
MerkezefendiÜçler,3+1,32000.0
MerkezefendiKiremitçi,2+1,20000.0
MerkezefendiBakırlı,1+1,15500.0
MerkezefendiBakırlı,1+1,12000.0
MerkezefendiBereketli,1+1,27000.0
PamukkaleMerkez,3+1,17000.0
PamukkaleMerkez,2+1,16000.0
PamukkaleMerkez,2+1,14500.0
MerkezefendiBereketli,2+1,23000.0
Honaz,Stüdyo (1+0),9000.0
MerkezefendiKöyler,2+1,18000.0
PamukkaleMerkez,2+1,27500.0
MerkezefendiBereketli,1+1,18000.0
PamukkaleMerkez,3+1,22000.0
MerkezefendiGümüşler,3+1,27000.0
PamukkaleMerkez,2+1,10000.0
PamukkaleMerkez,1+1,20000.0
PamukkaleMerkez,1+1,12500.0
MerkezefendiKiremitçi,1+1,11000.0
PamukkaleMerkez,3+1,20000.0
MerkezefendiKiremitçi,1+1,12000.0
MerkezefendiBaşkarcı,2+1,20000.0
PamukkaleMerkez,1+1,11000.0
Tavas,2+1,15000.0
PamukkaleMerkez,2+1,15000.0
PamukkaleMerkez,2+1,15000.0
MerkezefendiKiremitçi,1+1,14500.0
MerkezefendiKiremitçi,3+1,19750.0
PamukkaleMerkez,1+1,22000.0
PamukkaleMerkez,5+1,68000.0
PamukkaleMerkez,1+1,12500.0
MerkezefendiGümüşler,3+1,45000.0
PamukkaleMerkez,Stüdyo (1+0),9000.0
MerkezefendiKiremitçi,3+1,19000.0
PamukkaleMerkez,3+1,15000.0
MerkezefendiMerkez,3+1,18000.0
MerkezefendiMerkez,2+1,26000.0
MerkezefendiÜçler,2+1,30000.0
MerkezefendiGümüşler,2+1,16000.0
PamukkaleMerkez,1+1,14000.0
MerkezefendiKöyler,2+1,20000.0
MerkezefendiKiremitçi,3+1,20000.0
PamukkaleMerkez,1+1,11500.0
MerkezefendiKiremitçi,1.5+1,19000.0
PamukkaleMerkez,1+1,12500.0
MerkezefendiGümüşler,2+0,14900.0
PamukkaleMerkez,2+1,15000.0
PamukkaleMerkez,2.5+1,20000.0
MerkezefendiBakırlı,1+1,12000.0
MerkezefendiÜçler,2+1,45000.0
PamukkaleMerkez,1+1,10000.0
PamukkaleMerkez,2+1,32000.0
PamukkaleMerkez,1+1,12000.0
PamukkaleMerkez,1+1,12000.0
MerkezefendiKiremitçi,3+1,20000.0
MerkezefendiGümüşler,1+1,22000.0
PamukkaleMerkez,2+1,23750.0
PamukkaleMerkez,1+1,11000.0
PamukkaleMerkez,1+1,10000.0
PamukkaleMerkez,1+1,17500.0
PamukkaleMerkez,1+1,10000.0
PamukkaleMerkez,2+1,30000.0
PamukkaleMerkez,4+1,24000.0
MerkezefendiKiremitçi,1+1,13500.0
PamukkaleMerkez,1.5+1,15000.0
PamukkaleMerkez,2+1,17000.0
PamukkaleMerkez,1+1,15000.0
PamukkaleMerkez,1+1,15000.0
MerkezefendiKiremitçi,2+1,18000.0
MerkezefendiKiremitçi,2+1,24500.0
PamukkaleMerkez,1+1,12500.0
PamukkaleMerkez,2+1,32500.0
MerkezefendiÜçler,2+1,18500.0
MerkezefendiKiremitçi,2+1,20000.0
MerkezefendiÜçler,1+1,18000.0
PamukkaleMerkez,3+1,75000.0
PamukkaleMerkez,1+1,10000.0
MerkezefendiÜçler,4+1,41000.0
MerkezefendiKöyler,1+1,50000.0
PamukkaleMerkez,3+1,18000.0
MerkezefendiMerkez,3+1,24000.0
MerkezefendiMerkez,2+1,27000.0
MerkezefendiBereketli,3+1,30000.0
MerkezefendiKiremitçi,2+1,17500.0
Çardak,1+1,18000.0
MerkezefendiÜçler,2+1,25000.0
PamukkaleMerkez,2+1,28000.0
MerkezefendiMerkez,1+1,15000.0
PamukkaleMerkez,2+1,16250.0
PamukkaleMerkez,1+1,16000.0
MerkezefendiServergazi,2+0,14000.0
PamukkaleMerkez,2+0,11500.0
MerkezefendiBereketli,1+1,17000.0
MerkezefendiBereketli,Stüdyo (1+0),9000.0
MerkezefendiServergazi,2+1,15000.0
MerkezefendiKiremitçi,1+1,17000.0
MerkezefendiÜçler,3.5+1,52000.0
MerkezefendiKiremitçi,1+1,17000.0
MerkezefendiKiremitçi,1+1,11000.0
PamukkaleMerkez,1.5+1,16000.0
PamukkaleMerkez,1+1,8000.0
PamukkaleMerkez,2+1,12000.0
PamukkaleMerkez,1+1,10999.0
MerkezefendiKöyler,3.5+1,45000.0
PamukkaleMerkez,1+1,15000.0
PamukkaleMerkez,1+1,21000.0
MerkezefendiGümüşler,1+1,9500.0
MerkezefendiÜçler,1+1,25000.0
PamukkaleMerkez,1+1,13000.0
PamukkaleMerkez,2+1,11500.0
PamukkaleMerkez,1+1,13000.0
PamukkaleMerkez,1+1,9000.0
MerkezefendiÜçler,2+1,19000.0
MerkezefendiKuyupınar,3+1,25000.0
PamukkaleMerkez,1+1,13000.0
MerkezefendiMerkez,2+1,28000.0
PamukkaleMerkez,2+1,18000.0
MerkezefendiKiremitçi,1+1,12000.0
PamukkaleMerkez,1+1,7750.0
PamukkaleMerkez,2+1,20000.0
MerkezefendiBakırlı,3+1,15000.0
PamukkaleMerkez,3+1,21500.0
MerkezefendiGümüşler,2+1,20400.0
PamukkaleMerkez,2+1,25000.0
MerkezefendiKiremitçi,3+1,25000.0
PamukkaleMerkez,1+1,13000.0
PamukkaleMerkez,2+1,21000.0
PamukkaleMerkez,2+1,17000.0
PamukkaleMerkez,1+1,14000.0
Merkezefendiİlbadı,2+1,10500.0
Merkezefendiİlbadı,3+1,25000.0
MerkezefendiGümüşler,3+1,22000.0
MerkezefendiMerkez,2+1,20000.0
MerkezefendiBereketli,2+1,25000.0
PamukkaleMerkez,2+1,22000.0
MerkezefendiÜçler,1+1,20000.0
MerkezefendiGümüşler,2+1,25000.0
PamukkaleMerkez,1+1,24000.0
PamukkaleMerkez,1.5+1,18000.0
MerkezefendiGümüşler,1+1,25000.0
MerkezefendiGümüşler,2+1,25000.0
PamukkaleMerkez,1+1,11000.0
PamukkaleMerkez,1+1,16000.0
MerkezefendiGümüşler,8+2,48000.0
Honaz,2.5+1,9000.0
Merkezefendiİlbadı,4+1,40000.0
MerkezefendiBereketli,1+1,15000.0
PamukkaleMerkez,1+1,15000.0
PamukkaleMerkez,2+1,10000.0
PamukkaleMerkez,1+1,16000.0
MerkezefendiKiremitçi,3+1,18500.0
PamukkaleMerkez,1+1,9000.0
PamukkaleMerkez,1+1,14000.0
PamukkaleMerkez,3+1,16500.0
MerkezefendiBereketli,1+1,13000.0
MerkezefendiGümüşler,3+1,17000.0
MerkezefendiÜçler,3.5+1,80000.0
MerkezefendiÜçler,2+1,17250.0
MerkezefendiKiremitçi,3+1,23000.0
PamukkaleMerkez,Stüdyo (1+0),10000.0
PamukkaleMerkez,1+1,14999.0
MerkezefendiKiremitçi,3+1,20000.0
MerkezefendiBakırlı,1+1,16000.0
MerkezefendiMerkez,2+1,19750.0
MerkezefendiÜçler,2+1,19750.0
Çal,2+1,22000.0
PamukkaleMerkez,1+1,13000.0
MerkezefendiKiremitçi,1+1,17000.0
MerkezefendiGümüşler,3+1,40000.0
MerkezefendiGümüşler,1+1,16000.0
PamukkaleMerkez,1+1,30000.0
MerkezefendiÜçler,3+1,32000.0
MerkezefendiBereketli,1.5+1,26000.0
MerkezefendiGümüşler,3+1,20000.0
PamukkaleMerkez,1+1,15500.0
PamukkaleMerkez,3+1,30000.0
MerkezefendiGümüşler,2+1,25000.0
MerkezefendiKiremitçi,1+1,13000.0
PamukkaleMerkez,2+1,21000.0
MerkezefendiKiremitçi,1+1,16500.0
PamukkaleMerkez,2+1,13000.0
MerkezefendiMerkez,3+1,30000.0
PamukkaleMerkez,3+1,35000.0
Merkezefendiİlbadı,2+1,29000.0
MerkezefendiGümüşler,3+1,25000.0
MerkezefendiMerkez,3+1,22000.0
PamukkaleMerkez,3+1,17500.0
MerkezefendiGümüşler,3+1,30000.0
MerkezefendiÜçler,1+1,14400.0
PamukkaleMerkez,2+1,16000.0
PamukkaleMerkez,3+1,23000.0
Tavas,3+1,18000.0
PamukkaleMerkez,1+1,8000.0
PamukkaleMerkez,1+1,18000.0
PamukkaleMerkez,2+1,18000.0
MerkezefendiÜçler,2+1,20000.0
PamukkaleMerkez,1+1,15000.0
MerkezefendiKiremitçi,3+1,19000.0
MerkezefendiÜçler,3+1,30000.0
PamukkaleMerkez,1+1,15000.0
MerkezefendiMerkez,3+1,21000.0
MerkezefendiÜçler,2+1,23000.0
PamukkaleMerkez,1+1,13000.0
MerkezefendiGümüşler,4+1,58000.0
PamukkaleMerkez,1+1,15000.0
PamukkaleMerkez,2+1,8000.0
PamukkaleMerkez,1+1,14000.0
MerkezefendiÜçler,3+1,18500.0
PamukkaleMerkez,3+1,14000.0
MerkezefendiKiremitçi,3+1,20000.0
MerkezefendiBereketli,4+1,42000.0
Merkezefendiİlbadı,2+1,16000.0
PamukkaleMerkez,3+1,29750.0
Sarayköy,2+1,15500.0
PamukkaleMerkez,2+1,15000.0
MerkezefendiMerkez,3+1,24000.0
MerkezefendiGümüşler,3+1,26000.0
PamukkaleMerkez,2+1,19000.0
PamukkaleMerkez,1+1,13000.0
PamukkaleMerkez,1+1,7500.0
PamukkaleMerkez,2+1,35000.0
MerkezefendiMerkez,2+1,20000.0
MerkezefendiMerkez,3+1,25000.0
PamukkaleMerkez,2+1,23000.0
MerkezefendiKöyler,2+1,17500.0
MerkezefendiGümüşler,2+1,17000.0
MerkezefendiMerkez,2.5+1,30000.0
MerkezefendiÜçler,2+1,25000.0
MerkezefendiBereketli,4+1,37000.0
PamukkaleMerkez,1+1,20000.0
Honaz,2+1,10000.0
PamukkaleMerkez,2+1,18000.0
MerkezefendiMerkez,2+1,24000.0
MerkezefendiBakırlı,2+1,15000.0
PamukkaleMerkez,2+1,27000.0
MerkezefendiÜçler,2+1,24000.0
PamukkaleMerkez,3+1,25000.0
MerkezefendiMerkez,1+1,22000.0
PamukkaleMerkez,1+1,15000.0
PamukkaleMerkez,2+1,35500.0
PamukkaleMerkez,2+1,30000.0
PamukkaleMerkez,Stüdyo (1+0),8000.0
PamukkaleMerkez,1+1,11000.0
PamukkaleMerkez,1+1,14000.0
MerkezefendiBereketli,1+1,25000.0
PamukkaleMerkez,1+1,12000.0
PamukkaleMerkez,5+2,30000.0
PamukkaleMerkez,1+1,14000.0
PamukkaleMerkez,2+1,23000.0
MerkezefendiÜçler,2+1,24000.0
PamukkaleMerkez,2+1,15000.0
PamukkaleMerkez,2+1,12500.0
MerkezefendiBereketli,1+1,15000.0
PamukkaleMerkez,5+2,65000.0
PamukkaleMerkez,1+1,11000.0
PamukkaleMerkez,1+1,13000.0
PamukkaleMerkez,2+1,18000.0
MerkezefendiMerkez,3+1,45000.0
MerkezefendiKöyler,1+1,25000.0
MerkezefendiKiremitçi,3+1,15000.0
MerkezefendiÜçler,2+1,25000.0
MerkezefendiBereketli,1+1,20000.0
MerkezefendiÜçler,3+1,35500.0
PamukkaleMerkez,2+1,28000.0
MerkezefendiÜçler,3+1,32000.0
PamukkaleMerkez,2+1,20000.0
Merkezefendiİlbadı,3+1,13500.0
PamukkaleMerkez,3+1,29500.0
MerkezefendiÜçler,2+1,23000.0
PamukkaleMerkez,1+1,13000.0
PamukkaleMerkez,1.5+1,28000.0
PamukkaleMerkez,1+1,18000.0
PamukkaleMerkez,2+1,24000.0
MerkezefendiKiremitçi,1+1,12500.0
MerkezefendiKöyler,2+1,19999.0
MerkezefendiKiremitçi,1+1,14000.0
ÇivrilKızılcasöğüt,2+1,14000.0
MerkezefendiÜçler,2+1,20000.0
Merkezefendiİlbadı,1+1,8000.0
MerkezefendiKiremitçi,2+0,13500.0
MerkezefendiÜçler,2+1,16000.0
MerkezefendiÜçler,3+1,33000.0
MerkezefendiKiremitçi,2+1,22000.0
Merkezefendiİlbadı,1+1,25000.0
PamukkaleMerkez,1+1,14000.0
PamukkaleMerkez,3+1,20000.0
PamukkaleMerkez,2+1,22000.0
PamukkaleMerkez,2+1,8750.0
PamukkaleMerkez,1+1,14000.0
PamukkaleMerkez,7+1,37000.0
PamukkaleMerkez,1.5+1,21999.0
MerkezefendiBereketli,3+1,30000.0
PamukkaleMerkez,1+1,12000.0
Çivril,3+1,11000.0
MerkezefendiÜçler,1+1,25000.0
PamukkaleMerkez,1+1,14000.0
MerkezefendiBereketli,2+1,24000.0
PamukkaleMerkez,1+1,17000.0
PamukkaleMerkez,1+1,10000.0
MerkezefendiÜçler,1+1,20000.0
PamukkaleMerkez,1+1,20000.0
PamukkaleMerkez,1+1,15000.0
MerkezefendiBaşkarcı,2+1,15000.0
MerkezefendiKiremitçi,1+1,18000.0
MerkezefendiGümüşler,2+1,23000.0
PamukkaleMerkez,2+1,14000.0
PamukkaleMerkez,1+1,9000.0
MerkezefendiBaşkarcı,3+1,65000.0
PamukkaleMerkez,3+1,27000.0
MerkezefendiKöyler,3.5+1,43000.0
PamukkaleMerkez,2+1,17000.0
PamukkaleMerkez,Stüdyo (1+0),8000.0
MerkezefendiKiremitçi,1+1,13000.0
PamukkaleMerkez,1+1,14000.0
PamukkaleMerkez,1+1,13000.0
PamukkaleMerkez,3+1,17000.0
MerkezefendiBakırlı,1+1,18000.0
PamukkaleMerkez,1+1,15000.0
PamukkaleMerkez,2+1,18500.0
PamukkaleMerkez,1+1,12000.0
MerkezefendiKöyler,1+1,30000.0
MerkezefendiÜçler,2+1,26000.0
PamukkaleMerkez,1+1,15000.0
MerkezefendiKiremitçi,1+1,8000.0
PamukkaleMerkez,2+1,11000.0
MerkezefendiBakırlı,1+1,16000.0
PamukkaleMerkez,1+1,11500.0
PamukkaleMerkez,Stüdyo (1+0),10000.0
PamukkaleMerkez,1+1,22500.0
PamukkaleMerkez,1+1,7000.0
PamukkaleMerkez,2+1,15000.0
MerkezefendiGümüşler,3+1,25000.0
MerkezefendiKiremitçi,1+1,11750.0
