District,Rooms,Price
Fethiye,75,29000.0
KöyceğizKöyler,240,70000.0
SeydikemerMerkez,150,45000.0
Bodrum,160,120000.0
BodrumGümüşlük,80,40000.0
Milas,130,37000.0
Milas,125,35000.0
BodrumOrtakentyahşi,83,60000.0
Fethiye,160,65000.0
Fethiye,50,30000.0
BodrumGöltürkbükü,120,1000000.0
Fethiye,120,50000.0
Fethiye,150,20000.0
BodrumBitez,80,35000.0
Köyceğiz,95,27500.0
Fethiye,90,30000.0
BodrumTurgutreis,165,80000.0
Marmaris,150,45000.0
FethiyeÖlüdeniz,200,78000.0
Fethiye,145,60000.0
Fethiye,200,65000.0
Fethiye,125,45000.0
BodrumKonacık,900,195000.0
BodrumGöltürkbükü,300,1250000.0
BodrumBitez,240,475000.0
BodrumOrtakentyahşi,110,350000.0
BodrumKonacık,82,39000.0
DatçaKöyler,120,350000.0
BodrumGüvercinlik,555,364700.0
BodrumGümüşlük,75,35000.0
BodrumTurgutreis,100,60000.0
BodrumTurgutreis,160,100000.0
MilasGüllük,75,25000.0
FethiyeKöyler,250,115000.0
Dalaman,65,20000.0
MenteşeMerkez,80,21000.0
FethiyeKöyler,80,25000.0
SeydikemerMerkez,55,23000.0
Dalaman,55,15250.0
DalamanKöyler,42,18000.0
BodrumTurgutreis,160,108000.0
BodrumTurgutreis,30,22000.0
Dalaman,65,22000.0
Dalaman,105,25000.0
Bodrum,100,60000.0
SeydikemerMerkez,85,18000.0
FethiyeKöyler,100,50000.0
BodrumTurgutreis,120,120000.0
BodrumKonacık,150,90000.0
Marmaris,40,20000.0
Fethiye,75,29000.0
KöyceğizKöyler,240,70000.0
SeydikemerMerkez,150,45000.0
Bodrum,160,120000.0
BodrumGümüşlük,80,40000.0
Milas,130,37000.0
Milas,125,35000.0
BodrumOrtakentyahşi,83,60000.0
Fethiye,160,65000.0
Fethiye,50,30000.0
BodrumGöltürkbükü,120,1000000.0
Fethiye,120,50000.0
Fethiye,150,20000.0
BodrumBitez,80,35000.0
Köyceğiz,95,27500.0
Fethiye,90,30000.0
BodrumTurgutreis,165,80000.0
Marmaris,150,45000.0
FethiyeÖlüdeniz,200,78000.0
Fethiye,145,60000.0
Fethiye,200,65000.0
Fethiye,125,45000.0
BodrumKonacık,900,195000.0
BodrumGöltürkbükü,300,1250000.0
BodrumBitez,240,475000.0
BodrumOrtakentyahşi,110,350000.0
BodrumKonacık,82,39000.0
DatçaKöyler,120,350000.0
BodrumGüvercinlik,555,364700.0
BodrumGümüşlük,75,35000.0
BodrumTurgutreis,100,60000.0
BodrumTurgutreis,160,100000.0
MilasGüllük,75,25000.0
FethiyeKöyler,250,115000.0
Dalaman,65,20000.0
MenteşeMerkez,80,21000.0
FethiyeKöyler,80,25000.0
SeydikemerMerkez,55,23000.0
Dalaman,55,15250.0
DalamanKöyler,42,18000.0
BodrumTurgutreis,160,108000.0
BodrumTurgutreis,30,22000.0
Dalaman,65,22000.0
Dalaman,105,25000.0
Bodrum,100,60000.0
SeydikemerMerkez,85,18000.0
FethiyeKöyler,100,50000.0
BodrumTurgutreis,120,120000.0
BodrumKonacık,150,90000.0
Marmaris,40,20000.0
Bodrum,100,115000.0
SeydikemerMerkez,85,17000.0
FethiyeKöyler,120,45000.0
FethiyeKöyler,250,115000.0
Dalaman,85,21000.0
Milas,190,28000.0
BodrumGümüşlük,85,37500.0
BodrumGümüşlük,90,35000.0
Milas,120,45000.0
Fethiye,90,40000.0
BodrumGümüşlük,160,95000.0
SeydikemerMerkez,120,17000.0
BodrumTurgutreis,80,40000.0
Marmaris,100,50000.0
Fethiye,130,22000.0
Fethiye,120,35000.0
MenteşeMerkez,45,22500.0
Fethiye,100,26500.0
FethiyeKöyler,90,46000.0
BodrumTurgutreis,80,30000.0
MenteşeMerkez,60,20000.0
BodrumGümüşlük,100,40000.0
Fethiye,90,40000.0
BodrumTurgutreis,90,45000.0
MenteşeMerkez,70,38000.0
Dalaman,180,47000.0
Dalaman,55,20000.0
Marmaris,50,26000.0
BodrumYalıkavak,260,250000.0
Fethiye,150,40000.0
Fethiye,70,35000.0
Bodrum,100,150000.0
FethiyeKöyler,86,50000.0
FethiyeKöyler,450,80000.0
Datça,80,30000.0
Marmarisİçmeler,80,30000.0
Ortaca,60,20000.0
OrtacaKöyler,180,35000.0
BodrumMumcular,85,18000.0
BodrumMumcular,75,20000.0
Fethiye,45,25000.0
Fethiye,95,55000.0
Fethiye,140,47000.0
Milas,100,16500.0
Fethiye,90,28000.0
Ortaca,62,22000.0
Fethiye,55,25000.0
BodrumTurgutreis,120,75000.0
BodrumOrtakentyahşi,110,150000.0
BodrumYalıkavak,320,1325000.0
Fethiye,120,35000.0
MarmarisKöyler,75,28000.0
Dalaman,100,25000.0
SeydikemerMerkez,90,17000.0
FethiyeKaraçulha,85,20000.0
Bodrum,120,110000.0
FethiyeKaraçulha,85,25000.0
Fethiye,55,27500.0
Marmaris,160,60000.0
BodrumTurgutreis,90,45000.0
Ortaca,50,15000.0
BodrumYalıkavak,150,350000.0
BodrumTurgutreis,90,45000.0
Fethiye,80,25000.0
Ortaca,65,20000.0
BodrumTurgutreis,110,150000.0
Fethiye,95,40000.0
MarmarisKöyler,240,60000.0
BodrumGümüşlük,60,30000.0
Datça,40,35000.0
MenteşeMerkez,300,95000.0
Milas,110,24000.0
BodrumGöltürkbükü,65,25000.0
Ortaca,55,17000.0
BodrumTurgutreis,120,55000.0
BodrumBitez,100,62500.0
FethiyeKaraçulha,140,30000.0
Milas,120,275000.0
FethiyeKaraçulha,85,19500.0
BodrumTurgutreis,65,30000.0
FethiyeKaraçulha,125,18000.0
FethiyeKaraçulha,70,30000.0
FethiyeKöyler,220,45000.0
BodrumTurgutreis,162,55000.0
BodrumGündoğan,80,80000.0
Dalaman,140,30000.0
BodrumTurgutreis,25,25000.0
FethiyeÖlüdeniz,210,165000.0
BodrumGündoğan,350,200000.0
BodrumGündoğan,75,45000.0
BodrumGündoğan,70,50000.0
SeydikemerMerkez,120,20000.0
MenteşeMerkez,95,32000.0
Bodrum,100,70000.0
Köyceğiz,90,40000.0
BodrumMumcular,120,30000.0
Marmaris,90,40000.0
MenteşeMerkez,155,30000.0
Milas,135,20000.0
Dalaman,140,24000.0
Dalaman,75,17000.0
Dalaman,70,16000.0
OrtacaDalyan,175,55000.0
SeydikemerMerkez,75,17000.0
Ortaca,80,18000.0
Dalaman,59,23500.0
Dalaman,60,20000.0
BodrumMumcular,85,28000.0
BodrumMumcular,85,25000.0
Fethiye,55,30000.0
BodrumYalıkavak,75,25000.0
Bodrum,55,30000.0
BodrumOrtakentyahşi,150,90000.0
MarmarisBeldibi,90,38000.0
BodrumKonacık,130,90000.0
BodrumYalıkavak,80,55000.0
BodrumGöltürkbükü,350,450000.0
Marmaris,110,55000.0
Bodrum,75,42500.0
MarmarisKöyler,150,30000.0
BodrumGüvercinlik,145,44000.0
BodrumTurgutreis,170,650000.0
BodrumGündoğan,254,120000.0
SeydikemerMerkez,90,15000.0
Fethiye,75,33000.0
Datça,45,25000.0
Marmaris,130,55000.0
BodrumOrtakentyahşi,45,30000.0
OrtacaKöyler,420,1000000.0
BodrumGümüşlük,85,30000.0
Marmaris,200,70000.0
SeydikemerMerkez,350,6000.0
MarmarisArmutalan,450,150000.0
BodrumBitez,193,105000.0
BodrumMumcular,115,25000.0
Dalaman,180,18000.0
OrtacaDalyan,150,40000.0
Dalaman,55,19000.0
Datça,60,28000.0
MenteşeMerkez,110,35000.0
SeydikemerMerkez,85,25000.0
Fethiye,220,75000.0
Fethiye,135,35000.0
Datça,100,30000.0
Fethiye,43,34000.0
MenteşeMerkez,55,15000.0
BodrumBitez,70,50000.0
BodrumGöltürkbükü,80,50000.0
MarmarisKöyler,110,46000.0
MenteşeMerkez,125,25000.0
BodrumYalıkavak,170,300000.0
BodrumBitez,35,25000.0
MilasGüllük,60,35000.0
Ortaca,150,25000.0
BodrumKonacık,60,51000.0
Yatağan,110,21000.0
FethiyeÖlüdeniz,65,22500.0
Fethiye,100,25000.0
MilasGüllük,45,26000.0
MenteşeMerkez,45,16000.0
Bodrum,120,65000.0
Dalaman,70,20000.0
BodrumYalıkavak,95,40000.0
BodrumOrtakentyahşi,60,39000.0
Marmaris,75,45000.0
MarmarisKöyler,130,40000.0
OrtacaDalyan,130,40000.0
Fethiye,60,25000.0
BodrumGöltürkbükü,65,80000.0
Fethiye,48,30000.0
Ortaca,160,35000.0
BodrumMumcular,140,40000.0
Dalaman,60,20000.0
Fethiye,350,130000.0
MenteşeMerkez,65,22000.0
Köyceğiz,115,32000.0
Ortaca,50,15000.0
Marmaris,100,40000.0
BodrumGöltürkbükü,65,30000.0
MilasGüllük,49,32000.0
Marmaris,45,37000.0
KöyceğizToparlar,100,25000.0
BodrumTurgutreis,90,60000.0
Fethiye,140,30000.0
Köyceğiz,100,30000.0
Ortaca,110,17000.0
Dalaman,60,21000.0
BodrumYalıkavak,110,45000.0
Fethiye,110,35000.0
FethiyeKöyler,50,50000.0
Dalaman,60,17000.0
Fethiye,45,28000.0
Bodrum,120,45000.0
Fethiye,125,40000.0
Dalaman,120,24900.0
Marmaris,90,55000.0
Bodrum,24,25000.0
FethiyeKöyler,100,25000.0
Fethiye,120,30000.0
FethiyeGöcek,75,33000.0
Dalaman,55,20000.0
BodrumBitez,60,40000.0
Köyceğiz,55,23000.0
Marmaris,85,40000.0
BodrumGöltürkbükü,80,40000.0
Milas,90,25000.0
FethiyeÇiftlik,85,27500.0
BodrumGündoğan,110,250000.0
Fethiye,150,25000.0
MenteşeMerkez,105,30000.0
Fethiye,110,35000.0
MarmarisKöyler,60,20000.0
MenteşeMerkez,95,30000.0
Fethiye,73,33000.0
Bodrum,55,45000.0
FethiyeKaraçulha,170,35000.0
Milas,75,21000.0
Ortaca,110,25000.0
DatçaKöyler,80,300000.0
Fethiye,120,35000.0
Ortaca,55,18000.0
Ortaca,50,18500.0
Ula,45,18000.0
Köyceğiz,95,30000.0
Bodrum,120,55000.0
Fethiye,300,70000.0
Dalaman,95,25000.0
Fethiye,275,65000.0
Marmaris,90,35000.0
BodrumYalı,200,82500.0
Fethiye,130,40000.0
BodrumYalıkavak,125,50000.0
BodrumGündoğan,300,380000.0
BodrumGündoğan,250,480000.0
Dalaman,140,15000.0
Ortaca,160,25000.0
BodrumYalıkavak,110,275000.0
MenteşeMerkez,120,35000.0
Bodrum,110,50000.0
MarmarisArmutalan,130,42500.0
Datça,115,36000.0
BodrumMumcular,75,29000.0
Bodrum,185,275000.0
BodrumYalıkavak,100,35000.0
MilasGüllük,80,30000.0
OrtacaKöyler,200,68000.0
SeydikemerMerkez,65,15000.0
Fethiye,120,40000.0
Dalaman,59,23000.0
FethiyeGöcek,220,1000000.0
Yatağan,120,19000.0
MarmarisArmutalan,75,45000.0
Dalaman,125,25000.0
Ula,185,30000.0
MarmarisArmutalan,75,28000.0
Datça,100,35000.0
BodrumTurgutreis,200,75000.0
Ortaca,60,18000.0
SeydikemerMerkez,120,18500.0
Bodrum,80,49500.0
MenteşeMerkez,130,33000.0
BodrumYalıkavak,90,500000.0
BodrumGöltürkbükü,380,100000.0
BodrumTurgutreis,130,40000.0
Marmaris,90,70000.0
DatçaKöyler,120,27000.0
Fethiye,170,90000.0
FethiyeKaraçulha,280,58000.0
Fethiye,100,35000.0
Dalaman,135,25000.0
Marmaris,42,25000.0
Bodrum,60,45000.0
MarmarisArmutalan,140,45000.0
Fethiye,120,25000.0
KöyceğizKöyler,220,42000.0
FethiyeÇiftlik,135,40000.0
Fethiye,100,40000.0
FethiyeÖlüdeniz,80,24000.0
BodrumTurgutreis,110,40000.0
BodrumGöltürkbükü,160,300000.0
Ortaca,165,30000.0
Marmaris,120,38000.0
BodrumTurgutreis,100,19000.0
Fethiye,110,30000.0
Dalaman,150,25000.0
BodrumTurgutreis,60,27000.0
BodrumOrtakentyahşi,140,95000.0
BodrumYalıkavak,100,65000.0
Dalaman,55,18000.0
BodrumYalıkavak,240,1100000.0
Fethiye,130,30000.0
Fethiye,170,35000.0
Fethiye,140,40000.0
Fethiye,90,27000.0
BodrumTurgutreis,130,58000.0
KöyceğizKöyler,120,16000.0
Köyceğiz,120,40000.0
Fethiye,90,40000.0
BodrumTurgutreis,90,120000.0
MenteşeMerkez,190,50000.0
BodrumYalıkavak,120,45000.0
BodrumTurgutreis,100,150000.0
Fethiye,150,35000.0
MarmarisArmutalan,80,24000.0
FethiyeKaraçulha,60,19000.0
Fethiye,100,30000.0
BodrumYalıkavak,200,210000.0
Ortaca,70,17000.0
BodrumGöltürkbükü,125,85000.0
BodrumGöltürkbükü,120,45000.0
BodrumTurgutreis,85,25000.0
Marmaris,50,30000.0
FethiyeKaraçulha,110,24000.0
Dalaman,230,35000.0
BodrumMumcular,90,18000.0
SeydikemerMerkez,160,18000.0
OrtacaDalyan,150,35000.0
Fethiye,65,15000.0
Fethiye,127,55000.0
Milas,80,25000.0
BodrumKonacık,85,40000.0
Fethiye,260,100000.0
Dalaman,60,18000.0
BodrumGöltürkbükü,380,600000.0
Fethiye,45,12000.0
Fethiye,200,55000.0
BodrumKonacık,252,150000.0
Bodrum,95,55000.0
Fethiye,95,31000.0
BodrumBitez,70,440000.0
MenteşeMerkez,125,27000.0
Dalaman,100,20000.0
BodrumBitez,250,110000.0
BodrumBitez,105,45000.0
Bodrum,100,65000.0
MenteşeMerkez,50,19000.0
Milas,100,23000.0
FethiyeGöcek,120,23000.0
Marmaris,360,140000.0
MarmarisKöyler,100,40000.0
BodrumGümüşlük,90,30000.0
Milas,110,30000.0
MenteşeMerkez,55,17000.0
Bodrum,350,160000.0
MenteşeMerkez,170,100000.0
BodrumYalıkavak,125,75000.0
BodrumGündoğan,100,230000.0
Fethiye,145,35000.0
BodrumGümüşlük,90,40000.0
Milas,110,50000.0
BodrumOrtakentyahşi,175,130000.0
BodrumGümüşlük,70,75000.0
BodrumTurgutreis,155,55000.0
KöyceğizBeyobası,150,20000.0
MilasGüllük,60,23500.0
Fethiye,100,35000.0
Fethiye,125,35000.0
BodrumKonacık,110,60000.0
FethiyeKaraçulha,140,17000.0
BodrumBitez,200,250000.0
FethiyeÇiftlik,240,70000.0
Bodrum,400,190000.0
MenteşeMerkez,130,28000.0
BodrumKonacık,90,50000.0
BodrumMumcular,75,25000.0
BodrumMumcular,80,23000.0
BodrumOrtakentyahşi,200,95000.0
Fethiye,65,22000.0
Fethiye,120,20000.0
Fethiye,145,55000.0
MarmarisKöyler,120,35000.0
Datça,145,42000.0
Fethiye,115,45000.0
MenteşeMerkez,45,17000.0
Fethiye,120,35000.0
BodrumGündoğan,100,50000.0
MenteşeMerkez,140,35000.0
Fethiye,135,50000.0
UlaGökova,45,30000.0
FethiyeÖlüdeniz,50,22000.0
BodrumKonacık,95,65000.0
SeydikemerMerkez,75,15000.0
Fethiye,120,45000.0
BodrumTurgutreis,80,50000.0
Milas,30,14500.0
FethiyeKaraçulha,150,22000.0
MarmarisArmutalan,185,65000.0
MenteşeMerkez,100,37000.0
Marmaris,70,25000.0
BodrumTurgutreis,260,100000.0
BodrumGündoğan,260,35000.0
FethiyeYeşilüzümlü,500,55000.0
FethiyeÖlüdeniz,120,20000.0
KöyceğizKöyler,130,40000.0
Fethiye,100,35000.0
Milas,150,25000.0
FethiyeKaraçulha,115,17500.0
BodrumKonacık,90,50000.0
BodrumTurgutreis,85,40000.0
BodrumGündoğan,110,45000.0
FethiyeKaraçulha,55,20000.0
Fethiye,100,25000.0
DatçaKöyler,60,30000.0
MarmarisBeldibi,200,55000.0
Yatağan,100,24000.0
Fethiye,120,35000.0
OrtacaDalyan,75,22500.0
BodrumGüvercinlik,175,206000.0
FethiyeKaraçulha,85,23000.0
Fethiye,120,35000.0
BodrumGündoğan,50,450000.0
BodrumOrtakentyahşi,1.000,425000.0
BodrumOrtakentyahşi,82,28000.0
Datça,110,35000.0
Marmarisİçmeler,115,45000.0
BodrumOrtakentyahşi,120,75000.0
BodrumBitez,300,450000.0
Dalaman,65,20500.0
BodrumGündoğan,180,70000.0
BodrumGündoğan,70,50000.0
BodrumGündoğan,150,450000.0
BodrumGöltürkbükü,80,125000.0
BodrumBitez,55,50000.0
BodrumGündoğan,250,700000.0
BodrumGündoğan,80,35000.0
FethiyeKöyler,120,53000.0
SeydikemerMerkez,50,13500.0
MilasÖren,350,190000.0
Marmaris,160,60000.0
Fethiye,155,75000.0
BodrumYalıkavak,90,100000.0
FethiyeÖlüdeniz,75,38000.0
BodrumYalıkavak,350,500000.0
BodrumYalıkavak,110,300000.0
BodrumYalıkavak,90,55000.0
Dalaman,60,21000.0
BodrumGündoğan,110,55000.0
BodrumMumcular,80,27000.0
FethiyeKaraçulha,85,18000.0
Fethiye,121,25000.0
Milas,120,35000.0
UlaAkyaka,120,43000.0
SeydikemerMerkez,60,15500.0
MilasGüllük,75,30000.0
BodrumGöltürkbükü,45,29000.0
BodrumYalıkavak,55,30000.0
DalamanKöyler,654,15000.0
OrtacaKöyler,60,32500.0
Marmaris,50,27000.0
MarmarisKöyler,160,4000.0
FethiyeGöcek,130,28000.0
Fethiye,85,18000.0
BodrumBitez,180,60000.0
FethiyeKaraçulha,100,22000.0
BodrumGüvercinlik,110,280000.0
BodrumGüvercinlik,60,22500.0
UlaKöyler,160,30000.0
UlaKöyler,160,30000.0
BodrumTurgutreis,70,45000.0
BodrumGündoğan,120,150000.0
DalamanKöyler,140,17000.0
Dalaman,156,7500.0
Fethiye,180,50000.0
Milas,85,22000.0
Milas,100,20000.0
BodrumMumcular,120,25000.0
FethiyeKöyler,140,15000.0
Fethiye,126,45000.0
Milas,90,21000.0
Fethiye,90,45000.0
Bodrum,25,25000.0
DatçaKöyler,70,180000.0
Fethiye,55,22000.0
BodrumOrtakentyahşi,200,120000.0
Ortaca,155,25000.0
FethiyeKaraçulha,280,58000.0
Fethiye,90,25000.0
Ortaca,90,20000.0
Fethiye,55,24000.0
Bodrum,75,35000.0
Fethiye,110,55000.0
MenteşeMerkez,65,25000.0
Ortaca,178,30000.0
BodrumTurgutreis,35,35000.0
Fethiye,150,35000.0
Fethiye,100,19000.0
OrtacaDalyan,150,22500000.0
BodrumGüvercinlik,135,37500.0
Dalaman,50,20000.0
Dalaman,55,18000.0
Dalaman,150,20000.0
FethiyeKaraçulha,65,13000.0
Bodrum,100,42500.0
BodrumGümüşlük,85,23000.0
Dalaman,105,18000.0
Fethiye,120,40000.0
Dalaman,65,19000.0
Fethiye,60,26000.0
Bodrum,110,860000.0
FethiyeÇiftlik,170,50000.0
Fethiye,55,29000.0
BodrumGündoğan,90,45000.0
Marmarisİçmeler,75,35000.0
BodrumOrtakentyahşi,120,70000.0
FethiyeKöyler,120,18000.0
KöyceğizKöyler,140,15000.0
FethiyeKöyler,70,22000.0
Fethiye,85,26000.0
BodrumTurgutreis,140,50000.0
Fethiye,125,35000.0
Milas,130,25000.0
MarmarisKöyler,150,40000.0
Bodrum,75,32000.0
MenteşeMerkez,110,35000.0
MenteşeMerkez,50,25000.0
MilasGüllük,49,25000.0
Dalaman,80,18000.0
Köyceğiz,90,24000.0
SeydikemerMerkez,110,20000.0
Fethiye,130,37250.0
BodrumYalıkavak,230,140000.0
Ortaca,75,30000.0
MarmarisKöyler,120,25000.0
BodrumKonacık,95,35000.0
Marmarisİçmeler,130,50000.0
MenteşeMerkez,90,27000.0
BodrumOrtakentyahşi,160,85000.0
Fethiye,80,50000.0
BodrumGündoğan,65,25000.0
Milas,45,23000.0
MenteşeMerkez,160,28000.0
FethiyeKöyler,55,30000.0
Fethiye,110,36000.0
Dalaman,130,16000.0
MarmarisKöyler,50,35000.0
Fethiye,150,55000.0
Ortaca,55,21000.0
FethiyeKaraçulha,70,17500.0
Datça,160,40000.0
MenteşeMerkez,75,21500.0
Fethiye,55,28000.0
Fethiye,125,45000.0
BodrumGöltürkbükü,200,675000.0
MilasGüllük,140,100000.0
Fethiye,55,17000.0
BodrumTurgutreis,120,295000.0
BodrumTurgutreis,130,40000.0
Dalaman,150,40000.0
FethiyeÖlüdeniz,190,78000.0
Dalaman,100,22500.0
Fethiye,40,18000.0
SeydikemerMerkez,182,34500.0
KöyceğizKöyler,57,10000.0
MenteşeMerkez,85,25000.0
MenteşeMerkez,143,36000.0
BodrumGöltürkbükü,125,480000.0
Fethiye,190,65000.0
DatçaKöyler,85,250000.0
Ortaca,120,27000.0
SeydikemerMerkez,87,22000.0
Fethiye,60,15000.0
SeydikemerMerkez,100,23000.0
Dalaman,73,16000.0
Marmaris,45,25000.0
MarmarisArmutalan,50,35000.0
Marmaris,85,40000.0
BodrumTurgutreis,73,45000.0
BodrumTurgutreis,130,75000.0
MarmarisArmutalan,90,55000.0
Milas,145,32000.0
FethiyeKöyler,100,53000.0
MenteşeMerkez,120,40000.0
BodrumMumcular,80,18500.0
Ortaca,145,23000.0
FethiyeKöyler,70,20000.0
Köyceğiz,145,50000.0
Ula,95,30000.0
BodrumOrtakentyahşi,120,85000.0
Fethiye,140,50000.0
BodrumMumcular,70,16500.0
MarmarisArmutalan,140,60000.0
Fethiye,90,22000.0
Milas,95,20000.0
Yatağan,120,17500.0
Milas,140,25000.0
Fethiye,78,22000.0
Fethiye,130,30000.0
Fethiye,170,33000.0
MenteşeMerkez,65,23000.0
Milas,160,27500.0
Fethiye,65,33000.0
BodrumYalıkavak,180,130000.0
Fethiye,130,40000.0
Milas,110,18000.0
BodrumYalıkavak,125,50000.0
Dalaman,95,25000.0
BodrumYalıkavak,150,55000.0
FethiyeKöyler,105,50000.0
Fethiye,95,35000.0
OrtacaKöyler,140,60000.0
Marmaris,55,25000.0
OrtacaDalyan,90,30000.0
Dalaman,105,25000.0
Dalaman,110,35000.0
MilasGüllük,85,37000.0
Dalaman,90,23500.0
BodrumTurgutreis,205,130000.0
FethiyeKöyler,500,65000.0
BodrumGündoğan,140,50000.0
FethiyeKöyler,800,335000.0
BodrumOrtakentyahşi,230,105000.0
FethiyeKöyler,120,30000.0
BodrumTurgutreis,64,32000.0
BodrumOrtakentyahşi,85,40000.0
BodrumKonacık,120,90000.0
BodrumOrtakentyahşi,80,45000.0
FethiyeKöyler,150,50000.0
BodrumYalıkavak,175,100000.0
BodrumGöltürkbükü,90,120000.0
Ula,90,25000.0
MenteşeMerkez,200,80000.0
Milas,90,26000.0
Fethiye,75,20000.0
Fethiye,85,17000.0
BodrumTurgutreis,120,60000.0
BodrumTurgutreis,83,30000.0
BodrumYalıkavak,180,60000.0
BodrumMumcular,85,18000.0
BodrumGüvercinlik,75,25000.0
Bodrum,85,45000.0
Fethiye,160,45000.0
BodrumGündoğan,140,735000.0
BodrumMumcular,45,17000.0
Dalaman,110,16000.0
MenteşeMerkez,135,40000.0
Dalaman,70,20000.0
Fethiye,120,30000.0
BodrumYalıkavak,95,45000.0
Dalaman,65,20000.0
Datça,70,30000.0
FethiyeKöyler,120,38000.0
FethiyeÖlüdeniz,60,20000.0
Bodrum,200,500000.0
Dalaman,85,26000.0
Bodrum,64,70000.0
Ortaca,75,18000.0
FethiyeÖlüdeniz,85,37000.0
MarmarisArmutalan,125,40000.0
FethiyeGöcek,190,110000.0
Fethiye,110,25000.0
Ortaca,65,19000.0
MilasGüllük,55,26000.0
BodrumGöltürkbükü,140,80000.0
Dalaman,55,19000.0
BodrumKonacık,150,90000.0
KöyceğizBeyobası,150,23000.0
Dalaman,95,23000.0
MarmarisKöyler,95,120000.0
Dalaman,57,20000.0
KöyceğizKöyler,75,23000.0
