tarih,kategori,urun_adi,fiyat,para_birimi
2026-02-24,temel-gida,Itır Baharat Karabiber 1 Kg,1004.50,TRY
2026-02-24,temel-gida,Veronelli Uzun Erişte 500 Gr,48.00,TRY
2026-02-24,temel-gida,Katmer Tam Buğday Unu 1 Kg,63.50,TRY
2026-02-24,temel-gida,Penguen Bezelye Teneke 5000 Gr,518.00,TRY
2026-02-24,temel-gida,Superfresh Ton Balığı Zeytin Yağlı 3X75 Gr,250.50,TRY
2026-02-24,temel-gida,Burcu Haşlanmış Fasülye 800 Gr,74.50,TRY
2026-02-24,temel-gida,Burcu Haşlanmış Barbunya 800 Gr,77.50,TRY
2026-02-24,temel-gida,Damla Gönen Baldo Pirinç 1 Kg,196.50,TRY
2026-02-24,temel-gida,Tukaş Mısır 3 X 150 Gr,104.50,TRY
2026-02-24,temel-gida,Söke Geleneksel Un 1 Kg,79.50,TRY
2026-02-24,temel-gida,Damla Koçbaşı Nohut 2 Kg,350.50,TRY
2026-02-24,temel-gida,Yudum Ayçiçek Yağı 2 Lt,322.50,TRY
2026-02-24,temel-gida,Mutlu Makarna Burgu 5 Kg,354.50,TRY
2026-02-24,temel-gida,Mutlu Makarna Arpa Şehriye 5 Kg,354.50,TRY
2026-02-24,temel-gida,Mutlu Makarna Spagetti 500 Gr,34.50,TRY
2026-02-24,temel-gida,Duru Pilavlık Bulgur 5 Kg,451.50,TRY
2026-02-24,temel-gida,Duru Köftelik Bulgur 1 Kg,93.00,TRY
2026-02-24,temel-gida,Burcu Haşlanmış Nohut 800 Gr,83.00,TRY
2026-02-24,temel-gida,Öncü Domates Salçası 1650 Gr,277.00,TRY
2026-02-24,temel-gida,Damla Kırmızı Mercimek 5 Kg,634.50,TRY
2026-02-24,temel-gida,Damla İspanyol Nohut 1 Kg,232.50,TRY
2026-02-24,temel-gida,Dr.Oetker Şekerli Vanilin 10 Lu 50 Gr,38.50,TRY
2026-02-24,temel-gida,Burcu Zeytinyağlı Yaprak Sarma 200 gr,126.00,TRY
2026-02-24,temel-gida,Tam Buğday Unu 5 Kg,370.00,TRY
2026-02-24,temel-gida,Komili Yemeklik Riviera Zeytinyağı 5 lt x 4 Adet,6420.00,TRY
2026-02-24,temel-gida,Komili Yemeklik Riviera Zeytinyağı 5 lt x 1 Adet,1865.00,TRY
2026-02-24,temel-gida,Dardanel Klasik Ton Balığı 5 x 75 gr x 4 lü Paket (20 ad x 75 gr),1454.00,TRY
2026-02-24,temel-gida,Dardanel Klasik Ton Balığı 4 X 75 Gr,294.00,TRY
2026-02-24,temel-gida,Dardanel Ekonomik Ton Balığı 4×75 Gr,266.00,TRY
2026-02-24,temel-gida,Sarıkılçık Pilavlık Pirinç 15 Kg,2180.00,TRY
2026-02-24,temel-gida,Sarıkılçık Pilavlık Pirinç 25 Kg (Çuval),3500.00,TRY
2026-02-24,temel-gida,Tukaş Yaprak Sarma 400 Gr.,101.50,TRY
2026-02-24,temel-gida,Sarıkılçık Pilavlık Pirinç 10 kg,1500.00,TRY
2026-02-24,temel-gida,Sarıkılçık Pilavlık Pirinç 5 kg,777.00,TRY
2026-02-24,temel-gida,Sarıkılçık Pilavlık Pirinç 1 kg,160.00,TRY
2026-02-24,temel-gida,Eti Pronot Glutensiz Mini Kek Kakaolu 144 Gr,117.00,TRY
2026-02-24,temel-gida,Kent Boringer Toppig 300 Gr Frambuazlı Silindir,106.00,TRY
2026-02-24,temel-gida,Kent Boringer Toppig 300 Gr Karamelli Silindir,106.00,TRY
2026-02-24,temel-gida,Kent Boringer Toppig 300Gr Çikolatalı Silindir,106.00,TRY
2026-02-24,temel-gida,Ezgi Beypazarı Çorbalık Erişte 500 Gr,163.00,TRY
2026-02-24,temel-gida,Heinz American Burger Sos 235 Gr,163.50,TRY
2026-02-24,temel-gida,Heinz Acılı Mayonez 405 Gr,264.50,TRY
2026-02-24,temel-gida,Öncü Domates Salçası Cam Kavanoz 700 Gr,125.50,TRY
2026-02-24,temel-gida,Öncü Tatlı Biber Salçası Cam 700 Gr,201.00,TRY
2026-02-24,temel-gida,Öncü Acı Biber Salçası Cam 700 Gr,201.00,TRY
2026-02-24,temel-gida,Tukaş Fasulye Pilaki 400 Gr,57.00,TRY
2026-02-24,temel-gida,Tukaş Bezelye 830Gr,86.00,TRY
2026-02-24,temel-gida,Tukaş Hardal Sos 335 Gr,65.00,TRY
2026-02-24,temel-gida,Tukaş Sos Barbekü 400 Gr,66.00,TRY
2026-02-24,temel-gida,Tukaş Sos Ranch 335 Gr,65.00,TRY
2026-02-24,temel-gida,Sütaş Yemeklik Krema 200 Ml,66.50,TRY
2026-02-24,temel-gida,Yazar Tam Kepekli Unu 1 Kg,63.05,TRY
2026-02-24,temel-gida,Yazar Tam Buğday Unu 1 Kg,61.30,TRY
2026-02-24,temel-gida,Sunu Haşhaş Ezmesi 400 Gr,152.00,TRY
2026-02-24,temel-gida,Mutlu Makarna Spagetti 5Kg,354.50,TRY
2026-02-24,temel-gida,Pakmaya Karamelli Sütlü Parça Çikolata 70 Gr,150.50,TRY
2026-02-24,temel-gida,Pakmaya Portakallı Bitter Parça Çikolata,155.50,TRY
2026-02-24,temel-gida,Tukaş Mayonez 550 Gr + Ketçap 650 Gr,133.00,TRY
2026-02-24,temel-gida,Tukaş Mayonez 9 Gr 500 Lü,585.00,TRY
2026-02-24,temel-gida,Knorr Acılı Domatesli Çabuk Noodle 67 Gr,23.50,TRY
2026-02-24,temel-gida,Pakmaya Beyaz Pul Çikolata 100 Gr,166.00,TRY
