name,price
Avokado 1 Adet,91.95
Muz Yerli 500 gr,57.47
Kivi 500 gr,91.97
Muz İthal 500 gr,80.47
Ananas 1 Adet,172.45
Pepino 500 gr,132.22
Mango 1 Adet,114.95
Zencefil Verita 250 gr 1 Adet,114.95
KIWI PAKET 1 Adet,34.45
Greyfurt 500 gr,34.47
Portakal Finike 500 gr,34.47
Mandalina W.Murcott 500 gr,34.47
Limon Lamas 500 gr,74.72
Ayva 500 gr,86.23
Armut Deveci 500 gr,57.47
Elma Golden 500 gr,68.97
Elma Starking Lüx 500 gr,74.72
Elma Gransimit 500 gr,86.23
Armut Santa 500 gr,74.72
Elma PinkLady 500 gr,74.72
Nar 500 gr,86.23
Ceviz 500 gr,172.47
Domates Pembe 500 gr,57.47
Biber Çarli 500 gr,57.47
Domates Antalya 500 gr,40.23
Domates Dallı 500 gr,45.98
Biber Dolma 500 gr,86.23
Biber Sivri 500 gr,57.47
Kabak Sakız 500 gr,86.23
Biber Kırmızı 500 gr,74.72
Patlıcan 500 gr,86.23
Köy Biberi 500 gr,86.23
Domates Kokteyl 500 gr,57.47
Biber California 500 gr,132.22
Biber Şili 500 gr,86.23
Kabak Kara 500 gr,86.23
Biber Sivri Tatlı 500 gr,143.72
Domates Şekerci 250 gr 1 Adet,160.95
Salata Antalya 500 gr,97.73
Patlıcan Bostan 500 gr,86.23
Karnabahar 2500 gr,143.63
Kereviz 500 gr,28.73
Lahana Beyaz 6000 gr,103.20
Lahana Kırmızı 1500 gr,68.92
Brokoli 800 gr,91.96
Lahana Brüksel 1 Adet,103.45
Alkan Enginar Kavanoz 4'lü 1 Adet,114.95
Maydanoz 1 Adet,34.45
Nane 1 Adet,34.45
Roka 1 Adet,34.45
Havuç 500 gr,22.97
Göbek Salata 1 Adet,91.95
Yer Elması 500 gr,45.98
ıspanak 500 gr,34.47
Kıvırcık 1 Adet,80.45
Turp Kırmızı 500 gr,22.97
Lahana Kara 1 Adet,45.95
Pırasa 500 gr,25.85
Bayezit Salamura Yaprak 2 kg 1 Adet,402.45
Havuç Siyah 500 gr,28.73
Tere 1 Adet,34.45
Pancar 500 gr,51.73
Şalgam 500 gr,22.97
Bayezit Salamura Yaprak 500 gr 1 Adet,229.95
Alabaş 1 Adet,68.95
Akdeniz Lorolosso Kırmızı 1 Adet,57.45
Turp Arjantin 500 gr,22.97
Turp Kırmızı Demet 1 Adet,28.70
Tevek Tokat Salamura Asma Yaprağı 800 gr 1 Adet,344.95
Erbaa Birlik Tokat Salamura Asma Yaprağı 500 gr 1 Adet,229.95
Sarımsak 1 Adet,68.95
Soğan Yeşil 250 gr,34.49
Soğan Kırmızı 1000 gr,57.45
Patates 500 gr,16.07
Soğan Arpacık 1 Adet,68.95
Soğan Kuru 500 gr,9.75
Ran Mantar Paket 400 gr 1 Adet,91.95
Kestane Şekerci 500 gr,201.22
Elma Fuji Lüx 500 gr,74.72
Üzüm Redclop 500 gr,86.23
Salata Badem 500 gr,114.98
Garliko Ihlamur Çiçek 50 gr 1 Adet,252.95
Kabak Tatlı Soyulmuş 500 gr,40.23
Garliko Dolmabiber 25'li Dizi 1 Adet,206.95
Garliko Defne Yaprağı 20 gr 1 Adet,45.95
Garliko Kuru Domates 200 gr 1 Adet,183.95
Garliko Tarçın Çubuk 50 gr 1 Adet,86.20
Marul 1 Adet,103.45
Turp Siyah 500 gr,22.97
Soğan Kırmızı Dökme Kg 500 gr,17.22
Dana Kıyma 500 gr,425.01
Süt Kuzu Kaburga 500 gr,375.00
Süt Kuzu But 3000 gr,3622.35
Süt Kuzu Pirzola 500 gr,1149.97
Süt Kuzu Kol 1500 gr,1349.92
Süt Kuzu Kemikli Fileto 500 gr,718.73
Erpiliç Bütün Piliç 2000 gr,292.00
Şenpiliç Poşetli Bütün Piliç 2000 gr,259.80
Gedik Bütün Piliç 2000 gr,189.90
Gedik Kanat Izgara 900 gr,197.95
Gedik Bütün Göğüs 1200 gr,220.74
Gedik Tavuk Bonfile 1000 gr,199.95
Gedik But Izgara 1000 gr,295.50
Gedik Baget 1000 gr,119.95
Gedik Ciğer 500 gr,56.33
Erpiliç Tabaklı Bonfile 1000 gr,297.80
Erpiliç Tabaklı Izgara But 1000 gr,307.00
Erpiliç Tabaklı Baget 1000 gr,172.45
Şenpiliç Kalçalı But 800 gr,110.36
Şenpiliç Derili Pirzola 1000 gr,198.90
Şenpiliç Baget 1000 gr,160.95
Gedik Tavuk But 800 gr,75.96
Erpiliç Tabaklı But Pirzola Derili 1000 gr,218.45
Erpiliç Tabaklı Ciğer 500 gr,58.63
Şenpiliç Kemiksiz Derisiz But İncik 1000 gr,287.45
Şenpiliç Izgara Kanat 1000 gr,302.40
Şenpiliç Bonfile 1000 gr,272.50
Gedik Pişmiş Yaprak Döner 200 gr 1 Adet,142.55
Erpiliç Şinitzel 700 gr 1 Adet,212.70
Erpiliç Tb Döner Piliç 250gr 1 Adet,178.20
Gedik Schnitzel 600 gr 1 Adet,163.25
Pınar Sucuk Gurme 250 gr 1 Adet,517.45
Maret Dana Sucuk Afiyetle 200 gr 1 Adet,258.70
Cumhuriyet Fermente Kangal Sucuk 500 gr,1060.85
Cumhuriyet Fermente Parmak Sucuk 500 gr,1060.85
Maret Sucuk Boncuk Kangal 220 gr 1 Adet,344.95
Cumhuriyet Fermente Sucuk 300 gr 1 Adet,635.90
Namet Gurme Sucuk 240 gr 1 Adet,436.95
İkbal Sucuk 500 gr,747.48
İkbal Sucuk Fermente 300 gr 1 Adet,459.90
İkbal Sucuk Dilimli Fermente 250 gr 1 Adet,379.45
Coşkun Sucuk Yarım Ay 300 gr 1 Adet,528.95
Sucuk Kangal 500 gr,375.00
Pınar Sucuk Doyum Kangal 225 gr 1 Adet,143.70
Pınar Şölen Sucuk 180gr 1 Adet,252.95
Pınar Klasik Sucuk 225 gr 1 Adet,390.95
Namet Kangal Sucuk 400 gr,464.58
Namet Sucuk Dana 200 gr 1 Adet,247.20
Çapanoğlu Kuru Et Dilimli 60 gr 1 Adet,293.20
Coşkun Sucuk 500 gr,833.73
Coşkun Çatal Sucuk 250 gr 1 Adet,471.45
Polonez Kangal Isıl Sucuk 200 gr 1 Adet,344.95
Polonez Sucuk Dana Fermente 250 gr 1 Adet,425.45
Pınar Sucuk Hindi Dilimli 250 gr 1 Adet,160.95
Pınar Hindi Sucuk Mangal Keyfi 300 gr 1 Adet,229.95
Pınar Sucuk Mangal Keyfi Acılı 225 gr 1 Adet,172.45
Maret Dilimli Piliç Sucuk 200 gr 1 Adet,91.95
Pınar Uzun Sosis 225 gr 1 Adet,321.95
Maret Dana Afiyetle Sosis 200 gr 1 Adet,218.45
Pınar Sosis Hot Dog 295 gr 1 Adet,425.45
Namet Dana Sosis 210 gr 1 Adet,218.45
Maret Pratik Hindi Sosis 140 gr 1 Adet,62.05
Namet Hindi Sosis 210 gr 1 Adet,98.85
Namet Hindi Sosis 420 gr 1 Adet,206.95
Erpiliç Kokteyl Sosis 700 gr 1 Adet,183.95
Maret Sosis Kokteyl Piliç 250 gr 1 Adet,86.20
Maret Soyulmuş Sosis 5'li 240 gr 1 Adet,287.45
Pınar Ekonomik Sosis 10'lu 430 gr 1 Adet,540.45
Pınar Aç Bitir Hindi Sosis 180 gr 1 Adet,86.20
Pınar Minik Kokteyl Sosis 215 gr 1 Adet,333.45
Namet Kokteyl Sosis 250 gr 1 Adet,287.45
Pınar Sosis Hindi Uzun 430 gr 1 Adet,218.45
