Product Name,Product Cost,Product Original Cost,Currency,Product ID,Variation ID,Brand,In Stock,Campaign Label,Top Category,Category,Subcategory,Category Path,Source Category,Source Category URL,Product URL,Image URL
Gök Kuşağı Rüzgar Gülü 20 cm,149.9,149.9,TRY,35756,,Kardeşler Oyuncak,True,,Ev Yaşam,Dekorasyon,Diğer Dekorasyon,Ev Yaşam > Dekorasyon > Diğer Dekorasyon,Kırtasiye,https://www.nezih.com.tr/kirtasiye,https://www.nezih.com.tr/gok-kusagi-ruzgar-gulu-20-cm,https://www.nezih.com.tr/gok-kusagi-ruzgar-gulu-20-cm-48084-35-O.jpg
Helvacıoğlu Blok Flüt 1000,229.9,229.9,TRY,3239,,Helvacıoğlu,True,,Hobi & Outdoor,Müzik Aletleri,Flüt,Hobi & Outdoor > Müzik Aletleri > Flüt,Kırtasiye,https://www.nezih.com.tr/kirtasiye,https://www.nezih.com.tr/helvacioglu-blok-flut-1000,https://www.nezih.com.tr/helvacioglu-blok-flut-1000-12965-32-O.jpg
Yamaha Blok Flüt YRS23,1119.9,1119.9,TRY,6609,,Yamaha,True,,Hobi & Outdoor,Müzik Aletleri,Flüt,Hobi & Outdoor > Müzik Aletleri > Flüt,Kırtasiye,https://www.nezih.com.tr/kirtasiye,https://www.nezih.com.tr/yamaha-blok-flut-yrs23,https://www.nezih.com.tr/yamaha-blok-flut-yrs23-17765-66-O.jpg
Lino Melodika 32 Tuşlu Çantalı Kırmızı LN-32,1099.9,1099.9,TRY,40264,,Lino,True,,Hobi & Outdoor,Müzik Aletleri,Melodika,Hobi & Outdoor > Müzik Aletleri > Melodika,Kırtasiye,https://www.nezih.com.tr/kirtasiye,https://www.nezih.com.tr/lino-melodika-32-tuslu-cantali-kirmizi-ln-32,https://www.nezih.com.tr/lino-melodika-32-tuslu-cantali-kirmizi-ln-32-57296-40-O.jpg
Lino Melodika 32 Tuşlu Çantalı Mavi LN-32,1099.9,1099.9,TRY,40265,,Lino,True,,Hobi & Outdoor,Müzik Aletleri,Melodika,Hobi & Outdoor > Müzik Aletleri > Melodika,Kırtasiye,https://www.nezih.com.tr/kirtasiye,https://www.nezih.com.tr/lino-melodika-32-tuslu-cantali-mavi-ln-32,https://www.nezih.com.tr/lino-melodika-32-tuslu-cantali-mavi-ln-32-57298-40-O.jpg
Lino Melodika 32 Tuşlu Çantalı Pembe LN-32,1099.9,1099.9,TRY,40266,,Lino,True,,Hobi & Outdoor,Müzik Aletleri,Melodika,Hobi & Outdoor > Müzik Aletleri > Melodika,Kırtasiye,https://www.nezih.com.tr/kirtasiye,https://www.nezih.com.tr/lino-melodika-32-tuslu-cantali-pembe-ln-32,https://www.nezih.com.tr/lino-melodika-32-tuslu-cantali-pembe-ln-32-57300-40-O.jpg
Lino Melodika 32 Tuşlu Çantalı Siyah LN-32,1099.9,1099.9,TRY,40267,,Lino,True,,Hobi & Outdoor,Müzik Aletleri,Melodika,Hobi & Outdoor > Müzik Aletleri > Melodika,Kırtasiye,https://www.nezih.com.tr/kirtasiye,https://www.nezih.com.tr/lino-melodika-32-tuslu-cantali-siyah-ln-32,https://www.nezih.com.tr/lino-melodika-32-tuslu-cantali-siyah-ln-32-57302-40-O.jpg
Diytoy İlk Kütüphanem İlk Sözcükler 8’li Kitap Seti,329.9,329.9,TRY,113611,,Dıytoy,True,,Hobi & Outdoor,Puzzle,Çocuk Puzzle,Hobi & Outdoor > Puzzle > Çocuk Puzzle,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/diytoy-ilk-kutuphanem-ilk-sozcukler-8li-kitap-seti,https://www.nezih.com.tr/diytoy-ilk-kutuphanem-ilk-sozcukler-8li-kitap-seti-138506-11-O.jpg
Ben Şeytanın Oğluyum,380.0,380.0,TRY,129439,,Doğan Kitap,True,,Kitap,Anı,,Kitap > Anı,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/ben-seytanin-ogluyum,https://www.nezih.com.tr/ben-seytanin-ogluyum-205299-12-O.jpg
Bir Roman Kahramanı Orhan Veli,250.75,295.0,TRY,103099,,Everest Yayınları,True,-%15,Kitap,Anı,,Kitap > Anı,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/bir-roman-kahramani-orhan-veli,https://www.nezih.com.tr/bir-roman-kahramani-orhan-veli-184773-10-O.jpg
