id,urun,fiyat,kategori,url
erkek-100-pamuk-flamli-oxford-slim-fit-dar-kesim-dugmeli-yaka-koyu-petrol-gomlek,erkek-100-pamuk-flamli-oxford-slim-fit-dar-kesim-dugmeli-yaka-koyu-petrol-gomlek-p,"899,99 TL",https://www.altinyildizclassics.com/internete-ozel-urunler-c | https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/kapsul-koleksiyonu-c | https://www.altinyildizclassics.com/yazlik-gomlek-c | https://www.altinyildizclassics.com/sansli-saatler-c | https://www.altinyildizclassics.com/oxford-gomlek-c | https://www.altinyildizclassics.com/750-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/keten-gomlek-c | https://www.altinyildizclassics.com/gomlek-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/desenli-gomlek-c | https://www.altinyildizclassics.com/cok-satanlar-c,https://www.altinyildizclassics.com/erkek-100-pamuk-flamli-oxford-slim-fit-dar-kesim-dugmeli-yaka-koyu-petrol-gomlek-p
erkek-slim-fit-dar-kesim-bisiklet-yaka-100-pamuk-kisa-kollu-beyaz-tisort-4,erkek-slim-fit-dar-kesim-bisiklet-yaka-100-pamuk-kisa-kollu-beyaz-tisort-4-p,"349,99 TL",https://www.altinyildizclassics.com/cok-satanlar-c | https://www.altinyildizclassics.com/internete-ozel-urunler-c | https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/sansli-saatler-c | https://www.altinyildizclassics.com/750-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/kapsul-koleksiyonu-c | https://www.altinyildizclassics.com/yeni-gelenler-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/500-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/yeni-sezon-indirimi-c | https://www.altinyildizclassics.com/yeni-sezon-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/bisiklet-yaka-tisort-c | https://www.altinyildizclassics.com/1000-tl-alti-hediye-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/cok-al-az-ode-c | https://www.altinyildizclassics.com/tisort-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-bisiklet-yaka-100-pamuk-kisa-kollu-beyaz-tisort-4-p
erkek-ekstra-slim-fit-dar-kesim-riss-pamuklu-esnek-jean-kot-antrasit-denim-pantolon-2,erkek-ekstra-slim-fit-dar-kesim-riss-pamuklu-esnek-jean-kot-antrasit-denim-pantolon-2-p,"799,99 TL",https://www.altinyildizclassics.com/internete-ozel-urunler-c | https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/sansli-saatler-c | https://www.altinyildizclassics.com/750-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/yeni-gelenler-c | https://www.altinyildizclassics.com/pantolon-c | https://www.altinyildizclassics.com/yeni-sezon-indirimi-c | https://www.altinyildizclassics.com/yeni-sezon-c | https://www.altinyildizclassics.com/kot-pantolon-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/1000-tl-alti-hediye-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-ekstra-slim-fit-dar-kesim-riss-pamuklu-esnek-jean-kot-antrasit-denim-pantolon-2-p
erkek-ekstra-slim-fit-dar-kesim-pamuklu-riss-jean-kot-petrol-mavisi-denim-pantolon,erkek-ekstra-slim-fit-dar-kesim-pamuklu-riss-jean-kot-petrol-mavisi-denim-pantolon-p,"833,99 TL",https://www.altinyildizclassics.com/internete-ozel-urunler-c | https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/sansli-saatler-c | https://www.altinyildizclassics.com/750-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/yeni-gelenler-c | https://www.altinyildizclassics.com/pantolon-c | https://www.altinyildizclassics.com/yeni-sezon-indirimi-c | https://www.altinyildizclassics.com/yeni-sezon-c | https://www.altinyildizclassics.com/kot-pantolon-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/1000-tl-alti-hediye-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-ekstra-slim-fit-dar-kesim-pamuklu-riss-jean-kot-petrol-mavisi-denim-pantolon-p
erkek-slim-fit-dar-kesim-bisiklet-yaka-100-pamuk-kisa-kollu-siyah-tisort-2,erkek-slim-fit-dar-kesim-bisiklet-yaka-100-pamuk-kisa-kollu-siyah-tisort-2-p,"349,99 TL",https://www.altinyildizclassics.com/cok-satanlar-c | https://www.altinyildizclassics.com/internete-ozel-urunler-c | https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/sansli-saatler-c | https://www.altinyildizclassics.com/750-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/kapsul-koleksiyonu-c | https://www.altinyildizclassics.com/yeni-gelenler-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/500-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/yeni-sezon-indirimi-c | https://www.altinyildizclassics.com/yeni-sezon-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/bisiklet-yaka-tisort-c | https://www.altinyildizclassics.com/1000-tl-alti-hediye-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/cok-al-az-ode-c | https://www.altinyildizclassics.com/tisort-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-bisiklet-yaka-100-pamuk-kisa-kollu-siyah-tisort-2-p
erkek-100-pamuk-flamli-oxford-slim-fit-dar-kesim-dugmeli-yaka-vizon-gomlek,erkek-100-pamuk-flamli-oxford-slim-fit-dar-kesim-dugmeli-yaka-vizon-gomlek-p,"899,99 TL",https://www.altinyildizclassics.com/internete-ozel-urunler-c | https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/kapsul-koleksiyonu-c | https://www.altinyildizclassics.com/yazlik-gomlek-c | https://www.altinyildizclassics.com/sansli-saatler-c | https://www.altinyildizclassics.com/oxford-gomlek-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/keten-gomlek-c | https://www.altinyildizclassics.com/gomlek-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/desenli-gomlek-c,https://www.altinyildizclassics.com/erkek-100-pamuk-flamli-oxford-slim-fit-dar-kesim-dugmeli-yaka-vizon-gomlek-p
erkek-slim-fit-dar-kesim-kivrilmaz-polo-yaka-kisa-kollu-beyaz-tisort,erkek-slim-fit-dar-kesim-kivrilmaz-polo-yaka-kisa-kollu-beyaz-tisort-p,"599,99 TL",https://www.altinyildizclassics.com/cok-satanlar-c | https://www.altinyildizclassics.com/polo-tisort-c | https://www.altinyildizclassics.com/internete-ozel-urunler-c | https://www.altinyildizclassics.com/sansli-saatler-c | https://www.altinyildizclassics.com/750-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/yeni-gelenler-c | https://www.altinyildizclassics.com/yeni-sezon-indirimi-c | https://www.altinyildizclassics.com/yeni-sezon-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/1000-tl-alti-hediye-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/tisort-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kivrilmaz-polo-yaka-kisa-kollu-beyaz-tisort-p
erkek-dugmeli-yaka-kolay-utulenebilir-pamuklu-slim-fit-dar-kesim-oxford-haki-gomlek,erkek-dugmeli-yaka-kolay-utulenebilir-pamuklu-slim-fit-dar-kesim-oxford-haki-gomlek-p,"1199,99 TL",https://www.altinyildizclassics.com/internete-ozel-urunler-c | https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/kapsul-koleksiyonu-c | https://www.altinyildizclassics.com/sansli-saatler-c | https://www.altinyildizclassics.com/750-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/oxford-gomlek-c | https://www.altinyildizclassics.com/yeni-gelenler-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/yeni-sezon-indirimi-c | https://www.altinyildizclassics.com/yeni-sezon-c | https://www.altinyildizclassics.com/gomlek-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/1000-tl-alti-hediye-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/desenli-gomlek-c | https://www.altinyildizclassics.com/cok-satanlar-c,https://www.altinyildizclassics.com/erkek-dugmeli-yaka-kolay-utulenebilir-pamuklu-slim-fit-dar-kesim-oxford-haki-gomlek-p
erkek-slim-fit-dar-kesim-kivrilmaz-polo-yaka-kisa-kollu-lacivert-tisort,erkek-slim-fit-dar-kesim-kivrilmaz-polo-yaka-kisa-kollu-lacivert-tisort-p,"599,99 TL",https://www.altinyildizclassics.com/cok-satanlar-c | https://www.altinyildizclassics.com/polo-tisort-c | https://www.altinyildizclassics.com/internete-ozel-urunler-c | https://www.altinyildizclassics.com/sansli-saatler-c | https://www.altinyildizclassics.com/750-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/yeni-gelenler-c | https://www.altinyildizclassics.com/yeni-sezon-indirimi-c | https://www.altinyildizclassics.com/yeni-sezon-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/1000-tl-alti-hediye-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/tisort-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kivrilmaz-polo-yaka-kisa-kollu-lacivert-tisort-p
erkek-100-pamuk-flamli-oxford-slim-fit-dar-kesim-dugmeli-yaka-beyaz-gomlek,erkek-100-pamuk-flamli-oxford-slim-fit-dar-kesim-dugmeli-yaka-beyaz-gomlek-p,"899,99 TL",https://www.altinyildizclassics.com/internete-ozel-urunler-c | https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/kapsul-koleksiyonu-c | https://www.altinyildizclassics.com/yazlik-gomlek-c | https://www.altinyildizclassics.com/sansli-saatler-c | https://www.altinyildizclassics.com/oxford-gomlek-c | https://www.altinyildizclassics.com/750-tl-alti-hediyeler-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/keten-gomlek-c | https://www.altinyildizclassics.com/gomlek-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/1000-tl-alti-hediye-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/desenli-gomlek-c | https://www.altinyildizclassics.com/cok-satanlar-c,https://www.altinyildizclassics.com/erkek-100-pamuk-flamli-oxford-slim-fit-dar-kesim-dugmeli-yaka-beyaz-gomlek-p
