product_name,price
Zımbalı mayo,1490.0
Zımbalı bikini altı,1190.0
Zımbalı üçgen bikini üstü,1190.0
Kontrast üçgen bikini üstü,990.0
Kontrast tanga bikini altı,790.0
Kontrast üçgen bikini üstü,990.0
Kontrast detaylı Brezilya modeli bikini altı,790.0
Kontrast üçgen bikini üstü,990.0
Zımbalı mayo,1490.0
Balenli saten yüzeyli bikini üstü,1090.0
Saten bikini altı,1090.0
Sırt dekolteli file elbise,1490.0
Strass detaylı üçgen bikini üstü,1090.0
Üçgen bikini üstü,1090.0
Fiyonklu Brezilya modeli külot,1090.0
Strasslı Brezilya modeli bikini altı,990.0
Bandeau bikini üstü,1090.0
3’lü karma boyutlarda bileklik seti,790.0
Brezilya modeli bikini altı,1090.0
Lamine katlı bandeau bikini üstü,1090.0
Lamine bikini altı,1090.0
Fiyonklu bikini altı,790.0
Üçgen bikini üstü,990.0
Güneş gözlüğü,790.0
Saten yüzeyli üçgen bikini üstü,990.0
Saten bikini altı,790.0
Saten yüzeyli üçgen bikini üstü,990.0
Saten bikini altı,990.0
Sırt dekolteli file elbise,1490.0
Puantiye desenli tanga bikini altı,790.0
Puantiye desenli üçgen bikini üstü,990.0
Çizgili üçgen bikini üstü,990.0
Çizgili Brezilya modeli bikini altı,790.0
Culotte bikini altı,1190.0
Zımba detaylı Brezilya modeli bikini altı,990.0
Zımbalı bikini üstü,1090.0
Zımbalı culotte bikini altı,1090.0
Kontrast üçgen bikini üstü,990.0
Kontrast tanga bikini altı,790.0
Zımbalı Brezilya modeli bikini altı,990.0
Tanga bikini altı,790.0
Brezilya modeli bikini altı,790.0
Halter puantiye bikini üstü,990.0
Puantiye desenli bikini altı,790.0
Üçgen bikini üstü,990.0
Brezilya modeli bağcıklı bikini altı,790.0
Üçgen bikini üstü,990.0
Fiyonklu bikini altı,790.0
Tanga bikini altı,790.0
Delikli üçgen bikini üstü,1090.0
Brezilya modeli halkalı bikini altı,990.0
Tanga bikini altı,790.0
Puantiye desenli üçgen bikini üstü,990.0
Puantiye desenli bikini altı,790.0
Brezilya modeli bağcıklı bikini altı,790.0
Üçgen bikini üstü,990.0
Fiyonklu bikini altı,790.0
Halter bikini üstü,990.0
Çift taraflı desenli bikini üstü,990.0
Çift taraflı desenli bikini altı,790.0
Desenli bikini üstü,990.0
Desenli bikini altı,790.0
Strasslı Brezilya modeli bikini altı,990.0
Strasslı üçgen bikini üstü,1090.0
Halter desenli mayo,1490.0
Puantiye desenli bikini altı,790.0
Halter puantiye bikini üstü,990.0
Kontrast tanga bikini altı,790.0
Kontrast üçgen bikini üstü,990.0
Zımbalı üçgen bikini üstü,1190.0
Zımbalı bikini altı,1190.0
