Product Name,Product Cost,product_id,brand,category,color,regular_price,discount_pct,currency
Kısa kollu poplin gömlek,1090.0,221266249,Bershka,KADıN > Gömlek - bluz,Kızıl kahverengi,1090.0,0.0,TRY
Çan kollu vücuda oturan gömlek,1190.0,209100365,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,0.0,TRY
Kısa kollu poplin bağlamalı gömlek,1090.0,207352017,Bershka,KADıN > Gömlek - bluz,Beyaz,1090.0,0.0,TRY
Kısa kollu poplin bağlamalı gömlek,1090.0,225361264,Bershka,KADıN > Gömlek - bluz,Beyaz,1090.0,0.0,TRY
Kısa kollu poplin bağlamalı gömlek,1090.0,207352016,Bershka,KADıN > Gömlek - bluz,Haki,1090.0,0.0,TRY
Kısa kollu poplin bağlamalı gömlek,1090.0,224378106,Bershka,KADıN > Gömlek - bluz,Haki,1090.0,0.0,TRY
Çan kollu vücuda oturan gömlek,1190.0,209100361,Bershka,KADıN > Gömlek - bluz,Mavi,1190.0,0.0,TRY
Kısa kollu fermuarlı gömlek,1190.0,221266248,Bershka,KADıN > Gömlek - bluz,Kum rengi,1190.0,0.0,TRY
Kısa kollu fermuarlı gömlek,1190.0,221266247,Bershka,KADıN > Gömlek - bluz,Kızıl kahverengi,1190.0,0.0,TRY
Uzun kollu kruvaze bluz,830.0,222003945,Bershka,KADıN > Gömlek - bluz,Kahverengi,1190.0,30.25,TRY
Kruvaze desenli bluz,1190.0,206640515,Bershka,KADıN > Gömlek - bluz,Kum rengi,1190.0,0.0,TRY
Kruvaze desenli bluz,1190.0,206640516,Bershka,KADıN > Gömlek - bluz,Krem,1190.0,0.0,TRY
Uzun kollu kruvaze gömlek,1040.0,206370804,Bershka,KADıN > Gömlek - bluz,Koyu mavi,1490.0,30.2,TRY
Uzun kollu kruvaze gömlek,1040.0,220329716,Bershka,KADıN > Gömlek - bluz,Koyu mavi,1490.0,30.2,TRY
Fermuarlı uzun kollu gömlek,1490.0,217315159,Bershka,KADıN > Gömlek - bluz,Gri,1490.0,0.0,TRY
Fermuarlı uzun kollu gömlek,1490.0,206370806,Bershka,KADıN > Gömlek - bluz,Gri,1490.0,0.0,TRY
Uzun kollu kruvaze düğmeli gömlek,1040.0,211596974,Bershka,KADıN > Gömlek - bluz,Beyaz,1490.0,30.2,TRY
Bağlamalı oversize poplin gömlek,1590.0,208543475,Bershka,KADıN > Gömlek - bluz,Mavi,1590.0,0.0,TRY
Kısa kollu bağcıklı bluz,1490.0,212817198,Bershka,KADıN > Gömlek - bluz,Beyaz,1490.0,0.0,TRY
Kısa kollu bağcıklı bluz,1490.0,222003560,Bershka,KADıN > Gömlek - bluz,Beyaz,1490.0,0.0,TRY
Çan kollu vücuda oturan gömlek,1190.0,209442000,Bershka,KADıN > Gömlek - bluz,Mavi,1190.0,0.0,TRY
Oversize dökümlü gömlek,1190.0,207955063,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,0.0,TRY
Oversize dökümlü gömlek,1190.0,207955062,Bershka,KADıN > Gömlek - bluz,Fuşya,1190.0,0.0,TRY
Oversize dökümlü gömlek,1190.0,207955061,Bershka,KADıN > Gömlek - bluz,Sarı,1190.0,0.0,TRY
Kısa kollu rustik gömlek,990.0,206290913,Bershka,KADıN > Gömlek - bluz,Beyaz,990.0,0.0,TRY
Kısa kollu rustik gömlek,990.0,206290912,Bershka,KADıN > Gömlek - bluz,Mavi,990.0,0.0,TRY
İspanyol kollu dar kesim gömlek,1490.0,217315232,Bershka,KADıN > Gömlek - bluz,Kum rengi,1490.0,0.0,TRY
İspanyol kollu dar kesim gömlek,1490.0,209128259,Bershka,KADıN > Gömlek - bluz,Kum rengi,1490.0,0.0,TRY
Kısa kollu fermuarlı gömlek,1190.0,206859245,Bershka,KADıN > Gömlek - bluz,Mavi,1190.0,0.0,TRY
Kısa kollu fermuarlı gömlek,1190.0,206859246,Bershka,KADıN > Gömlek - bluz,Krem,1190.0,0.0,TRY
Çan kollu vücuda oturan gömlek,1190.0,209442027,Bershka,KADıN > Gömlek - bluz,Kızıl kahverengi,1190.0,0.0,TRY
Çan kollu vücuda oturan gömlek,1190.0,209100359,Bershka,KADıN > Gömlek - bluz,Kızıl kahverengi,1190.0,0.0,TRY
Kısa kollu büzgülü gömlek,1190.0,206805018,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,0.0,TRY
Kısa kollu büzgülü gömlek,1190.0,206805017,Bershka,KADıN > Gömlek - bluz,Kızıl kahverengi,1190.0,0.0,TRY
Büzgülü poplin gömlek,830.0,204536033,Bershka,KADıN > Gömlek - bluz,Kahverengi,1190.0,30.25,TRY
Büzgülü poplin gömlek,830.0,204272667,Bershka,KADıN > Gömlek - bluz,Sarı,1190.0,30.25,TRY
Kısa kollu fermuarlı gömlek,1190.0,212707669,Bershka,KADıN > Gömlek - bluz,Kırmızı,1190.0,0.0,TRY
Dikişli dar kesim gömlek,1590.0,215084407,Bershka,KADıN > Gömlek - bluz,Beyaz,1590.0,0.0,TRY
Çizgili peplum denim ceket,2490.0,207583786,Bershka,KADıN > Gömlek - bluz,Açık mavi,2490.0,0.0,TRY
Fermuarlı kısa kollu gömlek,1190.0,209121355,Bershka,KADıN > Gömlek - bluz,Koyu gri,1190.0,0.0,TRY
Balon kollu rustik bluz,1090.0,209007215,Bershka,KADıN > Gömlek - bluz,Beyaz,1090.0,0.0,TRY
Balon kollu rustik bluz,1090.0,209167396,Bershka,KADıN > Gömlek - bluz,Pembe,1090.0,0.0,TRY
Dikişli dar kesim gömlek,1590.0,208543489,Bershka,KADıN > Gömlek - bluz,Açık mavi,1590.0,0.0,TRY
Dikişli dar kesim gömlek,1590.0,208543488,Bershka,KADıN > Gömlek - bluz,Sarı,1590.0,0.0,TRY
Uzun kollu kruvaze bluz,830.0,210535423,Bershka,KADıN > Gömlek - bluz,Açık mavi,1190.0,30.25,TRY
Uzun kollu kruvaze bluz,830.0,210198699,Bershka,KADıN > Gömlek - bluz,Kahverengi,1190.0,30.25,TRY
Fırfırlı rustik uzun kollu bluz,1190.0,206544499,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,0.0,TRY
Fırfırlı rustik uzun kollu bluz,1190.0,206544498,Bershka,KADıN > Gömlek - bluz,Kahverengi,1190.0,0.0,TRY
İspanyol kollu dar kesim gömlek,1190.0,209100360,Bershka,KADıN > Gömlek - bluz,Pembe,1190.0,0.0,TRY
İspanyol kollu dar kesim gömlek,1190.0,209100362,Bershka,KADıN > Gömlek - bluz,Deve tüyü rengi,1190.0,0.0,TRY
Dikişli dar kesim gömlek,1590.0,218801531,Bershka,KADıN > Gömlek - bluz,Sarı,1590.0,0.0,TRY
İspanyol kollu dar kesim gömlek,1490.0,209128260,Bershka,KADıN > Gömlek - bluz,Gri,1490.0,0.0,TRY
İspanyol kollu dar kesim gömlek,1490.0,216376310,Bershka,KADıN > Gömlek - bluz,Mavi,1490.0,0.0,TRY
İspanyol kollu dar kesim gömlek,1190.0,209100363,Bershka,KADıN > Gömlek - bluz,Denizci mavisi,1190.0,0.0,TRY
Kısa kollu fermuarlı gömlek,1190.0,223474832,Bershka,KADıN > Gömlek - bluz,Kırmızı,1190.0,0.0,TRY
Çan kollu vücuda oturan gömlek,1190.0,209100364,Bershka,KADıN > Gömlek - bluz,Siyah,1190.0,0.0,TRY
Kısa kollu bağcıklı gömlek,1190.0,220329725,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,0.0,TRY
Kısa kollu bağcıklı gömlek,1190.0,206370794,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,0.0,TRY
Çan kollu vücuda oturan gömlek,1190.0,209484865,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,0.0,TRY
Kısa kollu fermuarlı gömlek,1190.0,211746250,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,0.0,TRY
İspanyol kollu dar kesim gömlek,1490.0,209128257,Bershka,KADıN > Gömlek - bluz,Mavi,1490.0,0.0,TRY
Uzun kollu kruvaze düğmeli gömlek,1040.0,207318015,Bershka,KADıN > Gömlek - bluz,Yeşil,1490.0,30.2,TRY
Fiyonklu rustik bluz,760.0,212938550,Bershka,KADıN > Gömlek - bluz,Sarı,1090.0,30.28,TRY
Fiyonklu rustik bluz,760.0,212938551,Bershka,KADıN > Gömlek - bluz,Beyaz,1090.0,30.28,TRY
Uzun kollu kruvaze bluz,830.0,215851135,Bershka,KADıN > Gömlek - bluz,Beyaz,1190.0,30.25,TRY
Çan kollu vücuda oturan gömlek,1190.0,209441384,Bershka,KADıN > Gömlek - bluz,Siyah,1190.0,0.0,TRY
Fiyonklu rustik bluz,760.0,212938549,Bershka,KADıN > Gömlek - bluz,Koyu gri,1090.0,30.28,TRY
Aries X Bershka kısa kollu gömlek,2490.0,224378188,Bershka,KADıN > Gömlek - bluz,Koyu gri,2490.0,0.0,TRY
Şalvar pantolon fular detaylı,1790.0,224399828,Bershka,KADıN > Şalvar,Denizci mavisi,1790.0,0.0,TRY
Kareli şalvar pantolon,1790.0,224407342,Bershka,KADıN > Şalvar,Kirli beyaz,1790.0,0.0,TRY
Poplin bloomer pantolon,1790.0,207774797,Bershka,KADıN > Şalvar,Beyaz,1790.0,0.0,TRY
Poplin bloomer pantolon,1790.0,219137426,Bershka,KADıN > Şalvar,Kızıl kahverengi,1790.0,0.0,TRY
Rustik şalvar pantolon,1190.0,210667643,Bershka,KADıN > Şalvar,Siyah,1190.0,0.0,TRY
Poplin bloomer pantolon,1790.0,207774795,Bershka,KADıN > Şalvar,Siyah,1790.0,0.0,TRY
Kapri şalvar pantolon,1190.0,223753512,Bershka,KADıN > Şalvar,Siyah,1190.0,0.0,TRY
Kapri şalvar pantolon,1190.0,223753513,Bershka,KADıN > Şalvar,Gri,1190.0,0.0,TRY
Kemerli balloon fit pantolon,1490.0,226392026,Bershka,KADıN > Şalvar,Kahverengi,1490.0,0.0,TRY
Kemerli balloon fit pantolon,1490.0,226392027,Bershka,KADıN > Şalvar,Siyah,1490.0,0.0,TRY
Kemerli balloon fit pantolon,1490.0,226392028,Bershka,KADıN > Şalvar,Gri,1490.0,0.0,TRY
Rustik şalvar pantolon,1190.0,206640497,Bershka,KADıN > Şalvar,Kirli beyaz,1190.0,0.0,TRY
Rustik şalvar pantolon,1190.0,206640496,Bershka,KADıN > Şalvar,Haki,1190.0,0.0,TRY
Poplin bloomer pantolon,1790.0,216429940,Bershka,KADıN > Şalvar,Mavi,1790.0,0.0,TRY
Poplin bloomer pantolon,1790.0,224378124,Bershka,KADıN > Şalvar,Kızıl kahverengi,1790.0,0.0,TRY
Rustik şalvar pantolon,1190.0,206640498,Bershka,KADıN > Şalvar,Koyu gri,1190.0,0.0,TRY
Stoperli bloomer pantolon,2490.0,210221208,Bershka,KADıN > Şalvar,Haki,2490.0,0.0,TRY
Şalvar pantolon,2290.0,216138134,Bershka,KADıN > Şalvar,Kirli beyaz,2290.0,0.0,TRY
Dantelli şalvar pantolon,2290.0,215366289,Bershka,KADıN > Şalvar,Beyaz,2290.0,0.0,TRY
Şalvar paça lencero pantolon,2290.0,216138133,Bershka,KADıN > Şalvar,Siyah,2290.0,0.0,TRY
Poplin bloomer pantolon,1790.0,207774796,Bershka,KADıN > Şalvar,Haki,1790.0,0.0,TRY
Halter yaka pullu mini elbise,1790.0,215485370,Bershka,KADıN > Bayram koleksiyonu,Gümüş,1790.0,0.0,TRY
Pullu halter yaka mini elbise,1790.0,210009307,Bershka,KADıN > Bayram koleksiyonu,Pembe,1790.0,0.0,TRY
Pullu halter yaka top,1090.0,210009309,Bershka,KADıN > Bayram koleksiyonu,Pembe,1090.0,0.0,TRY
Payetli halter yaka top,1090.0,210009310,Bershka,KADıN > Bayram koleksiyonu,Gümüş,1090.0,0.0,TRY
Mini halter parlak elbise,1790.0,209975824,Bershka,KADıN > Bayram koleksiyonu,Gri,1790.0,0.0,TRY
Parıltılı halter top,1190.0,209975822,Bershka,KADıN > Bayram koleksiyonu,Gri,1190.0,0.0,TRY
Çapraz belli denim bermuda,1590.0,214221717,Bershka,KADıN > Bayram koleksiyonu,Mavi,1590.0,0.0,TRY
Parıltılı halter top,1190.0,209975823,Bershka,KADıN > Bayram koleksiyonu,Bronz,1190.0,0.0,TRY
Asimetrik mini elbise,1790.0,207855790,Bershka,KADıN > Bayram koleksiyonu,Kahverengi,1790.0,0.0,TRY
