product_name,price,product_id,brand,category,color,regular_price,discount_pct,currency
Düğmeli mini denim şort,350.0,232210793,Bershka,Bershka > Etek - Şort,Açık mavi,490.0,28.57,TRY
Kemer efektli şort,350.0,223474831,Bershka,Bershka > Etek - Şort,Yeşil,490.0,28.57,TRY
Denim balon mini etek,350.0,208274675,Bershka,Bershka > Etek - Şort,Denizci mavisi,490.0,28.57,TRY
Mini denim şort,350.0,230330291,Bershka,Bershka > Etek - Şort,Siyah,490.0,28.57,TRY
Çift bel detaylı mini etek,350.0,213178788,Bershka,Bershka > Etek - Şort,Kırmızı,490.0,28.57,TRY
Tokalı mini şort etek,350.0,213616331,Bershka,Bershka > Etek - Şort,Denizci mavisi,490.0,28.57,TRY
Distressed denim şort,350.0,209441806,Bershka,Bershka > Etek - Şort,Mavi,490.0,28.57,TRY
Kısa kollu bisiklet yaka tişört,170.0,209121287,Bershka,Bershka > Tişört,Pembe,240.0,29.17,TRY
Kısa kollu büzgülü baskılı tişört,170.0,215084417,Bershka,Bershka > Tişört,Sarı,290.0,41.38,TRY
Kısa kollu bisiklet yaka tişört,170.0,231041870,Bershka,Bershka > Tişört,Kırmızı,240.0,29.17,TRY
Kısa kollu bisiklet yaka tişört,170.0,229336803,Bershka,Bershka > Tişört,Lime,240.0,29.17,TRY
Kısa kollu baskılı tişört,170.0,222004144,Bershka,Bershka > Tişört,Denizci mavisi,290.0,41.38,TRY
Platform topuklu sandalet,990.0,204066796,Bershka,Bershka > Ayakkabı,Altın,1490.0,33.56,TRY
Zımbalı ve püsküllü kemer,490.0,212837915,Bershka,Bershka > Çanta - aksesuar,Kahverengi,590.0,16.95,TRY
Çiçekli kolye paketi,290.0,213222630,Bershka,Bershka > Çanta - aksesuar,Altın,350.0,17.14,TRY
Zara Larsson tote çanta,490.0,218094913,Bershka,Bershka > Çanta - aksesuar,Pembe,590.0,16.95,TRY
Puantiye desenli saç bandı paketi,290.0,216427605,Bershka,Bershka > Çanta - aksesuar,Kırmızı,350.0,17.14,TRY
Düğmeli saç bandı,290.0,211722910,Bershka,Bershka > Çanta - aksesuar,Krem,350.0,17.14,TRY
Fırfırlı saç bandanası,290.0,216052164,Bershka,Bershka > Çanta - aksesuar,Kızıl kahverengi,350.0,17.14,TRY
Dantel puanlı tül top,290.0,214729904,Bershka,Bershka > İç giyim,Beyaz,350.0,17.14,TRY
Puanlı tül külot,290.0,210545279,Bershka,Bershka > İç giyim,Beyaz,350.0,17.14,TRY
File detaylı ve dantelli Brezilya modeli külot,290.0,210545281,Bershka,Bershka > İç giyim,Turkuaz,350.0,17.14,TRY
Kapüşonlu su ve rüzgar geçirmez trençkot,590.0,209319475,Bershka,Bershka > Ceket - kaban,Haki,790.0,25.32,TRY
Denim ceket,590.0,222003532,Bershka,Bershka > Ceket - kaban,Açık mavi,790.0,25.32,TRY
Balon kollu rustik bluz,240.0,209007215,Bershka,Bershka > Gömlek,Beyaz,350.0,31.43,TRY
Balon kollu rustik bluz,240.0,209167396,Bershka,Bershka > Gömlek,Pembe,350.0,31.43,TRY
Oversize kapüşonlu fermuarlı sweatshirt,350.0,211348363,Bershka,Bershka > Triko - sweatshirt,Koyu gri,490.0,28.57,TRY
Zımba detaylı bel pantolon,350.0,213182874,Bershka,Bershka > Pantolonlar ve Jeanler,Siyah,490.0,28.57,TRY
Düşük bel zımbalı baggy fit jean,490.0,206098491,Bershka,Bershka > Pantolonlar ve Jeanler,Krem,590.0,16.95,TRY
Ultra kompakt düşük bel pantolon,350.0,206589739,Bershka,Bershka > Pantolonlar ve Jeanler,Siyah,490.0,28.57,TRY
Puantiye bootcut fit denim,490.0,214978186,Bershka,Bershka > Pantolonlar ve Jeanler,Kahverengi,590.0,16.95,TRY
Düşük bel bootcut jean,490.0,211378935,Bershka,Bershka > Pantolonlar ve Jeanler,Koyu gri,590.0,16.95,TRY
Düşük bel zımbalı baggy fit jean,490.0,213615876,Bershka,Bershka > Pantolonlar ve Jeanler,Denizci mavisi,590.0,16.95,TRY
