product_name,price
Oversize Fit Düğmeli Astarsız  Kadın Ecru Denim Ceket,1899.9
Regular Fit Düğmeli Astarsız  Kadın Mid İndigo Denim Ceket,2499.9
Regular Fit Fermuarlı Astarsız  Kadın Bleach İndigo Denim Ceket,2499.9
Regular Fit Gömlek Yaka Düğmeli Bej Kadın Ceket,1699.9
Regular Fit Düğmeli Astarsız  Kadın Mid İndigo Denim Ceket,1899.9
Oversize Fit Düğmeli Astarsız  Kadın Light İndigo Denim Ceket,1899.9
Slim Fit     Kadın Light İndigo Denim Yelek,1599.9
Slim Fit     Kadın Stripe Denim Yelek,1599.9
Regular Fit     Kadın Mid İndigo Denim Yelek,1499.9
Loose Fit   Kadın Stripe Denim Jean Pantolon,1799.9
Regular Fit   Kadın Grey Denim Jean Pantolon,1499.9
Regular Fit Düşük Bel Düz Paça Kadın Siyah  Pantolon,1099.9
Regular Fit Yüksel Bel Düz Paça Kadın Bej  Pantolon,1399.9
Regular Fit Yüksel Bel Düz Paça Kadın Kahverengi  Pantolon,1399.9
Regular Fit Yüksel Bel Geniş Paça Kadın Bej  Pantolon,1199.9
Regular Fit Yüksel Bel Geniş Paça Kadın Beyaz  Pantolon,1699.9
Regular Fit Yüksel Bel Geniş Paça Kadın Ekru  Pantolon,1199.9
Regular Fit Yüksel Bel Geniş Paça Kadın Ekru  Pantolon,1399.9
Regular Fit Yüksel Bel Geniş Paça Kadın İndigo  Pantolon,1199.9
Regular Fit Yüksel Bel Geniş Paça Kadın Lacivert  Pantolon,1199.9
Regular Fit Yüksel Bel Geniş Paça Kadın Siyah  Pantolon,1199.9
Regular Fit Yüksel Bel Geniş Paça Kadın Yeşil  Pantolon,1199.9
Regular Fit Yüksel Bel Geniş Paça Kadın Yeşil  Pantolon,1199.9
Regular Fit Yüksel Bel Geniş Paça Kadın Yeşil  Pantolon,1399.9
Regular Fit Yüksel Bel Geniş Paça Kadın Yeşil  Pantolon,1199.9
Skinny Fit   Kadın Dark İndigo Denim Jean Pantolon,1699.9
Slim Fit   Kadın Mid İndigo Denim Jean Pantolon,1699.9
Slim Fit Orta Bel Düz Paça Kadın Mid İndigo Denim Jean Pantolon,1699.9
Straıght Fıt Düşük Bel Geniş Paça Kadın Bej  Pantolon,1199.9
Straıght Fıt Düşük Bel Geniş Paça Kadın Mavi  Pantolon,1199.9
Straight Fit   Kadın Mid İndigo Denim Jean Pantolon,1799.9
Loose Fit   Kadın Light İndigo Denim Jean Pantolon,1799.9
Loose Fit   Kadın Mid İndigo Denim Jean Pantolon,1699.9
Regular Fit   Kadın Açik İndigo Jean Pantolon,1799.9
Regular Fit   Kadın Anthracite Denim Jean Pantolon,1499.9
Regular Fit   Kadın Light İndigo Denim Jean Pantolon,1499.9
Regular Fit   Kadın Light İndigo Denim Jean Pantolon,1499.9
Regular Fit   Kadın Light İndigo Denim Jean Pantolon,1699.9
Regular Fit   Kadın Mid İndigo Denim Jean Pantolon,1499.9
Regular Fit   Kadın Over Dyed Denim Jean Pantolon,1899.9
