pk,sku,base_code,name,brand,category,color,size,regular_price,sale_price,discount_pct,currency,stock
1323354,8684291613174,5WAL10712IK,Şardonlu Fermuarlı Arkası Baskılı Köpek Sweatshirt,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,LACİVERT,S,899.99,899.99,0.0,TRY,21
1307771,8684291675486,5WAL90122HT,Leopar Desenli Dik Yaka Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,EKRU DESENLİ,M,799.99,799.99,0.0,TRY,32
1323217,8684291613433,5WAL10716IK,Bisiklet Yaka Fermuarlı Şardonlu Köpek Sweatshirtü,Koton,OLE > OLE > TEENAGE > JERSEY > SWEATSHIRTS,SİYAH,M,899.99,899.99,0.0,TRY,1
1324773,8684291676032,5WAL90126HT,Bisiklet Yaka Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,LACİVERT DESENLİ,S,799.99,799.99,0.0,TRY,1
1315573,8684291675400,5WAL90121HT,Biyeli Dik Yaka Örgü Dokulu Köpek Kazağı,Koton,OLE > OLE > TEENAGE > KNITWEAR > SWEATERS,LACİVERT,S,799.99,799.99,0.0,TRY,4
1475235,8684847415573,6SMG40010AD,Pamuklu Cep Detaylı Fiyonklu Geniş Paça Denim Pantolon - Wide Leg Jeans,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > DENIM > TROUSERS,LIGHT INDIGO,3/4 Yaş,1099.99,1099.99,0.0,TRY,1
1473388,8684846570402,6SMG10005AK,Pamuklu Uzun Kollu Bisiklet Yaka Fiyonk Baskılı Sweatshirt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SWEATSHIRTS,EKRU,4/5 Yaş,399.99,399.99,0.0,TRY,0
1476972,8684846267012,6SMB10049TK,Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU,12/18 Ay,359.99,359.99,0.0,TRY,0
1476981,8684846266923,6SMB10047TK,Dinozor Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Oversize Tişört,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > TSHIRT SS,EKRU,3/4 Yaş,359.99,359.99,0.0,TRY,0
1469302,8684847291450,6SMG10040AK,Uzun Kollu Bisiklet Yaka Pamuklu Çiçekli Sweatshirt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SWEATSHIRTS,PEMBE DESENLİ,12/18 Ay,459.99,459.99,0.0,TRY,0
1471336,8684847787366,6SMG30022AK,Brodeli Beli Lastikli Fırfırlı Askılı Atlet,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > TANKTOPS,PEMBE,18/24 Ay,499.99,499.99,0.0,TRY,0
1475362,8684847595589,6SMB40039TK,Beli Bağcıklı Cep Detaylı Pamuklu Jogger Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,YEŞİL,3/4 Yaş,699.99,699.99,0.0,TRY,0
1475456,8684847595015,6SMB10098TK,Pamuklu Uzun Kollu Yarım Fermuarlı Dik Yaka Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,YEŞİL,12/18 Ay,599.99,599.99,0.0,TRY,5
1473477,8684847594988,6SMB10098TK,Pamuklu Uzun Kollu Yarım Fermuarlı Dik Yaka Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,KAHVERENGİ,3/4 Yaş,599.99,599.99,0.0,TRY,5
1476531,8684847595497,6SMB40039TK,Beli Bağcıklı Cep Detaylı Pamuklu Jogger Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,KAHVERENGİ,12/18 Ay,699.99,699.99,0.0,TRY,1
1479328,8684847973189,6SMG10083AK,Fırfır Detaylı Nakışlı Pamuklu 2'li Tayt ve Tişört Seti,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > SETS,PEMBE,3/4 Yaş,799.99,799.99,0.0,TRY,181
1472225,8684846265650,6SMB10014TK,Pamuklu Uzun Kollu Bisiklet Yaka Oversize Sweatshirt,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEATSHIRTS,EKRU,4/5 Yaş,599.99,599.99,0.0,TRY,1
1472246,8684847647103,6SMB40043TK,Pamuklu Şerit Detaylı Beli Bağcıklı Jogger Eşofman Altı,Koton,KIDSWEAR > BABYBOY > BABYBOY > JERSEY > SWEAT BOTTOMS,EKRU,24/36 Ay,499.99,499.99,0.0,TRY,0
1471346,8684846146218,6SMG40007AK,Pamuklu Cepli Yırtmaç Detaylı İspanyol Paça Tayt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,SİYAH,9/12 Ay,359.99,359.99,0.0,TRY,41
1469529,8684846145938,6SMG40003AK,Viskon Karışımlı Beli Lastikli Fiyonk Detaylı İspanyol Paça Tayt,Koton,KIDSWEAR > BABYGIRL > BABYGIRL > JERSEY > LEGGINGS,SİYAH,12/18 Ay,499.99,499.99,0.0,TRY,1
