product_name,price
Lacivert Kemerli Cep Detaylı Rayon Elbise,5999.95
Lacivert Pile Detaylı Kolsuz Elbise,4999.95
Lacivert Gömlek Elbise,5999.95
Lacivert Mini Denim Elbise,4999.95
Lacivert Askılı Elbise,4999.95
Lacivert Önden Bağlama Detaylı Elbise,6999.95
Lacivert Eteği Pile Detaylı Elbise,3999.95
Lacivert Kısa Kollu Mini Elbise,4499.95
Pembe Bağlama Detaylı Gömlek Elbise,6999.95
Kahverengi Degaje Yaka Sırt Detaylı Elbise,3999.95
Lacivert Askılı Denim Elbise ,3499.95
Pembe Büzgülü Keten Elbise,4999.95
Kemik Büzgü Detaylı Çizgili Midi Boy Elbise,3999.95
Beyaz Önden Bağlamalı Kısa Kollu Ebise,5999.95
Mavi Kısa Kollu Çizgili Volan Detaylı Gömlek Elbise,2999.95
Lacivert Kısa Kollu Anvelop Poplin Elbise,4499.95
Beyaz Toka Detaylı Elbise,4999.95
Kahverengi Askılı Trıko Elbise,4999.95
Vanilya Volanlı Yırtmaç Detaylı Uzun Elbise,5999.95
Kahverengi Jakar Elbise,5999.95
Kemik Yandan Bağlamalı Desenli Elbise,5999.95
Kahverengi Büzgülü Mini Elbise,3999.95
Kemik Kolsuz Midi Boy Elbise,5999.95
Kahverengi Kısa Kollu Bağlamalı Elbise,4999.95
Lacivert Dikiş Detaylı Denim Elbise,3999.95
Lila Askılı Trıko Elbise,3999.95
Mor Volanlı Mini Elbise,4999.95
Lila Kolsuz Cep Detaylı Kısa Elbise,4999.95
Pembe Kolsuz Elbise,3999.95
Mavi Erkek Yaka Kolsuz Desenli Elbise,4999.95
Pembe Volanlı Yırtmaç Detaylı Uzun Elbise,8999.95
Mürdüm Kolsuz Midi Süet Elbise,3999.95
Sarı Desenli Şifon Midi Elbise,5999.95
Bej Kolsuz Kuşaklı Elbise,5999.95
Bej V Yaka Kloş Elbise,4499.95
Leopar Leopar Desenli Fermuarlı Elbise,4999.95
Kahverengi Kısa Büzgülü Elbise,4499.95
Vanilya Pile Detaylı Düğmeli Elbise,4499.95
Kahverengi Yakası İşlemeli Triko Elbise,4999.95
Siyah Dikiş Detaylı Denim Elbise,5999.95
Kahverengi V Yaka Kloş Elbise,4499.95
Kahverengi Önü Düğmeli Tüvit Elbise,5999.95
