Product Name,Price,Category
Turuncu Balon Kol Desenli Elbise,3999.95,elbise
Yeşil Önü Düğmeli Gömlek Elbise,1499.95,elbise
Kemik Nakış Detaylı Volanlı Elbise,3999.95,elbise
Mavi Kısa Kollu Çizgili Volanlı Gömlek Elbise,1499.95,elbise
Yeşil Ajurlu Triko Elbise,3999.95,elbise
Yeşil Kolsuz Volanlı Elbise,1999.95,elbise
Yeşil  U-Yaka Kolsuz Gabardin Elbise,1999.95,elbise
Kemik Pileli Denim Elbise,2499.95,elbise
Lacivert Kısa Kollu Anvelop Poplin Elbise,2999.95,elbise
Siyah Volanlı Mini Elbise,2999.95,elbise
Kemik V Yaka Volanlı Elbise,2999.95,elbise
Yeşil Fırfır Detaylı Çizgili Gömlek Elbise,2999.95,elbise
Kahverengi Dantel detaylı elbise,1499.95,elbise
Bej Çizgili Keten Gömlek Elbise,3999.95,elbise
Kemik Önü Düğmeli Gömlek Yaka Elbise,2999.95,elbise
Sarı Nakış Detaylı Volanlı Elbise ,2999.95,elbise
Kahverengi Çizgi Desenli Askılı Elbise,4999.95,elbise
Turuncu Keten Kolsuz Elbise,3999.95,elbise
Yeşil Desenli Bağlamalı Detaylı Elbise,1999.95,elbise
Haki Kuşaklı Kalın Elbise,2999.95,elbise
Vanilya V Yaka Keten Elbise,2999.95,elbise
Siyah Pileli Denim Elbise,2499.95,elbise
Beyaz Güpürlü Fırfır Detaylı Elbise,2999.95,elbise
Siyah Kemerli Cep Detaylı Rayon Elbise,3999.95,elbise
Siyah Desenli Kolsuz Keten Elbise,4999.95,elbise
Siyah Kruvaze Elbise,3999.95,elbise
Kemik Güpürlü Gömlek Elbise,2999.95,elbise
Kahverengi Yandan Bağlamalı Elbise,3999.95,elbise
Lacivert Kısa Kollu Mini Elbise,1999.95,elbise
Lacivert Kemerli Cep Detaylı Rayon Elbise,3999.95,elbise
Kemik Kolsuz Midi Boy Elbise,3999.95,elbise
Kahverengi Bağlama Detaylı Midi Elbise,2999.95,elbise
Bej V Yaka Viskon Elbise,2999.95,elbise
Haki Volanlı Kısa Elbise,1999.95,elbise
Pembe Bağlama Detaylı Gömlek Elbise,3999.95,elbise
Siyah Arkası Lastikli Büzgülü Elbise,2999.95,elbise
Mor Keten Kolsuz Elbise,2999.95,elbise
Lacivert Askılı Elbise,2999.95,elbise
Kahverengi Keten Kolsuz Elbise,3999.95,elbise
Bej V Yaka Kloş Elbise,2999.95,elbise
Yeşil Düğme Detaylı Pileli Keten Elbise,3999.95,elbise
Lacivert Kuşaklı Kalın Elbise,2999.95,elbise
Kemik Serit dantel detaylı file elbise,1999.95,elbise
Kahverengi Kısa Kol Dantel Beachwear Elbise,1999.95,elbise
Siyah Bağlama detaylı elbise,1499.95,elbise
Bej Çiçek Desenli Mini Keten Elbise,2999.95,elbise
Yeşil V Yaka Viskon Elbise,2999.95,elbise
Lacivert Degaje Yaka Sırt Detaylı Elbise,999.95,elbise
Vanilya Kolsuz Yırtmaç Detaylı Asimetrik Elbise,1999.95,elbise
Lacivert Pile Detaylı Kolsuz Elbise,1999.95,elbise
Vanilya Erkek Yaka Mini Elbise,2999.95,elbise
Lacivert Gömlek Elbise,1999.95,elbise
Lacivert Cepli Denim Elbise,2999.95,elbise
Lacivert Önden Bağlama Detaylı Elbise,3999.95,elbise
Mavi Askılı Keten Uzun Elbise,2999.95,elbise
Kemik Büzgü Detaylı Çizgili Midi Boy Elbise,1499.95,elbise
Lacivert Askılı Denim Elbise ,1999.95,elbise
Lacivert Önü Düğmeli Gömlek Elbise,1499.95,elbise
Kahverengi Degaje Yaka Sırt Detaylı Elbise,999.95,elbise
Siyah Belden Büzgülü Yelekli İpli Elbise,4999.95,elbise
Lacivert V Yaka Yırtmaç Detaylı Elbise,3999.95,elbise
Kemik Güpürlü Volanlı Midi Elbise,2999.95,elbise
Bej V Yaka Kısa Kol Elbise,1999.95,elbise
Siyah Volanlı Denim Elbise,2999.95,elbise
Vizon Omuzları Açık Gömlek Elbise,2999.95,elbise
Kahverengi Omuzu Açık Midi Elbise,4999.95,elbise
Kahverengi Yakalı dantel detaylı elbise,1499.95,elbise
Beyaz Önden Düğmeli Kısa Kollu Elbise,1999.95,elbise
Kahverengi V Yaka Mini Elbise ,1999.95,elbise
Bej Omuzları Açık Evaze Elbise,3499.95,elbise
Bordo Belden Büzgülü Yelekli İpli Elbise,4999.95,elbise
Beyaz Nakış Detaylı Elbise,3999.95,elbise
Vanilya Yakalı dantel detaylı elbise,1499.95,elbise
Siyah Dantel v yaka elbise,1799.95,elbise
Siyah Dantel detaylı elbise ,1499.95,elbise
Haki  File Detaylı Elbise,1299.95,elbise
Gri Önde Büzgü Detaylı Elbise,2499.95,elbise
Yeşil Askılı Keten Uzun Elbise,2999.95,elbise
Lacivert Serit dantel detaylı file elbise,1999.95,elbise
Siyah Ajurlu Triko Elbise,3999.95,elbise
Sarı Desenli Şifon Midi Elbise,2999.95,elbise
Lacivert Dikiş Detaylı Denim Elbise,1999.95,elbise
Sarı Beli Bağlamalı Elbise,2499.95,elbise
Mavi Erkek Yaka Kolsuz Desenli Elbise,1999.95,elbise
Kemik Kolsuz Midi Elbise,1999.95,elbise
Kahverengi Jakar Elbise,1999.95,elbise
Vanilya Önden Düğmeli Cepli Elbise,1999.95,elbise
Sarı Yakası Taş Detaylı Kısa Kollu Elbise,1499.95,elbise
Kahverengi Kısa Kollu Bağlamalı Elbise,2999.95,elbise
Lacivert Dikiş Detaylı Midi Elbise,2499.95,elbise
Kemik Yakası Taş Detaylı Kolsuz Elbise,999.95,elbise
Leopar Leopar Desenli Fermuarlı Elbise,2499.95,elbise
Kemik Dikiş Detaylı Denim Elbise,2999.95,elbise
Kahverengi Yakası İşlemeli Triko Elbise,2499.95,elbise
Pembe Volanlı Yırtmaç Detaylı Uzun Elbise,5999.95,elbise
Pembe Askılı Jakarlı Elbise,1999.95,elbise
Pembe Bağlama Detaylı Elbise,1499.95,elbise
Siyah Cep Detaylı Kısa Kollu Elbise,2999.95,elbise
Siyah Kısa Kollu Bağlamalı Elbise,2999.95,elbise
Pembe Kolsuz Elbise,1999.95,elbise
Siyah Büzgü detaylı elbise,2799.95,elbise
Vanilya Kolsuz Kare Yaka Gabardin Elbise,1499.95,elbise
Lila Kolsuz Cep Detaylı Kısa Elbise,2499.95,elbise
Mor Volanlı Mini Elbise,1499.95,elbise
