kategori,urun_id,barcode,urun_ismi,fiyat
yeni-urunler,ADX-0003666010,6000002194619,BELİ LASTİKLİ MODAL PANTOLON PN18996,"799,50 TL"
yeni-urunler,ADX-00036640Z78,6000002193100,KISA KOLLU FERMUARLI HIRKA H4004,"579,50 TL"
yeni-urunler,ADX-00036566Z78,6000002188281,KAYIK YAKA YANI BÜZGÜLÜ T-SHİRT P0653,"249,50 TL"
yeni-urunler,ADX-00036232C30,6000002167385,KAYIK YAKA TRİKO T4455,"749,50 TL"
yeni-urunler,ADX-00035652C30,6000002202307,V YAKA BAĞLAMALI BLUZ B18376,"499,50 TL"
yeni-urunler,ADX-00035553C30,6000002192806,BAĞLAMA DETAYLI GÖMLEK G2480,"799,50 TL"
yeni-urunler,ADX-00037017B02,6000002218346,CEPLİ WİDE LEG EŞOFMAN EŞF10689,"579,50 TL"
yeni-urunler,ADX-00037017D33,6000002218377,CEPLİ WİDE LEG EŞOFMAN EŞF10689,"579,50 TL"
yeni-urunler,ADX-0003667209,6000002195326,MODAL WİDE LEG PANTOLON PN12415,"679,50 TL"
yeni-urunler,ADX-00037059B02,6000002221230,BELİ LASTİKLİ PANTOLON PN18178,"899,50 TL"
yeni-urunler,ADX-0003705939,6000002221193,BELİ LASTİKLİ PANTOLON PN18178,"899,50 TL"
yeni-urunler,ADX-00036980K36,6000002216199,ÇİZGİLİ T-SHİRT P19148,"449,50 TL"
yeni-urunler,P-000003686311,6000002208699,İNCE ASKILI ATLET A4260,"229,50 TL"
yeni-urunler,ADX-00036640Z55,6000002193070,KISA KOLLU FERMUARLI HIRKA H4004,"579,50 TL"
yeni-urunler,ADX-0003623211,6000002222060,KAYIK YAKA TRİKO T4455,"749,50 TL"
yeni-urunler,ADX-0003693502,6000002213273,KALIN ASKILI BODYSUİT Z1063,"259,50 TL"
yeni-urunler,ADX-00037041B02,6000002220622,FİSTOLU UZUN KOLLU GÖMLEK G2245,"849,50 TL"
yeni-urunler,ADX-0003623209,6000002222053,KAYIK YAKA TRİKO T4455,"749,50 TL"
yeni-urunler,ADX-00037030H22,6000002219268,LİMON BASKILI PİJAMA TAKIMI PJM16,"599,50 TL"
yeni-urunler,ADX-00037046H22,6000002220745,CEPLİ ÇİZGİLİ GÖMLEK G2163,"599,50 TL"
yeni-urunler,P-000003685913,6000002208118,ÇİFT FERMUARLI BLUZ A4535,"319,50 TL"
yeni-urunler,ADX-00037034K78,6000002219350,YAKASI DANTELLİ BLUZ B18168,"549,50 TL"
yeni-urunler,ADX-0003667213,6000002195357,MODAL WİDE LEG PANTOLON PN12415,"679,50 TL"
yeni-urunler,ADX-00036636K78,6000002212030,TAŞLI DENİM MİNİ ETEK E1006,"849,50 TL"
yeni-urunler,ADX-00035631Z52,6000002121684,KAYIK YAKA BASKILI T-SHİRT P1812,"329,50 TL"
yeni-urunler,ADX-00034635K78,6000002179067,U YAKA BASİC ATLET A0336-U11,"249,50 TL"
yeni-urunler,ADX-0003656403,6000002187963,HALTER YAKA BODYSUİT Z0706,"329,50 TL"
yeni-urunler,ADX-0003656903,6000002222831,SİMLİ WİDE LEG EŞOFMAN EŞF12840,"399,50 TL"
yeni-urunler,ADX-0003665803,6000002194527,TOKA DETAYLI YIRTMAÇLI MODAL ELBİSE E17501,"1.199,50 TL"
yeni-urunler,ADX-0003615503,6000002162335,BOYUNDAN GEÇMELİ DANTELLİ BLUZ A18695,"399,50 TL"
yeni-urunler,ADX-0003673603,6000002198716,YANDAN BAĞLAMALI UZUN KOLLU BLUZ B1892,"399,50 TL"
yeni-urunler,P-000003686103,6000002208361,YANI BÜZGÜLÜ BLUZ A4537,"229,50 TL"
yeni-urunler,ADX-0003679103,6000002202789,BİSİKLET YAKA BASİC T-SHİRT P1904,"329,50 TL"
yeni-urunler,ADX-0003695303,6000002214379,PAÇASI LASTİKLİ EŞOFMAN EŞF12516,"599,50 TL"
yeni-urunler,ADX-0003701703,6000002218285,CEPLİ WİDE LEG EŞOFMAN EŞF10689,"579,50 TL"
yeni-urunler,P-000003685903,6000002208064,ÇİFT FERMUARLI BLUZ A4535,"319,50 TL"
yeni-urunler,ADX-0003698503,6000002216373,TAŞLI MİNİ ETEK E18156,"899,50 TL"
yeni-urunler,ADX-0003703403,6000002219329,YAKASI DANTELLİ BLUZ B18168,"549,50 TL"
yeni-urunler,ADX-0003702303,6000002218841,CEP DETAYLI ŞORT ETEK E1436,"749,50 TL"
yeni-urunler,ADX-0003672303,6000002198273,ASİMETRİK KESİM DANTEL BLUZ B18031,"499,50 TL"
yeni-urunler,ADX-0003695328,6000002214409,PAÇASI LASTİKLİ EŞOFMAN EŞF12516,"599,50 TL"
yeni-urunler,ADX-0003701728,6000002218315,CEPLİ WİDE LEG EŞOFMAN EŞF10689,"579,50 TL"
yeni-urunler,ADX-0003667228,6000002195418,MODAL WİDE LEG PANTOLON PN12415,"679,50 TL"
yeni-urunler,ADX-0003482928,6000002218407,STRAPLEZ DESENLİ BLUZ B17240-F3,"329,50 TL"
yeni-urunler,ADX-0003599328,6000002150677,ÇİZGİLİ KİRAZLI T-SHİRT P10542,"399,50 TL"
yeni-urunler,P-000003686128,6000002208453,YANI BÜZGÜLÜ BLUZ A4537,"229,50 TL"
yeni-urunler,ADX-00036921447,6000002212238,KATLI ŞORTLU MİNİ ETEK E18125,"599,50 TL"
yeni-urunler,ADX-0003689132,6000002210159,FERMUARLI EL VE OMUZ ÇANTASI Ç1067,"399,50 TL"
yeni-urunler,ADX-00036736Z16,6000002198808,YANDAN BAĞLAMALI UZUN KOLLU BLUZ B1892,"399,50 TL"
yeni-urunler,ADX-00036572B02,6000002188939,YÜKSEK BEL PANTOLON PN8412,"849,50 TL"
yeni-urunler,ADX-0003563902,6000002121981,BONCUK İŞLEMELİ CROP T-SHİRT P1840,"349,50 TL"
yeni-urunler,ADX-00034954B02,6000002225610,DİK YAKA FERMUARLI HIRKA H13917,"499,50 TL"
yeni-urunler,ADX-0003704602,6000002220653,CEPLİ ÇİZGİLİ GÖMLEK G2163,"599,50 TL"
yeni-urunler,ADX-00037040B02,6000002219770,ÇİÇEK DETAYLI UZUN ETEK E5077,"1.099,50 TL"
yeni-urunler,ADX-00036616B02,6000002191274,ÇİÇEK BASKILI T-SHİRT P9015,"329,50 TL"
yeni-urunler,ADX-00036695B02,6000002197061,BASKILI T-SHİRT P10614,"349,50 TL"
yeni-urunler,ADX-00036623B02,6000002191878,BELİ LASTİKLİ PANTOLON PN9023,"399,50 TL"
