title,price
S.METRO SİYAH PARLAK 1. 10x20,650.0
S.METRO BEYAZ PARLAK 1. 10x20,590.0
S.ENDÜLÜS GRİ Yer 1. 20*20,795.0
S.FANTASIA WHITE 1. 30x60,490.0
"S.BRICK COTTO DİJİTAL (1,22) 30x60",525.0
"S.BRICK ANTRASİT DİJİTAL 1. (1,22) 30x60",525.0
S.MARBLEWAY GRAY 1. 30x60,490.0
S.KUBİK BEJ-KAHVE 1. 30x60,375.0
S.MOSAICO LİLA  1. 30x60,350.0
"S.ORİON BEYAZ (52,92) 1. 30x90R",325.0
S.CARRERA WHITE MOTİF GLOSSY 1. 60x60,295.0
S.ORIGIN GOLDEN BORDÜR 1. 5x60,69.9
S.ONIX BEJ (FULL LAPPATO) NanoTech 1. 30x60,450.0
S.GARDEN BLACK PORC. 1. 50x50,299.9
S.GARDEN BEJ PORC. 1. 50x50,299.9
S.GRİT DJ PORCELEN 1. 50x50,425.0
S.LİNEN BEJ PORCELEN 1. 50x50,275.0
FULL WHITE FULL LAPP. PAR. 1. 60x60,499.0
S.ORİON BEYAZ PORC. YER 1. 60x60,395.0
S.ORİON SİYAH PORC. YER 1. 60x60,425.0
S.DECK BEIGE PORC.1. 15x90,475.0
40x120D VİTRA MARBLE-X B.CAPRAI WHITE GLS 8R 1.,540.0
40x120D VİTRA MARMORI ST.LAURENT SYH PRL 8R1.,474.0
40x120D VİTRA VICTORIAN MARBLE BLACK GLS 7R 2k.,330.0
S.AROC NOCE YER  1. 33x66,325.0
S.AROC GRİ YER  1. 33x66,325.0
SERANİT NERO MARMO SİYAH PARLAK 1. 60x60,450.0
SERANİT MARBLE-BEYAZ PARLAK 1. 60x60,499.9
S.TEAK MAPLE PORC. 1.  50x50,325.0
S.MİNERAL COLORMİX 1.  60x60,575.0
S.MİNERAL GRİ 1.  60x60,575.0
S.ROMA SAND GREY SMOOTH ANTİSLİP 1. 60x60,499.9
S.EROS SİYAH DJ. 1.  30x60,345.0
15x15 VİTRA RETROMIX SOĞUK DAİRE POZ. S PTV+36,795.0
15x15 VİTRA RETROMIX S&B DAIRE POZ L PVT+36 nR,995.0
15x15 VİTRA RETROMIX SICAK DAİRE POZ. S PTV+36,795.0
15x15 VİTRA RETROMIX SOĞUK KUP S PTV+36 MATnR,795.0
15x15 VİTRA RETROMIX SICAK KUP M PTV+36 MATnR,995.0
15x15 VİTRA RETROMİX SICAK CIZGI S PTV+36nR U,795.0
15x15 VİTRA UNIT ONE WHITE GLS nR UKP,249.9
GS-N 8745R TERRAZZO MACRO BEYAZ REK. 1. 59x59,525.0
GS-N 8747R TERRAZZO Macro Koyu Gri Rek. 1. 59x59,525.0
"5x20 VİTRA RAL 0008000 TUĞLA MAT Nr 1. (A.Gri) 1. pkt (0,96)",895.0
"5x20 VİTRA RAL 0008000 BRICK GLS (Tuğla Parlak A.Gri) . pkt (0,96)",995.0
"8x9 VİTRA UNI HEXAGON CMNT GRY R10B nR 1. pkt (0,57)",799.9
"8x9 VİTRA 3x3 HEX DARK GREY MATT (Hexagon Ral 5500) 1. pkt (0,57",995.0
"2,5x2,5 VİTRA HEXAGON RAL5500 MAT / HEX DARK GREY MATT 1.  pkt (1)",1250.0
"5x20 VİTRA RAL 0005500 HBONE GLS (Balıksırtı Parlak) NN 1. pkt (0,88)",995.0
"5x20 VİTRA RAL 0958010 BRİCK GLS (Tuğla Parlak) nR 1. pkt  (0,96)",995.0
"5x20 VİTRA RAL 0958010 HERRINGBONE MATT (Balıksırtı Mat) nR 1. pkt (0,88)",1074.0
S.METRO SİYAH PARLAK 1. 10x20,650.0
S.METRO BEYAZ PARLAK 1. 10x20,590.0
S.ENDÜLÜS GRİ Yer 1. 20*20,795.0
S.FANTASIA WHITE 1. 30x60,490.0
"S.BRICK COTTO DİJİTAL (1,22) 30x60",525.0
"S.BRICK ANTRASİT DİJİTAL 1. (1,22) 30x60",525.0
S.MARBLEWAY GRAY 1. 30x60,490.0
S.KUBİK BEJ-KAHVE 1. 30x60,375.0
S.MOSAICO LİLA  1. 30x60,350.0
"S.ORİON BEYAZ (52,92) 1. 30x90R",325.0
S.CARRERA WHITE MOTİF GLOSSY 1. 60x60,295.0
S.ORIGIN GOLDEN BORDÜR 1. 5x60,69.9
S.ONIX BEJ (FULL LAPPATO) NanoTech 1. 30x60,450.0
S.GARDEN BLACK PORC. 1. 50x50,299.9
S.GARDEN BEJ PORC. 1. 50x50,299.9
S.GRİT DJ PORCELEN 1. 50x50,425.0
S.LİNEN BEJ PORCELEN 1. 50x50,275.0
FULL WHITE FULL LAPP. PAR. 1. 60x60,499.0
S.ORİON BEYAZ PORC. YER 1. 60x60,395.0
S.ORİON SİYAH PORC. YER 1. 60x60,425.0
S.DECK BEIGE PORC.1. 15x90,475.0
40x120D VİTRA MARBLE-X B.CAPRAI WHITE GLS 8R 1.,540.0
40x120D VİTRA MARMORI ST.LAURENT SYH PRL 8R1.,474.0
40x120D VİTRA VICTORIAN MARBLE BLACK GLS 7R 2k.,330.0
S.AROC NOCE YER  1. 33x66,325.0
S.AROC GRİ YER  1. 33x66,325.0
SERANİT NERO MARMO SİYAH PARLAK 1. 60x60,450.0
SERANİT MARBLE-BEYAZ PARLAK 1. 60x60,499.9
S.TEAK MAPLE PORC. 1.  50x50,325.0
S.MİNERAL COLORMİX 1.  60x60,575.0
S.MİNERAL GRİ 1.  60x60,575.0
S.ROMA SAND GREY SMOOTH ANTİSLİP 1. 60x60,499.9
S.EROS SİYAH DJ. 1.  30x60,345.0
15x15 VİTRA RETROMIX SOĞUK DAİRE POZ. S PTV+36,795.0
15x15 VİTRA RETROMIX S&B DAIRE POZ L PVT+36 nR,995.0
15x15 VİTRA RETROMIX SICAK DAİRE POZ. S PTV+36,795.0
15x15 VİTRA RETROMIX SOĞUK KUP S PTV+36 MATnR,795.0
15x15 VİTRA RETROMIX SICAK KUP M PTV+36 MATnR,995.0
15x15 VİTRA RETROMİX SICAK CIZGI S PTV+36nR U,795.0
15x15 VİTRA UNIT ONE WHITE GLS nR UKP,249.9
GS-N 8745R TERRAZZO MACRO BEYAZ REK. 1. 59x59,525.0
GS-N 8747R TERRAZZO Macro Koyu Gri Rek. 1. 59x59,525.0
"5x20 VİTRA RAL 0008000 TUĞLA MAT Nr 1. (A.Gri) 1. pkt (0,96)",895.0
"5x20 VİTRA RAL 0008000 BRICK GLS (Tuğla Parlak A.Gri) . pkt (0,96)",995.0
"8x9 VİTRA UNI HEXAGON CMNT GRY R10B nR 1. pkt (0,57)",799.9
"8x9 VİTRA 3x3 HEX DARK GREY MATT (Hexagon Ral 5500) 1. pkt (0,57",995.0
"2,5x2,5 VİTRA HEXAGON RAL5500 MAT / HEX DARK GREY MATT 1.  pkt (1)",1250.0
"5x20 VİTRA RAL 0005500 HBONE GLS (Balıksırtı Parlak) NN 1. pkt (0,88)",995.0
"5x20 VİTRA RAL 0958010 BRİCK GLS (Tuğla Parlak) nR 1. pkt  (0,96)",995.0
"5x20 VİTRA RAL 0958010 HERRINGBONE MATT (Balıksırtı Mat) nR 1. pkt (0,88)",1074.0
YAP. HARCI Ar 300 Multimortel HIZLI YAP. GRİ 25 kg,1200.0
YAP.HARCI Tecnoflex BEYAZ 1054 25 kg,895.0
YAP.HARCI Tecnoflex GRİ 1054 25 kg,795.0
