id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status
12718,12718,BEYBİ PN7 NİTRİL KAPLAMA ÖRME ELDİVEN NO:10,Beybi,Nitril Eldivenler,42.0,42.0,0.0,PIECE,IN_SALE
15788,15788,Bosch Procore18V 8.0 ah Akü,Bosch Aksesuar ve El Aletleri,Akülü El Aletleri,7350.0,5589.0,23.96,PIECE,IN_SALE
12770,12770,BOSCH GBA 18V 2AH AKÜ,Bosch,Akü ve Şarj Cihazları,2835.0,2835.0,0.0,PIECE,IN_SALE
15177,15177,Polisan X1 Art Multisurface Vişne 500 ml,Polisan,Hobi Boyaları,199.5,180.0,9.77,PIECE,IN_SALE
15171,15171,Polisan X1 Art Multisurface Fuşya 500 ml,Polisan,Hobi Boyaları,199.5,180.0,9.77,PIECE,IN_SALE
14844,14844,Polisan Exelans Turbo Yarı Mat Beyaz 15 lt,Polisan,Polisan,4410.0,4410.0,0.0,PIECE,IN_SALE
14119,14119,Bianca Stella Effect Bakır 200 ml,Bianca,Sprey Boyalar,346.5,250.0,27.85,PIECE,IN_SALE
14116,14116,"Bianca Stella Sedef 0,25 kg",Bianca,Hobi Boyaları,616.35,450.0,26.99,PIECE,IN_SALE
12879,12879,"Dyo Dinamik 3310 Luna Otu 7,5 lt",Dyo,Silikonlu Boyalar,2021.25,1653.75,18.18,PIECE,IN_SALE
12476,12476,Polisan Perla Endüstriyel Astar Gri 15 kg,Polisan,Endüstriyel Astarlar,3150.0,3150.0,0.0,PIECE,IN_SALE
11511,11511,"Dyo Dinamik 0202 Ilık Maya 2,5 Lt",Dyo,Silikonlu Boyalar,808.5,661.5,18.18,PIECE,IN_SALE
11232,11232,"DYO TEKNOTEX 2410 SARI TOPAZ BEYAZ 2,5 LT",Dyo,Dyo,1039.5,850.5,18.18,PIECE,IN_SALE
3466,3466,Weber Prim BT-Max Brüt Beton Astarı Max 12 kg,Weber,İç/Dış Cephe Astarları,808.5,629.0,22.2,PIECE,IN_SALE
2220,2220,"DYO DİNAMİK 4547 ŞARABİ 2,5 LT",Dyo,Silikonlu Boyalar,808.5,661.5,18.18,PIECE,IN_SALE
2030,2030,"DYO TEKNOTEX 3118  ANTEP FISTIĞI 2,5 LT",Dyo,Dyo,1039.5,850.5,18.18,PIECE,IN_SALE
1935,1935,"DYO 4054 ANTİPAS KIRMIZI 0,75 LT",Dyo,Sentetik Astarlar,265.65,217.35,18.18,PIECE,IN_SALE
8693513006625,8693513006625,"Dyo Dyosen 6192 Havai Mavi 0,75 lt",Dyo,Boya ve Astarlar,378.0,307.12,18.75,PIECE,IN_SALE
15084,15084,Catpower 1209 Sunta Kesme 210mm 1450w,Catpower,Daire Testereler,5544.0,4000.0,27.85,PIECE,IN_SALE
11634,11634,"Bosch UniversalChain 18 (2,5Ah, TekAkü)",Bosch,Testereler,9240.0,9240.0,0.0,PIECE,IN_SALE
13173,13173,Catpower 701 Beton Vibratörü 3 Hp + 5 METRE HORTUM,Catpower,Beton Vibratörleri,13282.5,11975.0,9.84,PIECE,IN_SALE
3368,3368,Soudal Şeffaf Silikon 280 ml,Soudal,Silikonlar,75.6,75.6,0.0,PIECE,IN_SALE
12912,12912,Weber Dry FDF Plus Su Yalıtımı Beyaz 20 kg,Weber,Su Yalıtım Malzemeleri,2500.0,2200.0,12.0,PIECE,IN_SALE
14601,14601,Catpower 5713 Darbesiz Matkap 550 w,Catpower,Darbesiz Matkaplar,1524.6,1050.0,31.13,PIECE,IN_SALE
11656,11656,Bosch CYL-9 Multi Construction 12 mm 150 mm Tığ,Bosch Aksesuarlar,Matkaplar,361.2,325.08,10.0,PIECE,IN_SALE
4447,4447,Bosch GBM 10 RE Darbesiz Matkap 600 w,Bosch,Darbesiz Matkaplar,4504.5,4504.5,0.0,PIECE,IN_SALE
15120,15120,Fiskars 1023621 Bileyicili Marangoz Bıçağo,Fiskars,Kamp/Outdoor Ürünler,1155.0,1039.5,10.0,PIECE,IN_SALE
14932,14932,Fiskars 1070578 3 Çıkışlı Musluk Bağlantısı,Fiskars,Bahçe Sulama,1732.5,1398.0,19.31,PIECE,IN_SALE
14892,14892,"Fiskars Sol Musluk Bağlantı Aparatı G1'' (33,3mm) LB30",Fiskars,Bahçe Sulama,161.7,145.53,10.0,PIECE,IN_SALE
14888,14888,Fiskars 1065493 Ayarlanabilir Sulama Tabancası + 13mm Stoplu Hortum Bağlantısı,Fiskars,Bahçe Sulama,1501.5,1351.35,10.0,PIECE,IN_SALE
14887,14887,Fiskars 1065484 Ayarlanabilir Sulama Tabancası,Fiskars,Bahçe Sulama,1247.4,1122.66,10.0,PIECE,IN_SALE
14886,14886,Fiskars Sulama Tabancası ve Ayarlanabilir Başlık,Fiskars,Bahçe Sulama,2212.35,1949.0,11.9,PIECE,IN_SALE
14739,14739,Bosch Durgun Sudan Çekme Kiti,Bosch Aksesuar ve El Aletleri,Bahçe Sulama,1080.45,972.4,10.0,PIECE,IN_SALE
