Product Name,Product Cost,id,sku,brand,category,regular_price,discount_rate,unit,status
BOSCH GLI 18V-1900 Lümen  Şantiye Projektörü SOLO (AKÜ VE ŞARJ CİHAZI DAHİL DEĞİLDİR),5512.5,12957,12957,Bosch,Aydınlatma Ekipmanları,5512.5,0.0,PIECE,IN_SALE
Bosch GAS 18V-1 Akülü Elektrik Süpürgesi (Solo),3696.0,12291,12291,Bosch,Diğer Akülü El Aletleri,3696.0,0.0,PIECE,IN_SALE
Polisan X1 Art Multisurface Vişne 500 ml,180.0,15177,15177,Polisan,Hobi Boyaları,199.5,9.77,PIECE,IN_SALE
"Bianca Stella Sedef 0,25 kg",450.0,14116,14116,Bianca,Hobi Boyaları,616.35,26.99,PIECE,IN_SALE
"Dyo Dinamik 3310 Luna Otu 7,5 lt",1653.75,12879,12879,Dyo,Silikonlu Boyalar,2021.25,18.18,PIECE,IN_SALE
"Dyo Dinamik 0202 Ilık Maya 2,5 Lt",661.5,11511,11511,Dyo,Silikonlu Boyalar,808.5,18.18,PIECE,IN_SALE
Weber Prim BT-Max Brüt Beton Astarı Max 12 kg,629.0,3466,3466,Weber,İç/Dış Cephe Astarları,808.5,22.2,PIECE,IN_SALE
"DYO DİNAMİK 4547 ŞARABİ 2,5 LT",661.5,2220,2220,Dyo,Silikonlu Boyalar,808.5,18.18,PIECE,IN_SALE
"DYO TEKNOTEX 3118  ANTEP FISTIĞI 2,5 LT",850.5,2030,2030,Dyo,Dyo,1039.5,18.18,PIECE,IN_SALE
Polisan X1 Art Multisurface Fuşya 500 ml,199.5,12341,12341,Polisan,Hobi Boyaları,199.5,0.0,PIECE,IN_SALE
Bianca Stella Effect Bakır 200 ml,250.0,11512,11512,Bianca,Boya ve Astarlar,346.5,27.85,PIECE,IN_SALE
"DYO 4054 ANTİPAS KIRMIZI 0,75 LT",265.65,8693513288472,8693513288472,Dyo,Sentetik Astarlar,265.65,0.0,PIECE,IN_SALE
Fiskars 1023621 Bileyicili Marangoz Bıçağo,1039.5,15120,15120,Fiskars,Kamp/Outdoor Ürünler,1155.0,10.0,PIECE,IN_SALE
Fiskars 1070578 3 Çıkışlı Musluk Bağlantısı,1559.25,14932,14932,Fiskars,Bahçe Sulama,1732.5,10.0,PIECE,IN_SALE
"Fiskars Sol Musluk Bağlantı Aparatı G1'' (33,3mm) LB30",145.53,14892,14892,Fiskars,Bahçe Sulama,161.7,10.0,PIECE,IN_SALE
Fiskars 1065493 Ayarlanabilir Sulama Tabancası + 13mm Stoplu Hortum Bağlantısı,1351.35,14888,14888,Fiskars,Bahçe Sulama,1501.5,10.0,PIECE,IN_SALE
Fiskars Sulama Tabancası ve Ayarlanabilir Başlık,1991.12,14886,14886,Fiskars,Bahçe Sulama,2212.35,10.0,PIECE,IN_SALE
Bosch Durgun Sudan Çekme Kiti,972.4,14739,14739,Bosch Aksesuar ve El Aletleri,Bahçe Sulama,1080.45,10.0,PIECE,IN_SALE
Bosch Bir Arada Ayar Başlı Nozül 3'lü,987.52,14721,14721,Bosch Aksesuar ve El Aletleri,Basınçlı Yıkama Makineleri,1097.25,10.0,PIECE,IN_SALE
Bosch Boru Kanal Temizleyici 10 m (130 bar),1299.38,14719,14719,Bosch Aksesuar ve El Aletleri,Bahçe El Aletleri,1443.75,10.0,PIECE,IN_SALE
Fiskars 1069101 Parçalama Baltası X13,2058.21,14587,14587,Fiskars,Bahçe El Aletleri,2286.9,10.0,PIECE,IN_SALE
Fiskars 1072090 Norden Ahşap Saplı Bıçak (Kılıflı),2989.04,14586,14586,Fiskars,Bıçaklar,3321.15,10.0,PIECE,IN_SALE
Fiskars 1001539 Çiçek ve Bitki Makası 21 cm,1091.47,14584,14584,Fiskars,Makaslar,1212.75,10.0,PIECE,IN_SALE
Bosch Bahçe Çim ve Yaprak Toplama Tırmığı,363.82,14556,14556,Bosch Aksesuar ve El Aletleri,Tırmıklar,404.25,10.0,PIECE,IN_SALE
"Energy WS 035Y Akülü Budama Makası 3.5cm 2x 4,5AH",9049.0,14264,14264,Energy,Budama Makasları,10500.0,13.82,PIECE,IN_SALE
Fiskars Norden Yarma Baltası N12,4158.0,12656,12656,Fiskars,Bahçe El Aletleri,4620.0,10.0,PIECE,IN_SALE
Rox Camping Ultrasonik Sivrisinek Koruyucu,240.0,12413,12413,Rox,Kamp/Outdoor Ürünler,288.75,16.88,PIECE,IN_SALE
"Fiskars 1051142 Norden Parçalama Baltası N7 38,6cm",3534.3,11886,11886,Fiskars,Bahçe El Aletleri,3927.0,10.0,PIECE,IN_SALE
Fiskars 1065484 Ayarlanabilir Sulama Tabancası,1122.66,12467,12467,Fiskars,Bahçe Sulama,1247.4,10.0,PIECE,IN_SALE
Fiskars 1027058 10 Musluk Bağlantı Aparatı 3/4,136.5,5236,5236,Fiskars,Bahçe Sulama,136.5,0.0,PIECE,IN_SALE
Bosch Yedek Misina 1.6mm x 24m,460.0,f016800462,f016800462,Bosch Aksesuar ve El Aletleri,Çim ve Çit Kesme Makineleri,630.0,26.98,PIECE,IN_SALE
"Bosch Exst Daire Testere Bıçak 235x25,40 mm 48 D E",2700.0,14325,14325,Bosch Aksesuar ve El Aletleri,Daire Testereler,3696.0,26.95,PIECE,IN_SALE
Bosch Parke Kesme 120x22 12+12:24 Diş,2054.43,11089,11089,Bosch Aksesuarlar,Daire Testereler,2282.7,10.0,PIECE,IN_SALE
Bosch Parke Kesme 120x20 12+12:24 Diş,2054.43,11087,11087,Bosch Aksesuarlar,Daire Testereler,2282.7,10.0,PIECE,IN_SALE
Bosch Daire Testere Bıçağı Optiline WO H 165x30-36,1134.0,11031,11031,Bosch Aksesuarlar,Daire Testereler,1260.0,10.0,PIECE,IN_SALE
Bosch Eco For Wood Testere 190x30 mm 48 Diş,718.2,10481,10481,Bosch Aksesuarlar,Daire Testereler,798.0,10.0,PIECE,IN_SALE
Akfix 647 FC PU Mastik Gri 280 ml,158.0,16171,16171,Akfix,Poliüretan Mastik,173.25,8.8,PIECE,IN_SALE
Akfix 805 PU Pipetli Köpük 750 ml,169.9,16166,16166,Akfix,Köpükler,199.5,14.84,PIECE,IN_SALE
Akfix 647 FC PU Mastik Beyaz 280 ml,169.0,15962,15962,Akfix,Mastikler,173.25,2.45,PIECE,IN_SALE
Akfix 647 FC PU Mastik Siyah 280 ml,169.0,15961,15961,Akfix,Mastikler,173.25,2.45,PIECE,IN_SALE
Akfix 100AQ Akvaryum Silikonu Şeffaf 280 ml,144.0,14320,14320,Akfix,Silikonlar,147.0,2.04,PIECE,IN_SALE
Akfix 705 Hızlı Yapıştırıcı 200 ml,89.9,13148,13148,Akfix,Yapıştırıcılar,94.5,4.87,PIECE,IN_SALE
Akfix WA500 Duvar Kağıdı Tutkalı 250 gr,129.0,13146,13146,Akfix,Yapıştırıcılar,136.5,5.49,PIECE,IN_SALE
Akfix 705 Hızlı Yapıştırıcı 400 ml,164.0,4474,4474,Akfix,Yapıştırıcılar,168.0,2.38,PIECE,IN_SALE
Akfix Ht300 Yüksek Isı Silikonu 300° 50 gr,84.9,3886,3886,Akfix,Yapıştırıcılar,108.0,21.39,PIECE,IN_SALE
Weber Dry FDF Plus Su Yalıtımı Beyaz 20 kg,2399.0,12912,12912,Weber,Su Yalıtım Malzemeleri,2500.0,4.04,PIECE,IN_SALE
Bosch CYL-9 Multi Construction 12 mm 150 mm Tığ,325.08,11656,11656,Bosch Aksesuarlar,Matkaplar,361.2,10.0,PIECE,IN_SALE
Prosaw PS51219 Sunta Kesme 210x30/25 mm 16 Diş,366.0,15687,15687,Diğer,Daire Testereler,657.3,44.32,PIECE,IN_SALE
Tamir Bandı 48x40 mt,155.0,15645,15645,Diğer,Bantlar,168.0,7.74,PIECE,IN_SALE
Bosch Taşlama Siperi Kapaksız Vidalı 115 mm,467.78,15420,15420,Bosch Aksesuar ve El Aletleri,Kesme ve Taşlama Diskleri,519.75,10.0,PIECE,IN_SALE
BOSCH PRO MultiMaterial Delik Açma Testeresi 17mm,498.96,15000,15000,Bosch Aksesuar ve El Aletleri,Pançlar,554.4,10.0,PIECE,IN_SALE
Bosch C470 Zımpara Kağıdı Rulosu 115mm x 5m P240,327.92,14995,14995,Bosch Aksesuar ve El Aletleri,Aksesuarlar,364.35,10.0,PIECE,IN_SALE
BOSCH Çok Renkli Kalem Uçları 6 Parça,197.5,14916,14916,Bosch Aksesuar ve El Aletleri,Çok Amaçlı Setler,219.45,10.0,PIECE,IN_SALE
"BOSCH HSS-Co Metal Matkap Ucu 6,5*101 mm 1li",203.18,14576,14576,Bosch Aksesuarlar,Aksesuarlar,225.75,10.0,PIECE,IN_SALE
Bosch Expert Yaprak Matkap Ucu HEX 10x400 mm,311.85,13776,13776,Bosch Aksesuarlar,Aksesuarlar,346.5,10.0,PIECE,IN_SALE
"Bosch HSSPointTeQ Metal Matkap Ucu 9,5mm",124.74,13588,13588,Bosch Aksesuarlar,Aksesuarlar,138.6,10.0,PIECE,IN_SALE
Bosch Ahşap Matkap Uç Expert SCS Yaprak HEX 18x152 mm,159.71,13587,13587,Bosch Aksesuarlar,Aksesuarlar,177.45,10.0,PIECE,IN_SALE
Bosch Polisaj Süngeri EasyCurvSander 40 mm,239.08,13586,13586,Bosch Aksesuarlar,Polisaj Makine ve Aksesuarları,265.65,10.0,PIECE,IN_SALE
"Bosch Metal Matkap Ucu HSS-Co DIN 338 7,5x109 mm",236.25,13575,13575,Bosch Aksesuarlar,Aksesuarlar,262.5,10.0,PIECE,IN_SALE
Bosch SDS Plus-1 22x460mm,699.3,13468,13468,Bosch Aksesuarlar,Beton Delici Uçlar,777.0,10.0,PIECE,IN_SALE
Bosch PC-Plus Delik Açma Testeresi 22mm,339.25,13466,13466,Bosch Aksesuarlar,Aksesuarlar,376.95,10.0,PIECE,IN_SALE
Bosch CYL-3 Beton Delme 16x160 mm,654.88,13440,13440,Bosch Aksesuarlar,Beton Delici Uçlar,727.65,10.0,PIECE,IN_SALE
Bosch X-line 7 Parça Mini Ahşap Matkap Ucu Set,239.08,13338,13338,Bosch Aksesuar ve El Aletleri,Aksesuarlar,265.65,10.0,PIECE,IN_SALE
"Bosch Titreşimli Zımpara Kağıdı 10'lu, 93 x 185 Mm 180 Kum 8 Delik",222.08,13322,13322,Bosch Aksesuarlar,Zımpara Uçları,246.75,10.0,PIECE,IN_SALE
"Makita D-29227 Geniş Keski 28,6x75x410 mm",1099.0,13282,13282,Makita,Keskiler,2065.35,46.79,PIECE,IN_SALE
