product_name,price,id,sku,brand,category,regular_price,discount_rate,unit,status
Catpower 2213 Gönye Kesme 210 mm 1200 w,11999.0,14651,14651,Catpower,Gönye ve Profil Kesme Makinaları,12980.0,7.56,PIECE,IN_SALE
"Bosch Exst Daire Testere Bıçak 235x25,40 mm 48 D E",3872.0,14325,14325,Bosch Aksesuar ve El Aletleri,Daire Testereler,3872.0,0.0,PIECE,IN_SALE
Bosch Gcm 216 Gönyeli Kesme Testeresi,11685.0,11867,11867,Bosch,Gönye ve Profil Kesme Makinaları,14850.0,21.31,PIECE,IN_SALE
Bosch Parke Kesme 120x22 12+12:24 Diş,2054.43,11089,11089,Bosch Aksesuarlar,Daire Testereler,2391.4,14.09,PIECE,IN_SALE
Bosch Parke Kesme 120x20 12+12:24 Diş,2054.43,11087,11087,Bosch Aksesuarlar,Daire Testereler,2391.4,14.09,PIECE,IN_SALE
Bosch Daire Testere Bıçağı Optiline WO H 165x30-36,1134.0,11031,11031,Bosch Aksesuarlar,Daire Testereler,1320.0,14.09,PIECE,IN_SALE
Bosch Eco For Wood Testere 190x30 mm 48 Diş,718.2,10481,10481,Bosch Aksesuarlar,Daire Testereler,836.0,14.09,PIECE,IN_SALE
Bosch GCO 14-24 J Profil Kesme,13750.0,10341,10341,Bosch,Gönye ve Profil Kesme Makinaları,13750.0,0.0,PIECE,IN_SALE
Bosch GCD 12 JL Metal Kesme Testeresi,25850.0,0601b28000,0601b28000,Bosch,Gönye ve Profil Kesme Makinaları,25850.0,0.0,PIECE,IN_SALE
Bosch GKS 190 Daire Testere 1400 w,7150.0,0601623000,0601623000,Bosch,Daire Testereler,7150.0,0.0,PIECE,IN_SALE
Polisan X1 Art Multisurface Vişne 500 ml,180.0,15177,15177,Polisan,Hobi Boyaları,209.0,13.88,PIECE,IN_SALE
"Bianca Stella Sedef 0,25 kg",450.0,14116,14116,Bianca,Hobi Boyaları,645.7,30.31,PIECE,IN_SALE
"Polisan Elegans Yarımat Beyaz 12,5 L",2835.0,14057,14057,Polisan,İç Cephe Boyaları,3200.0,11.41,PIECE,IN_SALE
"Polisan Elegans Yarımat Beyaz 7,5 L",2089.0,14037,14037,Polisan,İç Cephe Boyaları,2310.0,9.57,PIECE,IN_SALE
Polisan Poliroad Yol Çizgi Boyası Sarı 20 kg,4559.0,12146,12146,Polisan,Yol Çizgi Boyaları,4675.0,2.48,PIECE,IN_SALE
Weber Prim BT-Max Brüt Beton Astarı Max 12 kg,629.0,3466,3466,Weber,İç/Dış Cephe Astarları,847.0,25.74,PIECE,IN_SALE
