ID,SKU,Product Name,Category,Price (TL),URL
1,EUROMAX.EX75003,EUROMAX EX-75003 Elektrikli Karot Makinası 300 mm,Karot Makineleri,"56.467,35",https://www.nalburcuk.com/urun/euromax-ex-75003-elektrikli-karot-makinasi-300-mm
2,EUROMAX.EX75053,EUROMAX EX-75053 Karot Ucu (Soketli ve Sulu) 56x400 MM,Karot Uçları,"2.101,42",https://www.nalburcuk.com/urun/euromax-ex-75053-karot-ucu-soketli-ve-sulu-56x400-mm
3,EUROMAX.EX75059,EUROMAX EX-75059 Karot Ucu (Soketli ve Sulu) 71x400 MM,Karot Uçları,"2.646,90",https://www.nalburcuk.com/urun/euromax-ex-75059-karot-ucu-soketli-ve-sulu-71x400-mm
4,FULLAS22,Full FULLAS22 Alüminyum Saplı 22'' Takım Çantası,Takım Çantaları,"1.200,00",https://www.nalburcuk.com/urun/full-fullas22-aluminyum-sapli-22-takim-cantasi
5,İZELTAŞ.1120006014,İZELTAŞ 3/4'' Oniki Köşe Lokma Anahtar Takımı 14 Parça,Lokma Anahtarlar,"14.405,25",https://www.nalburcuk.com/urun/izeltas-3-4-oniki-kose-lokma-anahtar-takimi-14-parca
6,FULLMKT,Full FULLMKT Tekerlekli Takım Çantası,Takım Çantaları,"1.680,00",https://www.nalburcuk.com/urun/full-fullmkt-tekerlekli-takim-cantasi
7,FULLMK22,Full FULLMK22 Metal Kilitli 22'' Takım Çantası,Takım Çantaları,"753,60",https://www.nalburcuk.com/urun/full-fullmk22-metal-kilitli-22-takim-cantasi
8,FULLMK19,Full FULLMK19 Metal Kilitli 19'' Takım Çantası,Takım Çantaları,"547,20",https://www.nalburcuk.com/urun/full-fullmk19-metal-kilitli-19-takim-cantasi
9,FULLMK16,Full FULLMK16 Metal Kilitli 16'' Takım Çantası,Takım Çantaları,"326,40",https://www.nalburcuk.com/urun/full-fullmk16-metal-kilitli-16-takim-cantasi
10,GLRYZ.H.M.P.8,8 Basamaklı Profil Merdiven,Profil Merdivenler,"1.776,00",https://www.nalburcuk.com/urun/8-basamakli-profil-merdiven
