product_name,price
EUROMAX EX-75003 Elektrikli Karot Makinası 300 mm,"56.467,35"
EUROMAX EX-75053 Karot Ucu (Soketli ve Sulu) 56x400 MM,"2.101,42"
EUROMAX EX-75059 Karot Ucu (Soketli ve Sulu) 71x400 MM,"2.646,90"
Full FULLAS22 Alüminyum Saplı 22'' Takım Çantası,"1.200,00"
İZELTAŞ 3/4'' Oniki Köşe Lokma Anahtar Takımı 14 Parça,"14.405,25"
Full FULLMKT Tekerlekli Takım Çantası,"1.680,00"
Full FULLMK22 Metal Kilitli 22'' Takım Çantası,"753,60"
Full FULLMK19 Metal Kilitli 19'' Takım Çantası,"547,20"
Full FULLMK16 Metal Kilitli 16'' Takım Çantası,"326,40"
9 Basamaklı Profil Merdiven,"2.016,00"
8 Basamaklı Profil Merdiven,"1.776,00"
7 Basamaklı Profil Merdiven,"1.536,00"
6 Basamaklı Profil Merdiven,"1.248,00"
5 Basamaklı Profil Merdiven,"1.152,00"
4 Basamaklı Profil Merdiven,"969,60"
5x4 Basamaklı 570cm Akrobat Merdiven,"9.296,51"
3 Basamaklı Profil Merdiven,"840,00"
Çift Çıkışlı Alüminyum Merdiven 3 Basamaklı,"1.632,00"
Çift Çıkışlı Alüminyum Merdiven 5 Basamaklı,"2.736,00"
Çift Çıkışlı Alüminyum Merdiven 4 Basamaklı,"2.160,00"
Çift Çıkışlı Alüminyum Merdiven 6 Basamaklı,"3.264,00"
Çift Çıkışlı Alüminyum Merdiven 7 Basamaklı,"3.792,00"
Çift Çıkışlı Alüminyum Merdiven 8 Basamaklı,"4.320,00"
Çift Çıkışlı Alüminyum Merdiven 9 Basamaklı,"4.896,00"
CETA FORM I12-40R Yedek Zincir (I12-40 İçin),"770,64"
CETA FORM I12-40 Mini Zincirli Boru Anahtarı 4'',"1.829,88"
CETA FORM I11-60R Yedek Zincir (I11-60 İçin),"2.714,40"
CETA FORM I11-40R Yedek Zincir (I11-40 İçin),"2.004,60"
CETA FORM I11-60 Zincirli Boru Anahtarı 6'',"10.348,26"
CETA FORM I11-40 Zincirli Boru Anahtarı 4'',"8.096,40"
CETA FORM I06-36-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 5'',"12.090,00"
CETA FORM I06-24-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 3'',"5.449,08"
CETA FORM I06-18-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 2-1/2'',"3.673,80"
CETA FORM I06-14-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 2'',"2.323,62"
CETA FORM I06-12-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 2'',"2.102,10"
CETA FORM I06-10-2 Ağır Sanayi Tipi Boru Anahtarı (Pro) 1-1/2'',"1.741,74"
CETA FORM I01-20 Maşalı Boru Anahtarı (90°) 2'',"2.308,02"
CETA FORM I01-15 Maşalı Boru Anahtarı (90°) 1-1/2'',"1.486,68"
CETA FORM I01-10 Maşalı Boru Anahtarı (90°) 1'',"982,02"
CETA FORM H40-R04 Cımbız Penset Seti 4 Parça,"635,70"
CETA FORM H30-W10 Elektronikçi Pense ve Tornavida Takımı Çantalı,"2.939,04"
CETA FORM H30-W06 Elektronikçi Pense Seti 6 Parça Çantalı,"3.580,98"
CETA FORM H37-120 Elektronikçi Yassı Kargaburun 120 mm,"521,82"
CETA FORM H36-120 Elektronikçi Yuvarlak Kargaburun,"521,82"
CETA FORM H35S-140 Elektronikçi Uzun İğne Kargaburun,"521,04"
CETA FORM H34S-115 Elektronikçi Eğri Kargaburun,"521,04"
CETA FORM H33F-120 Elektronikçi Kargaburun (Dişsiz Tutma Yüzeyi),"521,82"
CETA FORM H31N-120SB Elektronikçi Eğri Tepe Keski (Dar Kesici Ağızlı),"652,86"
CETA FORM H31S-120SB Elektronikçi Tepe Keski,"585,00"
CETA FORM H30T-110SB Elektronikçi Yan Keski (Sivri Kafa-Açılı Kesim),"585,00"
CETA FORM H30C-105SB Elektronikçi Yan Keski (Mini Kafa-Açılı Kesim),"588,12"
CETA FORM H30S-110FL Elektronikçi Yan Keski 110 mm (Sıfır Kesim),"585,00"
CETA FORM H20-W06 Deri Çantalı Elektronikçi Pense Takımı 6 Parça,"4.102,80"
CETA FORM H27-130 Elektronikçi Yassı Kargaburun,"619,32"
Ceta Form H26-130 Elektronikçi Yuvarlak Kargaburun 130mm,"619,32"
CETA FORM H25-155 Elektronikçi İğne Kargaburun,"619,32"
CETA FORM H24-130 Elektronikçi Eğri Kargaburun,"619,32"
CETA FORM H21S-125SB Elektronikçi Tepe Keski,"714,48"
CETA FORM H21N-130SB Elektronikçi Eğri Tepe Keski (Dar Kesici Ağızlı),"755,82"
CETA FORM H20T-120SB Elektronikçi Yan Keski (Sivri Kafa-Açılı Kesim),"902,46"
CETA FORM H20C-118SB Elektronikçi Yan Keski (Mini Kafa-Açılı Kesim),"902,46"
CETA FORM H20S-120FL Elektronikçi Yan Keski (Sıfır Kesim),"883,74"
CETA FORM H20S-120SB Elektronikçi Yan Keski (Açılı Kesim),"883,74"
CETA FORM Torx H99-04-06 Elektronikçi Tornavida Takımı 6 Parça,"719,94"
CETA FORM H99-12-06 Elektronikçi Tornavida Takımı Düz/Yıldız 6 Parça,"631,02"
CETA FORM H04-20-060 Torx Uçlu Elektronikçi Tornavida T20x60 mm,"117,00"
CETA FORM H04-15-060 Torx Uçlu Elektronikçi Tornavida T15x60 mm,"112,32"
CETA FORM H04-10-060 Torx Uçlu Elektronikçi Tornavida T10x60 mm,"110,76"
CETA FORM H04-09-060 Torx Uçlu Elektronikçi Tornavida T9x60 mm,"110,76"
CETA FORM H04-08-040 Torx Uçlu Elektronikçi Tornavida T8x40 mm,"106,86"
CETA FORM H04-07-040 Torx Uçlu Elektronikçi Tornavida T7x40 mm,"106,86"
CETA FORM H04-06-040 Torx Uçlu Elektronikçi Tornavida T6x40 mm,"106,86"
CETA FORM H04-05-040 Torx Uçlu Elektronikçi Tornavida T5x40 mm,"106,86"
Makita 66360 Sırt Çantası,"1.634,16"
CETA FORM H03-1-080 Pozidriv Uçlu Elektronikçi Tornavida Pz1x80 mm,"113,88"
CETA FORM H03-0-060 Pozidriv Uçlu Elektronikçi Tornavida Pz0x60 mm,"101,40"
CETA FORM H02-1-080 Yıldız Uçlu Elektronikçi Tornavida Ph1x80 mm,"113,88"
CETA FORM H02-0-060 Yıldız Uçlu Elektronikçi Tornavida Ph0x60 mm,"101,40"
CETA FORM H02-00-060 Yıldız Uçlu Elektronikçi Tornavida Ph00x60 mm,"104,52"
CETA FORM H01-40-150 Düz Uçlu Elektronikçi Tornavida 4.0x150 mm,"138,84"
CETA FORM H01-40-100 Düz Uçlu Elektronikçi Tornavida 4.0x100 mm,"110,76"
CETA FORM H01-40-080 Düz Uçlu Elektronikçi Tornavida 4.0x80 mm,"99,06"
CETA FORM H01-35-080 Düz Uçlu Elektronikçi Tornavida 3.5x80 mm,"95,16"
CETA FORM H01-30-150 Düz Uçlu Elektronikçi Tornavida 3.0x150 mm,"127,14"
CETA FORM H01-30-100 Düz Uçlu Elektronikçi Tornavida 3.0x100 mm,"107,64"
CETA FORM H01-30-080 Düz Uçlu Elektronikçi Tornavida 3.0x80 mm,"90,48"
CETA FORM H01-25-100 Düz Uçlu Elektronikçi Tornavida 2.5x100 mm,"104,52"
CETA FORM H01-25-080 Düz Uçlu Elektronikçi Tornavida 2.5x80 mm,"90,48"
CETA FORM H01-20-100 Düz Uçlu Elektronikçi Tornavida 2.0x100 mm,"104,52"
CETA FORM H01-20-060 Düz Uçlu Elektronikçi Tornavida 2.0x60 mm,"88,92"
CETA FORM H01-18-060 Düz Uçlu Elektronikçi Tornavida 1.8x60 mm,"88,92"
CETA FORM H01-15-040 Düz Uçlu Elektronikçi Tornavida 1.5x40 mm,"82,68"
CETA FORM H01-12-040 Düz Uçlu Elektronikçi Tornavida 1.2x40 mm,"82,68"
CETA FORM G85-ADC1 Dijital Pens Ampermetre (AC/DC Akım),"4.828,20"
CETA FORM G80-MDC1 Dijital Multimetre (Dc Manuel Sınıflama),"867,36"
CETA FORM G80-AAC1 Dijital Multimetre (Ac/Dc Akım Otomatik),"2.308,80"
Ceta Form G99-18-W12PZ İzoleli VDE Pense-Tornavida Seti 12 Parça,"5.506,80"
Ceta Form G99-18-W12PH İzoleli VDE Pense-Tornavida Seti 12 Parça,"5.506,80"
CETA FORM G99-18-W09PZ 1000V İzoleli Pense-Tornavida Seti 9 Parça,"3.790,80"
CETA FORM G99-18-W09PH 1000V İzoleli Pense-Tornavida Seti 9 Parça,"3.790,80"
CETA FORM G99-18-05PZ 1000V İzoleli Pense-Tornavida Takımı 5 Parça,"2.141,88"
CETA FORM G99-18-05PH 5 Parça VDE 1000V İzoleli Elektrikçi Pense-Tornavida Seti,"2.141,88"
CETA FORM G99-18-03A 3 Parça VDE 1000V İzoleli Elektrikçi Pense Takımı,"2.422,68"
CETA FORM G99-18-02A 1000V İzoleli Pense Takımı 2 Parça,"1.642,68"
CETA FORM G40-48-0145 Çok Amaçlı Elektrikçi Makası 145 mm,"496,08"
CETA FORM G30-48-0160 1000V İzoleli Kablo Kesici 160 mm,"819,00"
CETA FORM G30-58-0170 1000V İzoleli Rzr Kablo Kesici 170 mm,"867,36"
Ceta Form G25-58-0250 1000V İzoleli Papağan Pense 250 mm (VDE),"1.031,94"
CETA FORM G20-18-0160 1000V İzoleli Kablo Sıyırma Pensesi 160 mm,"986,70"
CETA FORM G18-18-0160 1000V İzoleli Yuvarlak Kargaburun 160 mm,"764,40"
CETA FORM G17-18-0160 1000V İzoleli Yassı Kargaburun 160 mm,"748,02"
CETA FORM G16-18-0200 1000V İzoleli Eğri Kargaburun 200 mm,"932,88"
CETA FORM G16-18-0160 1000V İzoleli Eğri Kargaburun 160 mm,"815,10"
CETA FORM G15-18-0200 1000V İzoleli Kargaburun 200 mm,"888,42"
CETA FORM G15-18-0160 1000V İzoleli Kargaburun 160 mm,"780,00"
CETA FORM G14-18-0200 1000V İzoleli Power Yan Keski 200 mm,"1.230,84"
CETA FORM G14-18-0180 1000V İzoleli Power Yan Keski 180 mm,"1.140,36"
CETA FORM G12-18-0180 1000V İzoleli Yan Keski 180 mm,"941,46"
CETA FORM G12-18-0160 1000V İzoleli Yan Keski 160 mm,"840,84"
CETA FORM G12-18-0140 1000V İzoleli Yan Keski 140 mm,"781,56"
CETA FORM G10-18-0200 1000V İzoleli Kombine Pense 200 mm,"900,12"
CETA FORM G10-18-0180 1000V İzoleli Kombine Pense 180 mm,"801,84"
