product_name,price
SGS Disk Altı Zımpara Tabanı 115mm,36.0
Beyaz Çelik Civata DIN 933 8.8 - M6x12,1.36
SGS Disk Altı Zımpara Tabanı 180mm,36.0
Çelik Halat Klemensi Halat Kilidi 10 mm,27.0
Beyaz Çelik Civata DIN 933 8.8 - M6x15,1.31
Çelik Halat Klemensi Halat Kilidi 12 mm,32.4
Flap Disk Zımpara Alm-Oksit 115mm NK 40 Kum,54.0
Merdiven Menteşesi,72.0
Flap Disk Zımpara Alm-Oksit 115mm NK 60 Kum,54.0
Flap Disk Zımpara Alm-Oksit 115mm NK 80 Kum,54.0
Beyaz Çelik Civata DIN 933 8.8 - M6x20,1.41
Flap Disk Zımpara Alm-Oksit 115mm NK 100 Kum,54.0
Çiroz Galvanizli 4mm,120.0
Beyaz Çelik Civata DIN 933 8.8 - M6x25,1.61
Flap Disk Zımpara Alm-Oksit 115mm NK 120 Kum,43.2
Çiroz Kurma Anahtarı Kollu,1800.0
Beyaz Çelik Civata DIN 933 8.8 - M6x30,1.95
SGS Posta Kutusu Plastik,360.0
Flap Disk Zımpara Alm-Oksit 180mm NK 40 Kum,108.0
Beyaz Çelik Civata DIN 933 8.8 - M6x35,2.21
Flap Disk Zımpara Alm-Oksit 180mm NK 60 Kum,108.0
Beyaz Çelik Civata DIN 933 8.8 - M6x40,2.36
Flap Disk Zımpara Alm-Oksit 180mm NK 80 Kum,
Beyaz Çelik Civata DIN 933 8.8 - M6x45,2.62
Beyaz Çelik Civata DIN 933 8.8 - M6x50,2.85
Mapa Kilit-Zincir Kilidi 06 mm,16.2
German Çivi Sarı,138.0
Mapa Kilit-Zincir Kilidi 08 mm,27.0
Çamaşır İpi-Teli Naylon 10mt,19.25
Beyaz Çelik Civata DIN 933 8.8 - M6x60,3.37
Mapa Kilit-Zincir Kilidi 10 mm,32.4
Çamaşır İpi-Teli Çelik 10mt,27.6
Mapa Kilit-Zincir Kilidi 12 mm,54.0
Beyaz Çelik Civata DIN 933 8.8 - M6x70,3.82
Mapa Kilit-Zincir Kilidi 16 mm,108.0
Mapa Kilit-Zincir Kilidi 20 mm,162.0
Beyaz Çelik Civata DIN 933 8.8 - M6x80,4.83
Beyaz Çelik Civata DIN 933 8.8 - M6x90,5.69
Sineklik Teli Fiber 80cm 30mt - 24m2,1036.8
Sineklik Teli Fiber 120cm 30mt - 36m2,1555.2
Sineklik Teli Fiber 140cm 30mt - 42m2,1814.4
Koli Bandı Holtmelt Şeffaf 45x100mt,120.0
Düz Lama Bağlantı Sac Gönye 20x50mm,4.28
Beyaz Çelik Civata DIN 933 8.8 - M8x10,2.21
Düz Lama Bağlantı Sac Gönye 20x90mm,6.64
Beyaz Çelik Civata DIN 933 8.8 - M8x12,2.23
Beyaz Çelik Civata DIN 933 8.8 - M8x15,2.86
Sunta Vidası 3.5x16 (1000 Adet),360.27
Servis Tekeri Döner 80 mm,256.5
Sunta Vidası 3.5x18 (1000 Adet),336.3
Servis Tekeri Döner 100 mm,270.0
Sunta Vidası 3.5x20 (1000 Adet),360.27
Keser Halkası-Askısı,
Servis Tekeri Döner 125 mm,305.1
Beyaz Çelik Civata DIN 933 8.8 - M8x20,2.51
Sunta Vidası 3.5x25 (1000 Adet),414.27
Servis Tekeri Döner 150 mm,718.2
Beyaz Çelik Civata DIN 933 8.8 - M8x25,2.85
Beyaz Çelik Civata DIN 933 8.8 - M8x35,3.42
Sunta Vidası 3.5x30 (1000 Adet),438.33
Servis Tekeri Frenli Döner 80 mm,324.0
Beyaz Çelik Civata DIN 933 8.8 - M8x40,3.77
Servis Tekeri Frenli Döner 100 mm,353.7
Beyaz Çelik Civata DIN 933 8.8 - M8x45,4.13
Desa Üçlü Bahçe Seti Metal Kürek-Çapa-Tırmık,360.0
Sunta Vidası 3.5x35 (1000 Adet),511.62
Servis Tekeri Frenli Döner 125 mm,405.0
Beyaz Çelik Civata DIN 933 8.8 - M8x50,4.46
Düz Lama Bağlantı Sac Gönye 40x80mm,11.3
Servis Tekeri Frenli Döner 150 mm,845.1
Beyaz Çelik Civata DIN 933 8.8 - M8x55,4.81
Beyaz Çelik Civata DIN 933 8.8 - M10x100,12.77
Sunta Vidası 3.5x40 (500 Adet),282.2
Beyaz Çelik Civata DIN 933 8.8 - M8x60,5.17
Servis Tekeri Sabit 80 mm,243.0
Beyaz Çelik Civata DIN 933 8.8 - M8x65,5.55
Sunta Vidası 3.5x45 (500 Adet),287.16
Servis Tekeri Sabit 100 mm,216.0
Beyaz Çelik Civata DIN 933 8.8 - M8x70,5.93
Sunta Vidası 3.5x50 (500 Adet),342.25
Servis Tekeri Sabit 125 mm,261.9
Beyaz Çelik Civata DIN 933 8.8 - M8x75,6.33
Altıköşe Beyaz Çelik Somun DIN934 M5,0.36
Servis Tekeri Sabit 150 mm,648.0
Altıköşe Beyaz Çelik Somun DIN934 M6,0.64
Tırmık Sapı Tornalı,240.0
Sunta Vidası 4x16 (1000 Adet),408.28
Altıköşe Beyaz Çelik Somun DIN934 M7,0.77
Sunta Vidası 4x18 (1000 Adet),420.36
Altıköşe Beyaz Çelik Somun DIN934 M8,1.05
Sunta Vidası 4x20 (1000 Adet),434.77
Altıköşe Beyaz Çelik Somun DIN934 M10,2.19
