Category,Name,Current Price,Original Price
Elektrik,BYLION 3KMP-F Kauçuk Grup Priz 3'lü 220 Volt Topraklı,"130,00 TL","325,00 TL"
Elektrik,BYLION PMK Seyyar Plastik Makaralı Ara Kablo 220 Volt Termikli (Ölçü Seçiniz),"1.440,00 TL","1.440,00 TL"
Elektrik,NEXON  Kauçuk Topraklı Erkek Düz Fiş Monofaze 220 Volt 1x16A,"38,00 TL","59,00 TL"
Elektrik,NEXON Kauçuk Topraklı Dişi Fiş Monofaze 220 Volt 1x16A,"42,00 TL","64,00 TL"
Elektrik,STANLEY ST-P-2515 RNF Makaralı Ara Kablo 3x1.5 mm 25 Metre,"3.985,00 TL","5.310,00 TL"
Elektrik,STANLEY ST-G-5015+2 Çim Biçme İçin Ara Kablo 3x1.5 mm 50 Metre,"4.530,00 TL","6.035,00 TL"
Elektrik,STANLEY ST-P-5015 Makaralı Ara Kablo 3x1.5 mm 50 Metre,"4.550,00 TL","6.065,00 TL"
Elektrik,STANLEY ST-E-5015 Makaralı Ara Kablo 3x1.5 mm 50 Metre,"3.635,00 TL","4.845,00 TL"
Elektrik,STANLEY ST-E-4015 Makaralı Ara Kablo 3x1.5 mm 40 Metre,"3.425,00 TL","4.570,00 TL"
Elektrik,İZELTAŞ Seyyar Makara Kablo 3x1.5 50MT (07410 50 050),"9.000,00 TL","14.250,00 TL"
Elektrik,VARTA CR2450 Lityum Pil 3V,"80,00 TL","107,00 TL"
Elektrik,VARTA CR2032 Lityum Pil 3V,"60,00 TL","88,00 TL"
Elektrik,VARTA CR2025 Lityum Pil 3V,"60,00 TL","88,00 TL"
Elektrik,VARTA CR2016 Lityum Pil 3V,"60,00 TL","88,00 TL"
Elektrik,BYLION PKE 3x1.5 mm 10 mt Seyyar Plastik Makaralı Ara Kablo 220 Volt Termikli,"850,00 TL","2.050,00 TL"
Elektrik,BYLION PMP Seyyar Plastik Makaralı Ara Kablo 220 Volt Termikli (Ölçü Seçiniz),"2.400,00 TL","2.400,00 TL"
Elektrik,STANLEY ST-G-3515+2 Çim Biçme İçin Ara Kablo 3x1.5 mm 35 Metre,"3.350,00 TL","4.470,00 TL"
Elektrik,STANLEY ST-E-2515 Makaralı Ara Kablo 3x1.5 mm 25 Metre,"2.490,00 TL","3.320,00 TL"
