product_name,price
İtek Yeni Model Doğalgaz Gaz Alarm Cihazı Kaçak Dedektörü,500.74
1002-220V İkaz Kornası (Döküm),264.37
Doğan DPA 1293 25'lik Plastik Glop,329.9
Doğan DPA 1292 20'lik Plastik Glop,140.0
Momentum CRP 20-60/130 Devirdaim Pompası,2196.09
Doğan DPA 1294 30'luk Plastik Glop,200.0
Katlanır Kamp  Sandalyesi,419.89
Plaj Şemsiyesi,374.06
Bahçe Musluğu 1/2,159.99
ÇÖP KOVASI 12LT PEDALLI STANDART PEMBE MTF83004,149.39
Automix Termos Çanta 42 Lt,553.12
Flora Sofline Papatya Mandal (10'LU),64.09
RTRMAX RTM301 Hava Üfleme Makinesi 600W,2053.35
Kıvırcık Paspaslar (Tüm Renkleri),329.9
Suni Çim Halı 100cm Genişlik,242.9
Suni Çim Halı 200 cm Genişlik,474.9
Mangal Yelpazesi,29.9
Mangal Kömürü 900Gr,74.9
Doğan DPA 2113 Alüminyum Tavan Apliği,1104.99
Momentum PKF75P Süs Havuzu Pompası,1745.87
Momentum PKF35P Süs Havuzu Pompası,4111.25
Momentum PQL 1100V Temiz Su PompasÄ±,6279.0
Momentum XBP 3500 Sintine Pompa,2524.02
Momentum PKJ 1104P Plastik GĂ¶vdeli Jet Pompa,3087.29
Su Hortumu 3/4'' Silikonlu 25Mt,860.71
Su Hortumu 3/4'' Silikonlu 50Mt,1439.9
Su Hortumu 1/2'' Silikonlu 50Mt,784.88
Su Hortumu 3/4'' Silikonlu 15Mt,516.43
Momentum CRP 25-60/130 Devirdaim PompasÄ±,3967.39
Momentum Hidrofor Basınç Şalteri,471.39
Su Hortumu 3/4'' Örgülü 15Mt,540.39
Su Hortumu 3/4'' Örgülü 25Mt,900.45
Su Hortumu 3/4'' Örgülü 50Mt,1782.39
Su Hortumu 1'' Silikonlu 50Mt,2582.12
Su Hortumu 1/2'' Silikonlu 100Mt,1742.24
Su Hortumu 1/2'' Silikonlu 25Mt,430.35
Su Hortumu 1'' Örgülü 50Mt,2925.0
Su Hortumu 1/2'' Örgülü 100Mt,1449.0
Su Hortumu 1/2'' Örgülü 15Mt,242.19
Su Hortumu 1/2'' Örgülü 20Mt,390.0
Su Hortumu 1/2'' Örgülü 25Mt,487.5
Su Hortumu 1/2'' Örgülü 50Mt,975.0
Su Hortumu 3/4'' Örgülü 100Mt,3601.8
Hortum Kelepçesi 16x23 (2 Adet),29.9
Yaparlar Kürek Plus,324.56
Soba Küreği,86.9
Kazma Çelik 2kg,310.26
Kazma Sapı,104.0
Çelik Balyoz 3 kg Düz,320.76
Balyoz Sapı,66.99
El Arabası Tekerlek Plastik,245.04
Kürek Sapı,121.5
