product_id,url,name,sku,marka,stok_durumu,birim,price,currency,scraped_at
4257,https://yapimaks.com/0-30-875-200-oluklu-p4257,"Boyasız galvaniz oluklu sac 0,30 mm 87,5x200 cm (1 adet=1,75 m2)",GLV.SAC.030.2000,FOUR,Birim: Adet,Adet,"276,00",TRY,2026-03-17 22:24:23
4258,https://yapimaks.com/0-30-875-250-oluklu-p4258,"Boyasız galvaniz oluklu sac 0,30 mm 87,5x250 cm (1 adet=2,1875 m2)",GLV.SAC.030.2500,FOUR,Birim: Adet,Adet,"343,75",TRY,2026-03-17 22:24:28
4259,https://yapimaks.com/0-30-875-300-oluklu-p4259,"Boyasız galvaniz oluklu sac 0,30 mm 87,5x300 cm (1 adet=2,625 m2)",GLV.SAC.030.3000,FOUR,Birim: Adet,Adet,"412,50",TRY,2026-03-17 22:24:31
4254,https://yapimaks.com/0-30-trp-mahya-p4254,"Boyasız galvaniz trapez sac MAHYA 0,30 mm 86x(30+30) cm",GLV.SAC.030.TMHY,FOUR,Birim: Adet,Adet,"137,50",TRY,2026-03-17 22:24:34
4260,https://yapimaks.com/0-40-86-200-trapez-p4260,"Boyasız galvaniz trapez sac 0,40 mm 86x200 cm (1 adet=1,72 m2)",GLV.SAC.040.2000,FOUR,Birim: Adet,Adet,"365,00",TRY,2026-03-17 22:24:37
13720,https://yapimaks.com/0-40-86-2000-bordo-p13720,"Boyalı trapez sac BORDO 0,4 mm 86x200 cm Ral 3009 (1 adet=1,72 m2)",RALL.3009.040.2000,FOUR,Birim: Adet,Adet,"370,00",TRY,2026-03-17 22:24:40
13724,https://yapimaks.com/0-40-86-2000-gri-p13724,"Boyalı trapez sac ANTRASİT 0,4 mm 86x200 cm Ral 7016 (1 adet=1,72 m2)",RALL.7016.040.2000,FOUR,Birim: Adet,Adet,"380,00",TRY,2026-03-17 22:24:43
4261,https://yapimaks.com/0-40-86-250-trapez-p4261,"Boyasız galvaniz trapez sac 0,40 mm 86x250 cm (1 adet=2,15 m2)",GLV.SAC.040.2500,FOUR,Birim: Adet,Adet,"456,25",TRY,2026-03-17 22:24:46
13725,https://yapimaks.com/0-40-86-2500-gri-p13725,"Boyalı trapez sac ANTRASİT 0,4 mm 86x250 cm Ral 7016 (1 adet=2,15 m2)",RALL.7016.040.2500,FOUR,Birim: Adet,Adet,"475,00",TRY,2026-03-17 22:24:49
4264,https://yapimaks.com/0-40-86-30-30-trapez-mahya-glv-p4264,"Boyasız galvaniz trapez sac MAHYA 0,40 mm 86x(30+30) cm",GLV.SAC.040.TMHY,FOUR,Birim: Adet,Adet,"144,00",TRY,2026-03-17 22:24:52
4262,https://yapimaks.com/0-40-86-300-trapez-p4262,"Boyasız galvaniz trapez sac 0,40 mm 86x400 cm (1 adet=2,58 m2)",GLV.SAC.040.3000,FOUR,Birim: Adet,Adet,"547,50",TRY,2026-03-17 22:24:54
13726,https://yapimaks.com/0-40-86-3000-gri-p13726,"Boyalı trapez sac ANTRASİT 0,4 mm 86x300 cm Ral 7016 (1 adet=2,58 m2)",RALL.7016.040.3000,FOUR,Birim: Adet,Adet,"570,00",TRY,2026-03-17 22:24:57
4263,https://yapimaks.com/0-40-86-400-trapez-p4263,"Boyasız galvaniz trapez sac 0,40 mm 86x400 cm (1 adet=3,44 m2)",GLV.SAC.040.4000,FOUR,Birim: Adet,Adet,"730,00",TRY,2026-03-17 22:25:00
14764,https://yapimaks.com/0-50-15-200-kar-tutucu-aksesuar-antrasit-p14764,"Boyalı trapez sac KAR TUTUCU ANTRASİT GRİ 0,5 mm 15x200 cm Ral 7016",RALL.7016.050.AKS.02,FOUR,Birim: Adet,Adet,"110,00",TRY,2026-03-17 22:25:03
