product_name,price
Bb Cream Beauty Balm - 01 Light - Renk Eşitleyici Bb Krem,960.0
Bb Cream Beauty Balm - 02 Fair - Bb Krem,960.0
Bb Cream Beauty Balm - 03 Natural - Bb Krem,960.0
Bb Cream Beauty Balm - 04 Medium - Bb Krem,960.0
Bb Cream Beauty Balm - 05 Medium Plus - Bb Krem,960.0
Bb Cream Beauty Balm - 06 Dark -Bb Krem,960.0
Lash Primer Mascara - White - Hacim ve Uzunluk Veren Kirpik Bazı,505.0
"Liquid Glow illuminattor - Pinky - Renkli, Aydınlatıcı ve Parlak Makyaj Bazı",1125.0
Make Up Fixing Spray - Makyaj Sabitleyici Sprey,560.0
Make Up Primer Luminous - White - Işıltılı ve Aydınlık Görünüm Veren Makyaj Bazı,985.0
Make Up Primer Mattifying and Pore Minimising - Matlaştırıcı ve Gözenek Sıkılaştırıcı Makyaj Bazı,1070.0
Make Up Primer Tinted Luminous - Salmon - Işıltılı ve Aydınlık Görünüm Veren Renkli Makyaj Bazı,995.0
Mattifying Fixing Spray - Matlaştırıcı Sabitleyici Sprey,560.0
Skin Perfector CC Light Foundation No: 101 Beige - SPF 50 Korumalı CC Fondöten,970.0
Skin Perfector CC Light Foundation No: 102 Neutral - SPF 50 Korumalı CC Fondöten,970.0
Skin Perfector CC Light Foundation No: 103 Nude - SPF 50 Korumalı CC Fondöten,970.0
Skin Perfector CC Light Foundation No: 104 Warm Honey - SPF 50 Korumalı CC Fondöten,970.0
Skin Perfector CC Light Foundation No: 105 Caramel - SPF 50 Korumalı CC Fondöten,970.0
Skin Perfector CC Light Foundation No: 106 Toffee - SPF 50 Korumalı CC Fondöten,970.0
Contour Crayon - 21 Light Brown - Kontür Kalemi,320.0
Contour Crayon - 22 Deep Brown - Kontür Kalemi,320.0
Contour Crayon - 23 Dark - Kontür Kalemi,320.0
Smart Cheek Liquid Blush 101 - Likit Allık,620.0
Smart Cheek Liquid Blush 102 - Likit Allık,620.0
Smart Cheek Liquid Blush 103 - Likit Allık,620.0
Smart Cheek Liquid Blush 104 - Likit Allık,620.0
Smart Cheek Liquid Blush 105 - Likit Allık,620.0
Smart Cheek Liquid Blush 106 - Likit Allık,620.0
Smart Cheek Liquid Blush 107 - Likit Allık,620.0
Smart Cheek Liquid Blush 108 - Likit Allık,620.0
Smart Cheek Liquid Blush 109 - Likit Allık,620.0
Smart Glow Liquid Highlighter 201 - Likit Aydınlatıcı,620.0
