product_name,price
Loreal Paris Telescopic Extensionist Maskara,"1.699,00 TL"
Flormar Puffy Liquid Blush Likit Allık 002 Peachy Glow,"700,00 TL"
theBalm Purseworthy Dudak Parlatıcısı Wristlet,"825,00 TL"
theBalm Lip Oil Dudak Yağı Little Red Corvette,"870,00 TL"
LYKD Gleam Lip Fluid Dudak Parlatıcısı 296 Rose,"349,00 TL"
Flormar Mood Booster Yoğun Renk Veren Doğal Işıltılı Allık 003 That's Rosewood,"750,00 TL"
Golden Rose Make-up Fixing Spray 120 ml,"650,00 TL"
Flormar Dewy Lip Glaze Dudak Parlatıcısı 016 Chery Blossom,"850,00 TL"
Beaulis Fun Catch The Color Maskara 315 Burgundy,"285,00 TL"
Maybelline New York Super Lock Brow Glue Kaş Sabitleyici Maskara Medium Brown,"1.300,00 TL"
Flormar Dewy Lip Glaze Dudak Parlatıcısı 004 Undressed,"850,00 TL"
LYKD Gleam Lip Fluid Dudak Parlatıcısı 934 Pearl,"349,00 TL"
Beauty Bomb Glossy Bossy Dudak Parlatıcısı 04 Hey Babe - High-Shine with Sweet Scent,"368,00 TL"
Beauty Bomb Glossy Bossy Dudak Parlatıcısı 03 Double Date - High-Shine with Sweet Scent,"368,00 TL"
Vivienne Sabo Jolies Levres Dudak Kalemi 107 Warm Pink - Precise Definition & Long-Lasting Wear,"340,00 TL"
Vivienne Sabo Jolies Levres Dudak Kalemi 202 Cool Dark Rose - Precise Definition & Long-Lasting Wear,"340,00 TL"
Vivienne Sabo Jolies Levres Dudak Kalemi 102 Rose Nude - Precise Definition & Long-Lasting Wear,"340,00 TL"
Vivienne Sabo Jolies Levres Dudak Kalemi 104 Light Brown - Precise Definition & Long-Lasting Wear,"340,00 TL"
Vivienne Sabo Tititint Lip Tint 01 Coral Esthetique - Long-Lasting Color & Moisturizing Finish,"625,00 TL"
Vivienne Sabo Tititint Lip Tint 02 Berry de Charme - Long-Lasting Color & Moisturizing Finish,"625,00 TL"
Vivienne Sabo Tititint Lip Tint 06 Vin Riche - Long-Lasting Color & Moisturizing Finish,"625,00 TL"
Vivienne Sabo Tititint Lip Tint 07 Rose Sensuelle - Long-Lasting Color & Moisturizing Finish,"625,00 TL"
Vivienne Sabo Tititint Lip Tint 05 Pourpre Rose - Long-Lasting Color & Moisturizing Finish,"625,00 TL"
Vivienne Sabo Tititint Lip Tint 03 Provocateur - Long-Lasting Color & Moisturizing Finish,"625,00 TL"
Beauty Bomb Glossy Bossy Dudak Parlatıcısı 02 Rose Lemonade - High-Shine with Sweet Scent,"368,00 TL"
Influence Beauty Mascara Futuristic 01 Ultra Black - Volumizing Mascara with 5G Effect,"790,00 TL"
Vivienne Sabo Tititint Lip Tint 04 Peche Piquante - Long-Lasting Color & Moisturizing Finish,"625,00 TL"
Beaulis Fun Bake My Day Toz Pudra 108 Nude Transparent,"499,00 TL"
Jowe Miracle Lip Gloss Renk Değiştiren Dudak Parlatıcısı 6 ml,"449,00 TL"
Flormar Dewy Lip Glaze Dudak Parlatıcısı 001 Wet Lips,"850,00 TL"
Flormar Dewy Lip Glaze Dudak Parlatıcısı 022 Walk With Me,"850,00 TL"
Flormar Dewy Lip Glaze Dudak Parlatıcısı 005 Bronze Statue,"850,00 TL"
Colorgram Tintin Dory Far Paleti 01 Glitter Dory,"1.299,00 TL"
Maybelline New York Lifter Plump & Glow Aydınlatan Fondöten 110,"1.300,00 TL"
Maybelline New York Cloudtopia Köpük Dokulu Mat Allık 08 Enchanted Mauve,"1.200,00 TL"
Maybelline New York Cloudtopia Köpük Dokulu Mat Allık 05 Coral Illusion,"1.200,00 TL"
Maybelline New York Cloudtopia Köpük Dokulu Mat Allık 07 Moonlit Rose,"1.200,00 TL"
Etude Dear Darling Water Tint 02 Cherry,"530,00 TL"
Maybelline New York Cloudtopia Köpük Dokulu Mat Allık 09 Dreamy Dawn,"1.200,00 TL"
Maybelline New York Cloudtopia Köpük Dokulu Mat Allık 03 Divine Crimson,"1.200,00 TL"
Maybelline New York Cloudtopia Köpük Dokulu Mat Allık 04 Pink Daydream,"1.200,00 TL"
Maybelline New York Instant Perfector Glow 4 Etki 1 Arada Fondöten 01 Light,"1.800,00 TL"
Maybelline New York Instant Perfector Glow 4 Etki 1 Arada Fondöten 00 Fair Light,"1.800,00 TL"
Beaulis Spin It Stick Göz Farı 711 Moss Green,"279,00 TL"
Beaulis Fun Heartbreaker Dudak Parlatıcısı 615 Ghosted Rose,"339,00 TL"
Beaulis Stop It Makyaj Sabitleyici Sprey,"209,00 TL"
Flormar Dewy Lip Glaze Dudak Parlatıcısı 025 Lavender,"850,00 TL"
Flormar Dewy Lip Glaze Dudak Parlatıcısı 023 Vacation Time,"850,00 TL"
Note 3in1 Serum Concealer 10 Medium,"900,00 TL"
Maybelline New York Lash Sensational Body Siyah Maskara,"1.700,00 TL"
Show by Pastel Show Your Peace Transparan Kaş ve Kirpik Maskarası,"589,00 TL"
Flormar Dewy Lip Glaze Dudak Parlatıcısı 027 Perfect Moments,"850,00 TL"
Flormar Dewy Lip Glaze Dudak Parlatıcısı 024 Coral,"850,00 TL"
Flormar Dewy Lip Glaze Dudak Parlatıcısı 021 Shine Today,"850,00 TL"
Loreal Paris Le Shadow Stick Göz Farı 120 Magnetic Mauve,"1.070,00 TL"
wet n wild Color Icon 5’li Far Paleti Walking On Eggshells,"500,00 TL"
wet n wild Color Icon 5’li Far Paleti Petalette/Forget Me Not,"500,00 TL"
Beaulis Finish It Transparan Sabitleyici Pudra 540 Rose Transparent,"269,00 TL"
wet n wild Color Icon 5’li Far Paleti Camo-Flaunt,"500,00 TL"
Influence Beauty Lipstick Balm Glow Injection 01 Evolution - Moisturizing Lip Balm with Glossy Finish,"745,00 TL"
Astra 12 Saat Dayanıklı Extra Siyah Kalem Eyeliner,"500,00 TL"
Loreal Paris Le Shadow Stick Göz Farı 115 Twinkly Rose,"1.070,00 TL"
Flormar Mood Booster Doğal Işıltılı Likit Aydınlatıcı 002 Sun Goddess,"750,00 TL"
Flormar Mood Booster Yoğun Renk Veren Doğal Işıltılı Allık 002 Immortal Flower,"750,00 TL"
Flormar Puffy Liquid Likit Kontür 003 Deep,"700,00 TL"
Vivienne Sabo Jolies Levres Dudak Kalemi 103 Natural Beige - Precise Definition & Long-Lasting Wear,"340,00 TL"
Stellary Perfect Matte Fixing Powder Pudra 01 Transparent - Lightweight Setting & Oil Control,"775,00 TL"
Beaulis Bloom It Krem Allık 569 Pink Whisper,"279,00 TL"
Stellary Perfect Matte Fixing Powder Pudra 02 Banana - Brightening Effect & Smooth Finish,"775,00 TL"
wet n wild Lip Oil Merlot Glass,"549,00 TL"
theBalm Lip Oil Dudak Yağı Take The High Rose,"870,00 TL"
Etude Cloud Filter Cushion Fondöten 21 Ivory + Yedekli,"3.100,00 TL"
Loreal Paris Le Shadow Stick Göz Farı 105 Mesmerizing Gold,"1.070,00 TL"
wet n wild Photo Focus Loose Sabitleyici Pudra Pink,"830,00 TL"
rom&nd Glasting Color Gloss Dudak Parlatıcısı 04 Grapy Way,"999,00 TL"
Beaulis Sharp It İnce Keçe Uçlu Eyeliner 100 Black,"239,00 TL"
Beaulis Drip It Dudak Yağı 197 Choco Touch,"239,00 TL"
rom&nd Glasting Water Tint Renkli Dudak Parlatıcısı 17 Woody Sunset,"999,00 TL"
rom&nd Han All Fix Maskara L01 Long Black,"999,00 TL"
LYKD Gleam Lip Fluid Dudak Parlatıcısı 285 Peach,"349,00 TL"
LYKD Gleam Lip Fluid Dudak Parlatıcısı 585 Rosy Mauve,"349,00 TL"
Beaulis Fun Sugar and Spice Toz Allık 551 Shimmer Blush,"399,00 TL"
Beaulis Fun Gloss Tick Stick Dudak Parlatıcısı 513 Berry Shine,"339,00 TL"
Maybelline New York Lash Sensational Firework Maskara,"1.700,00 TL"
Flormar Hero Volume & Curl Mascara,"1.050,00 TL"
Physicians Formula Butter Glow Likit Bronzer,"1.290,00 TL"
LYKD My Style Up Nail Enamel Oje 904 Celebrity,"90,00 TL"
Note Peptide 30SPF Lip Balm 04 Berry Glow,"600,00 TL"
Astra Pure Beauty Krem Allık 03,"768,00 TL"
Maybelline New York Lifter Plump & Glow Aydınlatan Fondöten 90,"1.300,00 TL"
Stellary Eyeliner Kalem 02 Brown,"490,00 TL"
Vivienne Sabo Croissant Far Paleti 03,"519,00 TL"
wet n wild Photo Focus Foundation Dewy Lumineux Fondöten Soft Ivory,"949,00 TL"
Astra Pure Beauty Ruj 06 Cherry Tree,"578,00 TL"
Love Generation Kindness Maskara Volume,"475,00 TL"
Beaulis Blend It Çift Taraflı Kontür Stick Allık & Aydınlatıcı 316 Halo,"319,00 TL"
Beaulis Sign It Lip Tint Marker 365 Story Red,"310,00 TL"
Beaulis Sign It Lip Tint Marker 573 Tag Me Pink,"310,00 TL"
Beaulis Spin It Stick Göz Farı 404 Metallic Gray,"279,00 TL"
LYKD Banana Pudra 700 Banana,"589,00 TL"
Emily Long Lasting Lip Pencil Dudak Kalemi 227,"115,00 TL"
Beaulis Twin It Çift Taraflı Ruj & Dudak Kalemi 314 Scarlet,"249,00 TL"
Physicians Formula Butter Tinted Lip Conditioner Pink Paradise,"890,00 TL"
Beaulis Curve It Bronzer & Concealer 130 Porcelain,"319,00 TL"
Maybelline New York Lash Sensational Sky High Kahverengi Maskara,"1.700,00 TL"
Golden Rose Dream Lips Lipliner No:518,"180,00 TL"
LYKD My Style Up Nail Enamel Oje 962 Diamond Sheen,"90,00 TL"
Beaulis Twin It Çift Taraflı Ruj & Dudak Kalemi 996 Burgundy,"249,00 TL"
Maybelline New York Lasting Drama Automatic Liner Göz Kalemi Under the Sea,"440,00 TL"
Emily Long Lasting Lip Pencil Dudak Kalemi 226,"115,00 TL"
Emily Long Lasting Lip Pencil Dudak Kalemi 225,"115,00 TL"
Beaulis Blend It Çift Taraflı Kontür Stick Allık & Aydınlatıcı 901 Pink Sakura,"319,00 TL"
wet n wild MegaGlo Glow in Love Radiance Likit Aydınlatıcı,"619,00 TL"
Physicians Formula Butter Tinted Lip Conditioner Beach Bronze,"890,00 TL"
Beaulis Sign It Lip Tint Marker 167 Nude Feels,"310,00 TL"
Golden Rose Essential High Definition & Lift Up & Great Volume Mascara,"470,00 TL"
Emily Long Lasting Lip Pencil Dudak Kalemi 217,"115,00 TL"
Show by Pastel Show Your Sweetness Çil Kalemi,"529,00 TL"
Physicians Formula Butter Glow Contour Wand Fair/Light,"1.400,00 TL"
Physicians Formula Mineral Wear Diamond Pudra Dust,"1.640,00 TL"
Beaulis Flare It Aydınlatıcı & Concealer 137 Fair,"319,00 TL"
Flormar Quick Dry Hızlı Kuruyan Yoğun Pigmentli Oje 001 Snow White,"150,00 TL"
Mov Glitter Krem Festival No:05 Paris Parc,"185,50 TL"
wet n wild MegaGlo Likit Lip & Cheek Berry True,"599,00 TL"
wet n wild Niacinamide Skin Tint Fondöten Fair Beige,"1.020,00 TL"
Maybelline New York Lasting Drama Automatic Liner Göz Kalemi Green with Envy,"440,00 TL"
Physicians Formula Butter Glow Bronzing Serum Sunkissed Glow 30 ml,"1.400,00 TL"
Mov Glitter Krem Festival No:09 80s Pinky,"185,50 TL"
Flormar Shine Kiss Me More Uzun Süre Kalıcı & Parlak Bitişli Likit Ruj 011 Candy,"1.000,00 TL"
wet n wild MegaGlo Likit Lip & Cheek Coral Dream,"599,00 TL"
LYKD Shiny Liquid Eyeshadow Likit Far 494 Bling Bling,"380,00 TL"
LYKD Kaş Jeli 999 Transparent,"299,00 TL"
Astra Long Stay Kapatıcı 001C Ivory,"719,00 TL"
Vivienne Sabo Nude Createur Lipstick 07 Rosewood - Creamy Texture & Flawless Coverage,"460,00 TL"
Vivienne Sabo Fixateur Superb Eyebrow Gel Kaş Sabitleyici Jel 01 - Extra Strong Hold & All-Day Shape,"389,00 TL"
rom&nd Dewy Ful Water Tint Renkli Dudak Parlatıcısı 08 Berry Divine,"999,00 TL"
rom&nd Zero Matte Lipstick Mat Ruj 07 Envy Me,"999,00 TL"
Vivienne Sabo Blush Palette Naturel Allık 03 Peach - Silky Texture & Natural Radiant Finish,"499,00 TL"
rom&nd Glasting Melting Balm Renkli Dudak Balmı 07 Mauve Whip,"999,00 TL"
rom&nd Dewy Ful Water Tint Renkli Dudak Parlatıcısı 12 Canyon,"999,00 TL"
rom&nd Dewy Ful Water Tint Renkli Dudak Parlatıcısı 13 Custard Mauve,"999,00 TL"
Loreal Paris Infaillible Laque Resistance Likit Parlak Ruj 601 Worth It,"1.700,00 TL"
Vivienne Sabo Nude Createur Lipstick 15 Plum Nude - Creamy Texture & Flawless Coverage,"460,00 TL"
rom&nd Juicy Lasting Tint Renkli Dudak Parlatıcısı 12 Cherry Bomb,"878,00 TL"
rom&nd Glasting Melting Balm Renkli Dudak Balmı 02 Lovey Pink,"999,00 TL"
rom&nd Glasting Melting Balm Renkli Dudak Balmı 04 Hippie Berry,"999,00 TL"
rom&nd Nu Zero Cushion Fondöten 04 Beige23,"1.899,00 TL"
rom&nd Glasting Melting Balm Renkli Dudak Balmı 01 Coco Nude,"999,00 TL"
rom&nd Nu Zero Cushion Fondöten 03 Natural21,"1.899,00 TL"
rom&nd Dewy Ful Water Tint Renkli Dudak Parlatıcısı 03 If Rose,"999,00 TL"
rom&nd Juicy Lasting Tint Renkli Dudak Parlatıcısı 13 Eat Dotori,"878,00 TL"
rom&nd Glasting Melting Balm Renkli Dudak Balmı 06 Kaya Fig,"999,00 TL"
rom&nd Better Than Cheek Allık N02 Vine Nude,"880,00 TL"
rom&nd Zero Matte Lipstick Mat Ruj 21 Smoked Beige,"999,00 TL"
rom&nd Better Than Cheek Allık C03 Fig Chip,"880,00 TL"
rom&nd Nu Zero Cushion Fondöten 01 Porcelain17,"1.899,00 TL"
Pastel Profashion Plump Up Extra Hydrating Plumping Gloss 209,"750,00 TL"
