product_name,Price
İlk muayene (Diş muayenesi + Panoramik röntgen),1.500 TL
Çocuk muayenesi (Pedodonti uzman muayenesi),1.650 - 4.200 TL
Dentgroup Wash & Shine (Airflow + cila) (Çift çene),2.615 - 3.795 TL
Dentgroup Total Bakım (Diştaşı temizliği + Airflow + Cila + Dil temizliği + Flor) (Çift çene),3.750 - 5.940 TL Tedavi için tıkla
Fissür örtücü (Çürüğe yatkın yerlerin kapatılması) (Tek diş),1.685 - 3.400 TL
"Flor uygulaması (Çürük önleyici yüzey koruması, cila dahil) (Çift çene)",2.090 - 4.200 TL
Süt dişi çekim (Dijital anestezi ile),2.475 - 4.400 TL
"Kompozit dolgu (Işınlı dolgu) (1 yüzlü çürük, 2 yüzlü çürük, 3 yüzlü çürük)",3.375 - 8.100 TL
Kanal tedavileri (Dolgu hariç) (1 ile 4 kanal arası),5.810 - 12.375 TL Tedavi için tıkla
Lezyonlu kanal tedavileri,6.315 - 14.620 TL Tedavi için tıkla
Kompozit lamina (Bonding - ön diş estetiği için) (Tek diş için),7.960 - 10.590 TL Tedavi için tıkla
Porselen kaplama metal destekli (Tek diş için),6.660 - 9.750 TL
Zirkonya kaplama (Tek diş için),12.990 - 17.095 TL Tedavi için tıkla
Estetik porselenli zirkonya kaplama (Tek diş için),13.320 - 19.540 TL
Full porselen kaplama (Empress/e-max) (Tek diş için),14.430 - 21.490 TL Tedavi için tıkla
Porselen lamina (Yaprak porselen) (Tek diş için),18.250 - 23.445 TL Tedavi için tıkla
Ev tipi diş beyazlatma (Klinikte kişiye özel plaklar hazırlanır. Hasta kendisi evde uygular.),7.930 - 9.430 TL Tedavi için tıkla
"Ofis tipi beyazlatma (Lazer destekli beyazlatma, hekim tarafından klinikte uygulanır.)",11.530 - 13.805 TL Tedavi için tıkla
Kombine beyazlatma (Ev + ofis tiplerini içerir.),13.660 - 19.385 TL Tedavi için tıkla
Zoom beyazlatma (Philips Zoom markası ile uygulanır.),16.180 - 19.385 TL Tedavi için tıkla
Fläsh beyazlatma,14.190 - 16.895 TL
Normal diş çekimi,2.900 - 4.500 TL Tedavi için tıkla
20 yaş diş çekimi (Normal),3.695 - 4.535 TL Tedavi için tıkla
Komplikasyonlu diş çekimi,4.950 - 6.120 TL
Gece Plağı (Diş sıkma için),5.885 - 6.285 TL Tedavi için tıkla
Eklim Splinti,22.140 - 27.030 TL Tedavi için tıkla
Orthero - Telsiz Ortodonti,36.740 - 118.070 TL
Invisalign - Telsiz Ortodonti (Cerrahi vakalar hariç),48.750 - 162.400 TL Tedavi için tıkla
Invisalign First - Çocuklar için Telsiz Ortodonti (6-12 yaş),78.300 - 103.050 TL
Ortodontik tedavi (Metal),86.250 - 99.580 TL Tedavi için tıkla
Ortodontik tedavi (Porselen),105.820 - 122.275 TL Tedavi için tıkla
Implant 1- Mini (Protez hariç),13.005 - 17.890 TL Tedavi için tıkla
Implant 2- Ekonomik (Protez hariç),16.010 - 21.450 TL Tedavi için tıkla
Implant 3- Standart (Protez hariç),20.130 - 27.865 TL Tedavi için tıkla
Implant 4- Premium (Protez hariç),31.870 - 38.775 TL Tedavi için tıkla
Implant 5- Straumann SLA Active (Protez hariç),40.250 - 42.870 TL Tedavi için tıkla
All On Four implant tekniği 1- Ekonomik (Protez hariç),62.530 - 94.315 TL Tedavi için tıkla
All On Four implant tekniği 2- Standart (Protez hariç),80.410 - 122.525 TL Tedavi için tıkla
All On Four implant tekniği 3- Premium (Protez hariç),127.480 - 170.475 TL Tedavi için tıkla
All On Four implant tekniği 4- SLA Active (Protez hariç),175.650 - 186.780 TL Tedavi için tıkla
