date,product-name,product-price,category,source
2026-05-01,"%0,9  SODYUM KLORUR  10 ML  10 AMPUL",2.3699999999999997,İlaç,TİTCK
2026-05-01,"%0,9  SODYUM KLORUR PVC   100 ML SOLUSYON",0.84,İlaç,TİTCK
2026-05-01,"%0,9  SODYUM KLORUR PVC   150 ML SOLUSYON",0.9,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK   500 ML SOLUSYON(SETLI)",1.47,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK   500 ML SOLUSYON(SETSIZ)",1.21,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK 1000 ML SOLUSYON(SETLI)",1.6,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR 250 ML SOLUSYON(SETLI)",0.8,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR 250 ML SOLUSYON(SETSIZ)",0.66,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR COZELTISI 1000 ML BFS (SETLI)",1.9,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR COZELTISI 1000 ML BFS (SETSIZ)",1.75,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR COZELTISI 250 ML BFS (SETLI)",1.35,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR COZELTISI 250 ML BFS (SETSIZ)",1.04,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR COZELTISI 500 ML BFS (SETLI)",1.64,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR COZELTISI 500 ML BFS (SETSIZ)",1.34,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR COZELTISI BFS 100 ML (SETLI)",1.17,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR COZELTISI BFS 100 ML (SETSIZ)",0.84,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR COZELTISI BFS 150 ML (SETLI)",1.23,İlaç,TİTCK
2026-05-01,"%0,9 IZOTONIK SODYUM KLORUR COZELTISI BFS 150 ML (SETSIZ)",0.91,İlaç,TİTCK
