product_name,price
"HEMNES divan, 80x200 cm",22999.0
"BRIMNES gardırop, 117x190 cm",9999.0
"BILLY cam kapaklı kitaplık, 80x30x202 cm",7999.0
"MICKE çalışma masası, 105x50 cm",5999.0
"MALM 4 çekmeceli şifonyer, 80x100 cm",6999.0
"MALM 6 çekmeceli şifonyer, 80x123 cm",8499.0
"HEMNES 8 çekmeceli şifonyer, 160x95 cm",23999.0
"BILLY cam/panel kapaklı kitaplık, 80x30x202 cm",7999.0
BÅRSLÖV bazalı yataklı köşe kanepe,39999.0
"MALM 6 çekmeceli şifonyer, 160x78 cm",9299.0
"HEMNES divan, 80x200 cm",22999.0
"MALM 6 çekmeceli şifonyer, 40x123 cm",6999.0
"HEMNES/ÅGOTNES divan, 80x200 cm",27799.0
"VISTHUS gardırop, 122x59x216 cm",22999.0
"HEMNES/AFJALL divan, 80x200 cm",30399.0
"BILLY cam kapaklı kitaplık, 160x30x202 cm",15998.0
"HEMNES/AFJALL divan, 80x200 cm",30399.0
"HEMNES/VANNAREID divan, 80x200 cm",34999.0
"KULLEN 6 çekmeceli şifonyer, 140x72 cm",6499.0
"BILLY kitaplık, 80x28x202 cm",3999.0
"BILLY cam kapaklı kitaplık, 80x30x202 cm",12999.0
"KULLEN 5 çekmeceli şifonyer, 70x112 cm",5299.0
"KALLAX açık raf ünitesi, 77x147 cm",3999.0
"ÅFJÄLL tek kişilik yatak, 80x200 cm",3700.0
"HEMNES divan, 80x200 cm",22999.0
"BAGGEBO kitaplık, 50x25x160 cm",1399.0
"BILLY cam kapaklı kitaplık, 80x30x202 cm",8699.0
"ÅGOTNES tek kişilik yatak, 80x200 cm",2400.0
"BILLY cam kapaklı kitaplık, 80x30x202 cm",8699.0
KIVIK 3'lü kanepe,30999.0
"KLEPPSTAD gardırop, 117x176 cm",7499.0
"BILLY cam kapaklı kitaplık, 120x30x202 cm",12998.0
"SONGESAND gardırop, 120x60x191 cm",14499.0
TOBIAS plastik sandalye,5299.0
"ALEX keson, 36x70 cm",6300.0
