Product Name,Price,Category
Lexus Koltuk Takımı,"63.485,00 TL",Oturma Odası
Tetra Koltuk Takımı,"66.730,00 TL",Oturma Odası
Freya Koltuk Takımı,"37.200,00 TL",Oturma Odası
Mitra S Koltuk Takımı,"57.745,00 TL",Oturma Odası
Alin Koltuk Takımı,"32.495,00 TL",Oturma Odası
Briella X Koltuk Takımı,"56.498,00 TL",Oturma Odası
Shine Koltuk Takımı,"59.988,00 TL",Oturma Odası
Legato Koltuk Takımı,"33.998,00 TL",Oturma Odası
Linus Koltuk Takımı,"44.995,00 TL",Oturma Odası
Briella Lux Koltuk Takımı,"56.498,00 TL",Oturma Odası
Truva Koltuk Takımı,"46.643,00 TL",Oturma Odası
Fiona Koltuk Takımı,"49.990,00 TL",Oturma Odası
Alexa Koltuk Takımı,"49.996,00 TL",Oturma Odası
Borneo Bohem Koltuk Takımı,"52.495,00 TL",Oturma Odası
Lavita Koltuk Takımı,"52.428,00 TL",Oturma Odası
Plato S Koltuk Takımı,"64.993,00 TL",Oturma Odası
Dora Koltuk Takımı,"43.568,00 TL",Oturma Odası
Alya Koltuk Takımı,"58.313,00 TL",Oturma Odası
Aysa X Koltuk Takımı,"67.136,00 TL",Oturma Odası
Vanessa Koltuk Takımı,"69.749,00 TL",Oturma Odası
Aysa Koltuk Takımı,"61.482,00 TL",Oturma Odası
Marven Koltuk Takımı,"46.585,00 TL",Oturma Odası
Monreo Koltuk Takımı,"29.995,00 TL",Oturma Odası
Blanca Koltuk Takımı,"81.665,00 TL",Oturma Odası
Dora Sehpalı Üçlü Koltuk,"38.383,00 TL",Oturma Odası
Elizya S Üçlü Koltuk,"31.275,00 TL",Oturma Odası
Lena Berjer,"14.296,00 TL",Oturma Odası
Mary Köşe Koltuk,"48.079,00 TL",Oturma Odası
Star X Üçlü Koltuk,"23.825,00 TL",Oturma Odası
Venon Üçlü Koltuk,"36.497,00 TL",Oturma Odası
Lena TV Ünitesi,"24.361,00 TL",Oturma Odası
