product_name,price
Seyhan / Yenibaraj - Stüdyo (1+0),9000
Sarıçam - 1+1,8000
Sarıçam / Sofulu - 1+1,10000
Kozan / Aslanpaşa - 3+1,10000
Sarıçam - 1+1,9000
Kozan / Şevkiye - 2+1,10000
Sarıçam - 1+1,9500
Kozan / Şevkiye - 2+1,6000
Kozan / Merkez - 3+1,10000
Sarıçam / Sofulu - 1+1,8250
Kozan / Merkez - 4+1,8500
Sarıçam / Sofulu - 1+1,9250
Sarıçam / Sofulu - 1+1,8000
Kozan / Köyler - 2+1,8000
Kozan / Merkez - 3+1,10000
Kozan / Çarşı - 3+1,10000
Sarıçam / Sofulu - 1+1,7500
Kozan / Köyler - 3+1,7000
Kozan / Merkez - 2+1,10000
Sarıçam / Sofulu - 1+1,9000
İmamoğlu - 2+1,8999
Seyhan / Denizli - 2+1,9000
Yumurtalık - 2+1,2000
Sarıçam / Mehmet Akif Ersoy - 1+1,8500
Kozan / Çarşı - 2+1,10000
Kozan / Şevkiye - 3+1,10000
Sarıçam - 1+1,10000
Sarıçam / Sofulu - 2+1,10000
Sarıçam / Sofulu - 1+1,9500
Sarıçam - 2+1,10000
İmamoğlu - 2+1,8500
Seyhan / Ziyapaşa - 1+1,8000
Sarıçam - 2+1,9750
Sarıçam / Sofulu - 1+1,8500
Kozan / Merkez - 2+1,10000
Seyhan / Yeşilevler - 1+1,8000
Seyhan / Mavibulvar/Yurt - 2+1,10500
Sarıçam / Sofulu - 2+1,10500
Sarıçam - 2+1,9000
Sarıçam - 1+1,7000
Seyhan / Yenibaraj - Stüdyo (1+0),9500
Seyhan / Ziyapaşa - Stüdyo (1+0),10250
Sarıçam - 1+1,8000
Sarıçam / Sofulu - 1+1,9500
Sarıçam / Mehmet Akif Ersoy - 1+1,6500
Kozan / Merkez - 2+1,5000
Sarıçam / Köyler - 1+1,10000
Sarıçam / Sofulu - 1+1,8750
Sarıçam - 1+1,10500
Seyhan / Köyler - 3+1,10500
Kozan / Merkez - 2+1,9000
Sarıçam - 2+1,7950
Kozan / Merkez - 2+1,9000
Kozan / Şevkiye - 2+1,7000
Sarıçam / Mehmet Akif Ersoy - 2+1,10000
Sarıçam / Sofulu - 1+1,8000
Kozan / Merkez - 3+1,10000
Sarıçam - 2+1,10000
Sarıçam / Sofulu - 1+1,9000
Sarıçam - 1+1,7000
Yumurtalık - 1+1,2000
Seyhan / Yeşilyurt - Stüdyo (1+0),8001
Sarıçam - 1+1,8000
Çukurova / Merkez - 2+1,8000
Sarıçam - 1+1,10000
Kozan / Çarşı - 3+1,9000
Çukurova / Mahfesığmaz - Stüdyo (1+0),9000
Seyhan / Köyler - 3+1,10500
Çukurova / Beyazevler - Stüdyo (1+0),10950
Sarıçam - 1+1,8250
Yüreğir / Kazım Karabekir - 2+1,10000
Sarıçam / Sofulu - 1+1,8500
İmamoğlu - 2+1,9000
Seyhan / Yenibaraj - Stüdyo (1+0),9000
Sarıçam - 1+1,9999
Seyhan / Ziyapaşa - Stüdyo (1+0),8000
Seyhan / Yeşilyurt - Stüdyo (1+0),8500
Kozan / Merkez - 3+1,8500
Seyhan / Yeşilyurt - Stüdyo (1+0),7999
Sarıçam / Sofulu - 1+1,7000
Sarıçam - 2+1,10000
Sarıçam - 1+1,8000
Sarıçam - 1+1,8500
Sarıçam / Sofulu - 1+1,10500
Sarıçam / Sofulu - 1+1,7000
Sarıçam / Sofulu - 1+1,9750
Kozan / Merkez - 3+1,9000
Çukurova / Beyazevler - Stüdyo (1+0),7500
Seyhan / Denizli - 2+1,9500
Kozan / Mahmutlu - 3+1,10000
Yumurtalık - 2+1,2000
Sarıçam - 1+1,9500
Sarıçam - 1+1,9000
Sarıçam / Sofulu - 2+1,10000
Yüreğir / Pttevleri - 2+1,10500
Seyhan / Köyler - 3+1,9000
Seyhan / Yenibaraj - Stüdyo (1+0),9000
Sarıçam - 1+1,7250
Kozan / Çarşı - 3+1,9000
Sarıçam / Sofulu - 1+1,6500
Sarıçam - 1+1,9000
Sarıçam / Sofulu - 2+1,9250
Sarıçam - 2+1,9500
Sarıçam - 1+1,10000
Sarıçam / Mehmet Akif Ersoy - 1+1,10000
Sarıçam / Köyler - 1+1,7000
Seyhan / Yenibaraj - Stüdyo (1+0),10000
Seyhan / Yeşilyurt - 2+1,8500
Sarıçam / Sofulu - 1+1,10000
Sarıçam / Köyler - 2+1,10000
Çukurova / Beyazevler - Stüdyo (1+0),7000
Çukurova / Beyazevler - Stüdyo (1+0),7500
Çukurova / Mahfesığmaz - Stüdyo (1+0),9000
Sarıçam - 1+1,8500
Sarıçam / Sofulu - 1+1,10000
Çukurova / Beyazevler - Stüdyo (1+0),10000
Sarıçam / Köyler - 1+1,8000
Seyhan / Yenibaraj - Stüdyo (1+0),9000
Sarıçam - 2+1,9000
Sarıçam - 1+1,6500
Seyhan / Yeşilyurt - Stüdyo (1+0),8000
Sarıçam / Sofulu - 1+1,8750
Seyhan / Köyler - 3+1,9000
Sarıçam / Yıldırım Beyazıt - 2+1,9000
Sarıçam - 3+1,9200
Sarıçam - 1+1,7500
Sarıçam - 1+1,8000
Çukurova / Mahfesığmaz - Stüdyo (1+0),9000
Sarıçam / Sofulu - 1+1,10000
Kozan / Merkez - 2+1,10500
Seyhan / Yeşilyurt - 2+1,8500
Sarıçam / Sofulu - 1+1,10000
Sarıçam / Yıldırım Beyazıt - 3+1,10000
Kozan / Köyler - 1+1,10000
Çukurova / Merkez - 1+1,10000
Çukurova / Beyazevler - Stüdyo (1+0),10500
Seyhan / Yeşilyurt - Stüdyo (1+0),7500
Kozan / Çarşı - 2+1,10500
Sarıçam / Sofulu - 1+1,7000
Seyhan / Yenibaraj - Stüdyo (1+0),10000
Sarıçam / Sofulu - 1+1,9000
Sarıçam - 2+1,10000
Sarıçam / Sofulu - 2+1,10000
Seyhan / Yenibaraj - Stüdyo (1+0),8500
Sarıçam / Sofulu - 1+1,8000
Kozan / Merkez - 2+1,10000
