City,District,Rooms,Price
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,18500.0
Ankara_Akyurt,AkyurtYıldırım Mh.,2+1,15000.0
Ankara_Akyurt,AkyurtAtatürk Mh.,2+1,15000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,17500.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,18000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,18000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,20000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,27100.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,17000.0
Ankara_Akyurt,AkyurtYeşiltepe Mh.,3+1,16000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,17000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,2+1,16750.0
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,25000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,2+1,14000.0
Ankara_Akyurt,AkyurtSaracalar Mah.,2+1,21000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,20000.0
Ankara_Akyurt,AkyurtYeşiltepe Mh.,2+1,14000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,14500.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,18500.0
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,25000.0
Ankara_Akyurt,AkyurtYeşiltepe Mh.,2+1,19500.0
Ankara_Akyurt,AkyurtBeyazıt Mh.,3+1,17500.0
Ankara_Akyurt,AkyurtYıldırım Mh.,2+1,15000.0
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,19000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,18500.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,18500.0
Ankara_Akyurt,AkyurtYeşiltepe Mh.,2+1,19000.0
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,14750.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,17000.0
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,16000.0
