Price,Location,Rooms
45.000 TL,Alanya,4+1
30.000 TL,Alanya,2+1
42.500 TL,Manavgat,2+1
25.000 TL,Konyaaltı/Merkez,2+1
39.000 TL,Muratpaşa/Lara,3+1
29.000 TL,Konyaaltı/Arapsuyu,2+1
35.000 TL,Konyaaltı/Merkez,2+1
28.000 TL,Aksu,1+1
34.000 TL,Konyaaltı/Merkez,3+1
15.000 TL,Alanya,1+1
24.000 TL,Kepez/Düdenbaşı,1+1
65.000 TL,Konyaaltı/Arapsuyu,2+1
25.000 TL,Konyaaltı/Arapsuyu,Stüdyo (1+0)
14.999 TL,Alanya/Beldeler,1+1
28.000 TL,Alanya,1+1
25.000 TL,Alanya,2+1
30.000 TL,Alanya,2+1
22.000 TL,Alanya/Beldeler,1+1
38.000 TL,Alanya/Beldeler,2+1
20.000 TL,Aksu,1+1
30.000 TL,Konyaaltı/Arapsuyu,1+1
27.000 TL,Konyaaltı/Arapsuyu,1+1
19.000 TL,Konyaaltı/Merkez,1+1
45.000 TL,Aksu,1+1
30.000 TL,Alanya/Beldeler,2+1
50.000 TL,Aksu,1+1
45.000 TL,Aksu,2+1
40.000 TL,Alanya/Beldeler,3+1
17.000 TL,Alanya/Beldeler,1+1
25.000 TL,Alanya,2+1
31.000 TL,Alanya,1+1
35.000 TL,Alanya,2+1
22.000 TL,Konyaaltı/Merkez,1+1
35.000 TL,Alanya,2+1
12.500 TL,Alanya,1+1
17.500 TL,Alanya,2+1
50.000 TL,Alanya,1+1
35.000 TL,Aksu,2+1
50.000 TL,Alanya,1+1
75.000 TL,Konyaaltı/Arapsuyu,3+1
27.500 TL,Muratpaşa/Lara,2+1
15.000 TL,Alanya,1+1
35.000 TL,Alanya,2+1
28.500 TL,Alanya,1+1
33.500 TL,Alanya,2+1
19.000 TL,Alanya,2+1
35.000 TL,Manavgat,2+1
98.000 TL,Konyaaltı/Arapsuyu,4+2
40.000 TL,Alanya,2+1
32.000 TL,Alanya,1+1
9.500 TL,Muratpaşa/Meltem,Stüdyo (1+0)
18.000 TL,Alanya,1+1
15.000 TL,Alanya,1+1
18.000 TL,Alanya,1+1
12.500 TL,Alanya/Beldeler,Stüdyo (1+0)
33.000 TL,Aksu/Köyler,1+1
18.000 TL,Kepez/Sütçüler,1+1
35.000 TL,Alanya,1+1
14.000 TL,Alanya,1+1
40.000 TL,Kumluca,4+1
32.500 TL,Konyaaltı/Arapsuyu,2+1
45.000 TL,Manavgat,2+1
35.000 TL,Alanya,2+1
22.000 TL,Alanya/Beldeler,2+1
25.000 TL,Alanya,1+1
31.500 TL,Alanya/Beldeler,1+1
25.000 TL,Konyaaltı/Merkez,1+1
27.000 TL,Serik,1+1
20.000 TL,Finike/Beldeler,1+1
58.000 TL,Manavgat,2+1
33.000 TL,Serik,2+1
32.000 TL,Aksu,1+1
40.000 TL,Alanya/Beldeler,2+1
30.000 TL,Konyaaltı/Arapsuyu,2+1
20.000 TL,Gazipaşa,1+1
10.000 TL,Konyaaltı/Arapsuyu,Stüdyo (1+0)
23.000 TL,Serik,1+1
42.000 TL,Muratpaşa/Gençlik,1+1
29.500 TL,Konyaaltı/Merkez,1+1
18.000 TL,Finike/Beldeler,1+1
30.000 TL,Konyaaltı/Merkez,1+1
13.000 TL,Alanya,1+1
55.000 TL,Alanya,4+1
30.500 TL,Konyaaltı/Arapsuyu,2+1
25.500 TL,Alanya,2+1
40.000 TL,Aksu,1+1
8.000 TL,Muratpaşa/Meltem,Stüdyo (1+0)
16.000 TL,Alanya,1+1
37.000 TL,KonyaaltıMerkez,1+1
18.000 TL,Alanya,1+1
37.000 TL,Alanya,2+1
100.000 TL,Konyaaltı/Arapsuyu,3+1
25.000 TL,Alanya/Beldeler,1+1
8.000 TL,Alanya/Demirtaş,1+1
35.000 TL,Alanya,1+1
30.000 TL,Alanya/Beldeler,Stüdyo (1+0)
10.000 TL,Kepez/Ahatlı,Stüdyo (1+0)
10.000 TL,Muratpaşa/Bahçelievler,Stüdyo (1+0)
17.000 TL,Alanya,1+1
10.000 TL,Alanya,1+1
25.000 TL,Alanya,1+1
18.500 TL,Alanya,1+1
40.000 TL,Alanya/Beldeler,2+1
40.000 TL,Konyaaltı/Arapsuyu,2+1
18.000 TL,Alanya,1+1
88.000 TL,Konyaaltı/Merkez,3+1
23.000 TL,Alanya,1+1
35.000 TL,Alanya,1+1
50.000 TL,Alanya,1+1
20.000 TL,Alanya,1+1
13.000 TL,Alanya,1+1
30.000 TL,Aksu,1+1
23.000 TL,Alanya,1+1
16.000 TL,Alanya,1+1
20.000 TL,Alanya/Beldeler,1+1
20.000 TL,Gazipaşa,1+1
23.000 TL,Aksu,1+1
49.500 TL,Alanya,2+1
35.000 TL,Alanya/Beldeler,2+1
15.000 TL,Gazipaşa,1+1
30.000 TL,Serik/Belek,3+1
10.000 TL,Aksu,2+1
13.000 TL,Kumluca/Beldeler,2+1
17.000 TL,Döşemealtı/Merkez,2+1
35.000 TL,Alanya,4+1
25.000 TL,Aksu,2+1
3.000 TL,Demre/Kale(Demre),2+1
40.000 TL,Kemer/Köyler,1+1
40.000 TL,Kumluca/Mavikent,4+2
11.000 TL,Kepez/Erenköy,1+1
20.000 TL,Aksu,3+1
2.000 TL,Demre/Kale(Demre),1+1
12.000 TL,Alanya/İncekum (Yeşilköy),2+1
15.000 TL,Kaş/Kalkan,2+1
16.000 TL,Kepez/Varsak,3+2
40.000 TL,Kemer,Stüdyo (1+0)
22.000 TL,Konyaaltı/Köyler,1+1
24.000 TL,Manavgat,Stüdyo (1+0)
18.000 TL,Kaş/Köyler,1+1
18.500 TL,Kepez/Altınova,2+1
23.000 TL,Konyaaltı/Köyler,3+1
3.500 TL,Demre/Köyler,2+1
45.000 TL,Konyaaltı/Köyler,2+1
13.000 TL,Serik,1+1
40.000 TL,Kemer,2+1
35.000 TL,Kemer/Köyler,2+1
60.000 TL,Muratpaşa/Fener,2+1
34.000 TL,Kaş/Köyler,3+2
50.000 TL,Aksu,2+1
20.000 TL,Konyaaltı/Köyler,2+1
20.000 TL,Aksu/Çalkaya,1+1
2.000 TL,Kaş/Köyler,1+1
80.000 TL,Kaş/Köyler,1+1
840.000 TL,Kemer,7+1
30.000 TL,Kumluca/Köyler,2+1
40.000 TL,Kumluca/Köyler,2+1
15.000 TL,Manavgat/Köyler,3+1
15.500 TL,Kepez/Varsak,2+1
25.000 TL,Aksu,3+1
40.000 TL,Kemer,2+1
17.500 TL,Döşemealtı/Merkez,1+1
110.000 TL,Serik/Belek,4+1
15.000 TL,Kumluca/Köyler,1+1
15.000 TL,Aksu,2+1
25.000 TL,Döşemealtı/Merkez,3+1
35.000 TL,Muratpaşa/Lara,1+1
20.000 TL,Aksu,2+1
39.000 TL,Konyaaltı/Köyler,1+1
17.000 TL,Kumluca/Köyler,1+1
16.000 TL,Serik,2+1
38.000 TL,Konyaaltı/Arapsuyu,2+1
35.000 TL,Kumluca/Beldeler,2+1
30.000 TL,Kumluca/Beldeler,1+1
10.000 TL,Kumluca/Köyler,1+1
10.000 TL,Kepez/Erenköy,1+1
13.500 TL,Aksu/Çalkaya,2+1
15.000 TL,Kepez/Köyler,2+1
20.000 TL,Kemer/Köyler,2+1
1.500 TL,Konyaaltı/Köyler,2+1
25.000 TL,Kemer,2+1
38.000 TL,Aksu,3+1
6.000 TL,Kaş/Kalkan,1+1
42.000 TL,Kepez/Duraliler,5+1
13.000 TL,Serik,3+1
30.000 TL,Aksu/Pınarlı,1+1
10.500 TL,Manavgat/Oymapınar,2+1
17.000 TL,Alanya,3+1
30.000 TL,Manavgat/Köyler,2+1
19.000 TL,Kepez/Ahatlı,2+1
2.500 TL,Kaş/Köyler,1+1
18.000 TL,Manavgat/Taşağıl,2+1
15.000 TL,Kepez/Erenköy,3+1
2.250 TL,AksuPınarlı,6+1
50.000 TL,Manavgat/Çolaklı,2.5+1
20.000 TL,Alanya,3+1
30.000 TL,Manavgat/Köyler,3+1
65.000 TL,Kepez/Duraliler,6+1
27.500 TL,Kaş/Köyler,1+1
2.250 TL,Manavgat/Çolaklı,2+1
25.000 TL,Alanya/Köyler,3+1
20.000 TL,Kemer/Köyler,1+1
8.000 TL,Kaş/Kalkan,1+1
25.000 TL,Konyaaltı/Merkez,Stüdyo (1+0)
22.000 TL,Muratpaşa/Güzeloluk,2+1
9.000 TL,SerikKöyler,1+1
57.500 TL,Döşemealtı/Merkez,4+1
50.000 TL,Kaş/Kalkan,2+1
15.900 TL,Serik/Köyler,2+1
18.000 TL,Konyaaltı/Köyler,3+1
20.000 TL,Konyaaltı/Arapsuyu,3+1
15.500 TL,Muratpaşa/Güzeloluk,2+1
40.000 TL,Kaş/Köyler,4+1
19.000 TL,Kemer/Tekirova,1+1
9.000 TL,Aksu/Çalkaya,1+1
15.000 TL,Kaş/Köyler,1+1
1.800 TL,Demre/Kale(Demre),2+0
52.000 TL,Döşemealtı/Merkez,2+1
25.000 TL,Kaş,1+1
40.000 TL,Kaş/Kalkan,1+1
10.000 TL,Gazipaşa/Köyler,2+1
22.500 TL,Aksu,1+1
250.000 TL,Döşemealtı/Yeşilbayır,6+1
240.000 TL,Döşemealtı/Yeşilbayır,6+1
230.000 TL,Döşemealtı/Yeşilbayır,8+2
180.000 TL,Döşemealtı/Yeşilbayır,6+1
30.000 TL,Alanya/İncekum (Yeşilköy),4+1
5.000 TL,Kaş/Köyler,3+1
40.000 TL,Manavgat,4+1
30.000 TL,Manavgat/Köyler,2+1
75.000 TL,Kepez/Duraliler,3+1
37.000 TL,Kaş/Köyler,1+1
7.000 TL,Serik/Belek,6+1
9.000 TL,Kaş/Köyler,1+1
135.000 TL,Döşemealtı/Merkez,5+1
75.000 TL,Serik,4+1
70.000 TL,Muratpaşa/Lara,3+1
65.000 TL,Alanya,3+1
70.000 TL,Serik,3+1
65.000 TL,SerikBelek,3+1
35.000 TL,Kaş/Kalkan,1+1
60.000 TL,Serik,7+1
60.000 TL,Serik,5+1
64.000 TL,Kaş/Kalkan,2+1
35.000 TL,Aksu/Köyler,4+1
40.000 TL,Serik,3+1
60.000 TL,DöşemealtıYeşilbayır,4+1
50.000 TL,Kepez/Köyler,4+1
50.000 TL,Alanya/İncekum (Yeşilköy),4+1
30.000 TL,Manavgat/Köyler,3+1
95.000 TL,Döşemealtı/Yeşilbayır,4+1
110.000 TL,Döşemealtı/Merkez,5+1
65.000 TL,Konyaaltı/Köyler,3+2
60.000 TL,Döşemealtı/Merkez,5+1
50.000 TL,Serik,4+1
60.000 TL,Kemer/Tekirova,3+1
35.000 TL,Serik,3+1
70.000 TL,Alanya,5+1
5.000 TL,Kaş/Kalkan,3+1
95.000 TL,Serik,4+1
60.000 TL,Kemer,3+1
42.000 TL,Alanya/Beldeler,2+1
80.000 TL,Kemer,4+1
300.000 TL,Konyaaltı/Arapsuyu,4+1
180.000 TL,Konyaaltı/Arapsuyu,5+1
70.000 TL,Kepez/Varsak,5+1
34.000 TL,Kumluca/Beykonak,4+1
25.000 TL,Alanya,2+1
65.000 TL,Aksu,3+1
65.000 TL,Aksu,3+1
20.500 TL,Manavgat/Çolaklı,2+1
15.000 TL,Kaş/Köyler,2+1
55.000 TL,Konyaaltı/Köyler,4+1
75.000 TL,Kemer,3+1
150.000 TL,Serik,4+1
50.000 TL,Kaş/Kalkan,4+1
70.000 TL,Serik/Belek,5+2
180.000 TL,Döşemealtı/Düzlerçamı,5+1
5.000 TL,Alanya,4+1
55.000 TL,Kaş/Kalkan,4+1
50.000 TL,Serik,4+1
64.000 TL,Serik/Belek,4+1
85.000 TL,Kaş/Kalkan,4+1
80.000 TL,Serik,6+1
40.000 TL,Alanya,3+1
10.000 TL,Kaş/Kalkan,4+1
5.000 TL,Kemer,4+1
5.000 TL,Kaş/Kalkan,1+1
5.000 TL,Kaş/Kalkan,2+1
5.000 TL,Kaş/Kalkan,1+1
95.000 TL,Döşemealtı/Merkez,4+1
270.000 TL,Muratpaşa/Lara,4+1
87.500 TL,Serik,6+2
130.000 TL,Konyaaltı/Arapsuyu,6+1
79.500 TL,Aksu,5+1
44.990 TL,Alanya,3+1
38.000 TL,Konyaaltı/Arapsuyu,2+1
180.000 TL,Konyaaltı/Arapsuyu,5+1
45.000 TL,Kaş/Kalkan,3+1
50.000 TL,Alanya,2+1
45.000 TL,Serik,3+1
5.000 TL,Kaş/Köyler,2+1
7.000 TL,Kaş/Köyler,3+1
135.000 TL,Muratpaşa/Gençlik,2+1
12.000 TL,Kaş/Kalkan,2+1
35.000 TL,Alanya,2+1
70.000 TL,Serik/Belek,4+1
12.000 TL,Kaş/Kalkan,4+1
