product_name,price
Doğubayazıt / Doğubeyazıt - 2+1,12.000 TL
Merkez / Kazımkarabekir - 2+1,12.000 TL
Patnos - 1+1,9.000 TL
Merkez / Kazımkarabekir - 2+1,12.000 TL
Doğubayazıt / Merkez - 1+1,12.000 TL
Merkez / Kazımkarabekir - 3+1,12.000 TL
Merkez / Kazımkarabekir - 3+1,12.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,10.000 TL
Patnos - 1+1,11.111 TL
Merkez / Kazımkarabekir - 1+1,10.000 TL
Merkez / Kazımkarabekir - 1+1,9.000 TL
Merkez / Kazımkarabekir - 3+1,12.000 TL
Diyadin - 3+1,10.000 TL
Doğubayazıt / Merkez - 1+1,11.000 TL
Merkez / Kazımkarabekir - Stüdyo (1+0),12.000 TL
Doğubayazıt / Doğubeyazıt - 2+1,12.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,11.500 TL
Patnos - 1+1,12.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,12.000 TL
Doğubayazıt / Doğubeyazıt - Stüdyo (1+0),10.000 TL
Patnos - 1+1,1.111 TL
Doğubayazıt / Doğubeyazıt - 1+1,12.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,12.000 TL
Patnos - 2+0,1.111 TL
Merkez / Kazımkarabekir - 2+1,12.000 TL
Merkez / Kazımkarabekir - 1+1,11.500 TL
Merkez / Kazımkarabekir - 3+1,11.500 TL
Patnos - 2+1,11.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,11.000 TL
Merkez / Kazımkarabekir - 3+1,14.000 TL
Merkez / Kazımkarabekir - 3+1,13.000 TL
Merkez / Kazımkarabekir - 3+1,15.000 TL
Merkez / Kazımkarabekir - 3+1,14.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Merkez / Kazımkarabekir - 3+1,13.000 TL
Diyadin - 2+1,13.250 TL
Merkez / Kazımkarabekir - 3+1,14.000 TL
Doğubayazıt / Merkez - 3+1,14.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,14.000 TL
Doğubayazıt / Merkez - 1+1,13.000 TL
Doğubayazıt / Merkez - 2+1,14.000 TL
Patnos - 1+1,13.000 TL
Merkez / Kazımkarabekir - 3+1,14.000 TL
Merkez / Kazımkarabekir - 3+1,15.000 TL
Patnos - 1+1,14.000 TL
Merkez / Kazımkarabekir - 2+1,14.500 TL
Merkez / Kazımkarabekir - 2+1,14.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Merkez / Kazımkarabekir - 2+1,13.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,14.500 TL
Doğubayazıt / Merkez - 3+1,14.000 TL
Doğubayazıt / Merkez - 2+1,13.000 TL
Merkez / Kazımkarabekir - 1+1,13.000 TL
Merkez / Kazımkarabekir - 1+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,14.000 TL
Merkez / Fevziçakmak - 2+1,14.000 TL
Patnos / Tutak - 2+1,13.000 TL
Merkez / Kazımkarabekir - 2+1,13.000 TL
Merkez / Kazımkarabekir - 2+1,14.000 TL
Doğubayazıt / Merkez - 3+1,15.000 TL
Doğubayazıt / Merkez - 3+1,15.000 TL
Diyadin - 5+1,13.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,13.500 TL
Merkez / Kazımkarabekir - 3+1,14.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Merkez / Kazımkarabekir - 3+1,15.000 TL
Patnos - 2+1,15.000 TL
Merkez / Kazımkarabekir - 3+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,13.000 TL
Merkez / Kazımkarabekir - 3+1,13.500 TL
Eleşkirt - 1+1,12.500 TL
Patnos - 1+1,15.000 TL
Doğubayazıt / Merkez - 3+1,13.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Patnos - 2+1,14.250 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,13.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,15.000 TL
Merkez / Kazımkarabekir - 3+1,15.000 TL
Patnos - 1+1,13.000 TL
Merkez / Kazımkarabekir - 3+1,14.500 TL
Doğubayazıt / Doğubeyazıt - 2+1,13.000 TL
Merkez / Kazımkarabekir - 3+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 2+1,13.000 TL
Patnos - 2+0,13.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,13.000 TL
Patnos - 1+1,12.500 TL
Merkez / Kazımkarabekir - 3+1,13.000 TL
Patnos - 1+1,14.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,13.500 TL
Doğubayazıt / Merkez - 1+1,13.000 TL
Merkez / Kazımkarabekir - 3+1,14.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.000 TL
Doğubayazıt / Doğubeyazıt - 2+1,14.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,14.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,14.000 TL
Diyadin - 2+1,16.300 TL
Merkez / Kazımkarabekir - 3+1,18.000 TL
Merkez / Kazımkarabekir - 3+1,16.500 TL
Merkez / Kazımkarabekir - 4+1,16.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,17.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,17.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,17.000 TL
Merkez / Fevziçakmak - 1+1,17.250 TL
Doğubayazıt / Doğubeyazıt - 1+1,17.000 TL
Merkez / Kazımkarabekir - 2+1,18.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,17.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,17.000 TL
Merkez / Kazımkarabekir - 2+1,16.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,17.000 TL
Patnos - 2+1,18.000 TL
Merkez / Kazımkarabekir - 2+1,18.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,15.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,16.000 TL
Merkez / Kazımkarabekir - 1+1,17.500 TL
Merkez / Kazımkarabekir - 3+1,18.000 TL
Merkez / Kazımkarabekir - 2+1,17.000 TL
Merkez / Kazımkarabekir - 3+1,18.000 TL
Merkez / Kazımkarabekir - 1+1,16.500 TL
Merkez / Kazımkarabekir - 2+1,18.000 TL
Doğubayazıt / Doğubeyazıt - 2+1,17.000 TL
Merkez / Kazımkarabekir - 3+1,17.000 TL
Merkez / Kazımkarabekir - 3+1,16.000 TL
Doğubayazıt / Doğubeyazıt - 2+1,16.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,17.000 TL
Merkez / Kazımkarabekir - 3+1,18.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,17.000 TL
Doğubayazıt / Doğubeyazıt - 2+1,18.000 TL
Merkez / Fevziçakmak - 2+1,17.500 TL
Merkez / Kazımkarabekir - 1+1,17.750 TL
Merkez / Kazımkarabekir - 1+1,17.000 TL
Merkez / Kazımkarabekir - 3+1,16.000 TL
Merkez / Fevziçakmak - 1+1,15.450 TL
Merkez / Kazımkarabekir - 4+1,16.500 TL
Eleşkirt - 1+1,16.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,18.000 TL
Eleşkirt - 1+1,16.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,17.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,16.000 TL
Merkez / Kazımkarabekir - 3+1,16.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,16.000 TL
Merkez / Kazımkarabekir - 3+1,16.500 TL
Merkez / Kazımkarabekir - 2+1,17.500 TL
Merkez / Kazımkarabekir - 3+1,16.000 TL
Patnos - 2+1,17.000 TL
Merkez / Kazımkarabekir - 2+1,17.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,16.000 TL
Merkez / Kazımkarabekir - 3+1,16.000 TL
Merkez / Kazımkarabekir - 3+1,16.500 TL
Merkez / Kazımkarabekir - 2+1,16.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,16.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,16.500 TL
Doğubayazıt / Doğubeyazıt - 1+1,17.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,18.000 TL
Merkez / Kazımkarabekir - 1+1,17.000 TL
Merkez / Kazımkarabekir - 1+1,19.000 TL
Merkez / Kazımkarabekir - 1+1,22.000 TL
Doğubayazıt / Doğubeyazıt - 3+1,22.000 TL
Merkez / Kazımkarabekir - 1+1,19.750 TL
Merkez / Kazımkarabekir - 3+1,18.500 TL
Merkez / Kazımkarabekir - 3+1,20.000 TL
Merkez / Kazımkarabekir - 1+1,20.500 TL
Patnos - 2+1,20.000 TL
Merkez / Kazımkarabekir - 3+1,19.000 TL
Merkez / Kazımkarabekir - 4+1,20.000 TL
Merkez / Kazımkarabekir - 3+1,20.500 TL
Merkez / Kazımkarabekir - 3+1,20.000 TL
Merkez / Kazımkarabekir - 3+1,20.000 TL
Merkez / Kazımkarabekir - 1+1,19.500 TL
Merkez / Kazımkarabekir - 1+1,18.500 TL
Merkez / Fevziçakmak - 3+1,20.500 TL
Merkez / Kazımkarabekir - 1+1,22.000 TL
Merkez / Kazımkarabekir - 1+1,19.500 TL
Merkez / Kazımkarabekir - 1+1,22.000 TL
Doğubayazıt / Merkez - 3+1,21.000 TL
Merkez / Kazımkarabekir - 3+1,20.000 TL
Merkez / Kazımkarabekir - 1+1,19.000 TL
Doğubayazıt / Doğubeyazıt - 1+1,20.000 TL
Patnos - 2+1,20.000 TL
Merkez / Kazımkarabekir - 2+1,25.000 TL
Merkez / Kazımkarabekir - 3+1,27.500 TL
Merkez / Kazımkarabekir - 3+1,24.000 TL
Merkez / Köyler - 3+1,26.000 TL
Merkez / Kazımkarabekir - 3+1,22.500 TL
Merkez / Kazımkarabekir - 4+1,26.000 TL
Merkez / Kazımkarabekir - 1+1,24.000 TL
Merkez / Kazımkarabekir - 1+1,24.000 TL
Merkez / Kazımkarabekir - 4+1,25.000 TL
Merkez / Kazımkarabekir - 2+1,25.000 TL
Merkez / Kazımkarabekir - 1+1,24.000 TL
Merkez / Kazımkarabekir - 3+1,24.000 TL
Merkez / Kazımkarabekir - 2+1,23.000 TL
Merkez / Kazımkarabekir - 3+1,32.000 TL
Merkez / Kazımkarabekir - 3+1,30.000 TL
