District,Rooms,Price
Merkez / Bahçelievler,3+1,10.000 TL
Gölhisar,1+1,12.000 TL
Merkez / Bahçelievler,Stüdyo (1+0),10.000 TL
Merkez / Yenice,1+1,12.000 TL
Merkez / Yenice,1+1,12.000 TL
Merkez / Bahçelievler,Stüdyo (1+0),7.000 TL
Bucak / Merkez,1+1,8.000 TL
Merkez / Bahçelievler,2+1,10.000 TL
Merkez / Çeşmedamı,Stüdyo (1+0),10.000 TL
Gölhisar,1+1,12.000 TL
Merkez / Bahçelievler,2+1,10.000 TL
Merkez / Çeşmedamı,1+1,10.000 TL
Bucak / Merkez,3+1,9.000 TL
Merkez / Bahçelievler,2+0,12.000 TL
Merkez / Bahçelievler,2+1,12.000 TL
Bucak / Merkez,3+1,12.000 TL
Merkez / Çeşmedamı,1+1,9.500 TL
Merkez / Bahçelievler,2+1,11.500 TL
Merkez / Yenice,1+1,12.000 TL
Merkez / Bahçelievler,Stüdyo (1+0),6.500 TL
Merkez / Bahçelievler,1+1,11.000 TL
Merkez / Çeşmedamı,1+1,10.000 TL
Merkez / Sanayi,2+0,12.000 TL
Merkez / Çeşmedamı,3+1,9.000 TL
Merkez / Yenice,3+1,9.000 TL
Merkez / Yenice,2+1,10.000 TL
Merkez / Bahçelievler,1+1,12.000 TL
Merkez / Çeşmedamı,Stüdyo (1+0),10.000 TL
Bucak / Merkez,2+0,12.000 TL
Bucak / Merkez,1+1,12.000 TL
Merkez / Bahçelievler,2+1,12.000 TL
Merkez / Bahçelievler,1+1,11.000 TL
Merkez / Bahçelievler,1+1,7.500 TL
Merkez / Bahçelievler,2+0,12.000 TL
Merkez / Bahçelievler,2+1,11.500 TL
Merkez / Çeşmedamı,Stüdyo (1+0),10.000 TL
Merkez / Bahçelievler,1+1,12.000 TL
Merkez / Bahçelievler,3+1,9.000 TL
Ağlasun,2+1,8.000 TL
Merkez / Bahçelievler,1+1,10.000 TL
Merkez / Sanayi,1+1,12.000 TL
Merkez / Bahçelievler,2+0,12.000 TL
Bucak / Merkez,1+1,5.000 TL
Merkez / Yenice,2+1,10.000 TL
Merkez / Bahçelievler,2+1,10.000 TL
Merkez / Yenice,3+1,11.000 TL
Merkez / Bahçelievler,1+1,12.000 TL
Merkez / Çeşmedamı,1+1,10.000 TL
Merkez / Bahçelievler,1+1,11.000 TL
Merkez / Çeşmedamı,2+0,11.500 TL
Merkez / Yenice,2+0,7.500 TL
Merkez / Yenice,Stüdyo (1+0),9.000 TL
Bucak / Merkez,1+1,12.000 TL
Bucak / Merkez,3+1,8.500 TL
Merkez / Bahçelievler,1+1,11.000 TL
Merkez / Çeşmedamı,1+1,12.000 TL
Gölhisar,1+1,12.000 TL
Merkez / Bahçelievler,2+1,12.000 TL
Merkez / Sanayi,2+0,11.000 TL
Merkez / Bahçelievler,2+1,9.000 TL
Merkez / Bahçelievler,1+1,11.000 TL
Merkez / Yenice,3+1,8.000 TL
Merkez / Bahçelievler,3+1,11.000 TL
Bucak / Merkez,2+0,10.000 TL
Kemer,5+1,10.000 TL
Merkez / Çeşmedamı,5+1,11.000 TL
Gölhisar,1+1,12.000 TL
Merkez / Bahçelievler,1+1,11.500 TL
Merkez / Yenice,1+1,11.500 TL
