District,Rooms,Price
Nilüfer / Görükle,2+1,11.000 TL
Nilüfer / Görükle,Stüdyo (1+0),8.000 TL
Nilüfer / Görükle,2+1,11.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Nilüfer / Görükle,2+1,10.000 TL
Osmangazi / Tayakadın,Stüdyo (1+0),9.500 TL
Nilüfer / Görükle,Stüdyo (1+0),9.000 TL
Nilüfer / Görükle,2+1,11.000 TL
Nilüfer / Görükle,1+1,10.500 TL
Yıldırım / Eğitim,2+1,10.000 TL
Yıldırım / Arabayatağı,2+1,8.000 TL
Yıldırım / Emirsultan,2+1,10.000 TL
Osmangazi / Kovukçınar,2+1,9.500 TL
Nilüfer / Görükle,1+1,11.000 TL
Orhangazi,2+1,10.000 TL
İnegöl,2+1,11.000 TL
Nilüfer / Görükle,2+1,11.000 TL
Gemlik,2+1,11.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Yıldırım / Duaçınarı,3+1,10.000 TL
Nilüfer / Görükle,2+0,11.500 TL
Osmangazi / Kovukçınar,2+1,9.500 TL
Osmangazi / Soğanlı,2+1,10.000 TL
Nilüfer / Görükle,1+1,11.000 TL
İnegöl,1+1,10.500 TL
Yıldırım / Yeşilyayla,2+1,11.000 TL
Osmangazi / Çirişhane,1+1,9.000 TL
Nilüfer / Görükle,1+1,11.750 TL
Yıldırım / Eğitim,2+1,10.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Osmangazi / Altıparmak,2+1,11.000 TL
Nilüfer / Görükle,Stüdyo (1+0),6.000 TL
Nilüfer / Görükle,Stüdyo (1+0),8.000 TL
Osmangazi / Demirtaş,1+1,11.000 TL
İnegöl,2+1,11.000 TL
Osmangazi / Çekirge,1+1,10.000 TL
Yıldırım / Yeşilyayla,2+1,10.000 TL
Nilüfer / Beşevler,Stüdyo (1+0),7.500 TL
Osmangazi / Soğanlı,2+1,9.000 TL
Yıldırım / Yeşilyayla,2+1,11.000 TL
Nilüfer / Görükle,2+1,10.000 TL
Yıldırım / Yeşilyayla,2+1,11.000 TL
Nilüfer / Görükle,1+1,10.000 TL
Yıldırım / Hacıvat,2+1,10.000 TL
Nilüfer / Görükle,Stüdyo (1+0),11.000 TL
Osmangazi / Çirişhane,Stüdyo (1+0),11.000 TL
Gemlik,2+1,10.000 TL
Gürsu,2+1,8.500 TL
Mudanya / Zeytinbağı,Stüdyo (1+0),5.000 TL
İnegöl,Stüdyo (1+0),8.500 TL
Osmangazi / Tayakadın,Stüdyo (1+0),9.000 TL
Nilüfer / Görükle,Stüdyo (1+0),8.000 TL
Osmangazi / Tayakadın,Stüdyo (1+0),10.000 TL
Karacabey,2+1,10.000 TL
Nilüfer / Ataevler,1+1,10.500 TL
Yıldırım / Yeşilyayla,1+1,10.500 TL
Osmangazi / Maksem,2+1,10.000 TL
Nilüfer / Görükle,1+1,11.500 TL
Nilüfer / Görükle,2+1,11.000 TL
Nilüfer / Görükle,1+1,10.500 TL
Yıldırım,2+1,11.000 TL
Nilüfer / Görükle,Stüdyo (1+0),11.000 TL
Yıldırım / Emirsultan,2+1,10.000 TL
Yıldırım / Yeşilyayla,3+1,11.000 TL
Nilüfer / Beşevler,Stüdyo (1+0),9.500 TL
Nilüfer / Görükle,1+1,11.000 TL
Gemlik,2+1,10.250 TL
İnegöl,1+1,10.000 TL
Osmangazi / Çirişhane,3+1,10.000 TL
Mudanya,1+1,11.000 TL
Osmangazi / Kovukçınar,3+1,11.000 TL
İnegöl / Köyler,2+1,11.000 TL
Osmangazi / Ovaakça,2+1,11.000 TL
Osmangazi / Çirişhane,1+1,10.000 TL
Osmangazi / Çekirge,1+1,11.000 TL
Yıldırım / Arabayatağı,2+1,8.500 TL
Nilüfer / Beşevler,Stüdyo (1+0),10.500 TL
Osmangazi / Emek,2+1,11.000 TL
Yıldırım / Arabayatağı,2+1,10.000 TL
Yıldırım,3+1,9.000 TL
Nilüfer / Görükle,Stüdyo (1+0),11.500 TL
Osmangazi / Maksem,1+1,9.000 TL
Nilüfer / Görükle,2+1,11.000 TL
Yıldırım / Yeşilyayla,2+0,10.000 TL
Gürsu,2+1,7.500 TL
Gürsu / Köyler,2+1,8.000 TL
Osmangazi,2+1,10.000 TL
Gemlik,1+1,10.000 TL
Yıldırım / Yeşilyayla,2+1,9.000 TL
Gemlik,2+1,10.000 TL
Osmangazi / Demirtaş,Stüdyo (1+0),7.000 TL
Nilüfer / Görükle,2+1,10.000 TL
Nilüfer / Görükle,1+1,11.750 TL
Osmangazi / Çirişhane,3+1,11.000 TL
Yenişehir,2+1,10.000 TL
Nilüfer / Görükle,Stüdyo (1+0),11.000 TL
Gemlik,1+1,9.000 TL
Osmangazi,Stüdyo (1+0),11.000 TL
Yıldırım,Stüdyo (1+0),11.000 TL
İnegöl / Alanyurt,3+0,10.000 TL
Yıldırım / Hacıvat,2+1,11.900 TL
Nilüfer / Görükle,Stüdyo (1+0),10.000 TL
Osmangazi,2+1,10.000 TL
Osmangazi / Maksem,2+1,11.250 TL
Osmangazi / Çekirge,Stüdyo (1+0),8.000 TL
Nilüfer / Görükle,2+0,9.500 TL
Osmangazi / Altıparmak,2+1,9.750 TL
Yıldırım / Duaçınarı,2+1,11.000 TL
Osmangazi / Altıparmak,2+1,11.000 TL
Gemlik,Stüdyo (1+0),10.000 TL
İnegöl,2+1,10.000 TL
Osmangazi / Maksem,1+1,9.000 TL
Nilüfer / Görükle,Stüdyo (1+0),11.000 TL
Osmangazi / Tayakadın,Stüdyo (1+0),11.000 TL
İnegöl,2+1,11.500 TL
Osmangazi / Çekirge,2+1,10.000 TL
Nilüfer / Görükle,2+1,11.000 TL
Gemlik,2+1,11.000 TL
Yıldırım / Arabayatağı,1+1,7.500 TL
Nilüfer / Görükle,2+1,8.000 TL
İnegöl / Köyler,2+1,11.500 TL
Yıldırım / Eğitim,2+1,7.500 TL
Osmangazi / Bağlarbaşı,2+1,7.999 TL
Osmangazi / Soğanlı,2+1,11.000 TL
Gemlik,2+1,11.000 TL
Osmangazi / Maksem,2+1,8.000 TL
Nilüfer / Görükle,Stüdyo (1+0),11.000 TL
Osmangazi / Bağlarbaşı,2+1,10.000 TL
Yıldırım / Ertuğrulgazi,1+1,11.250 TL
Gemlik / Küçükkumla,4+1,8.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Osmangazi / Altıparmak,1+1,10.000 TL
Yıldırım / Eğitim,3+1,11.000 TL
Gürsu,2+1,9.500 TL
Osmangazi,Stüdyo (1+0),10.000 TL
Osmangazi / Tayakadın,Stüdyo (1+0),11.000 TL
Gürsu,2+1,8.000 TL
İnegöl,4.5+1,9.000 TL
İnegöl,2+1,10.000 TL
İnegöl,2+1,11.000 TL
Nilüfer / Görükle,2+1,10.000 TL
İnegöl,2+1,10.000 TL
Osmangazi,Stüdyo (1+0),6.500 TL
Yıldırım / Emirsultan,2+1,11.000 TL
Osmangazi / Tayakadın,2+1,10.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Nilüfer / Görükle,1+1,10.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Nilüfer / Görükle,Stüdyo (1+0),11.000 TL
Yıldırım / Ertuğrulgazi,2+1,9.000 TL
Nilüfer / Akçalar,1+1,10.000 TL
Osmangazi,3+1,10.000 TL
Gemlik,1+1,8.000 TL
Gürsu,2+1,8.000 TL
Osmangazi / Çirişhane,3+1,7.500 TL
İznik,3+1,10.000 TL
Yıldırım / Emirsultan,2+1,10.000 TL
Nilüfer / İhsaniye,Stüdyo (1+0),10.000 TL
Osmangazi / Kovukçınar,2+1,11.000 TL
Nilüfer / Merkez,2+1,11.000 TL
Nilüfer / Görükle,Stüdyo (1+0),8.500 TL
Nilüfer / Görükle,1+1,11.000 TL
Osmangazi / Kovukçınar,2+1,10.250 TL
Nilüfer / Görükle,1+1,11.000 TL
Osmangazi / Maksem,2+1,10.000 TL
Yıldırım,Stüdyo (1+0),10.000 TL
Gemlik,1+1,8.000 TL
Yenişehir,2+1,7.000 TL
Gemlik,1+1,7.000 TL
Osmangazi / Maksem,2+1,11.000 TL
Nilüfer / Görükle,Stüdyo (1+0),9.000 TL
Yıldırım / Duaçınarı,2+1,11.000 TL
Nilüfer / Görükle,2+1,10.000 TL
Nilüfer / Görükle,2+1,10.000 TL
Gemlik,2+1,8.500 TL
Yıldırım / Ertuğrulgazi,3+1,10.000 TL
Yıldırım / Esenevler,2+1,10.000 TL
Nilüfer / Görükle,2+1,10.000 TL
Osmangazi / Kovukçınar,2+0,10.000 TL
İnegöl,1+1,11.000 TL
Osmangazi / Çekirge,2+1,11.000 TL
Yıldırım / Esenevler,2+1,10.850 TL
Karacabey,2+1,10.000 TL
Osmangazi / Çirişhane,2.5+1,10.000 TL
Gürsu,2+1,11.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Osmangazi / Kovukçınar,1+1,10.000 TL
Yıldırım / Duaçınarı,1+1,11.000 TL
Gürsu / Köyler,1+1,10.000 TL
Nilüfer / Görükle,2+0,10.000 TL
Osmangazi / Soğanlı,3+1,10.000 TL
İznik / Çeltikçi,3+1,7.500 TL
Nilüfer / Görükle,2+1,11.000 TL
Gürsu,1+1,5.500 TL
Osmangazi / Çirişhane,1+1,10.000 TL
Kestel / Köyler,3+1,10.500 TL
Osmangazi / Kovukçınar,Stüdyo (1+0),10.000 TL
Kestel,Stüdyo (1+0),11.000 TL
Yıldırım / Hacıvat,2+1,11.500 TL
Yıldırım / Eğitim,2+1,10.000 TL
Yıldırım / Eğitim,3+1,11.000 TL
Yıldırım / Yeşilyayla,2+1,7.500 TL
Nilüfer / Görükle,1+1,11.000 TL
Osmangazi / Soğanlı,Stüdyo (1+0),7.000 TL
Gemlik,3+1,2.000 TL
Nilüfer / Görükle,2+1,11.500 TL
Yıldırım / Emirsultan,2+1,9.500 TL
Nilüfer / Görükle,2+1,11.000 TL
İnegöl / Tahtaköprü,2+1,11.000 TL
Gürsu,2+1,6.500 TL
Osmangazi / Soğanlı,3+1,11.000 TL
Yıldırım / Esenevler,2+1,11.500 TL
Gemlik,1+1,10.000 TL
Osmangazi / Emek,2+1,10.000 TL
Gemlik,1+1,10.000 TL
Gürsu,2+1,11.000 TL
Osmangazi / Altıparmak,2+1,11.000 TL
Osmangazi,3+1,10.000 TL
Yıldırım / Arabayatağı,2+1,11.000 TL
Nilüfer / Görükle,2+1,11.500 TL
Nilüfer / Görükle,1+1,11.500 TL
Yıldırım / Ertuğrulgazi,2+1,9.000 TL
İnegöl / Tahtaköprü,2+1,10.000 TL
Osmangazi / Altıparmak,Stüdyo (1+0),10.000 TL
