product_name,price
Merkez - 2+1,9500.0
Merkez / Bahçelievler - 4+1,9000.0
Merkez / Başbağlar - 3+1,9500.0
Çayırlı - 2+1,8000.0
Merkez - 2+1,9000.0
Merkez / Kavakyolu - 2+1,9250.0
Merkez / Yalnızbağ - 2+1,8500.0
Merkez / Çukurkuyu - 1+1,7500.0
Merkez / İnönü - 1+1,9000.0
Merkez / Akşemsettin - 3+1,8500.0
Merkez / Çarşı - 2+1,9000.0
Merkez / Başbağlar - 2+1,9500.0
Merkez / Çarşı - 2+0,15000.0
Merkez / Başbağlar - 1+1,12000.0
Merkez / Başbağlar - 1+1,15000.0
Merkez / Çarşı - 3+1,17000.0
Merkez / Akşemsettin - 2+1,18000.0
Merkez / Yalnızbağ - 3+1,16000.0
Merkez / Başbağlar - 2+1,19250.0
Merkez / İnönü - 1+1,10250.0
Merkez / İnönü - 3+1,18000.0
Merkez / Yalnızbağ - 1+1,17500.0
Merkez / Yalnızbağ - 3+1,15250.0
Merkez / Başbağlar - 1+1,17000.0
Merkez / İnönü - 2+1,13000.0
Merkez / İzzetpaşa - 2+1,15000.0
Merkez / Kavakyolu - 2+1,16000.0
Merkez / Halitpaşa - 2+1,12000.0
Merkez / Geçit - 3+1,18000.0
Merkez / Başbağlar - 1+1,14000.0
Merkez / Başbağlar - 4+1,14500.0
Merkez / Çarşı - 2+0,16000.0
Merkez / Başbağlar - 2+1,15000.0
Merkez / Çarşı - 1+1,13750.0
Merkez / Kavakyolu - 1+1,15000.0
Merkez / Çarşı - 1+1,16000.0
Merkez / Kavakyolu - 2+0,13000.0
Merkez / Yalnızbağ - 3+1,19000.0
Merkez / İnönü - 2+1,13500.0
Merkez / Çarşı - 3+1,18500.0
Merkez / Halitpaşa - 1+1,18000.0
Merkez / Yalnızbağ - 2+1,18500.0
Merkez / Yalnızbağ - 2+0,17500.0
Merkez / Başbağlar - 1+1,15500.0
Merkez / Yalnızbağ - 1+1,18500.0
Merkez / Başbağlar - 1+1,12500.0
Merkez / Akşemsettin - 2+1,18500.0
Merkez / Bahçelievler - 3+1,16500.0
Merkez / Çarşı - 2+0,17000.0
Merkez / Bahçelievler - 3+1,15000.0
