Product Name,Product Cost,Rooms
Merkez / İnönü,9000.0,2+0
Merkez,9000.0,2+1
Merkez / Başbağlar,9500.0,2+1
Merkez / İnönü,8750.0,2+1
Merkez / İnönü,9250.0,2+1
Çayırlı,8000.0,2+1
Merkez / Akşemsettin,9000.0,3+1
Merkez / İnönü,8000.0,2+1
Merkez,9000.0,2+1
Merkez / Çukurkuyu,7500.0,1+1
Merkez / İnönü,9500.0,2+1
Merkez / Bahçelievler,9000.0,1+1
Merkez / Kavakyolu,9000.0,2+1
Merkez / Başbağlar,15000.0,1+1
Merkez / Çarşı,15750.0,1+1
Merkez / Başbağlar,15000.0,1+1
Merkez / Çarşı,16500.0,2+0
Merkez / Başbağlar,17500.0,1+1
Merkez / Başbağlar,17500.0,2+1
Merkez / Başbağlar,15000.0,3+1
Merkez / İnönü,19000.0,2+1
Merkez / Başbağlar,12000.0,1+1
Merkez / Kavakyolu,18000.0,2+1
Merkez / İnönü,13500.0,1+1
Merkez / İnönü,15000.0,1+1
Merkez / İnönü,13500.0,2+1
Merkez / İnönü,12500.0,3+1
Merkez / Halitpaşa,16500.0,2+0
Merkez,13000.0,2+1
Merkez / Başbağlar,15000.0,2+1
Merkez / Halitpaşa,13000.0,1+1
Merkez / İnönü,17000.0,3+1
Merkez / Yalnızbağ,16000.0,1+1
Merkez / Başbağlar,18000.0,3+1
Merkez / Yalnızbağ,11500.0,2+1
Merkez / Akşemsettin,13000.0,2+1
Merkez / Bahçelievler,15500.0,3+1
Merkez / Kavakyolu,15250.0,2+1
Merkez / Kavakyolu,13000.0,1+1
Merkez / Kavakyolu,15500.0,2+1
Merkez / Çarşı,13000.0,1+1
Merkez / Başbağlar,12500.0,3+1
Merkez / Akşemsettin,13000.0,3+1
Merkez / Başbağlar,15000.0,2+0
Merkez / Yalnızbağ,19500.0,3+1
Merkez / Çarşı,16000.0,1+1
Merkez / Çarşı,17000.0,1+1
Merkez / Yalnızbağ,17500.0,3+1
Merkez / Bahçelievler,16750.0,2+1
Merkez / Çarşı,14500.0,1+1
Merkez / İnönü,15000.0,1+1
Merkez,14000.0,2+1
Merkez / Başbağlar,14500.0,4+1
Merkez / Başbağlar,17500.0,2+1
Merkez / Ulalar,15500.0,3+1
Merkez / Başbağlar,18500.0,2+1
Merkez / Çarşı,18000.0,1+1
Merkez / Başbağlar,18000.0,2+1
Merkez / Ulalar,11000.0,2+1
Merkez / Çarşı,17500.0,1+1
Merkez / Çarşı,17250.0,3+1
Merkez,15000.0,2+1
Merkez / Başbağlar,17500.0,1+1
Merkez / Çarşı,18000.0,1+1
Merkez / Yalnızbağ,19000.0,3+1
Merkez / Başbağlar,19000.0,1+1
Merkez / İnönü,18000.0,2.5+1
Merkez / Başbağlar,17000.0,1+1
Merkez / Bahçelievler,12500.0,3+1
Merkez / Çarşı,18500.0,3+1
Merkez / Başbağlar,12000.0,3+1
Merkez / Kavakyolu,12500.0,3+1
Merkez / Kavakyolu,19000.0,2+1
Merkez / İnönü,16000.0,3+1
Merkez / İnönü,15000.0,2+1
Merkez / Başbağlar,16500.0,1+1
Merkez,10000.0,2+1
Merkez / Başbağlar,14500.0,2+1
Merkez / Geçit,11000.0,2+1
Merkez / Akşemsettin,11000.0,2+1
Merkez / Başbağlar,15000.0,2+1
Merkez / Akşemsettin,11000.0,2+1
Merkez / Kavakyolu,12500.0,2+1
Merkez / Başbağlar,13500.0,1+1
Merkez / Çarşı,15000.0,2+0
Merkez,12500.0,2+1
Merkez / Başbağlar,19000.0,2+1
Merkez / İnönü,15000.0,1+1
Merkez / İnönü,12500.0,3+1
Merkez / Geçit,13750.0,2+1
Üzümlü,11000.0,3+1
Merkez,11000.0,2+1
Merkez / Başbağlar,15500.0,2+1
Merkez,10500.0,2+1
Merkez / Yalnızbağ,18250.0,1+1
Merkez,12500.0,2+1
Merkez,10000.0,2+1
Merkez,12500.0,2+1
Merkez / Başbağlar,14500.0,1+1
