product_name,price
Yakutiye / Merkez - Stüdyo (1+0),8000.0
Yakutiye / Terminal - 1+1,7000.0
Palandöken - 2+1,7500.0
Palandöken - 2+1,9500.0
Aziziye / Merkez - 1+1,4500.0
Aziziye / Merkez - 3+1,8500.0
Aziziye / Merkez - 1+1,7500.0
Aziziye / Merkez - 3+1,8000.0
Yakutiye / Lalapaşa - 3+1,9500.0
Yakutiye / Terminal - 1+1,8000.0
Yakutiye / Terminal - 1+1,5100.0
Yakutiye / Merkez - 2+1,9500.0
Palandöken - 1+1,5750.0
Yakutiye / Merkez - 3+1,9000.0
Palandöken - 3+1,8500.0
Palandöken / Yenişehir - 3+1,9000.0
Yakutiye / Terminal - 1+1,5800.0
Yakutiye / Merkez - 2+1,8750.0
Palandöken / Yenişehir - 3+1,8250.0
Aziziye / Merkez - 1+1,8500.0
Yakutiye / Lalapaşa - Stüdyo (1+0),7000.0
Yakutiye / Yağan - 2+1,7250.0
Yakutiye / Terminal - 2+1,6900.0
Yakutiye / Merkez - Stüdyo (1+0),8500.0
Palandöken - 3+1,8250.0
Yakutiye / Yağan - 2+1,7500.0
Aşkale - 2+1,8000.0
Palandöken / Yenişehir - 3+1,8000.0
Aziziye / Merkez - 4+1,8500.0
Aziziye / Merkez - 2+1,9000.0
Yakutiye / Terminal - 1+1,8500.0
Palandöken - 3+1,9750.0
Oltu - 2+1,8500.0
Yakutiye / Lalapaşa - Stüdyo (1+0),7500.0
Palandöken / Yenişehir - 3+1,9400.0
Yakutiye / Merkez - 4+1,9000.0
Yakutiye / Yağan - 2+1,9000.0
Palandöken - 2+1,8750.0
Yakutiye / İstasyon - 3+1,8500.0
Palandöken / Yenişehir - 3+1,9500.0
Palandöken - 3+1,7000.0
Horasan - 3+1,7000.0
Yakutiye / Terminal - 1+1,8000.0
Aziziye / Merkez - 2+0,7500.0
Yakutiye / İstasyon - 3+1,9500.0
Yakutiye / İstasyon - 2+1,9000.0
Yakutiye / Lalapaşa - 1+1,9500.0
Palandöken - 3+1,2000.0
Yakutiye / Terminal - 1+1,9500.0
Palandöken - 3+1,9000.0
Yakutiye / Terminal - 1+1,8500.0
Yakutiye / Lalapaşa - 3+1,8000.0
Palandöken / Yıldızkent - 2+1,8500.0
Yakutiye / Terminal - 2+1,7000.0
Palandöken / Yenişehir - 3+1,9500.0
Palandöken - 3+1,9000.0
Aziziye / Merkez - 3+1,8500.0
Aziziye / Merkez - 3+1,8000.0
Karaçoban - 3+1,8000.0
Yakutiye / Lalapaşa - 3+1,8200.0
Aziziye / Merkez - 2+1,7000.0
Yakutiye / Merkez - 1+1,7500.0
Palandöken - 1+1,8650.0
Yakutiye / Lalapaşa - 2+1,9200.0
Aziziye / Merkez - 3+1,9900.0
Palandöken / Yenişehir - 3+1,9000.0
Palandöken / Yenişehir - 3+1,7500.0
Aşkale - 3+1,8500.0
Yakutiye / İstasyon - 1+1,8500.0
Palandöken / Yenişehir - 2+1,9000.0
Yakutiye / Merkez - 2+1,8500.0
Palandöken - 3+1,9000.0
Palandöken - 2+1,6000.0
Yakutiye / Yağan - 3+1,8000.0
Yakutiye / Lalapaşa - 3+1,9500.0
Palandöken - 3+1,9500.0
Aşkale - 2+1,8500.0
Palandöken / Yenişehir - 3+1,9000.0
Yakutiye / Yağan - 4+1,4000.0
Yakutiye / Lalapaşa - 2+1,7000.0
Yakutiye / Yağan - 2+1,9500.0
Palandöken - 3+1,9500.0
Aziziye / Merkez - 2+1,8750.0
Palandöken / Yenişehir - 3+1,9500.0
Palandöken / Yenişehir - 3+1,9250.0
Aziziye / Merkez - 2+1,7500.0
Palandöken - 3+1,8500.0
Aziziye / Merkez - 3+1,6500.0
Palandöken / Yenişehir - 3+1,7500.0
Palandöken - 3+1,8000.0
Palandöken / Yenişehir - 3+1,9000.0
Yakutiye / Yağan - 3+1,9500.0
Aziziye / Merkez - 2+1,8750.0
Palandöken / Yıldızkent - 6+3,6500.0
Yakutiye / Terminal - 3+1,7250.0
Yakutiye / Terminal - 1+1,7500.0
Yakutiye / Lalapaşa - 2+1,9000.0
Palandöken - 2+1,9000.0
Palandöken - 2+1,8500.0
Palandöken / Yenişehir - 3+1,8500.0
Palandöken / Yenişehir - 3+1,3000.0
Aziziye / Merkez - 3+1,9000.0
Yakutiye / Lalapaşa - 2+1,6000.0
Aşkale - 3+1,8500.0
Palandöken - 3+1,8500.0
Yakutiye / Merkez - 2+1,9750.0
Palandöken - 3+1,9000.0
Aşkale - 3+1,8500.0
Palandöken - 3+1,7000.0
Yakutiye / Terminal - 1+1,5500.0
Palandöken - 3+1,9500.0
Yakutiye / Terminal - 1+1,8000.0
Aziziye / Merkez - 1+1,17500.0
Yakutiye / Merkez - 1+1,18500.0
Palandöken - 3+1,15500.0
Yakutiye / Terminal - 3+1,19750.0
Aziziye / Merkez - 1+1,13000.0
Yakutiye / Lalapaşa - 3+1,16000.0
Palandöken / Yıldızkent - 3+1,18000.0
Yakutiye / İstasyon - 3+1,10500.0
Yakutiye / Lalapaşa - 3+1,15000.0
Aziziye / Merkez - 3+1,15000.0
Yakutiye / İstasyon - 3+1,14000.0
Yakutiye / Merkez - 1+1,16000.0
Yakutiye / İstasyon - 1+1,16000.0
Palandöken / Yıldızkent - 2+1,17750.0
Palandöken / Yıldızkent - 3+1,16000.0
Palandöken - 3+1,18000.0
Yakutiye / Terminal - 3+1,17500.0
Palandöken / Yenişehir - 2+1,14000.0
Aziziye / Merkez - 1+1,14500.0
Aziziye / Merkez - 3+1,16000.0
Palandöken / Yenişehir - 3+1,14000.0
Palandöken - 3+1,10900.0
Yakutiye / Lalapaşa - 4+1,18000.0
Aziziye / Merkez - 2+0,16000.0
Yakutiye / Terminal - 3+1,15750.0
Palandöken / Yıldızkent - 3+1,19750.0
Aziziye / Merkez - 3+1,12500.0
Palandöken - 3+1,14500.0
Palandöken - 3+1,11000.0
Palandöken / Yenişehir - 3+1,13000.0
Yakutiye / İstasyon - 1+1,16000.0
Yakutiye / Terminal - 3+1,16500.0
Yakutiye / Merkez - 3+1,18000.0
Palandöken / Yenişehir - 3+1,14000.0
Yakutiye / Terminal - 3+1,18000.0
Palandöken / Yıldızkent - 2+1,16500.0
Palandöken / Yıldızkent - 1+1,13000.0
Palandöken / Yıldızkent - 3+1,17000.0
Palandöken / Yenişehir - 3+1,13500.0
Palandöken / Yıldızkent - 3+1,16000.0
Aziziye / Merkez - 1+1,14000.0
Aziziye / Merkez - 1+1,17000.0
Aziziye / Merkez - 1+1,17500.0
Palandöken / Yenişehir - 2+1,19500.0
Aziziye / Merkez - 1+1,16500.0
Yakutiye / Merkez - 3+1,15500.0
Aziziye / Merkez - 1+1,11000.0
Palandöken / Yıldızkent - 3+1,19000.0
Yakutiye / Merkez - 2+1,12750.0
Yakutiye / Merkez - 3+1,16000.0
Yakutiye / Terminal - 3+1,18000.0
Yakutiye / Terminal - 2+1,14500.0
Palandöken / Yenişehir - 3+1,16000.0
Palandöken / Yenişehir - 3+1,12000.0
Palandöken / Yıldızkent - 3+1,16000.0
Yakutiye / Lalapaşa - 3+1,15500.0
Yakutiye / Terminal - 3+1,15000.0
Palandöken / Yıldızkent - 3+1,19000.0
Aziziye / Merkez - 2+1,17000.0
Palandöken / Yıldızkent - Stüdyo (1+0),12000.0
Aziziye / Merkez - 1+1,11000.0
Aziziye / Merkez - 1+1,15500.0
Yakutiye / Merkez - 2+1,16500.0
Palandöken / Yenişehir - 3+1,10500.0
Yakutiye / Merkez - 3+1,17500.0
Palandöken - 2+1,12000.0
Yakutiye / Terminal - 3+1,17000.0
Yakutiye / Lalapaşa - 3+1,16000.0
Aziziye / Merkez - 1+1,13500.0
Palandöken / Yenişehir - 3+1,12000.0
Palandöken / Yenişehir - 3+1,13000.0
Palandöken - 3+1,10000.0
Palandöken / Yıldızkent - 2+1,15000.0
Palandöken - 3+1,10000.0
Yakutiye / Lalapaşa - 2+1,12250.0
Aziziye / Merkez - 1+1,14000.0
Aziziye / Merkez - 2+1,18500.0
Yakutiye / Terminal - 2+1,18500.0
Yakutiye / Terminal - 2+1,12500.0
Aziziye / Merkez - 1+1,19000.0
Yakutiye / Terminal - 3+1,16250.0
Palandöken - 3+1,15000.0
Palandöken - 3+1,12000.0
Yakutiye / Terminal - 3+1,19000.0
Palandöken / Yenişehir - 3+1,17250.0
Yakutiye / Merkez - 3+1,15000.0
Palandöken - 3+1,10000.0
Aziziye / Merkez - 1+1,16000.0
Palandöken / Yıldızkent - 2+1,15000.0
Palandöken - 3+1,17000.0
Pasinler - 3+1,15000.0
Yakutiye / Terminal - 3+1,17500.0
Palandöken / Yenişehir - 3+1,15000.0
Aziziye / Merkez - 2+0,17500.0
Palandöken / Yenişehir - 3+1,17000.0
Palandöken / Yenişehir - 3+1,14750.0
Palandöken - 3+1,15500.0
Palandöken / Yenişehir - 2+1,14000.0
Yakutiye / Terminal - 2+1,15000.0
Aziziye / Merkez - 1+1,13500.0
Palandöken / Yenişehir - 4+1,18700.0
Palandöken - 2+1,13500.0
Oltu - Stüdyo (1+0),14000.0
Yakutiye / Merkez - 1+1,15500.0
Yakutiye / Terminal - 3+1,15500.0
Palandöken / Yıldızkent - 1+1,19000.0
Yakutiye / Terminal - 3+1,11500.0
Yakutiye / Terminal - 3+1,18500.0
Palandöken - 1+1,10500.0
Yakutiye / Terminal - 3+1,19500.0
Aziziye / Merkez - 3+1,12000.0
Yakutiye / Merkez - 2+1,16250.0
Aziziye / Merkez - 1+1,17500.0
Palandöken / Yıldızkent - 1+1,18300.0
Aziziye / Merkez - 1+1,12500.0
Aziziye / Merkez - 1+1,17500.0
Yakutiye / Terminal - 3+1,18000.0
Palandöken / Yenişehir - 2+1,14000.0
Yakutiye / Terminal - 2+1,19000.0
Palandöken - 2+1,18500.0
Palandöken / Yıldızkent - 3+1,18499.0
Palandöken / Yıldızkent - 3+1,19000.0
Yakutiye / Lalapaşa - 3+1,13000.0
Palandöken / Yenişehir - 3+1,15000.0
Yakutiye / Terminal - 3+1,19000.0
Horasan - 3+1,13000.0
Palandöken / Yıldızkent - 2+1,15500.0
Aziziye / Merkez - 3+1,17500.0
Yakutiye / İstasyon - 3+1,19000.0
Yakutiye / Terminal - 3+1,16000.0
Aziziye / Merkez - 1+1,18250.0
Palandöken - 3+1,10000.0
Palandöken / Yıldızkent - 2+1,18000.0
Yakutiye / Terminal - 3+1,18500.0
Hınıs - 2+1,16000.0
Yakutiye / Merkez - 3+1,17500.0
Aziziye / Merkez - 1+1,19000.0
Aziziye / Merkez - 1+1,18500.0
Aziziye / Merkez - 1+1,15000.0
Aziziye / Merkez - 1+1,18000.0
Yakutiye / Merkez - 4+1,15000.0
Palandöken / Yenişehir - 3+1,10250.0
Palandöken / Yenişehir - 3+1,11500.0
Palandöken / Yıldızkent - 3+1,15900.0
Palandöken - 3+1,15500.0
Aziziye / Merkez - 2+1,14000.0
Palandöken / Yıldızkent - 1+1,14000.0
Palandöken / Yıldızkent - 2+1,16500.0
Yakutiye / Terminal - 3+1,17500.0
Yakutiye / Yağan - 3+1,16000.0
Oltu - 3+1,15000.0
Yakutiye / Merkez - 3+1,16000.0
Aziziye / Merkez - 2+1,18500.0
Yakutiye / Terminal - 3+1,19000.0
Yakutiye / Yağan - 3+1,11000.0
Aziziye / Merkez - 1+1,17500.0
Aziziye / Merkez - 2+1,15000.0
Aziziye / Merkez - 1+1,16000.0
Aziziye / Merkez - 1+1,16500.0
Aziziye / Merkez - 1+1,16000.0
Palandöken / Yıldızkent - 2+1,16500.0
Palandöken - 3+1,12500.0
Palandöken / Yıldızkent - 2+1,17000.0
Yakutiye / Terminal - 3+1,10250.0
Aziziye / Merkez - 2+1,11000.0
Palandöken / Yıldızkent - 3+1,17000.0
Palandöken / Yıldızkent - 3+1,15000.0
Aziziye / Merkez - 2+1,16500.0
Palandöken - 4+1,18000.0
Palandöken - 3+1,11000.0
Palandöken / Yıldızkent - 3+1,14000.0
Yakutiye / Merkez - 3+1,13000.0
Palandöken - 3+1,13000.0
Palandöken - 3+1,12500.0
Palandöken - 3+1,10300.0
Yakutiye / Lalapaşa - 2+1,18500.0
Yakutiye / Yağan - Stüdyo (1+0),15000.0
Palandöken / Yıldızkent - 2+1,15500.0
Yakutiye / Terminal - 3+1,10000.0
Pasinler - 2+1,12500.0
Yakutiye / Terminal - 2+1,17500.0
Aziziye / Merkez - 3+1,14500.0
Palandöken / Yıldızkent - 2+1,16750.0
Aziziye / Merkez - 1+1,16000.0
Pasinler - 3+1,13000.0
Pasinler - 3+1,16000.0
Palandöken / Yıldızkent - 3+1,18000.0
Aziziye / Merkez - 2+1,10000.0
Hınıs - 3+1,14000.0
Yakutiye / İstasyon - 1+1,16000.0
Palandöken / Yenişehir - 3+1,17000.0
Aşkale - 3+1,11000.0
Yakutiye / Terminal - 3+1,18000.0
Palandöken / Yıldızkent - 2+1,17500.0
Palandöken / Yenişehir - 2.5+1,10500.0
Palandöken - 3+1,13500.0
Yakutiye / Terminal - 2+1,10500.0
Palandöken / Yenişehir - 3+1,12000.0
Aziziye / Merkez - 1+1,15000.0
Yakutiye / Merkez - 3+1,13500.0
Yakutiye / Terminal - 1+1,12000.0
Palandöken - 3+1,10500.0
Aziziye / Merkez - 1+1,15500.0
Palandöken / Yenişehir - 3+1,10000.0
Palandöken / Yıldızkent - 3+1,16500.0
Yakutiye / Merkez - 3+1,11000.0
Palandöken - 3+1,11000.0
Yakutiye / İstasyon - 3+1,11000.0
Aziziye / Merkez - Stüdyo (1+0),16000.0
Yakutiye / Terminal - 5+1,18000.0
Yakutiye / Lalapaşa - Stüdyo (1+0),10000.0
Palandöken / Yıldızkent - 3+1,16800.0
Aziziye / Merkez - 1+1,16500.0
Palandöken - 2+1,15000.0
Yakutiye / Yağan - 3+1,11000.0
Yakutiye / İstasyon - 3+1,14000.0
Palandöken / Yıldızkent - 2+1,13000.0
