Listing_ID,City,District,Rooms,Price
1305695879,Bartin,DemircilerKırtepe Mh.,2+1,22000.0
1306726476,Bartin,DemircilerEsentepe Mah.,2+1,15000.0
1306702997,Bartin,KöylerGüzelcehisar Köyü,2+1,370000.0
1301384781,Bartin,DemircilerKaraköy Mh.,3+1,25000.0
1306711541,Bartin,DemircilerKemer Köprü Mh.,3+1,30000.0
1233958265,Bartin,YenisanayiAladağ Mh.,2+1,16500.0
1301450453,Bartin,DemircilerKemer Köprü Mh.,1+1,18500.0
1287652095,Bartin,Demirciler,1+1,15000.0
1301467400,Bartin,DemircilerKöyortası Mh.,3+1,35000.0
1292962617,Bartin,DemircilerKaraköy Mh.,3+1,26000.0
1301383440,Bartin,YenisanayiAladağ Mh.,2+1,18000.0
1295509016,Bartin,DemircilerCumhuriyet Mah.,2+1,21000.0
1306665369,Bartin,DemircilerKemer Köprü Mh.,1+1,16000.0
1298558288,Bartin,DemircilerEsentepe Mah.,2+1,22000.0
1299827050,Bartin,Demirciler,2+1,20000.0
1306657825,Bartin,DemircilerKırtepe Mh.,1+1,18000.0
1306653882,Bartin,DemircilerCumhuriyet Mah.,3+1,18000.0
1301439192,Bartin,YenisanayiOrduyeri Mah.,2+1,15000.0
1300703971,Bartin,Demirciler,2+1,16500.0
1306625536,Bartin,DemircilerCumhuriyet Mah.,3+1,13000.0
1306622326,Bartin,KöylerGüzelcehisar Köyü,1+1,300000.0
1306612966,Bartin,DemircilerÇaydüzü Mh.,2+1,20000.0
1301083813,Bartin,DemircilerKemer Köprü Mh.,3+1,30000.0
1301271726,Bartin,MerkezKozcağız Bld.,1+1,13000.0
1306605975,Bartin,DemircilerKırtepe Mh.,2+0,20000.0
1301319764,Bartin,DemircilerTuna Mah.,2+1,21000.0
1295449134,Bartin,YenisanayiGölbucağı Mh.,2+1,15750.0
1295421819,Bartin,DemircilerKemer Köprü Mh.,3+1,30000.0
1303207511,Bartin,DemircilerEsentepe Mah.,2+1,17000.0
1254186760,Bartin,DemircilerCumhuriyet Mah.,2+1,14500.0
1304126396,Bartin,DemircilerTuna Mah.,1+1,13500.0
1294763663,Bartin,DemircilerKaraköy Mh.,2+1,25000.0
1294772095,Bartin,MerkezAğdacı Mh.,2+1,23000.0
1296135949,Bartin,DemircilerKaraköy Mh.,1+1,20000.0
1298505821,Bartin,Demirciler,2+1,20000.0
1286832561,Bartin,DemircilerKöyortası Mh.,3+1,15000.0
1306668500,Bartin,YenisanayiAladağ Mh.,1+1,13000.0
1301470865,Bartin,DemircilerKöyortası Mh.,2+1,27000.0
1306475246,Bartin,YenisanayiOrduyeri Mah.,2+1,20000.0
1298453872,Bartin,DemircilerKemer Köprü Mh.,2+1,20000.0
1300920684,Bartin,DemircilerKemer Köprü Mh.,2+0,17000.0
1301282886,Bartin,YenisanayiGölbucağı Mh.,2+1,20000.0
1297912016,Bartin,DemircilerTuna Mah.,3+1,29500.0
1292466546,Bartin,DemircilerÇaydüzü Mh.,4+1,21750.0
1298116945,Bartin,DemircilerCumhuriyet Mah.,1+1,15000.0
1298439244,Bartin,MerkezHürriyet Mh.,3+1,20000.0
1292755087,Bartin,DemircilerKırtepe Mh.,3+1,35000.0
1298616560,Bartin,DemircilerEsentepe Mah.,1+1,15000.0
1272012626,Bartin,DemircilerTuna Mah.,2+1,19000.0
1285026939,Bartin,DemircilerTuna Mah.,3+1,36000.0
1299979519,Bartin,MerkezKaraçay Mh.,2+1,15000.0
1294537151,Bartin,DemircilerKemer Köprü Mh.,3+1,18000.0
1293246807,Bartin,DemircilerÇaydüzü Mh.,2+1,17500.0
1295357729,Bartin,DemircilerOkulak Mah.,3+1,25000.0
1295443507,Bartin,YenisanayiGölbucağı Mh.,2+1,40000.0
1278136529,Bartin,DemircilerCumhuriyet Mah.,2+1,25000.0
1303912549,Bartin,DemircilerKemer Köprü Mh.,2+1,18000.0
