Listing_ID,City,District,Rooms,Price
1306171294,Bolu,MerkezBeşkavaklar Mh.,2+1,23000.0
1305753893,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,1+1,16000.0
1257002171,Bolu,MerkezBorazanlar Mah.,1+1,17500.0
1237089934,Bolu,İhsaniye/GölyüzüAktaş Mh.,1+1,17500.0
1294849338,Bolu,MerkezTabaklar Mah.,3+1,17000.0
1295064617,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,3+1,14000.0
1303696592,Bolu,MerkezPaşaköy Mh.,1+1,32000.0
1300904669,Bolu,Merkezİzzet Baysal Mh.,2+1,30000.0
1303615994,Bolu,MerkezBahçelievler Mh.,3+1,25000.0
1303685327,Bolu,MerkezPaşaköy Mh.,1+1,30000.0
1294879603,Bolu,MerkezBorazanlar Mah.,2+1,18500.0
1279479325,Bolu,MerkezAşağısoku Mh.,2+1,20000.0
1305908003,Bolu,MerkezTepecik Mah.,2+1,23000.0
1283417231,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,3+1,17000.0
1298136826,Bolu,MerkezKaramanlı Mh.,2+1,14000.0
1192454290,Bolu,MerkezBorazanlar Mah.,1+1,20000.0
1287755254,Bolu,MerkezAşağısoku Mh.,2+1,20000.0
1284709442,Bolu,MerkezSümer Mh.,2+1,16500.0
1299980399,Bolu,MerkezBorazanlar Mah.,2+1,23000.0
1304055419,Bolu,MerkezTabaklar Mah.,3+1,25000.0
1304068849,Bolu,MerkezBorazanlar Mah.,2+1,16000.0
1241256960,Bolu,MerkezSümer Mh.,1+1,15750.0
1301231661,Bolu,MerkezSağlık Mh.,3+1,23000.0
1294501359,Bolu,MerkezBahçelievler Mh.,1+1,20000.0
1295449733,Bolu,MerkezPaşaköy Mh.,2+1,30000.0
1289572358,Bolu,MerkezBorazanlar Mah.,1+1,18000.0
1284086193,Bolu,İhsaniye/GölyüzüKaraçayır Mh.,1+1,15000.0
1282119428,Bolu,MerkezTepecik Mah.,2+1,23000.0
1306107379,Bolu,MerkezKültür Mh.,2+1,20000.0
1301257103,Bolu,İhsaniye/GölyüzüAktaş Mh.,1+1,15000.0
1301250602,Bolu,MerkezKültür Mh.,1+1,15000.0
1292577992,Bolu,KöylerKılıçarslan Mh.,3+1,21000.0
1298436764,Bolu,MerkezTepecik Mah.,3+1,15750.0
1304001432,Bolu,MerkezYaşamkent Mh.,3+1,19000.0
1291090751,Bolu,MerkezBorazanlar Mah.,1+1,14500.0
1301110866,Bolu,MerkezSümer Mh.,1+1,15750.0
1306413769,Bolu,MerkezSağlık Mh.,3+1,19000.0
1286389255,Bolu,MerkezSağlık Mh.,3+1,24000.0
1258660053,Bolu,MerkezYaşamkent Mh.,3+1,19000.0
1306397904,Bolu,KöylerKılıçarslan Mh.,2+1,21000.0
1300904724,Bolu,Merkezİzzet Baysal Mh.,2+1,19000.0
1303925704,Bolu,MerkezKültür Mh.,3+1,15000.0
1130267137,Bolu,MerkezBeşkavaklar Mh.,1+1,28000.0
1303908414,Bolu,MerkezKaramanlı Mh.,3+1,23000.0
1295243330,Bolu,MerkezPaşaköy Mh.,4+1,50000.0
1301125465,Bolu,İhsaniye/GölyüzüKöroğlu Mh.,2+1,23000.0
1301014716,Bolu,MerkezBeşkavaklar Mh.,3+1,40000.0
1303848532,Bolu,Merkezİzzet Baysal Mh.,3+1,20000.0
1305658535,Bolu,MerkezTepecik Mah.,1+1,16500.0
1301078235,Bolu,MerkezBorazanlar Mah.,3+1,25000.0
1257740321,Bolu,MerkezBahçelievler Mh.,3+1,25000.0
1303832448,Bolu,MerkezKültür Mh.,2+1,19500.0
1288953536,Bolu,MerkezPaşaköy Mh.,2+1,32500.0
