Listing_ID,City,District,Rooms,Price
1289794954,Eskisehir,BüyükdereBüyükdere Mh.,1+1,14000.0
1302721633,Eskisehir,Orhangazi,3+1,40000.0
1295482767,Eskisehir,BüyükdereBüyükdere Mh.,1+1,14000.0
1287007749,Eskisehir,Orhangazi,3+1,22500.0
1304548877,Eskisehir,71 EvlerEmek Mah.,2+0,15500.0
1301131940,Eskisehir,AkarbaşıVişnelik Mh.,3+1,50000.0
1304383743,Eskisehir,71 Evler,2+1,16500.0
1301558666,Eskisehir,71 EvlerEmek Mah.,2+1,16000.0
1304173350,Eskisehir,71 Evler,3+1,18250.0
1300984225,Eskisehir,AkarbaşıAkarbaşı Mh.,2+1,15000.0
1298023201,Eskisehir,Orhangazi,2+1,15000.0
1261187287,Eskisehir,BüyükdereBüyükdere Mh.,1+1,13000.0
1303845036,Eskisehir,71 EvlerEmek Mah.,3+1,36500.0
1307204246,Eskisehir,71 EvlerEmek Mah.,1+1,19500.0
1297408949,Eskisehir,Arifiyeİstiklal Mh.,1+1,17000.0
1278160092,Eskisehir,71 Evler,2+0,14000.0
1271889238,Eskisehir,BüyükdereBüyükdere Mh.,1+1,10000.0
1307179598,Eskisehir,GökmeydanGökmeydan Mh.,3+1,20000.0
1307171072,Eskisehir,BüyükdereGültepe Mh.,1+1,13000.0
1295992680,Eskisehir,KurtuluşKurtuluş Mh.,3+1,20000.0
1303940790,Eskisehir,71 Evler,1+1,18000.0
1216578338,Eskisehir,GünyüzüOsmangazi Mah.,1+1,11000.0
1307169821,Eskisehir,Arifiyeİstiklal Mh.,Stüdyo (1+0),17500.0
1307162788,Eskisehir,BüyükdereBüyükdere Mh.,1+1,15500.0
1294107412,Eskisehir,Arifiyeİstiklal Mh.,3+1,25000.0
1250183333,Eskisehir,KurtuluşKurtuluş Mh.,3+1,15000.0
1268538812,Eskisehir,BüyükdereBüyükdere Mh.,1+1,15000.0
1307154518,Eskisehir,71 EvlerEmek Mah.,2+1,10000.0
1265060494,Eskisehir,BüyükdereBüyükdere Mh.,1+1,10000.0
1301415052,Eskisehir,71 EvlerEmek Mah.,2+1,18000.0
1224646469,Eskisehir,AkarbaşıAkarbaşı Mh.,2+1,16000.0
1210770944,Eskisehir,AkcamiAlanönü Mh.,3+1,23000.0
1307143570,Eskisehir,71 EvlerEmek Mah.,1+1,13500.0
1296160439,Eskisehir,OsmangaziSümer Mh.,3+1,42000.0
1307141824,Eskisehir,71 EvlerEmek Mah.,2+0,20000.0
1295655417,Eskisehir,71 Evler,1+1,17500.0
1307135568,Eskisehir,KurtuluşKurtuluş Mh.,3+1,16000.0
1296156060,Eskisehir,Arifiye,2+1,30000.0
1307129082,Eskisehir,AkarbaşıVişnelik Mh.,3+1,15000.0
1307130922,Eskisehir,Arifiye,2+1,24000.0
1304598915,Eskisehir,AkarbaşıAkarbaşı Mh.,3+1,18000.0
1299009015,Eskisehir,GünyüzüOsmangazi Mah.,2+1,23500.0
1307107972,Eskisehir,AkarbaşıKırmızıtoprak Mh.,2+1,15000.0
1306521857,Eskisehir,71 Evler,2+1,16000.0
1307120137,Eskisehir,71 Evler,2+0,13500.0
1218845164,Eskisehir,71 EvlerEmek Mah.,2+1,10000.0
1304611201,Eskisehir,71 EvlerEmek Mah.,2+0,12000.0
1293245251,Eskisehir,71 EvlerEmek Mah.,3+1,19000.0
1220418642,Eskisehir,BüyükdereBüyükdere Mh.,1+1,15500.0
1304602053,Eskisehir,BüyükdereGültepe Mh.,1+1,9500.0
1307111692,Eskisehir,AkarbaşıVişnelik Mh.,3+1,21000.0
1280572026,Eskisehir,AkarbaşıKırmızıtoprak Mh.,2+1,16000.0
1301779883,Eskisehir,GökmeydanGökmeydan Mh.,2+1,15000.0
1307111984,Eskisehir,BüyükdereBüyükdere Mh.,1+1,11000.0
1307111024,Eskisehir,Arifiyeİstiklal Mh.,Stüdyo (1+0),12500.0
1297292423,Eskisehir,AkarbaşıKırmızıtoprak Mh.,3+1,18000.0
1290837591,Eskisehir,71 Evler,1+1,20000.0
1307082359,Eskisehir,KurtuluşDeliklitaş Mh.,3+1,17000.0
1307102468,Eskisehir,71 Evler,2+0,14000.0
1307097153,Eskisehir,71 EvlerEmek Mah.,2+1,13500.0
1270686381,Eskisehir,AkarbaşıVişnelik Mh.,2+1,18500.0
1298876793,Eskisehir,OdunpazarıYenikent Mah.,2+1,13000.0
1270725659,Eskisehir,OdunpazarıVadişehir Mh.,2+1,13500.0
1294168187,Eskisehir,Orhangazi,2+0,17000.0
1281015169,Eskisehir,BüyükdereBüyükdere Mh.,2+1,15000.0
1278572986,Eskisehir,71 Evler,1+1,12000.0
1300488886,Eskisehir,BüyükdereGültepe Mh.,2+1,17000.0
1289570953,Eskisehir,BüyükdereBüyükdere Mh.,2+0,11500.0
