product_name,price
Zonguldak / SoğuksuBahçelievler Mh. - 2+1,22000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,35000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,15000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,15000.0
Zonguldak / Soğuksuİncivez Mh. - 2+1,20000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 2+1,30000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,13500.0
Zonguldak / SoğuksuBahçelievler Mh. - 2+1,11000.0
Zonguldak / RüzgarlımeşeYeşil Mh. - 3+1,25000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,21000.0
Zonguldak / SoğuksuBahçelievler Mh. - 2+1,25000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 2+1,20000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,13500.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,12000.0
Zonguldak / SoğuksuTerakki Mah. - 2+1,23500.0
Zonguldak / SoğuksuTerakki Mah. - 2+1,23000.0
Zonguldak / Soğuksuİncivez Mh. - 4+1,25000.0
Zonguldak / SoğuksuBahçelievler Mh. - 1+1,15500.0
Zonguldak / Soğuksuİncivez Mh. - 3+1,28000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,25000.0
Zonguldak / RüzgarlımeşeTepebaşı Mh. - 2+1,20000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,15000.0
Zonguldak / SoğuksuBahçelievler Mh. - 1+1,14500.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 1+1,21000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,12000.0
Zonguldak / RüzgarlımeşeTepebaşı Mh. - 3+1,30000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,30000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 1+1,15000.0
Zonguldak / SoğuksuTerakki Mah. - 1+1,15000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,23000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,13500.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,33000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,40000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,13500.0
Zonguldak / SoğuksuBahçelievler Mh. - 2+1,20000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,15000.0
Zonguldak / SoğuksuBahçelievler Mh. - 1+1,15000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,17000.0
Zonguldak / YeniçarşıKaraelmas Mah. - 2+1,27000.0
Zonguldak / SoğuksuBahçelievler Mh. - 2+1,21000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,15000.0
Zonguldak / Soğuksuİncivez Mh. - 2+1,27000.0
Zonguldak / Rüzgarlımeşeİnağzı Mh. - 2+1,14000.0
Zonguldak / SoğuksuTerakki Mah. - 1+1,17500.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 3+1,12000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,13500.0
Zonguldak / SoğuksuBahçelievler Mh. - 1+1,17500.0
Zonguldak / SoğuksuTerakki Mah. - 1+1,19500.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,10000.0
Zonguldak / RüzgarlımeşeYeni Mah. - 3+1,20000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,20000.0
Zonguldak / SoğuksuOn Temmuz Mah. - 1+1,16000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 2+1,21000.0
Zonguldak / SoğuksuTerakki Mah. - 2+1,26000.0
Zonguldak / SoğuksuBahçelievler Mh. - 1+1,18000.0
Zonguldak / SoğuksuBahçelievler Mh. - 2+1,26000.0
Zonguldak / RüzgarlımeşeTepebaşı Mh. - 3+1,15000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,38000.0
Zonguldak / Soğuksuİncivez Mh. - 2+1,15000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 2.5+1,15000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 2+1,27000.0
Zonguldak / RüzgarlımeşeYeşil Mh. - 3+1,29000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,16500.0
Zonguldak / Soğuksuİncivez Mh. - 2+1,13000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 1+1,20000.0
Zonguldak / RüzgarlımeşeTepebaşı Mh. - 3+1,20000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 1+1,20000.0
Zonguldak / Soğuksuİncivez Mh. - 3+1,35000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,35000.0
Zonguldak / SoğuksuBahçelievler Mh. - 2+1,26000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,32000.0
Zonguldak / SoğuksuTerakki Mah. - 2+1,25000.0
Zonguldak / SoğuksuTerakki Mah. - 1+1,15000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 2+1,18000.0
Zonguldak / SoğuksuTerakki Mah. - 2+1,7000.0
Zonguldak / YeniçarşıMithatpaşa Mh. - 1+1,23000.0
Zonguldak / Soğuksuİncivez Mh. - 3+1,24000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,16750.0
Zonguldak / SoğuksuBahçelievler Mh. - 1+1,18500.0
Zonguldak / SoğuksuBahçelievler Mh. - 2+1,25000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 1+1,18000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 2+1,30500.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 3+1,35000.0
Zonguldak / Soğuksuİncivez Mh. - Stüdyo (1+0),12000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,15500.0
Zonguldak / Soğuksuİncivez Mh. - 2+1,12000.0
Zonguldak / SoğuksuBahçelievler Mh. - 1+1,12000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,26000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 2+1,20000.0
Zonguldak / SoğuksuTerakki Mah. - 3+0,15000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,17500.0
Zonguldak / SoğuksuTerakki Mah. - 2+1,18500.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,13000.0
Zonguldak / SoğuksuBahçelievler Mh. - 2+1,19000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,10000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,25000.0
Zonguldak / RüzgarlımeşeTepebaşı Mh. - 3+1,45000.0
Zonguldak / SoğuksuBahçelievler Mh. - 1+1,15000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,13500.0
Zonguldak / SoğuksuTerakki Mah. - 1+1,15500.0
Zonguldak / SoğuksuTerakki Mah. - 1+1,10000.0
Zonguldak / SoğuksuBahçelievler Mh. - 4+1,30000.0
Zonguldak / RüzgarlımeşeMeşrutiyet Mh. - 2+1,18000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,11000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,13500.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,12000.0
Zonguldak / SoğuksuBahçelievler Mh. - 3+1,25000.0
Zonguldak / Soğuksuİncivez Mh. - 1+1,13000.0
Zonguldak / SoğuksuTerakki Mah. - 1+1,13500.0
Zonguldak / SoğuksuBahçelievler Mh. - 1+1,18000.0
