District,Rooms,Price
Merkez,3+1,10.000 TL
Bulancak,1+1,12.500 TL
Merkez,1+1,12.000 TL
Merkez,1+1,12.750 TL
Bulancak,2+1,12.000 TL
Merkez,1+1,13.000 TL
Merkez,2+1,13.000 TL
Bulancak,1+1,12.500 TL
Merkez,Stüdyo (1+0),11.000 TL
Şebinkarahisar,3+1,11.000 TL
Merkez,2+1,8.000 TL
Bulancak,2+1,12.500 TL
Merkez,2+1,6.000 TL
Bulancak,1+1,12.750 TL
Merkez,2+1,10.000 TL
Bulancak,2+1,12.500 TL
Bulancak,2+1,10.000 TL
Merkez,2+1,8.000 TL
Bulancak,2+1,11.500 TL
Bulancak,3+1,13.000 TL
Merkez,3+1,13.000 TL
Merkez,3+1,13.400 TL
Merkez,3+1,12.000 TL
Merkez,3+1,6.000 TL
Merkez,3+1,9.000 TL
Merkez,1+1,10.500 TL
Merkez,1+1,12.500 TL
Bulancak,2+1,10.000 TL
Merkez,2+1,12.000 TL
Merkez,1+1,11.500 TL
Merkez,2+1,11.000 TL
Merkez,1+1,10.500 TL
Merkez,4+1,13.000 TL
Merkez,2+1,12.500 TL
Merkez,2+1,11.000 TL
Espiye,1+1,11.000 TL
Bulancak,3+1,8.000 TL
Merkez,1+1,13.000 TL
Merkez,1+1,11.000 TL
Merkez,2+1,12.500 TL
Merkez,1+1,8.000 TL
Espiye,2+1,13.000 TL
Merkez,2+1,10.500 TL
Espiye,1+1,12.000 TL
Merkez,3+1,13.000 TL
Bulancak,2+1,10.500 TL
Merkez,1+1,12.000 TL
Merkez,1+1,12.500 TL
Merkez,1+1,12.750 TL
Bulancak,3+1,10.000 TL
Merkez,1+1,12.000 TL
Bulancak,2+1,12.000 TL
Merkez,2+1,13.000 TL
Merkez,2+1,12.000 TL
Keşap / Köyler,1+1,13.000 TL
Bulancak,3+1,13.000 TL
Merkez,3+1,10.000 TL
Bulancak,2+1,8.500 TL
Merkez,1+1,13.000 TL
Merkez,3+1,12.000 TL
Merkez,1+1,12.000 TL
Merkez,2+1,10.000 TL
Bulancak,4+1,12.000 TL
Merkez,Stüdyo (1+0),9.000 TL
Merkez,2+1,7.000 TL
Espiye,2+1,13.000 TL
Merkez,1+1,13.000 TL
Merkez,2+1,13.000 TL
Bulancak,3+1,12.000 TL
Bulancak,3+1,13.000 TL
Merkez,1+1,12.000 TL
Merkez,1+1,13.000 TL
Merkez,2+1,9.000 TL
Bulancak,2+1,12.000 TL
Merkez,2+1,10.000 TL
Espiye,4+0,5.900 TL
Merkez,1+1,12.750 TL
Merkez,2+1,13.000 TL
Bulancak,2+1,12.000 TL
Merkez,2+1,12.500 TL
Merkez,3+1,10.000 TL
Merkez,3+1,12.000 TL
Merkez,Stüdyo (1+0),9.000 TL
Merkez,1+1,12.500 TL
Merkez,3+1,8.000 TL
Bulancak,1+1,12.000 TL
Espiye,2+1,11.000 TL
Merkez,3+1,12.000 TL
Bulancak,1+1,12.000 TL
Merkez,1+1,13.000 TL
Bulancak,1+1,13.000 TL
Keşap / Köyler,1+1,13.000 TL
Merkez,Stüdyo (1+0),11.000 TL
Merkez,2+1,13.000 TL
Merkez,3+1,10.000 TL
Merkez,2+1,7.500 TL
Merkez,2+1,13.000 TL
Bulancak,2+1,10.000 TL
Bulancak,1+1,13.000 TL
Espiye,2+1,11.000 TL
Merkez,1+1,13.000 TL
Bulancak,2+1,12.000 TL
