District,Rooms,Price
İstanbul / Bahçelievler,2+1,6.000 TL
İstanbul / Avcılar,1+1,9.500 TL
İstanbul / Bahçelievler,3+1,6.000 TL
İstanbul / Bağcılar,6+1,7.000 TL
İstanbul / Küçükçekmece,3+1,7.000 TL
İstanbul / Bağcılar,4+1,6.000 TL
İstanbul / Esenyurt,3+1,8.000 TL
İstanbul / Avcılar,3+1,8.100 TL
İstanbul / Bahçelievler,3+1,5.500 TL
İstanbul / Bahçelievler,3.5+1,6.000 TL
İstanbul / Bağcılar,Stüdyo (1+0),7.500 TL
İstanbul / Fatih,Stüdyo (1+0),9.900 TL
İstanbul / Fatih,Stüdyo (1+0),9.900 TL
İstanbul / Avcılar,2+1,9.000 TL
İstanbul / Bayrampaşa,5+2,10.300 TL
İstanbul / Beşiktaş,4+1,10.000 TL
İstanbul / Esenyurt,Stüdyo (1+0),9.000 TL
İstanbul / Bahçelievler,4+2,6.000 TL
İstanbul / Bahçelievler,3+1,9.000 TL
İstanbul / Avcılar,2+1,9.500 TL
İstanbul / Bahçelievler,3+1,6.000 TL
İstanbul / Avcılar,2+0,7.000 TL
İstanbul / Küçükçekmece,2+1,9.000 TL
İstanbul / Küçükçekmece,Stüdyo (1+0),9.000 TL
İstanbul / Bahçelievler,3+1,5.500 TL
İstanbul / Beşiktaş,4+1,10.000 TL
İstanbul / Bağcılar,1+1,7.000 TL
İstanbul / Avcılar,2+1,8.500 TL
İstanbul / Bağcılar,1+1,4.800 TL
İstanbul / Kağıthane,8+1,8.000 TL
İstanbul / Bahçelievler,Stüdyo (1+0),9.000 TL
İstanbul / Bağcılar,2+1,7.000 TL
İstanbul / Küçükçekmece,Stüdyo (1+0),7.000 TL
İstanbul / Güngören,2+1,8.500 TL
İstanbul / Kağıthane,Stüdyo (1+0),8.600 TL
İstanbul / Bağcılar,1+1,5.200 TL
İstanbul / Bahçelievler,3+1,6.000 TL
İstanbul / Gaziosmanpaşa,Stüdyo (1+0),8.500 TL
İstanbul / Fatih,Stüdyo (1+0),7.500 TL
İstanbul / Bahçelievler,2+1,7.500 TL
İstanbul / Esenyurt,2+1,8.900 TL
İstanbul / Esenyurt,4+1,6.000 TL
İstanbul / Arnavutköy,2+1,8.000 TL
İstanbul / Avcılar,2+1,9.500 TL
İstanbul / Bahçelievler,3+1,6.000 TL
İstanbul / Küçükçekmece,2+1,7.500 TL
İstanbul / Sultangazi,5+2,9.000 TL
İstanbul / Bahçelievler,3+1,6.000 TL
İstanbul / Esenyurt,2+1,6.900 TL
İstanbul / Esenyurt,2+1,8.400 TL
İstanbul / Sultangazi,3+1,6.000 TL
İstanbul / Bağcılar,3+1,7.000 TL
İstanbul / Bağcılar,2+1,5.000 TL
İstanbul / Bahçelievler,4+1,6.000 TL
İstanbul / Bahçelievler,2+1,9.000 TL
İstanbul / Beşiktaş,3+1,10.000 TL
İstanbul / Küçükçekmece,3+1,7.000 TL
İstanbul / Avcılar,2+1,9.000 TL
İstanbul / Çatalca,2+1,6.000 TL
İstanbul / Fatih,3+1,5.500 TL
İstanbul / Fatih,4+1,8.000 TL
İstanbul / Arnavutköy,2+1,9.200 TL
İstanbul / Bahçelievler,3+1,7.500 TL
İstanbul / Küçükçekmece,3+1,5.000 TL
İstanbul / Bahçelievler,3+1,7.500 TL
İstanbul / Esenyurt,2+1,7.900 TL
İstanbul / Kağıthane,8+1,6.500 TL
İstanbul / Avcılar,2+1,9.000 TL
İstanbul / Bahçelievler,Stüdyo (1+0),8.500 TL
İstanbul / Arnavutköy,2+1,3.500 TL
İstanbul / Bahçelievler,3+1,5.500 TL
İstanbul / Arnavutköy,1+1,2.500 TL
İstanbul / Küçükçekmece,3+1,7.000 TL
İstanbul / Esenyurt,3+1,8.000 TL
İstanbul / Bahçelievler,3+1,9.000 TL
İstanbul / Bahçelievler,3+1,6.000 TL
İstanbul / Bahçelievler,2+0,8.000 TL
İstanbul / Kağıthane,2+1,9.000 TL
İstanbul / Fatih,Stüdyo (1+0),8.500 TL
İstanbul / Avcılar,3+1,6.300 TL
İstanbul / Bahçelievler,3+1,5.000 TL
İstanbul / Bağcılar,2+1,5.000 TL
İstanbul / Küçükçekmece,2+1,9.000 TL
İstanbul / Avcılar,2+1,7.000 TL
İstanbul / Bağcılar,1+1,8.000 TL
İstanbul / Fatih,Stüdyo (1+0),9.000 TL
İstanbul / Esenyurt,2+1,6.900 TL
İstanbul / Bahçelievler,3+1,9.000 TL
İstanbul / Bahçelievler,3+1,9.000 TL
İstanbul / Küçükçekmece,3+1,8.000 TL
İstanbul / Fatih,3+1,5.500 TL
İstanbul / Bahçelievler,3+1,8.000 TL
İstanbul / Fatih,2+1,9.000 TL
İstanbul / Beşiktaş,Stüdyo (1+0),10.100 TL
İstanbul / Bahçelievler,3+1,8.000 TL
İstanbul / Fatih,1+1,6.000 TL
İstanbul / Avcılar,3+1,9.100 TL
İstanbul / Bağcılar,1+1,4.500 TL
İstanbul / Küçükçekmece,2+1,9.000 TL
İstanbul / Kağıthane,2+1,7.000 TL
İstanbul / Arnavutköy,1+1,6.500 TL
İstanbul / Avcılar,4+1,8.000 TL
İstanbul / Bağcılar,Stüdyo (1+0),8.500 TL
İstanbul / Bağcılar,Stüdyo (1+0),6.000 TL
İstanbul / Esenler,2+1,8.700 TL
İstanbul / Bahçelievler,2+1,4.500 TL
İstanbul / Bağcılar,3+1,6.000 TL
İstanbul / Büyükçekmece,6+2,7.800 TL
İstanbul / Bağcılar,2+1,9.700 TL
İstanbul / Esenyurt,2+1,7.900 TL
İstanbul / Avcılar,3+1,7.100 TL
İstanbul / Esenyurt,2+1,7.400 TL
İstanbul / Bahçelievler,3+1,9.000 TL
İstanbul / Bağcılar,3+1,9.800 TL
İstanbul / Bahçelievler,3+1,5.500 TL
İstanbul / Bahçelievler,3+1,5.500 TL
İstanbul / Avcılar,Stüdyo (1+0),5.000 TL
İstanbul / Bahçelievler,3+1,9.000 TL
İstanbul / Esenyurt,2+1,4.900 TL
İstanbul / Bağcılar,3+1,6.300 TL
İstanbul / Bağcılar,1+1,4.800 TL
İstanbul / Bağcılar,2+1,4.800 TL
İstanbul / Küçükçekmece,3+1,6.000 TL
