product_name,price
"Merkez
Tepebaşı - 1+1",19500
"Merkez
Tepebaşı - 3+1",11500
"Merkez
Fabrikalar - 3+1",15500
Yahşihan - 3+1,20000
Bahşılı - 2+1,13000
"Merkez
Tepebaşı - 3+1",20500
"Merkez
Sanayi - 2+1",12500
Yahşihan - 3+1,26000
"Merkez
Tepebaşı - 3+1",15000
Yahşihan - 3+1,15000
Yahşihan - 2+1,18500
Yahşihan - 2+0,14500
"Merkez
Fabrikalar - 2+1",11000
"Merkez
Tepebaşı - 4+1",10500
"Merkez
Fabrikalar - 3+1",13500
Yahşihan - 2+1,10000
"Merkez
Tepebaşı - 2+1",9750
Yahşihan - 3+1,18500
"Merkez
Tepebaşı - 3+1",14000
Yahşihan - 2+1,9800
"Merkez
Fabrikalar - 3+1",22000
"Merkez
Sanayi - 3+1",25000
"Merkez
Sanayi - 3+1",10000
"Merkez
Yuva - 3+1",13000
Yahşihan - 3+1,25000
"Merkez
Sanayi - 3+1",25000
Yahşihan - 2+1,15300
"Merkez
Tepebaşı - 3+1",20000
"Merkez
Sanayi - 4+1",36000
Yahşihan - 2+0,12200
Yahşihan - 2+1,12500
Yahşihan - 4+1,25500
"Merkez
Tepebaşı - 3+1",13500
Yahşihan - 2+1,15000
"Merkez
Tepebaşı - 1+1",10000
"Merkez
Fabrikalar - 3+1",20000
"Merkez
Fabrikalar - 3+1",11250
Yahşihan - 2+1,16000
"Merkez
Tepebaşı - 3+1",22000
Yahşihan - 3+1,27000
"Merkez
Sanayi - 3+1",27250
"Merkez
Yuva - 2+1",12000
"Merkez
Sanayi - 3+1",23000
Yahşihan - 4+1,35000
"Merkez
Fabrikalar - 2+1",15700
"Merkez
Fabrikalar - 3+1",12000
Yahşihan - 2+0,12500
Yahşihan - 2+1,13000
"Merkez
Fabrikalar - 3+1",11000
Yahşihan - 3+1,15000
Yahşihan - 3+1,26500
"Merkez
Sanayi - 3+1",21000
"Merkez
Sanayi - 3+1",15000
"Merkez
Tepebaşı - 3+1",18500
"Merkez
Tepebaşı - 3+1",12500
Yahşihan - 4+1,37000
"Merkez
Tepebaşı - 3+1",20000
Yahşihan - 3+0,9000
Yahşihan - 2+1,15500
Yahşihan - 3+1,23000
"Merkez
Sanayi - 3+1",30500
Yahşihan - 2+1,13000
"Merkez
Tepebaşı - 3+1",20000
Yahşihan - 4+1,25000
Yahşihan - 2+1,15500
"Merkez
Fabrikalar - 3+1",19000
"Merkez
Sanayi - 3+1",19500
"Merkez
Fabrikalar - 2+1",10000
Yahşihan - 2+0,12500
Yahşihan - 4+1,28000
"Merkez
Tepebaşı - 3+1",11000
"Merkez
Fabrikalar - 3+1",19500
"Merkez
Sanayi - 3+1",20000
"Merkez
Sanayi - 3+1",26500
Yahşihan - 3+1,16000
Yahşihan - 1+1,20500
Yahşihan - 2+1,15000
"Merkez
Fabrikalar - 2+1",11000
"Merkez
Sanayi - 3+1",12000
Yahşihan - 2+1,14000
Yahşihan - 4+1,35000
"Merkez
Sanayi - 3+1",29000
"Merkez
Fabrikalar - 3+1",13500
Yahşihan - 2+1,14000
"Merkez
Fabrikalar - 2+1",14000
Yahşihan - Stüdyo (1+0),8000
"Merkez
Tepebaşı - 2+1",13000
Yahşihan - 1+1,14000
Merkez - 3+1,25000
Yahşihan - 1+1,13750
Yahşihan - 2+0,12000
Yahşihan - 2+1,13500
"Merkez
Fabrikalar - 3+1",20000
"Merkez
Fabrikalar - 2+1",18750
"Merkez
Fabrikalar - 3+1",16000
"Merkez
Fabrikalar - 2+1",15000
"Merkez
Fabrikalar - 3+1",10000
"Merkez
Sanayi - 3+1",21000
"Merkez
Sanayi - 4+1",30000
Yahşihan - 2+1,15000
"Merkez
Fabrikalar - 3+1",25000
"Merkez
Sanayi - 3+1",27000
"Merkez
Tepebaşı - 3+1",20000
"Merkez
Sanayi - 3+1",26000
"Merkez
Tepebaşı - 3+1",26000
"Merkez
Sanayi - 3+1",24000
Yahşihan - 2+1,15500
Yahşihan - 1+1,23000
Yahşihan - 1+1,12000
"Merkez
Fabrikalar - 3+1",13500
Yahşihan - 3+1,23500
"Merkez
Sanayi - 3+1",18000
"Merkez
Fabrikalar - 2+1",10000
Yahşihan - 2+0,16000
Yahşihan - 2+1,11000
"Merkez
Tepebaşı - 3+1",18000
"Merkez
Fabrikalar - 3+1",15500
"Merkez
Tepebaşı - 3+1",15000
"Merkez
Tepebaşı - 4+1",34500
Yahşihan - 3+1,25000
"Merkez
Sanayi - 2+1",16000
"Merkez
Tepebaşı - 3+1",17500
"Merkez
Tepebaşı - 3+1",15000
"Merkez
Tepebaşı - 3+1",21000
"Merkez
Tepebaşı - 3+1",11000
Yahşihan - 3+0,15000
Yahşihan - 1+1,25000
Yahşihan - 3+1,15000
"Merkez
Sanayi - 4+1",25000
"Merkez
Tepebaşı - 3+1",23000
"Merkez
Tepebaşı - 3+1",28000
Merkez - 3+1,24000
Yahşihan - 1+1,19000
Yahşihan - 2+1,22500
"Merkez
Sanayi - 2+1",12500
"Merkez
Sanayi - 3+1",21500
"Merkez
Tepebaşı - 3+1",15500
"Merkez
Fabrikalar - 3+1",15500
"Merkez
Tepebaşı - 3+1",14000
Yahşihan - 2+0,12000
Yahşihan - 4+1,26000
Yahşihan - 3+1,35000
Yahşihan - 2+1,12500
Yahşihan - 3+1,13500
"Merkez
Fabrikalar - 2+1",12500
Yahşihan - 2+1,16000
Yahşihan - 2+1,13500
"Merkez
Tepebaşı - 3+1",12500
"Merkez
Sanayi - 1+1",16250
Yahşihan - 2+0,15000
Yahşihan - 4+1,32000
Yahşihan - 2+1,21000
"Merkez
Tepebaşı - 3+1",15750
"Merkez
Fabrikalar - 3+1",12500
"Merkez
Sanayi - 2+1",12000
"Merkez
Tepebaşı - 3+1",13000
Yahşihan - 2+0,13000
"Merkez
Tepebaşı - 3+1",18500
"Merkez
Sanayi - 3+1",10500
Yahşihan - 2+1,19500
Yahşihan - 2+1,25000
"Merkez
Tepebaşı - 3+1",29000
"Merkez
Fabrikalar - 1+1",23000
"Merkez
Fabrikalar - 3+1",20000
Yahşihan - 2+1,15000
Yahşihan - 2+1,14000
"Merkez
Sanayi - 2+1",16500
Yahşihan - 4+1,25000
"Merkez
Tepebaşı - 3+1",13000
"Merkez
Tepebaşı - 2+1",25000
"Merkez
Sanayi - 3+1",9000
