Date,Price,District,Rooms
2026-03-30,37000,"Merkez
Fabrikalar",4+1
2026-03-30,11000,"Merkez
Tepebaşı",2+1
2026-03-30,9500,Yahşihan,2+1
2026-03-30,9500,"Merkez
Fabrikalar",3+1
2026-03-30,24000,Yahşihan,1+1
2026-03-30,25000,"Merkez
Sanayi",3+1
2026-03-30,13000,Yahşihan,2+1
2026-03-30,16000,"Merkez
Tepebaşı",3+1
2026-03-30,22000,Yahşihan,1+1
2026-03-30,12500,Yahşihan,1+1
2026-03-30,34000,Yahşihan,4+1
2026-03-30,23000,"Merkez
Sanayi",3+1
2026-03-30,13000,"Merkez
Tepebaşı",3+1
2026-03-30,26000,Yahşihan,4+1
2026-03-30,1010,"Merkez
Tepebaşı",3+1
2026-03-30,24500,"Merkez
Sanayi",3+1
2026-03-30,13000,"Merkez
Yuva",3+1
2026-03-30,23000,"Merkez
Tepebaşı",3+1
2026-03-30,20000,Yahşihan,2+1
2026-03-30,14250,"Merkez
Tepebaşı",2+1
2026-03-30,12000,"Merkez
Tepebaşı",3+1
2026-03-30,16000,"Merkez
Fabrikalar",3+1
2026-03-30,15000,"Merkez
Fabrikalar",3+1
2026-03-30,30000,Yahşihan,4+1
2026-03-30,50000,"Merkez
Sanayi",3+1
2026-03-30,20000,Yahşihan,1+1
2026-03-30,25000,Yahşihan,4+1
2026-03-30,15000,Yahşihan,2+1
2026-03-30,10000,"Merkez
Tepebaşı",2+1
2026-03-30,16000,"Merkez
Fabrikalar",3+1
2026-03-30,24000,Yahşihan,4+1
2026-03-30,28000,Yahşihan,3+1
2026-03-30,25000,"Merkez
Fabrikalar",3+1
2026-03-30,28000,"Merkez
Sanayi",3+1
2026-03-30,21000,Yahşihan,3+1
2026-03-30,27000,Yahşihan,2+1
2026-03-30,12000,Yahşihan,2+1
2026-03-30,45000,"Merkez
Fabrikalar",4+1
2026-03-30,23000,"Merkez
Sanayi",3+1
2026-03-30,13000,"Merkez
Fabrikalar",3+1
2026-03-30,38000,"Merkez
Yuva",4.5+1
2026-03-30,9500,"Merkez
Sanayi",3+1
2026-03-30,60000,Yahşihan,9+1
2026-03-30,7500,Yahşihan,Stüdyo (1+0)
2026-03-30,25500,Yahşihan,3+1
2026-03-30,15000,Yahşihan,2+1
2026-03-30,12000,"Merkez
Tepebaşı",3+1
2026-03-30,17500,Yahşihan,2+1
2026-03-30,14000,"Merkez
Sanayi",3+1
2026-03-30,10000,"Merkez
Tepebaşı",2+1
2026-03-30,12500,Yahşihan,1+1
2026-03-30,32000,"Merkez
Tepebaşı",3+1
2026-03-30,25000,"Merkez
Fabrikalar",3+1
2026-03-30,12500,Yahşihan,2+0
2026-03-30,25000,Yahşihan,3+1
2026-03-30,12000,Yahşihan,2+1
2026-03-30,23000,"Merkez
Fabrikalar",3+1
2026-03-30,12500,Yahşihan,2+1
2026-03-30,25000,"Merkez
Sanayi",3+1
2026-03-30,32000,"Merkez
Fabrikalar",4+1
2026-03-30,16000,"Merkez
Fabrikalar",3+1
2026-03-30,30000,Yahşihan,4+1
2026-03-30,18500,"Merkez
Fabrikalar",3+1
2026-03-30,13500,Yahşihan,2+1
2026-03-30,12000,"Merkez
Yuva",2+1
2026-03-30,19500,"Merkez
Fabrikalar",2+1
2026-03-30,9300,Yahşihan,1+1
2026-03-30,12500,"Merkez
Tepebaşı",3+1
2026-03-30,11000,"Merkez
Tepebaşı",3+1
2026-03-30,16500,"Merkez
Fabrikalar",3+1
