Date,Price,District,Rooms
2026-04-20,15500,"Merkez
Hükümet",3+1
2026-04-20,11500,"Merkez
Çarşı",3+1
2026-04-20,10000,Merkez,3+1
2026-04-20,10500,"Merkez
Hükümet",2+1
2026-04-20,14250,Merkez,3+1
2026-04-20,14250,"Merkez
Çarşı",3+1
2026-04-20,10500,Merkez,1+1
2026-04-20,8500,"Merkez
Hükümet",2+1
2026-04-20,25000,Merkez,1+1
2026-04-20,18000,"Merkez
Hükümet",2+0
2026-04-20,20000,"Merkez
Hükümet",3+1
2026-04-20,17000,"Merkez
Hükümet",2+1
2026-04-20,19500,"Merkez
Hükümet",2+1
2026-04-20,13000,"Merkez
Hükümet",2+1
2026-04-20,15500,"Merkez
Hükümet",2+1
2026-04-20,17500,"Merkez
Hükümet",3+1
2026-04-20,13500,"Merkez
Hükümet",2+1
2026-04-20,15000,"Merkez
Hükümet",1+1
2026-04-20,17500,Merkez,1+1
2026-04-20,13500,"Merkez
Hükümet",3+1
2026-04-20,17000,"Merkez
Hükümet",1+1
2026-04-20,10000,"Merkez
Hükümet",3+1
2026-04-20,25000,"Merkez
Hükümet",2+1
2026-04-20,6000,"Merkez
Hükümet",3+1
2026-04-20,17500,Merkez,1+1
2026-04-20,7500,Merkez,3+1
2026-04-20,19950,"Merkez
Hükümet",4+1
2026-04-20,8000,"Merkez
Hükümet",2+1
2026-04-20,16000,"Merkez
Hükümet",1+1
2026-04-20,31000,"Merkez
Çarşı",2+1
2026-04-20,21000,Merkez,1+1
2026-04-20,17500,"Merkez
Hükümet",1+1
2026-04-20,23000,"Merkez
Hükümet",3+1
2026-04-20,16000,"Merkez
Hükümet",3+1
2026-04-20,18000,"Merkez
Çarşı",1+1
2026-04-20,17500,"Merkez
Çarşı",1+1
2026-04-20,17000,Merkez,1+1
2026-04-20,14500,"Merkez
Hükümet",3+1
2026-04-20,13000,"Merkez
Hükümet",3+1
2026-04-20,22000,"Merkez
Hükümet",3+1
2026-04-20,17500,Merkez,2+0
2026-04-20,15500,"Merkez
Çarşı",3+1
2026-04-20,21000,Merkez,2+1
2026-04-20,13000,"Merkez
Hükümet",3+1
2026-04-20,22000,Merkez,3+1
2026-04-20,14500,"Merkez
Çarşı",2+1
2026-04-20,12000,"Merkez
Hükümet",3+1
2026-04-20,12000,"Merkez
Hükümet",2+1
2026-04-20,14000,Merkez,1+1
2026-04-20,27000,"Merkez
Hükümet",2+1
2026-04-20,15500,"Merkez
Hükümet",1+1
