District,Rooms,Price
Merkez / Tunceli,3+1,35.000 TL
Merkez / Tunceli,2+1,15.000 TL
Merkez / Tunceli,1+1,26.000 TL
Merkez / Tunceli,3+1,25.000 TL
Merkez / Tunceli,3+1,15.000 TL
Pertek,2+1,23.500 TL
Merkez / Tunceli,3+1,22.000 TL
Merkez / Tunceli,3+1,23.000 TL
Merkez / Tunceli,3+1,20.000 TL
Merkez / Tunceli,1+1,27.000 TL
Merkez / Tunceli,1+1,18.500 TL
Merkez / Tunceli,3+1,20.000 TL
Merkez / Tunceli,3+1,25.000 TL
Merkez / Tunceli,3+1,30.000 TL
Merkez / Tunceli,1+1,18.000 TL
Merkez / Tunceli,3+1,17.500 TL
Merkez / Tunceli,1+1,19.000 TL
Pertek,3+1,15.000 TL
Merkez / Tunceli,2+1,17.000 TL
