product_name,price
Mut / Köyler - 3+1,10000
Akdeniz / Camiişerif - 1+1,10000
Toroslar / Sağlık - 2+1,10000
Silifke / Taşucu - 2+1,8000
Erdemli / Merkez - 1+1,10000
Toroslar / Halkkent - 2+1,10000
Toroslar / Halkkent - 2+1,10000
Yenişehir / Egriçam - 3+1,7500
Erdemli / Merkez - 2+1,1250
Akdeniz / Çankaya - 2+1,10500
Toroslar / Çavuşlu - 1+1,10500
Erdemli / Kocahasanlı - 2+1,9000
Silifke / Taşucu - 3+1,5000
Yenişehir / Barbaros - 1+1,10500
Akdeniz / Barış - 1+1,10000
Erdemli / Beldeler - 2+1,3000
Erdemli / Beldeler - 2+1,3250
Toroslar - 2+1,10000
Erdemli / Beldeler - 1+1,2000
Erdemli / Kocahasanlı - 1+1,10000
Yenişehir / Egriçam - 3+1,10000
Silifke / Gazi - 1+1,7000
Erdemli / Beldeler - 1+1,3500
Erdemli / Arpaçbahşiş - 1+1,10000
Toroslar / Halkkent - 2+1,10000
Tarsus / 82 Evler - 1+1,1000
Toroslar / Sağlık - 1+1,8500
Toroslar / Sağlık - Stüdyo (1+0),10000
Tarsus / Anıt - Stüdyo (1+0),10000
Erdemli / Beldeler - 1+1,2500
Akdeniz / Özgürlük - 2+1,9200
Silifke / Taşucu - 2+1,10000
Aydıncık / Köyler - 2+1,3500
Erdemli / Alata - 1+1,2000
Erdemli / Arpaçbahşiş - 2+1,5000
Silifke / Gazi - 2.5+1,10500
Erdemli / Merkez - 1+1,10000
Erdemli / Limonlu - 1+1,10000
Toroslar / Çavuşlu - 3+1,10000
Erdemli / Arpaçbahşiş - 1+1,5000
Akdeniz / Barış - Stüdyo (1+0),10000
Yenişehir / Cumhuriyet - 2+1,10000
Akdeniz / Çankaya - 2+1,8000
Yenişehir / Bahçelievler - 1+1,10000
Yenişehir / Çiftlikköy - Stüdyo (1+0),10000
Akdeniz / Çankaya - Stüdyo (1+0),10000
Silifke / Pazarkaşı - 2+1,10000
Akdeniz / Çankaya - 1+1,9000
Akdeniz / Mithatpaşa - 2+1,8000
Silifke / Atakent - 1+1,1500
Silifke / Atakent - 2+1,8000
Erdemli / Beldeler - 1+1,2499
Erdemli / Merkez - 1+1,2000
Erdemli / Kocahasanlı - 1+1,10000
Silifke / Atayurt - 2+1,8000
Bozyazı / Tekmen - 3.5+1,6000
Yenişehir / Cumhuriyet - 1+1,10000
Silifke / Taşucu - 2+1,2000
Mezitli - 1+1,10000
Erdemli / Merkez - 2+1,1000
Erdemli / Merkez - 1+1,10000
Akdeniz / Mithatpaşa - 3+1,6500
Erdemli / Beldeler - 1+1,9999
Erdemli / Kocahasanlı - 1+1,10000
Akdeniz / Barış - 3+1,10000
Erdemli / Beldeler - 1+1,2500
Toroslar / Akbelen - 2+1,10000
Akdeniz / Camiişerif - 2+1,10000
Erdemli / Çeşmeli - 1+1,10000
Erdemli / Merkez - 2+1,3000
Erdemli / Merkez - 1+1,2500
Silifke / Taşucu - 3+1,10000
Erdemli / Beldeler - 1+1,2500
Silifke / Gazi - 3+1,10000
Mezitli - 2+1,11500
Erdemli / Arpaçbahşiş - 1+1,11000
Yenişehir / Cumhuriyet - 1+1,12000
Yenişehir / Egriçam - 1+1,11000
Mezitli - 2+1,12000
Mezitli - 3+1,12500
Yenişehir / Çiftlikköy - 1+1,11000
Erdemli / Alata - 1+1,12000
Tarsus / Gülek - Stüdyo (1+0),11000
Toroslar / Halkkent - 2+1,12000
Yenişehir / Çiftlikköy - 1+1,11000
Yenişehir / Çiftlikköy - 1+1,12500
Toroslar / Köyler - 1+1,12500
Erdemli / Arpaçbahşiş - 1+1,12000
Silifke / Saray - 2+1,12000
Yenişehir / Barbaros - 1+1,12500
Yenişehir / Bahçelievler - 1+1,12500
Toroslar / Akbelen - 2+1,12000
Akdeniz / Mithatpaşa - 2+1,12000
Akdeniz / Camiişerif - 2+1,12000
Silifke / Gazi - 2+1,12500
Erdemli / Beldeler - 1+1,12000
Mezitli - 1+1,12500
Silifke / Gazi - 2+1,12000
Toroslar / Sağlık - 2+1,11000
Erdemli / Arpaçbahşiş - 1+1,12500
Silifke / Taşucu - 2+1,12000
Akdeniz / Çankaya - 2+1,12200
Toroslar / Çavuşlu - 2+1,11000
Toroslar / Alsancak - 3+1,11000
Akdeniz / Yenitaşkent,12500
Mezitli / Davultepe - 1+1,12000
Erdemli / Çeşmeli - 1+1,11000
Silifke / Gazi - 1+1,11500
Akdeniz / Barış - 3+1,12500
Tarsus / Beydeğirmeni - 2+1,12500
Erdemli / Arpaçbahşiş - 1+1,12500
Mezitli - 1+1,12000
Tarsus / Beydeğirmeni - 2+1,12000
Akdeniz / Çay - 3+1,12000
Mezitli - 1+1,12500
Mezitli / Tece - 1+1,12000
Yenişehir / Barbaros - 1+1,12000
Toroslar / Çavuşlu - 2+1,12000
Toroslar / Sağlık - 3+1,11500
Erdemli / Merkez - 1+1,12000
Erdemli / Akdeniz - 1+1,12000
Toroslar / Halkkent - 2+1,12000
Yenişehir / Çiftlikköy - Stüdyo (1+0),12000
Silifke / Gazi - 2+1,11500
Toroslar / Çavuşlu - 2+1,12000
Toroslar - 1+1,12000
Gülnar / Ovacık - 2+0,11000
Toroslar / Çavuşlu - 2+1,12000
Mezitli - 1+1,12000
Erdemli / Arpaçbahşiş - 1+1,12000
Toroslar / Akbelen - 3+1,12000
Erdemli / Merkez - 2+1,11500
Toroslar / Halkkent - 2+1,11000
Yenişehir / Egriçam - 2+1,12500
Erdemli / Çeşmeli - 1+1,12000
Toroslar / Halkkent - 2+1,11000
Yenişehir / Bahçelievler - 2+1,12000
Erdemli / Merkez - 1+1,12000
Toroslar - 3+1,12500
Erdemli / Akdeniz - 2+1,12000
Erdemli / Alata - 1+1,12000
Erdemli / Merkez - 1+1,12000
Toroslar / Alsancak - 3+1,12000
Erdemli / Çeşmeli - 1+1,12000
Toroslar / Sağlık - 3+1,12500
Erdemli / Kocahasanlı - 2+1,12000
Akdeniz / Barış - 3+1,11000
Mezitli - 1+1,12000
Mezitli - Stüdyo (1+0),12000
Akdeniz / Barış - 2+1,11000
Toroslar / Akbelen - 3+1,12000
Mezitli - 1+1,12000
Erdemli / Arpaçbahşiş - 1+1,12000
Mezitli - 1+1,12500
Erdemli / Alata - 1+1,12000
Erdemli / Çeşmeli - 1+1,12000
Akdeniz / Barış - 3+1,11500
Erdemli / Arpaçbahşiş - 1+1,11000
Erdemli / Merkez - 1+1,12000
Toroslar / Alsancak - 3+1,11000
Akdeniz / Köyler - 2+1,12000
Silifke / Gazi - 1+1,11000
Erdemli / Merkez - 1+1,12000
Erdemli / Akdeniz - 1+1,12000
Akdeniz / Barış - 3+1,12500
Erdemli / Kocahasanlı - 1+1,12000
Toroslar / Halkkent - 2+1,12500
Mezitli - 1+1,12500
Erdemli / Akdeniz - 2+1,12000
Mezitli - 1+1,12750
Akdeniz / Mithatpaşa - 2+1,12000
Erdemli / Merkez - 1+1,12500
Erdemli / Beldeler - 1+1,11000
Akdeniz / Nusratiye - 3+1,11000
Akdeniz / Camiişerif - 3+1,11000
