product_name,price
Ayancık - 1+1,10.000 TL
Merkez / Sinop - 2+1,9.000 TL
Gerze - 1+1,10.000 TL
Türkeli / Köyler - 3+1,7.500 TL
Boyabat - 2+1,13.000 TL
Gerze - 2+1,15.000 TL
Boyabat - 2+1,15.000 TL
Gerze - 2+1,12.500 TL
Gerze - 2+1,13.000 TL
Gerze - 2+1,15.000 TL
Merkez / Sinop - Stüdyo (1+0),12.000 TL
Gerze - 2+1,14.000 TL
Gerze - 2+1,12.000 TL
Merkez / Sinop - 1+1,15.000 TL
Merkez / Sinop - 3+1,15.000 TL
Merkez / Sinop - Stüdyo (1+0),15.000 TL
Gerze - 2+1,15.000 TL
Gerze - 2+1,15.000 TL
Gerze - 2+1,13.000 TL
Merkez / Köyler - 2+1,15.000 TL
Gerze - 2+1,15.000 TL
Merkez / Sinop - 1+1,14.000 TL
Gerze - 2+1,14.000 TL
Merkez / Sinop - 2+1,15.000 TL
Ayancık - 2+1,15.000 TL
Gerze - 2+1,12.000 TL
Merkez / Sinop - 1+1,15.000 TL
Saraydüzü - 2+1,13.000 TL
Gerze - 2+1,15.000 TL
Türkeli - 1+1,15.000 TL
Merkez / Sinop - 3+1,13.000 TL
Gerze - 2+1,15.000 TL
Merkez / Sinop - 1+1,15.000 TL
Merkez / Köyler - 1+1,12.000 TL
Gerze - 2+1,15.000 TL
Gerze - 1.5+1,14.000 TL
Gerze - 3+1,13.000 TL
Gerze - 2+1,15.000 TL
Merkez / Sinop - 1+1,14.000 TL
Gerze - 2+1,15.000 TL
Gerze - 2+1,14.000 TL
Merkez / Sinop - 2+1,15.000 TL
Merkez / Sinop - 1+1,15.000 TL
Gerze - 2+1,14.000 TL
Gerze - 2+1,15.000 TL
Gerze - 2+1,14.000 TL
Durağan - 2+1,15.000 TL
Türkeli - Stüdyo (1+0),14.500 TL
Gerze - 2+1,14.000 TL
Boyabat - 2+1,15.000 TL
Türkeli - Stüdyo (1+0),14.500 TL
Gerze - 2+1,13.800 TL
Gerze - 2+1,15.000 TL
Gerze - 1+1,14.000 TL
Türkeli - 1+1,14.500 TL
Erfelek - 2+1,15.000 TL
Erfelek - 2+1,15.000 TL
Gerze - 3+1,15.000 TL
Merkez / Sinop - 1+1,15.000 TL
Gerze - 2+1,13.000 TL
Türkeli - Stüdyo (1+0),14.500 TL
Türkeli - 1+1,14.500 TL
Boyabat - 2+1,17.000 TL
Merkez / Sinop - 3+1,20.000 TL
Merkez / Sinop - 2+1,20.000 TL
Boyabat - 3+1,16.000 TL
Ayancık - 2+1,20.000 TL
Erfelek - 3+1,18.000 TL
Boyabat - 3+1,19.500 TL
Boyabat - 1+1,18.000 TL
Merkez / Sinop - 1+1,16.000 TL
Gerze - 3+1,16.000 TL
Gerze - 2+1,15.500 TL
Gerze - 2+1,20.000 TL
Merkez / Sinop - 1+1,17.000 TL
Boyabat - 2+1,20.000 TL
Merkez / Sinop - 2+1,20.000 TL
Merkez / Sinop - 2+1,16.000 TL
Gerze - 2+1,16.000 TL
Boyabat - 3+1,20.000 TL
Gerze - 2+1,20.000 TL
Merkez / Sinop - 2+1,20.000 TL
Merkez / Sinop - 1+1,20.000 TL
Boyabat - 3+1,20.000 TL
Türkeli - 2+1,17.000 TL
Boyabat - 2+1,20.000 TL
Merkez / Sinop - 2+1,20.000 TL
Merkez / Sinop - 1+1,17.500 TL
Gerze - 2+1,16.000 TL
Boyabat - 3+1,18.500 TL
Boyabat - 2+1,16.000 TL
Gerze - 2+0,19.000 TL
Gerze - 2+1,16.000 TL
Durağan - 2+1,20.000 TL
Merkez / Sinop - 2+1,17.000 TL
Ayancık - 2+1,20.000 TL
