District,Rooms,Price
Merkez,2+1,19.000 TL
Merkez / Köyler,2+1,18.500 TL
Merkez / Karşıyaka,2+0,12.500 TL
Zile,3+1,17.000 TL
Merkez / Karşıyaka,1+1,15.500 TL
Merkez,3+1,16.000 TL
Merkez,2+0,14.000 TL
Merkez,1+1,19.500 TL
Merkez,1+1,18.500 TL
Merkez,3+1,17.000 TL
Merkez,1+1,18.500 TL
Turhal,3+1,15.500 TL
Merkez,1+1,18.000 TL
Merkez,2+1,15.250 TL
Merkez,Stüdyo (1+0),12.500 TL
Merkez,2+1,13.500 TL
Merkez,2+0,11.000 TL
Niksar,1+1,8.000 TL
Merkez,1+1,16.500 TL
Turhal,3+1,13.500 TL
Merkez,Stüdyo (1+0),14.000 TL
Merkez,1+1,15.000 TL
Merkez,3+1,15.000 TL
Merkez,2+1,15.000 TL
Merkez,2+1,19.000 TL
Merkez,1+1,17.000 TL
Merkez,1+1,16.000 TL
Merkez,2+0,16.500 TL
Merkez,1+1,15.000 TL
Merkez,1+1,15.000 TL
Merkez / Köyler,3+1,12.000 TL
Merkez / Köyler,2.5+1,17.000 TL
Merkez / Karşıyaka,2+1,14.500 TL
Merkez,2+1,15.500 TL
Merkez,2+0,15.250 TL
Erbaa,3+1,18.000 TL
Merkez / Köyler,3+1,18.500 TL
Merkez,2+0,14.500 TL
Merkez,1+1,17.000 TL
Merkez / Köyler,3+1,17.500 TL
Merkez,2+1,14.500 TL
Merkez,1+1,13.000 TL
Merkez,2+1,15.000 TL
Merkez,2+1,16.000 TL
Merkez,1+1,12.500 TL
Merkez,1+1,12.000 TL
Merkez / Karşıyaka,2+0,13.000 TL
Merkez / Köyler,3+1,19.000 TL
Merkez,Stüdyo (1+0),12.000 TL
Erbaa,3+1,17.000 TL
Turhal,3+1,18.500 TL
Merkez,1+1,18.500 TL
Merkez,1+1,13.000 TL
Merkez,2+1,14.000 TL
Merkez,3+1,18.000 TL
Merkez,1+1,17.500 TL
Merkez,2+1,16.000 TL
Merkez / Köyler,1+1,16.000 TL
Merkez,1+1,16.000 TL
Merkez,2+1,16.500 TL
Merkez,1+1,16.000 TL
Merkez,Stüdyo (1+0),11.000 TL
Merkez,1+1,16.000 TL
Merkez / Karşıyaka,2+1,18.000 TL
Merkez,1+1,18.000 TL
Niksar,3+1,16.500 TL
Merkez,3+1,18.000 TL
Merkez,3+1,19.000 TL
Merkez,2+1,15.000 TL
Merkez,2+1,13.000 TL
Merkez,2+1,17.000 TL
Merkez,1+1,15.000 TL
Merkez,2+0,13.500 TL
Merkez,2+0,13.750 TL
Merkez,2+1,14.999 TL
Merkez,2+1,15.000 TL
Merkez,1+1,16.100 TL
Merkez,1+1,14.000 TL
Merkez / Karşıyaka,2+0,14.000 TL
Reşadiye,3+1,17.000 TL
Merkez / Perakende,3+1,15.000 TL
Niksar,3+1,18.000 TL
Merkez,2+0,16.000 TL
Merkez,1+1,18.000 TL
Merkez / Karşıyaka,2+1,15.000 TL
Merkez,2+0,14.500 TL
Merkez,2.5+1,18.000 TL
Merkez,3+1,19.500 TL
Merkez,3+1,15.500 TL
Merkez,1+1,14.250 TL
Merkez,3+1,12.500 TL
Merkez,2+1,18.000 TL
Erbaa,3+1,16.000 TL
Merkez / Karşıyaka,2+0,18.000 TL
Merkez,1+1,19.000 TL
Merkez,3+1,15.500 TL
Merkez / Karşıyaka,1+1,19.500 TL
Merkez,1+1,12.500 TL
Merkez,1+1,18.500 TL
Merkez / Karşıyaka,2+1,16.000 TL
