isim;fiyat
VAN YAPI EMLAK'TAN KALECIK TOKİ'DE KİRALIK 3+1 DAİRELER;11500.00
kiralık daire;8000.00
Sahile sıfır eşyalı kiralık villa;5000.00
Kiralık 3+1 Daire;12000.00
VAN YAPI EMLAK'TAN MARAŞ CADDE'SİNDE KİRALIK 1+1 EŞYALI DAİRE;12000.00
EDREMIT KIRACILAR TOKİ'DE KIRALIK 3 + 1 DAIRE;10500.00
BEŞYOLUN KALBİNDE KİRALIK 1 + 1 DAİRE;12000.00
Kiralık 1+1;11000.00
ASKERİ ŞUBE YANİ KİRALIK 1+1 BOŞ BALKONLU DAİRE;9000.00
yukarı TOKİ kiralık sıfır daire;8500.00
Sahibinden doğalgazlı eşyalı yada eşyasız kiralık 1+1 lüks daire;9000.00
İpekyolu kiralık 1+1 daire;10000.00
KİRALIK 1+1 DAİRE;12000.00
Kiralık 1+1 daire;12000.00
PINAR EMLAK'TAN ŞEREFİYE MAH.KİRALIK EŞYALI 1+1 DAİRE;12000.00
Zenith GYO'dan Eşyalı 1+1 Daire - Bahçıvan Mahallesi'nde;11000.00
Sıfır bina Asansörlü Kiralık 2+1 Daire;10000.00
NAS EMLAK'TAN KİRALIK 1+1 TERASLI DAİRE YENİ YAPI AWM CİVARİ;10000.00
VAN YAPI EMLAK'TAN KİRALIK 1+1 EŞYASIZ LÜX DAİRE SIFIR YAPI;9500.00
Kiralık daire;10500.00
Yeni tokilerde asansörlü ara kat göl manzaralı 3+1 daire;10000.00
ŞELALE EMLAK GAYRİMENKUL GÜVENCESİ İLE KİRALIK 3+1 DAİRE;11000.00
MERKEZİ KONUMDA 1+1 DAİRE;9000.00
Sahibinden eşyalı 1+1 daire;11000.00
dairemiz sıhke cadesinde kat 4;12000.00
ZEKİOĞLU EMLAKTAN İSKELE CAD KİRALIK 1+1 DAİRE;11000.00
SAHİBİNDEN (EŞYASIZ) AŞAĞI TOKİDE ASANSÖRLÜ KİRALIK DAİRE;11000.00
PINAR EMLAK'TAN ŞEREFİYE MH.SANTRAL SOK.KİRALIK EŞYALI 1+1 DAİRE;11000.00
Kiralık Eşyalı Eşyasız;7500.00
VAN EDREMİT TOKİ 14 ETAP 3+1 SİTE İÇİ KİRALIK DAİRE;10000.00
KAMPÜS BARDAKÇI TOKİ KİRALIK 2+1 DAİRE;12000.00
ANKA OFFİCE'TEN KİRALIK!!;12000.00
ZEKİOĞLU EMLAKTAN KİRALIK 1+1 DAİRE;10500.00
Açık Otopark Var Hastalık Sebebiyle Daire Emsalsiz Konumda 3+1 Ferah;12000.00
YDN'DEN İKİ NİSAN POLİS EVİNE YAKIN KİRALIK SIFIR 1+1 DAİRE;11500.00
KİRALIK EŞYALI 2+1;11000.00
Kiralık 2+1 daire;10500.00
KAMURAN GİYİK EMLAK'TAN KİRALIK;6000.00
EDREMİT YENİ TOKİDE KİRALIK;12000.00
Kiralık 3+1 Daire;11500.00
Edremit yeni tokide kiralik cam balkonlu daire;12000.00
Van gölüne sıfır dublex villa;7000.00
1+1 cepheleri açık ferah Vanın en nezih semtinde ikinisan cad.;11000.00
"MARAŞ CADDESİ CİVARI KİRALIK ""EŞYASIZ"" 1+1 DAİRE ÖNÜ AÇIK";12000.00
SEÇKİN EMLAK'TAN KİRALIK 1+1 EŞYALI DAİRE KEVENLİ TOKİ'DE;12000.00
PINAR EMLAK'TAN AKKÖPRÜ MAH.KİRALIK MÜSTAKİL3+1 ÇATILI/SOBALI EV;12000.00
Kiralık 3+1 Daire Asansörlü Erciş Toki;8500.00
KALE YOLUNA SIFIR KİRALIK DAİRW;3456.00
VAN İPEKYOLU BAHÇIVAN MAH KİRALIK FUL EŞYALI DAİRE;12000.00
kiralık daire;11000.00
MUTFAĞI AYRI 70 M² CEPHELERİ AÇIK EŞYALI 1+1 DAİRE;11000.00
MSM Emlak -Kiralık daireler var, arayınız;12000.00
DEVLET TİYATROSU CİVARINDA MERKEZİ KONUMDA KİRALIK 1+1 DAİRE;11000.00
MERKEZDE 1+1 EŞYALI KİRALIK DAİRE SON 1 DAİRE;12000.00
FİDAN EMLAK'TAN 2+1 KİRALIK DAİRE;10000.00
ERCİŞ VANYOLU MAH. | 2+1 GİRİŞ KAT | SIFIR KİRALIK DAİRE;12000.00
ERCIŞ CAMİKEBİR MAH. KİRALIK 3+1;12000.00
KİRALIK LÜKS 1+1DAİRE;12000.00
ZEKİOĞLU EMLAKTAN BAHCİVANDA KİRALIK 1+1;10500.00
KİRALIK EŞYALI EŞYASIZ 1+1 DAİRE AÇIKLAMAYI OKU;9000.00
YDN'DEN İSKELE CAD. VATSO'YA YAKIN KİRALIK 1+1 EŞYALI DAİRE;12000.00
Van edremit yeni TOKİ'de kiralık 3 + 1 daire;10500.00
Ayrı mutfakı abonelikleri açık daire;12000.00
MF GROUP'TAN MERKEZDE YENİ YAPI KİRALIK EŞYALI 1+1 DAİRE!;12000.00
çarşı merkezinde 2 nisan polis evi karşısı;12000.00
Sahibinden Kiralık 3+1 Daire;12000.00
BAHCİVANDA KİRALIK 1+1;10000.00
MEVSİM EMLAKTAN KİRALIK 1+1 AYRI MUTFAKLI BALKONLU DAİRE;12000.00
VAN KEVENLİ TOKİDE KIRALIK 1+1 DAİRE;7500.00
Daire Sahibinden Devlet Tiyatrosu Yakının'da 1+1 DAİRE;11000.00
Esentepe kiracılar tokide kiralık daire;10500.00
MERKEZDE KİRALIK 1+1 EŞYALI DAİRE (ŞOK FİYAT);10000.00
BÜYÜK KİRALIK FUL EŞYALI 1+1 70m²ALATURKAWC MEVCUT GÜVENLİ TEMİZ;12000.00
KEDEM'DEN ALİPAŞA MAHALLESİNDE KİRALIK 1+1 BALKONLU DAİRE;11500.00
Kalecikte Asansörlü Temiz kiralık daire;12000.00
sahibinden kiralık 1+1 daire;9000.00
kiralık daire göle SIFIR;5000.00
KİRALIK 1+1 BOŞ DAİRE MEMUR APT. MESKEN ÜNİVERSİTE DURAĞI CİVARI;8500.00
Sahibinden Kalecik TOKİ 6.Etapta Önü Kapanmaz 3+1 Kiralık Daire;12000.00
YDN EMLAK'TAN SIHKE CADDESİNE YAKIN 1+1 KİRALIK DAİRE;9500.00
VAN EFE TERİM EMLAK'DAN BEŞYOL CİVARI KİRALIK EŞYALI 1+1 DAiRE;10500.00
BOSTANİÇİ TOKİDE 1+1 DAİRE/SAHİBİNDEN;10000.00
KİRALIK kompile bina;1000.00
YUKARI YENİ TOKİLER 3+1 KAT 2;7750.00
NAS EMLAK'TAN KİRALIK 1+1 MUTFAK AYRI ÖNÜ AÇIK;10000.00
ADLİYENİN ARKASI ALPİN EVLERİ 3+1;2500.00
EMİNOĞLU EMLAK TAN 1+1 2+1 3+1 EŞYALI EŞYASIZ KİRALIK DAİRELER;10000.00
Erciş Yukarı TOKİ kiralık daire;9000.00
MF GROUP'TAN VAN MERKEZDE KİRALIK 1+1 BOŞ DAİRE;10500.00
DİALOG ASYA GAYRİMENKULDEN;10500.00
sahibinden eşyalı daire;9800.00
Son 3 gün! Bu Fiyata Yok! Kiralık Açık Otopark Sahibinden 1+1 Var;10500.00
PINAR EMLAK'TAN HALILAĞA MAH.KALE YOLUNDA KİRALIK 3+1 DAİRE;12000.00
KAMPÜS YOLU ÜZERİNDE 1+1 KİRALIK DAİRE;12000.00
AKDAMAR EMLAK'TAN KİRALIK 1+1 EŞYALI DAİRE;10000.00
YEŞIL'DEN KİRALIK 1+1 EŞYALI;11000.00
YDN EMLAK'TAN EZBERCİLERE YAKIN KİRALIK 1+1 DAİRE;10500.00
Sahibinden Kiralik Eşyalı Daire 1+1;10000.00
zaferler okulun yanında sıfır eşyalı kiralık 1+1 daire;12000.00
kiralık daire;10000.00
VANYOLU CADDESİNDE KİRALIK 2+1 DAİRELER;10000.00
Vanyolu mah EŞYALİ KİRALİK 1+1DAİRE;10500.00
TOKİ EDREMİT KİRALIK 2+1 DAİRE;10500.00
Sıhke caddesinde kiralık 1+1 eşyalı daire;10500.00
VAN devlet tiyatrosunun yanında kiralık daire;10000.00
FİDAN EMLAK'TAN KİRALIK ESYALI DAİRE;6500.00
KİRALIK 1+1 DAİRE;10500.00
VANYOLU CADDESİN'DE KİRALIK 2+1 Daire;10500.00
Erciş kiralık daire Osman apartman 4 kat kralik daire eşyalı;12000.00
denize sıfır ailenizle gönül ahatlığı ile tatil yapabilcginz yer;5000.00
YDN EMLAK'TAN SUVAROĞLU CAD. KİRALIK 1+1 TERASLI DAİRE;10000.00
MSM Emlak -Açıklama Okuyunuz -;10000.00
Sahibinden Yukarı Toki'de kiralık 3+1 sıfır daire;9000.00
KİRALIK 3+1 DAİRE İSTER OFİS İSTER EV OLARAK KULLANIN MERKEZDE;12000.00
VANYOLU MAH.KİRALIK 2+1 SIFIR DAİRE MERKEZİ KONUM;11000.00
Sahibinden;11000.00
SAHİBİNDEN KİRALIK YENİ TOKİ, GÖL MANZARALI;12000.00
VANYOLU CADDESİ KİRALIK 2+1 DAİRE SIFIR BİNA MERKEZİ KONUM;10000.00
Eski TOKİ Edremitte 2+1 kiralık daire Aile Apartmanı;10000.00
Sahibinden Edremit Yeni Toki'de 14.Etap çok temiz kiralık daire;11500.00
GENİŞ EŞYALI AYRI MUTFAKLI KİRALIK DAİRE ÖĞRENCİYE MEMURA;1200.00
AKDAMAR EMLAK'TAN KİRALIK 1+1 EŞYASIZ DAİRE;10000.00
KİRALIK EŞYALI 1+1;10500.00
Kiralık 3+1 Daire;11000.00
KİRALIK 3+1 DAİRE EDREMİT YENİ TOKİDE TÜM LOKASYONLARA YAKIN;11000.00
1+1 kiralık daire eşyasızdır;11000.00
Maraş caddesinde Kiralık 1+1 Daire;11500.00
Latifiye mahallesinde,Sağlık ocağı yanı Kiralık Daire;10000.00
YENİ TOKİLERDE 3+1 kiralık daire;12000.00
KİRALIK 1+1 DAİRE;11000.00
VAN EDREMİT YENI TOKİ ETAP 5 CV 4 KİRALIK 3 ARTİ BİR YÜKSEK DAİ;10000.00
Kiralık daire;9500.00
BERGE EMLAK TAN YERDEN ISITMA AÇIK CEPHE 1+1 DAİRE;11500.00
ERDEN EMLAKTAN ERCİŞ BÖLGESİNDE KİRALIKLAR;10000.00
sahibinden kiralık eşyasız 1+1;11500.00
Yeni Toki'de full göl manzaralı kiralık daire;12000.00
sahibinden;8500.00
ŞELALE EMLAK GAYRİMENKUL İNŞAAT GÜVENCESİ İLE KİRALIK 1+1 EŞYALI;10000.00
Adnan Menderes Mahallesinde Sıfır 3+1 Kiralık Daire;9750.00
Sahibinden kiralık;12000.00
BARAN EMLAK'TAN BAHÇIVAN'DA 1+1 EŞYALI DAİRE KİRALIK;11500.00
KİRALIK EŞYALI VİLLA;10000.00
Kaçırılmayacak Fırsat! Fiyat Düştü! Yok 1+1 Merkeze 5 dk Uzaklıkta Yüksek Giriş Daire;11000.00
ARTOS AVM YANINDA KİRALIK 1+1 EŞYALI DAİRE;11500.00
MERKEZİ KONUMDA SAHİBİNDEN KİRALIK 1+1 BALKONLU DAİRE;11000.00
MEMURA KİRALIK 1+1 LÜX DAİRE İPEKYOLU BELEDİYESİ CİVARI;9800.00
Kiralık daire;11500.00
