product_name,price
Armutlu - 1+1,3.000 TL
Armutlu - 2+1,2.500 TL
Merkez / Mustafakemalpaşa - 3+1,5.500 TL
Merkez / Mustafakemalpaşa - 2+1,8.000 TL
Armutlu - 1+1,2.000 TL
Merkez / Mustafakemalpaşa - 2+1,8.000 TL
Altınova - 2+1,3.000 TL
Çınarcık - 2+1,3.000 TL
Altınova - 10 Üzeri,10.000 TL
Armutlu - 2+1,2.500 TL
Altınova - 3+1,7.000 TL
Çınarcık - 2+0,10.000 TL
Çınarcık / Köyler - 2+1,1.111 TL
Altınova - 2+1,7.000 TL
Çınarcık - Stüdyo (1+0),8.000 TL
Altınova - 2+1,7.500 TL
Armutlu - 1+1,9.000 TL
Çınarcık / Köyler - 2+1,13.000 TL
Çınarcık - Stüdyo (1+0),13.000 TL
Çınarcık / Köyler - 2+1,14.000 TL
Çınarcık / Köyler - 2+1,15.000 TL
Çınarcık / Köyler - Stüdyo (1+0),14.000 TL
Termal - 2+1,15.000 TL
Çınarcık / Köyler - Stüdyo (1+0),15.000 TL
Çınarcık / Köyler - Stüdyo (1+0),13.500 TL
Çınarcık / Köyler - 1+1,13.500 TL
Merkez / Bağlarbaşı - 2+1,15.000 TL
Çınarcık / Köyler - 1+1,15.000 TL
Çınarcık - 2+1,15.000 TL
Çınarcık - 3+1,15.000 TL
Çiftlikköy - 1+1,15.000 TL
Merkez - 3+1,15.000 TL
Armutlu - 2+1,12.500 TL
Çiftlikköy - 2+1,15.000 TL
Merkez - 2+1,15.000 TL
Armutlu - 2+1,15.000 TL
Çiftlikköy - 1+1,15.000 TL
Merkez / Bağlarbaşı - 1+1,15.000 TL
Çınarcık / Köyler - 1+1,13.500 TL
Çınarcık - 2+1,13.000 TL
Çınarcık - 2+1,14.000 TL
Çınarcık - 2+1,15.000 TL
Çiftlikköy - 2+1,15.000 TL
Çiftlikköy - Stüdyo (1+0),13.250 TL
Çınarcık - 3+1,15.000 TL
Merkez / Bağlarbaşı - 1+1,15.000 TL
Çiftlikköy - 2+1,14.000 TL
