product_name,price
Arhavi - 1+1,17.500 TL
Hopa - 3+1,28.000 TL
Hopa - 1+1,22.500 TL
Arhavi - 3+1,32.500 TL
Hopa - 2+1,9.000 TL
Arhavi - 3+1,26.000 TL
Hopa - 3+1,17.500 TL
Arhavi - 1+1,25.000 TL
Merkez / Artvin - 2+1,12.500 TL
Arhavi - 3+1,25.000 TL
Arhavi - 3+1,30.000 TL
Merkez / Artvin - 2+1,11.000 TL
Arhavi - 2+1,25.000 TL
Hopa - 1+1,20.000 TL
Hopa - 1+1,25.000 TL
Hopa - 1+1,17.000 TL
Hopa - 2+1,20.000 TL
Hopa - 3+1,28.000 TL
Arhavi - 2+1,15.000 TL
Arhavi - 3+1,25.000 TL
Merkez - 1+1,24.500 TL
Hopa - 1+1,17.000 TL
Arhavi - 1+1,19.500 TL
Arhavi - 1+1,14.500 TL
Şavşat - 3+1,17.000 TL
Hopa - 3+1,27.000 TL
Hopa - 3+1,19.000 TL
Merkez / Artvin - 2+1,19.000 TL
Hopa - 3+1,22.000 TL
Merkez - 2+1,17.500 TL
Hopa - 2+1,15.500 TL
Hopa - 1.5+1,17.000 TL
Merkez - 3+1,30.000 TL
Hopa - 3+1,27.000 TL
Hopa - 1+1,20.000 TL
Merkez - 3+1,33.000 TL
Arhavi - 3+1,25.000 TL
Hopa - 3+1,27.500 TL
Yusufeli / Köyler - 2+1,22.250 TL
Merkez / Artvin - 2+1,28.000 TL
Arhavi - 3+1,25.000 TL
Borçka - 3+1,10.250 TL
Hopa - 3+1,28.000 TL
Hopa - 3+1,17.500 TL
Kemalpaşa / Merkez - 2+1,22.000 TL
Merkez / Artvin - 3+1,30.000 TL
Merkez - 3+1,18.000 TL
Hopa - 1+1,20.000 TL
Hopa - 3+1,26.000 TL
Hopa - 3+1,19.000 TL
Kemalpaşa / Merkez - 3+1,25.000 TL
Arhavi - 10 Üzeri,150.000 TL
Kemalpaşa / Merkez - 1+1,15.500 TL
Merkez - 3+1,10.500 TL
Arhavi - 3+1,30.000 TL
Merkez - 5+1,30.000 TL
Arhavi - 3+1,25.000 TL
Arhavi - 4+1,25.000 TL
Arhavi - 4+1,22.000 TL
Arhavi - 3+1,20.000 TL
Arhavi - 3+1,19.500 TL
Merkez / Artvin - 3+1,35.000 TL
Merkez / Köyler - 3+1,40.000 TL
Hopa - 2+1,22.000 TL
Arhavi - 3+1,20.000 TL
Hopa - 3+1,25.000 TL
Arhavi - 3+1,29.000 TL
Merkez / Artvin - 3+1,20.000 TL
Arhavi - 1+1,14.900 TL
Kemalpaşa / Merkez - 1+1,17.000 TL
Hopa - 3+1,17.000 TL
Merkez / Artvin - 2+1,15.000 TL
Merkez / Artvin - 3+1,25.000 TL
Borçka - 3+1,21.000 TL
Merkez - 3+1,25.000 TL
Kemalpaşa / Merkez - 3+1,13.500 TL
Borçka - 3+1,22.500 TL
Arhavi - 3+1,18.000 TL
Arhavi - 3+1,15.000 TL
Hopa - 3+1,22.000 TL
Merkez / Artvin - 2+1,24.500 TL
Merkez - 3+1,33.000 TL
Hopa - 4+1,15.000 TL
Arhavi - 3+1,26.250 TL
Murgul / Göktaş - 3+1,13.000 TL
Kemalpaşa / Merkez - 3+1,15.000 TL
Borçka - 2+1,10.000 TL
Arhavi - 1+1,25.000 TL
Arhavi - 1+1,16.000 TL
Arhavi - 2.5+1,15.000 TL
Merkez - 3+1,29.000 TL
Arhavi - 3+1,25.000 TL
Arhavi - 1+1,26.000 TL
Arhavi - 3+1,27.000 TL
Merkez / Artvin - 3+1,28.000 TL
Arhavi - 4+1,20.000 TL
Arhavi - 1+1,30.000 TL
Arhavi - 3+1,15.000 TL
Hopa - 2+1,20.000 TL
Şavşat - 3+1,20.000 TL
Merkez - 1+1,23.000 TL
Murgul / Göktaş - 2+1,18.000 TL
Merkez / Artvin - 2+1,26.000 TL
Hopa - 1+1,20.000 TL
Arhavi - 3+1,13.000 TL
Merkez - 3+1,25.000 TL
Arhavi - 3+1,32.000 TL
Arhavi - 3+1,26.000 TL
Hopa - 2+1,21.000 TL
Hopa - 1+1,18.000 TL
Merkez / Artvin - 3+1,20.000 TL
Hopa - 3+1,27.000 TL
Hopa - 3+1,28.000 TL
Merkez / Köyler - 3+1,30.000 TL
Hopa - 2+1,25.000 TL
Merkez / Artvin - 2+1,29.000 TL
Arhavi - 3+1,22.000 TL
Arhavi - 4+1,19.500 TL
Arhavi - 3+1,28.000 TL
Arhavi - 1+1,21.500 TL
Şavşat - 3+1,22.500 TL
Hopa - 3+1,17.500 TL
Hopa - 3+1,24.000 TL
Şavşat - 2+1,16.000 TL
Hopa - 3+1,14.000 TL
Merkez - 3+1,29.000 TL
Borçka - 3+1,25.000 TL
Arhavi - 2+1,25.000 TL
Arhavi - 2+1,20.000 TL
Arhavi - 3+1,32.500 TL
Hopa - 1+1,17.900 TL
Arhavi - 1+1,20.000 TL
Arhavi - 4+1,20.000 TL
Arhavi - 2+1,25.000 TL
Hopa - 3+1,24.000 TL
Arhavi - 4+1,25.000 TL
Arhavi - 2+1,25.000 TL
Arhavi - 3+1,26.000 TL
Merkez - 2+1,25.000 TL
Arhavi - 1+1,25.000 TL
