Date,Price,District,Rooms
2026-03-18,26000,"Merkez
Taşmescit",2+1
2026-03-18,23000,"Merkez
Taşmescit",3+1
2026-03-18,10000,"Merkez
Çarşı",Stüdyo (1+0)
2026-03-18,25000,"Merkez
Çarşı",3+1
2026-03-18,15000,"Merkez
Çarşı",1+1
2026-03-18,20500,"Merkez
Çarşı",3+1
2026-03-18,22000,"Merkez
Çarşı",3+1
2026-03-18,15500,"Merkez
Çarşı",1+1
2026-03-18,12500,"Merkez
Taşmescit",3+1
2026-03-18,20000,"Merkez
Çarşı",2+1
2026-03-18,23000,"Merkez
Taşmescit",3+1
2026-03-18,21000,"Merkez
Çarşı",1+1
2026-03-18,14000,"Merkez
Taşmescit",2+1
2026-03-18,16000,"Merkez
Çarşı",3+1
2026-03-18,21000,"Merkez
Çarşı",2+0
2026-03-18,14000,Kurşunlu,2+1
2026-03-18,27000,"Merkez
Çarşı",3+1
2026-03-18,17000,"Merkez
Çarşı",2+0
2026-03-18,38000,"Merkez
Taşmescit",3+1
2026-03-18,20000,"Merkez
Taşmescit",1+1
2026-03-18,32500,"Merkez
Çarşı",3+1
2026-03-18,18500,"Merkez
Çarşı",3+1
2026-03-18,10500,"Merkez
Taşmescit",3+1
2026-03-18,15000,"Merkez
Taşmescit",3+1
2026-03-18,15000,"Merkez
Taşmescit",2+1
2026-03-18,17500,"Merkez
Taşmescit",3+1
2026-03-18,15500,"Merkez
Çarşı",2+1
2026-03-18,28000,"Merkez
Çarşı",3+1
2026-03-18,22000,"Merkez
Çarşı",1+1
2026-03-18,15000,"Merkez
Çarşı",2+1
2026-03-18,22000,"Merkez
Taşmescit",3+1
2026-03-18,13000,"Merkez
Taşmescit",3+1
2026-03-18,25000,"Merkez
Taşmescit",3+1
2026-03-18,11500,"Merkez
Çarşı",2+1
2026-03-18,18500,"Merkez
Taşmescit",3+1
2026-03-18,22000,"Merkez
Taşmescit",3+1
2026-03-18,20000,"Merkez
Çarşı",2+1
2026-03-18,16000,Çerkeş,3+1
2026-03-18,18500,"Merkez
Taşmescit",3+1
2026-03-18,21000,"Merkez
Çarşı",3+1
2026-03-18,17000,"Merkez
Taşmescit",3+1
2026-03-18,25000,"Merkez
Çarşı",3+1
2026-03-18,21000,"Merkez
Çarşı",3+1
2026-03-18,25000,"Merkez
Taşmescit",3+1
2026-03-18,15000,"Merkez
Taşmescit",2+1
2026-03-18,10000,"Merkez
Taşmescit",2+1
2026-03-18,9000,"Merkez
Taşmescit",2+1
2026-03-18,14000,"Merkez
Çarşı",2+1
2026-03-18,14000,"Merkez
Çarşı",2+1
2026-03-18,24000,"Merkez
Taşmescit",1+1
2026-03-18,13750,"Merkez
Çarşı",3+1
2026-03-18,27000,"Merkez
Çarşı",4+1
2026-03-18,20000,"Merkez
Taşmescit",1+1
2026-03-18,22500,Şabanözü,3+1
2026-03-18,22500,"Merkez
Çarşı",3+1
2026-03-18,14000,"Merkez
Taşmescit",3+1
2026-03-18,17000,"Merkez
Çarşı",2+1
2026-03-18,25000,"Merkez
Çarşı",3+1
2026-03-18,25500,"Merkez
Taşmescit",2+0
2026-03-18,19000,"Merkez
Çarşı",3+1
2026-03-18,16000,"Merkez
Çarşı",3+1
2026-03-18,15000,Şabanözü,3+1
2026-03-18,12000,"Merkez
Çarşı",3+1
2026-03-18,17500,"Merkez
Çarşı",2+1
2026-03-18,16000,"Merkez
Taşmescit",3+1
2026-03-18,31000,"Merkez
Çarşı",4+1
2026-03-18,16000,Kurşunlu,2+1
2026-03-18,21000,"Merkez
Taşmescit",1+1
2026-03-18,27000,"Merkez
Taşmescit",3+1
2026-03-18,18000,"Merkez
Taşmescit",3+1
2026-03-18,18000,"Merkez
Çarşı",2+1
2026-03-18,14000,"Merkez
Taşmescit",2+1
