product_name,price
"Merkez
Karakeçili - 3+1",22000
"Merkez
Karakeçili - 3+1",19000
Sungurlu - 3+1,36000
"Merkez
Ulukavak - 3+0",22000
"Merkez
Karakeçili - 2+0",18500
"Merkez
Karakeçili - 3+1",20500
İskilip - 3+1,11500
"Merkez
Yeniyol - 3+1",22000
Merkez - 2+1,35000
"Merkez
Karakeçili - 3+1",18500
"Merkez
Karakeçili - 4+1",35000
"Merkez
Yeniyol - 3+1",15000
"Merkez
Yeniyol - 3+1",13500
"Merkez
Ulukavak - 2+1",18500
"Merkez
Ulukavak - 4+1",48000
"Merkez
Karakeçili - 2+1",15000
"Merkez
Karakeçili - 4+1",41000
Merkez - 2+1,22000
"Merkez
Ulukavak - 2+0",15000
"Merkez
Karakeçili - 3+1",16000
Sungurlu - 3+1,40000
"Merkez
Ulukavak - 3+0",25000
"Merkez
Karakeçili - 3+1",25000
Osmancık - 3+1,10000
Alaca - 4+1,20000
"Merkez
Yeniyol - 2+1",15500
Merkez - 2+1,12000
"Merkez
Gülabibey - 3+1",16000
"Merkez
Karakeçili - 3+1",13000
"Merkez
Yeniyol - 3+1",15000
"Merkez
Ulukavak - 2+0",20990
Osmancık - 3+1,16500
"Merkez
Yeniyol - 1+1",25000
"Merkez
Ulukavak - 1+1",30000
"Merkez
Karakeçili - 2+1",14000
"Merkez
Yeniyol - 3+1",18000
"Merkez
Ulukavak - 2+1",35000
"Merkez
Gülabibey - 2+1",12500
"Merkez
Yeniyol - 3+1",13500
"Merkez
Gülabibey - 2+1",16000
"Merkez
Yeniyol - 3+1",15000
"Merkez
Karakeçili - 2+1",16000
"Merkez
Ulukavak - 2+0",18000
"Merkez
Yeniyol - Stüdyo (1+0)",19000
"Merkez
Ulukavak - 2+1",44000
"Merkez
Karakeçili - 4+1",25000
"Merkez
Yeniyol - 1+1",21000
"Merkez
Yeniyol - 4+1",25000
"Merkez
Gülabibey - 3+1",16000
Osmancık - 3+1,12500
"Merkez
Ulukavak - 1+1",16000
"Merkez
Yeniyol - 3+1",16000
"Merkez
Gülabibey - 2+1",15000
"Merkez
Ulukavak - 2+0",26000
"Merkez
Karakeçili - 3+1",17500
"Sungurlu
Karahacip - 3+1",27000
"Merkez
Ulukavak - 2+1",18000
"Merkez
Ulukavak - 2+1",36000
Merkez - 3+1,13500
"Merkez
Ulukavak - 3+1",19000
Kargı - 2+1,16000
"Merkez
Yeniyol - 3+1",22000
"Merkez
Gülabibey - 2+1",15000
Merkez - 3+1,13000
"Merkez
Yeniyol - 3+1",15000
"Merkez
Yeniyol - 3+1",17500
"Merkez
Karakeçili - 2+1",23000
"Merkez
Yeniyol - 1+1",25000
"Merkez
Ulukavak - 1+1",28000
"Merkez
Ulukavak - 2+1",17000
Merkez - 1+1,13500
"Merkez
Ulukavak - 3+1",27500
"Merkez
Gülabibey - 3+1",13000
"Merkez
Karakeçili - 3+1",17000
"Merkez
Ulukavak - 2+1",26000
"Merkez
Gülabibey - 4+1",37000
"Merkez
Yeniyol - 3+1",13000
"Merkez
Yeniyol - 2+1",18000
"Merkez
Yeniyol - 3+1",30000
İskilip - 3+1,15500
Merkez - 1+1,26500
"Merkez
Ulukavak - 3+1",30000
"Merkez
Yeniyol - 2+1",20000
"Merkez
Yeniyol - Stüdyo (1+0)",18250
"Merkez
Karakeçili - 3+1",10000
"Merkez
Yeniyol - 3+1",18000
Merkez - 1+1,13000
"Merkez
Yeniyol - 4+1",24000
"Merkez
Karakeçili - 3+1",21000
"Merkez
Ulukavak - 2+0",28000
"Merkez
Karakeçili - 2+1",25000
Alaca - 2+1,10000
Sungurlu - 3+1,27000
Osmancık - 2+1,12500
"Merkez
Ulukavak - 2+0",18000
"Merkez
Karakeçili - 3+1",16000
Merkez - 3+1,23000
"Merkez
Karakeçili - Stüdyo (1+0)",13850
"Merkez
Yeniyol - 3+1",13500
"Merkez
Yeniyol - 3+1",28000
"Merkez
Karakeçili - 2+1",18000
"Merkez
Yeniyol - 3+1",23000
Osmancık - 1+1,20000
"Merkez
Yeniyol - 3+1",25000
"Merkez
Yeniyol - 3+1",15000
"Merkez
Karakeçili - 3+1",23500
"Merkez
Yeniyol - 3+1",17000
"Merkez
Ulukavak - 2+0",38000
Merkez - 4+1,35000
"Merkez
Karakeçili - 3+1",18000
Merkez - 2+1,10000
"Merkez
Gülabibey - 3+1",18000
"Merkez
Yeniyol - 3+1",17000
"Oğuzlar
Merkez - 2+1",11000
Sungurlu - 3+1,19000
"Merkez
Ulukavak - 1+1",20000
"Merkez
Ulukavak - 2+1",21900
"Merkez
Karakeçili - 3+1",17750
Sungurlu - 3+1,23500
"Merkez
Karakeçili - 2+1",15500
"Merkez
Karakeçili - 2+1",14000
"Merkez
Karakeçili - 3+1",22000
"Merkez
Yeniyol - 3+1",13000
"Merkez
Karakeçili - 3+1",19500
"Merkez
Karakeçili - 1+1",35000
"Merkez
Ulukavak - 3+1",25000
"Merkez
Yeniyol - 3+1",22000
"Merkez
Yeniyol - 3+1",21000
"Merkez
Gülabibey - 3+1",19000
"Merkez
Ulukavak - 3+1",22000
"Merkez
Karakeçili - 3+1",20000
"Merkez
Yeniyol - 3+1",16000
"Merkez
Yeniyol - 3+1",20000
"Merkez
Gülabibey - 3+1",15000
Osmancık - 3+1,18500
"Merkez
Karakeçili - 3+1",18000
"Merkez
Ulukavak - 3+1",18000
"Merkez
Yeniyol - 2+1",14000
"Merkez
Ulukavak - 2+0",16000
"Merkez
Yeniyol - 1+1",8000
"Merkez
Karakeçili - 2+1",16000
"Merkez
Ulukavak - 2+0",23000
Osmancık - 3+1,17000
"Merkez
Karakeçili - 3+1",16000
"Merkez
Karakeçili - 4+1",68000
"Sungurlu
Karahacip - 2+1",35000
"Merkez
Ulukavak - 3+1",19500
"Merkez
Karakeçili - 3+1",19000
"Merkez
Yeniyol - 2+1",15000
"Merkez
Ulukavak - 3+1",16000
Merkez - 3+1,15000
"Merkez
Karakeçili - 2+1",11000
"Merkez
Gülabibey - 3+1",20500
"Merkez
Ulukavak - 4+1",12000
"Merkez
Karakeçili - 3+1",36000
"Merkez
Yeniyol - 4+0",18000
"Merkez
Karakeçili - 3+1",14000
"Merkez
Yeniyol - 3+1",11000
Osmancık - 2+1,14500
"Merkez
Karakeçili - 3+1",16000
"Merkez
Yeniyol - 3+1",15500
Merkez - 3+1,15500
"Merkez
Ulukavak - 2+1",15000
"Merkez
Yeniyol - 3+1",18000
"Merkez
Karakeçili - 2+1",15000
"Merkez
Ulukavak - 2+1",20000
"Merkez
Yeniyol - 3+1",30000
İskilip - 3+1,10500
"Merkez
Karakeçili - 2+1",14000
Merkez - 3+1,30000
"Merkez
Karakeçili - 3+1",17000
Merkez - 1+1,10000
"Merkez
Karakeçili - 3+1",21000
"Merkez
Ulukavak - 2+1",24000
Osmancık - 3+1,25000
Merkez - 4+0,53000
"Merkez
Ulukavak - 1+1",16500
"Merkez
Yeniyol - 2+1",10500
"Merkez
Ulukavak - 2+0",36000
İskilip - 3+1,15000
"Merkez
Karakeçili - 3+1",11500
"Merkez
Karakeçili - 3+1",21000
"Merkez
Gülabibey - 3+1",15000
"Merkez
Yeniyol - 3+1",24000
Merkez - 3+1,22000
"Merkez
Ulukavak - 1+1",30000
"Merkez
Gülabibey - 3+1",18000
Merkez - 1+1,12500
"Merkez
Karakeçili - 3+1",20000
"Merkez
Yeniyol - 2+1",16500
"Merkez
Ulukavak - 3+1",18000
"Merkez
Köyler - 3+1",16000
"Merkez
Yeniyol - 3+1",36000
Sungurlu - 3+1,25000
Merkez - 3+1,30000
"Merkez
Karakeçili - 3+1",18500
Merkez - 3+1,23000
"Merkez
Ulukavak - 2+1",32000
"Merkez
Yeniyol - 2+1",16000
"Merkez
Karakeçili - 4+1",50000
"Merkez
Karakeçili - 3+1",17000
"Merkez
Karakeçili - 3+1",23000
"Merkez
Karakeçili - 3+1",17000
"Merkez
Karakeçili - 3+1",19000
Merkez - 1+1,14500
"Merkez
Karakeçili - 3+1",13500
"Merkez
Yeniyol - 3+1",25000
"Merkez
Yeniyol - 3+1",21000
"Merkez
Ulukavak - 2+0",30000
"Merkez
Yeniyol - 3+1",28000
Merkez - 3+1,17500
"Merkez
Ulukavak - 1+1",27000
Merkez - 4+1,18000
Merkez - 2+1,20000
"Merkez
Gülabibey - 3+1",18500
"Merkez
Gülabibey - 3+1",17500
"Merkez
Yeniyol - 3+1",20000
Osmancık - 3+1,20000
Merkez - 3+1,20000
"Merkez
Karakeçili - 3+1",14000
"Merkez
Gülabibey - 2+1",12000
"Merkez
Ulukavak - 1+1",30000
"Merkez
Yeniyol - 3+1",12500
"Merkez
Karakeçili - 3+1",16000
Sungurlu - 2+1,40000
