Date,Price,District,Rooms
2026-04-21,31000,Sungurlu,3+1
2026-04-21,36000,"Merkez
Ulukavak",2+1
2026-04-21,29000,"Merkez
Karakeçili",4+1
2026-04-21,25000,"Merkez
Yeniyol",3+1
2026-04-21,28500,"Merkez
Karakeçili",4+1
2026-04-21,17500,"Merkez
Yeniyol",3+1
2026-04-21,15000,"Merkez
Yeniyol",3+1
2026-04-21,23750,Osmancık,1+1
2026-04-21,18000,"Merkez
Yeniyol",3+1
2026-04-21,20000,Osmancık,2+1
2026-04-21,19000,"Merkez
Karakeçili",3+1
2026-04-21,32000,"Merkez
Ulukavak",3+1
2026-04-21,18000,Sungurlu,1+1
2026-04-21,21000,"Merkez
Karakeçili",3+1
2026-04-21,24000,"Merkez
Ulukavak",1+1
2026-04-21,20000,"Merkez
Karakeçili",3+1
2026-04-21,7500,Merkez,1+1
2026-04-21,18000,"Merkez
Yeniyol",3+1
2026-04-21,20000,Sungurlu,1+1
2026-04-21,16000,İskilip,3+1
2026-04-21,19000,"Merkez
Karakeçili",2+0
2026-04-21,25000,"Merkez
Karakeçili",2+1
2026-04-21,35000,"Merkez
Karakeçili",4+1
2026-04-21,22500,"Merkez
Karakeçili",4+1
2026-04-21,17000,"Merkez
Karakeçili",3+1
2026-04-21,15000,"Merkez
Karakeçili",3+1
2026-04-21,22000,"Merkez
Karakeçili",3+1
2026-04-21,12500,Laçin,2+1
2026-04-21,20000,"Merkez
Yeniyol",3+1
2026-04-21,15000,Osmancık,2+1
2026-04-21,22000,"Merkez
Yeniyol",3+1
2026-04-21,11500,İskilip,3+1
2026-04-21,15000,"Merkez
Karakeçili",2+0
2026-04-21,17000,"Merkez
Ulukavak",1+1
2026-04-21,14000,Osmancık,3+1
2026-04-21,15000,"Merkez
Karakeçili",3+1
2026-04-21,25000,"Merkez
Karakeçili",3+1
2026-04-21,25000,"Merkez
Yeniyol",3+1
2026-04-21,25000,"Merkez
Yeniyol",1+1
2026-04-21,20500,"Merkez
Ulukavak",2+1
2026-04-21,34000,Sungurlu,3+1
2026-04-21,33000,Merkez,1+1
2026-04-21,20500,"Merkez
Karakeçili",3+1
2026-04-21,20000,Osmancık,3+1
2026-04-21,18000,"Merkez
Yeniyol",2+1
2026-04-21,25000,"Merkez
Yeniyol",3+1
2026-04-21,11000,"Merkez
Gülabibey",2+1
2026-04-21,13500,"Merkez
Yeniyol",3+1
2026-04-21,17000,"Merkez
Yeniyol",Stüdyo (1+0)
2026-04-21,18000,"Merkez
Karakeçili",3+1
2026-04-21,32000,Merkez,3+1
2026-04-21,12000,"Merkez
Ulukavak",3+1
2026-04-21,50000,Merkez,4+1
2026-04-21,16500,Osmancık,3+1
2026-04-21,27500,"Merkez
Ulukavak",3+1
2026-04-21,18000,"Merkez
Ulukavak",2+0
2026-04-21,22500,"Merkez
Karakeçili",3+1
2026-04-21,18000,"Merkez
Karakeçili",3+1
2026-04-21,41000,"Merkez
Karakeçili",4+1
2026-04-21,25000,Sungurlu,3+1
2026-04-21,25000,"Merkez
Karakeçili",3+1
2026-04-21,30000,Sungurlu,3+1
2026-04-21,25500,"Merkez
Yeniyol",2+1
2026-04-21,12500,"Merkez
Karakeçili",2+1
2026-04-21,35000,"Merkez
Ulukavak",1+1
2026-04-21,10000,Osmancık,3+1
2026-04-21,15000,"Merkez
Karakeçili",3+1
2026-04-21,15000,"Merkez
Yeniyol",3+1
2026-04-21,68000,"Merkez
Karakeçili",4+1
2026-04-21,9500,"Merkez
Yeniyol",3+1
2026-04-21,19000,Sungurlu,1+1
2026-04-21,21500,"Merkez
Ulukavak",1+1
2026-04-21,22500,"Merkez
Karakeçili",3+1
