product_name,price
Karpuz Kg,"₺69,50"
İthal Muz Kg,"₺115,90"
Portakal Kg,"₺39,50"
Limon Kg,"₺89,50"
Avokado Adet,"₺29,50"
Starking Elma Kg,"₺69,50"
Sıkma Portakal File Kg,"₺32,90"
Deveci Armut Kg,"₺99,50"
Yerli Muz Kg,"₺109,50"
Kivi Kg,"₺119,50"
Granny Smith Elma Kg,"₺94,90"
Santa Maria Armut Kg,"₺109,50"
Yaban Mersini Paket 125 G,"₺129,50"
Atıştırmalık Starking Elma 1 Kg,"₺54,90"
Atıştırmalık Golden Elma 1 Kg,"₺54,90"
Mango Adet,"₺62,90"
Hindistan Cevizi Adet,"₺64,90"
Patates Kg,"₺21,90"
Soğan Kg,"₺24,90"
Domates Kg,"₺119,50"
Çarliston Biber Paket 300 G,"₺44,90"
Salatalık Kg,"₺45,90"
Kokteyl Domates Paket 500 G,"₺109,50"
Mantar Tabak 300 G,"₺54,90"
Kırmızı Biber Paket 300 G,"₺84,90"
Sivri Biber Paket 300 G,"₺49,50"
Kızartmalık File Patates Kg,"₺29,50"
Şeker Domates Paket 250 G,"₺74,90"
Sarımsak File 200 G,"₺49,50"
Çengelköy Salatalık Paket 500 G,"₺44,90"
Patlıcan Kg,"₺41,90"
Dolma Biber Paket 300 G,"₺49,50"
Kabak Kg,"₺45,90"
Pembe Domates Paket 500 G,"₺119,50"
Köy Biber Paket 300 G,"₺54,90"
Şili Biber Paket 150 G,"₺54,90"
Pırasa Paket 500 G,"₺29,50"
Kereviz Kg,"₺44,90"
Pancar Paket 380 G,"₺79,50"
Havuç Paket 350 G,"₺35,90"
Maydanoz Adet,"₺27,90"
Kıvırcık Adet,"₺79,50"
Marul Göbek Adet,"₺79,50"
Kırmızı Lahana Kg,"₺89,50"
Marul Adet,"₺84,90"
Taze Soğan Adet,"₺54,90"
Dereotu Adet,"₺29,50"
Roka Adet,"₺29,50"
Nane Adet,"₺29,50"
Kombinet Dana Kıyma 400 G,"₺279,00"
Kombinet Dana Kuşbaşı 400 G,"₺309,00"
Beşler Dana Izgara Köfte 400 G,"₺269,00"
Baştacı Dana Döner 250 G,"₺205,00"
Gedik Piliç Kasap Köfte Dondurulmuş 1 Kg,"₺169,00"
Baştacı Dana Döner 250 G,"₺205,00"
Maret Dondurulmuş Soslu Dana Parmak Köfte 250 G,"₺69,50"
Kombinet Dana Kasap Köfte Dondurulmuş 450 G,"₺320,00"
Kombinet Dana Kuzu İnegöl Köfte Dondurulmuş 450 G,"₺320,00"
Kombinet Dana Kuzu Kaşarlı Köfte Dondurulmuş 450 G,"₺320,00"
Kombinet Dana İnegöl Köfte Dondurulmuş 450 G,"₺320,00"
Kombinet Dana Kasap Köfte Dondurulmuş 450 G,"₺320,00"
Kombinet Dana Kaşarlı Köfte Dondurulmuş 450 G,"₺320,00"
Kombinet Dana Kasap Köfte Dondurulmuş 450 G,"₺320,00"
Kombinet Dana Kaşarlı Köfte Dondurulmuş 450 G,"₺320,00"
Kombinet Dana İnegöl Köfte Dondurulmuş 450 G,"₺320,00"
Kombinet Dana Hamburger Köfte Dondurulmuş 225 G,"₺175,00"
Cemil Usta Dondurulmuş Dana Akçaabat Köfte 500 G,"₺299,00"
Akçasaray Dana Akçaabat Köfte Dondurulmuş 500 G,"₺399,00"
Bonfilet Dana Sulu Köfte Dondurulmuş 400 G,"₺99,00"
Ramiz Dana Köfte Dondurulmuş 500 G,"₺399,00"
Ettat Dana Döner 250 G,"₺165,00"
Beşler Dondurulmuş Dana İnegöl Köfte 500 G,"₺134,00"
Keskinoğlu Piliç Kasap Köfte Dondurulmuş 1 Kg,"₺169,00"
Pınar İllaki Dana Misket Köfte Dondurulmuş 390 G,"₺229,00"
Torku Dondurulmuş Dana & Kuzu Cızbız Köfte 390 G,"₺229,00"
Bonfilet Dondurulmuş Dana Steak Burger 400 G,"₺119,00"
Beşler Dana Döner Dondurulmuş 250 G,"₺235,00"
Maret Dana Döner Dondurulmuş 250 G,"₺235,00"
Maret Soslu Dana Döner Dondurulmuş 300 G,"₺169,00"
Namet Dana Soslu Parmak Köfte 250 G,"₺85,00"
Akşeker Dilimli Kuzu Kokoreç Dondurulmuş 200 G,"₺209,00"
Şampiyon Dilimli Kuzu Kokoreç Dondurulmuş 200 G,"₺209,00"
Ettat Kıyma Dana Dondurulmuş 1 Kg,"₺650,00"
Üstad Dana Roast Beef 80 G,"₺169,00"
Üstad Dana Füme Kuru Et 80 G,"₺179,00"
Torku Dana Kavurma 1 KG,"₺599,00"
Keskinoğlu Bütün Tavuk 1640 G,"₺162,36"
Besler Poşetli Bütün Tavuk 1650 G,"₺163,35"
Erpiliç Poşetli Bütün Piliç Dondurulmuş 2300 G,"₺274,85"
Besler Tavuk Bonfile 500 G,"₺144,50"
Besler Tavuk Kanat 550 G,"₺164,45"
