product_name,price
Karpuz Kg,49.9
Torku Küp Şeker 1000 Gr,69.95
Tadelle Çikolata 30 Gr,37.5
Tadelle Gofret 28 Gr,26.5
Sarelle Kakaolu Fındık Kreması 700 Gr,344.95
Tadelle Çikolata 52 Gr King Size,62.5
Algida Carte D'or Bites Nuga 261 Ml,250.0
Algida Chocopint 430 Ml,300.0
Algida Carte D'or Chunkies Elma 430 Ml,250.0
Algida Magnum Mini Sadwich Badem 400 Ml,300.0
Algida Magnum Mini Badem 280 Ml,199.9
Algida Maraş Sade 650 Ml,200.0
Algida Magnum Signature Antep Fıstığı 90 Ml,90.0
Algida Max Duo Caramel Vanilya 55 Ml,10.0
Algida Max Karpi 75 Ml,15.0
Algida Max Vişi 60 Ml,10.0
Algida Volcano Beyaz 86 Ml,50.0
Algida Cornetto Çilek Vanilya 490 Ml,150.0
Algida Pint White Cookie 440 Ml,400.0
Algida Magnum Sadwich Badem 140 Ml,90.0
Algida Carte D'or Bites Çikolata 261 Ml,250.0
Algida Usta Fistık Cenneti 460 Ml,250.0
Algida Cornetto Aşkına Karadut&Çikolata 150 Ml,60.0
Algida Max Twister Subzero 65 Ml,15.0
Algida Maraş Sade 500 Ml,150.0
Namet Dana Jambon 7/24 50 Gr,69.95
YUMOŞ ODA PARFÜMÜ 450ML SAKURA,199.95
Dalan Family Zeytin Mucizesi Sıvı Sabun 400 Ml,44.95
Nescafe Crema Latte Kahve 17 Gr,14.5
Vivident 45 Dakika Cüzdan Nane Sakız 26 Gr,47.5
Lipton Form Plus Kayısılı Çay 20'li,89.95
CM 9W 6500K E27 Beyaz Led Ampul,39.95
Peros Soft Mavi Orkide Lilyum Konsantre Çamaşır Yumuşatıcı 1440 Ml,149.95
Ülker Çilekli Mini Kekstra 150 Gr,54.95
Colgate Plax Nane Ferahlığı Ağız Bakım Suyu 250 Ml,179.95
Duru Kolajen & Zeytinyağı Şampuan 500 Ml,69.95
Miss Arap Sabunu 1 Lt,69.95
Dr.Oetker Çikolatalı Antep Fıstıklı Puding 100 Gr,45.95
Dr.Oetker Çikolatalı Muffin 345 Gr,153.45
Kinder Süt Dilimi 4'lü,74.95
Ülker Çikolatalı Gofret Maxi 47 Gr,20.0
