product_name,price
"Besler Mutfak Luna Pirinç 2,5 kg",147.0
Yayla Kırmızı Mercimek 2 kg,129.0
Yayla Pilavlık Bulgur 2 kg,75.9
Ülker Bizim Yerli Koçbaşı Nohut 1 kg,92.5
"Ülker Bizim Yerli Koçbaşı Nohut 2,5 kg",220.0
Ülker Bizim Yerli Baldo Pirinç 1 Kg,104.0
Besler Mutfak Pilavlık Pirinç 1 kg,52.5
Besler Mutfak Pilavlık Bulgur 1 kg,29.9
"Besler Mutfak Pilavlık Bulgur 2,5 kg",73.9
"Besler Mutfak Dermason Fasulye 2,5 kg",165.0
Ülker Bizim Yerli Osmancık Pirinç 1 kg,92.5
"Ülker Bizim Yerli Osmancık Pirinç 2,5 kg",225.0
"Ülker Bizim Yerli Pilavlık Bulgur 2,5 kg",90.0
Besler Mutfak Osmancık Pirinç 5 Kg,355.0
Besler Mutfak Baldo Pirinç 25 Kg,820.0
Besler Mutfak Baldo Pirinç 1 kg,83.5
Besler Mutfak Nohut 1 kg,59.5
Besler Mutfak Yeşil Mercimek 1 kg,67.5
"Besler Mutfak Baldo Pirinç 2,5 kg",199.0
Ülker Bizim Yerli Kırmızı Mercimek 1 kg,109.0
"Ülker Bizim Yerli Kırmızı Mercimek 2,5 kg",260.0
Yayla Tane Tane Pirinç 2 kg,135.0
Besler Mutfak Osmancık Pirinç 1 kg,77.9
Besler Mutfak Köftelik Bulgur 1 kg,29.9
"Besler Mutfak Nohut 2,5 kg",147.0
"Ülker Bizim Yerli Baldo Pirinç 2,5 kg",250.0
Besler Mutfak Pilavlık Bulgur 25 kg,635.0
Besler Mutfak Dermason Fasulye 1 kg,64.9
Besler Mutfak Kırmızı Mercimek 1 kg,49.5
"Besler Mutfak Kırmızı Mercimek 2,5 kg",122.0
"Besler Mutfak Osmancık Pirinç 2,5 kg",179.0
Besler Mutfak Cin Mısır 1 kg,35.9
Besler Mutfak Aşurelik Buğday 1 kg,29.9
Besler Mutfak Basmati Pirinç 1 Kg,79.5
Ülker Bizim Yerli Baldo Pirinç 25 kg,ÜlkerBizimYerliBaldoPirinç25kgStoğagirincehaberver
Besler Mutfak Sıra Fasulye 25 kg,BeslerMutfakSıraFasulye25kgStoğagirincehaberver
Yayla Gönen Baldo Pirinç 2 kg,YaylaGönenBaldoPirinç2kgStoğagirincehaberver
Ülker Bizim Yerli Dermason Fasülye 1 Kg,ÜlkerBizimYerliDermasonFasülye1KgStoğagirincehaberver
Ülker Bizim Yerli Pilavlık Bulgur 1 kg,ÜlkerBizimYerliPilavlıkBulgur1kgStoğagirincehaberver
Besler Mutfak Yasemin Pirinç 1 Kg,BeslerMutfakYaseminPirinç1KgStoğagirincehaberver
Yayla Tane Tane Pirinç 25 Kg,YaylaTaneTanePirinç25KgStoğagirincehaberver
Besler Mutfak Nohut 25 kg,BeslerMutfakNohut25kgStoğagirincehaberver
Besler Mutfak Baldo Pirinç 10 Kg,BeslerMutfakBaldoPirinç10KgStoğagirincehaberver
Besler Mutfak Luna Pirinç 1 kg,BeslerMutfakLunaPirinç1kgStoğagirincehaberver
Besler Mutfak İthal Pilavlık Pirinç 25 Kg,BeslerMutfakİthalPilavlıkPirinç25KgStoğagirincehaberver
Besler Mutfak Kırmızı Mercimek 25 kg,BeslerMutfakKırmızıMercimek25kgStoğagirincehaberver
Ülker Bizim Yerli Osmancık Pirinç 25 kg,ÜlkerBizimYerliOsmancıkPirinç25kgStoğagirincehaberver
"Ülker Bizim Yerli Dermason Fasulye 2,5 kg",ÜlkerBizimYerliDermasonFasulye2.5kgStoğagirincehaberver
Ülker Bizim Köftelik Bulgur 1 Kg,ÜlkerBizimKöftelikBulgur1KgStoğagirincehaberver
Besler Mutfak Osmancık Pirinç 25 kg,BeslerMutfakOsmancıkPirinç25kgStoğagirincehaberver
Knorr Çabuk Çorba Kıtırlı Domates 22 g 24'lü,15.9
Knorr Mercimek Çorbası 76 g,32.5
İrem Dila Katkısız Tarhana 500 g,89.9
Knorr Ezogelin Çorbası 74 g,32.5
Knorr Kremalı Tavuk Çorbası 65 g,32.5
Knorr Kremalı Mantar Çorbası 63 g,32.5
Knorr Domates Çorbası 69 g,32.5
Superfresh Milföy Hamuru 1 kg,99.0
Superfresh Patatesli Rulo Börek 500 g,179.0
"Frimer Garnitür (Patates Havuç Bezelye) 2,5 Kg",137.0
"Frimer Dondurulmuş Ispanak 2,5 kg",167.0
İnci Soğan Halkası 450 gr,39.5
Sinangil Çeşidim Soğuk Baklava 400 G,229.0
Lezzet Bohça Mantı 2 kg,449.0
Superfresh Ispanaklı Rulo Börek 500 g,179.0
Superfresh Tepsi Böreği Peynirli 650 g,99.0
"Superfresh Patates Profesyonel 2,5 kg",209.0
Superfresh Mısır 450 g,109.0
"Frimer Klasik Patates 9x9 2,5 Kg",147.0
Pidemiss Kıymalı Mini Pide 400 g,179.0
Superfresh Patates 1 kg,179.0
Superfresh Pizza King 4'lü 780 g,299.0
Superfresh Kayseri Mantı 400 g,134.0
Superfresh Ispanak Peynir Dolgulu Patates Kroket 360g,129.0
İnci Bezelye 450g,39.5
İnci Garnitür 450g,29.9
İnci Pizza 820 g,129.0
"Frimer Bezelye 2,5 Kg",185.0
"Natura Elma Dilim Patates 2,5 kg",129.0
"Muti Mısır 2,5 kg",199.0
Superfresh Soğan Kroket 450 g,124.0
Superfresh Bezelye 450 g,99.9
İnci Mısır 450 g,52.5
Dr.Oetker Mini Ristorante Mısta Pizza 600 g,264.0
İnci Milföy 1 Kg,75.0
"Frimer Profesyonel Patates 9x9 2,5 Kg",129.0
Pidemiss Dondurulmuş Lahmacun 5x100 G,189.0
"Frimer Dondurulmuş Brokoli 2,5 Kg",195.0
Frimer Soğan Halka 1000 G,109.0
Exotic Dondurulmuş Limonata Bezesi 3 L,599.01
Pek Food Karışık Pizza 545 G,149.0
"Frimer Taze Fasulye 2,5 Kg",180.0
"Frimer Dondurulmuş Karnabahar 2,5 Kg",180.0
Sinangil Çeşidim Dondurulmuş Simit 4x100g,69.0
"All Natura Patates (9X9) 2,5 Kg",AllNaturaPatates(9X9)2.5KgStoğagirincehaberver
"Superfresh Mısır 2,5 Kg",SuperfreshMısır2.5KgStoğagirincehaberver
İnci Kayseri Mantısı 450 g,İnciKayseriMantısı450gStoğagirincehaberver
Superfresh Taze Fasulye 450g,SuperfreshTazeFasulye450gStoğagirincehaberver
Superfresh Vişne 350 gr,SuperfreshVişne350grStoğagirincehaberver
Kebapçızade Ömer Usta Kebap 160 G,KebapçızadeÖmerUstaKebap160GStoğagirincehaberver
Superfresh Taşfırın Sucuklu Pizza 410 g,SuperfreshTaşfırınSucukluPizza410gStoğagirincehaberver
Superfresh Frambuaz 300 g,SuperfreshFrambuaz300gStoğagirincehaberver
Superfresh Peynirli Rulo Börek 500 g,SuperfreshPeynirliRuloBörek500gStoğagirincehaberver
Pek Food Dondurulmuş Klasik Lahmacun 400 g,PekFoodDondurulmuşKlasikLahmacun400gStoğagirincehaberver
Superfresh Mozzarella Çubukları 280 G,SuperfreshMozzarellaÇubukları280GStoğagirincehaberver
Superfresh Elma Dilim Patates 1 kg,SuperfreshElmaDilimPatates1kgStoğagirincehaberver
Superfresh Taşfırın Karışık Pizza 410 g,SuperfreshTaşfırınKarışıkPizza410gStoğagirincehaberver
Superfresh Barbunya 450 g,SuperfreshBarbunya450gStoğagirincehaberver
Superfresh Orman Meyveleri 300 gr,SuperfreshOrmanMeyveleri300grStoğagirincehaberver
Superfresh Pizza King Extra XL 500 gr,SuperfreshPizzaKingExtraXL500grStoğagirincehaberver
"Frimer Dondurulmuş Patates 9X18 2,5 Kg",FrimerDondurulmuşPatates9X182.5KgStoğagirincehaberver
Exotic Dondurulmuş Portakal Suyu 3 L,ExoticDondurulmuşPortakalSuyu3LStoğagirincehaberver
Superfresh Bamya 450g,SuperfreshBamya450gStoğagirincehaberver
Dr.Oetker Guseppe Supreme Pizza 415 g,DrOetkerGuseppeSupremePizza415gStoğagirincehaberver
Superfresh Böğürtlen 300 gr,SuperfreshBöğürtlen300grStoğagirincehaberver
Superfresh Falafel 450 G,SuperfreshFalafel450GStoğagirincehaberver
Superfresh Pratik Sebze Sote Mix 450 G,SuperfreshPratikSebzeSoteMix450GStoğagirincehaberver
"Frimer Dondurulmuş Patates 7x7 2,5 Kg",FrimerDondurulmuşPatates7x72.5KgStoğagirincehaberver
Ülker Toz Kakao 1 kg,899.0
Filiz İrmik 500 g,37.9
Dr.Oetker Çikolatalı Fındıklı Puding 102 g,40.91
Pakmaya Kuru Maya 100 g,35.9
Dr.Oetker Vanilinli Pasta Kreması 136 g,68.9
Dr.Oetker Karbonat 5'li 5x5 g,8.9
Dr.Oetker Pudra Şeker Kilitli Amblj 150 g,33.9
Ülker Kuvertür %54 Bitter Tablet 200 g,220.0
Pakmaya Hamur Kabartma Tozu 10x10 g,25.9
Dr.Oetker Aktif Maya 90 g,54.9
Pakmaya Supangle 138 g,36.5
Ülker Pul Çikolata Beyaz 100 g,129.0
Ülker Pul Çikolata %54 Bitter 100 g,129.0
Dr.Oetker Toz Kakao 25 g,34.9
Dr.Oetker Hamur Kabartma Tozu 5x10 g,15.9
Dr.Oetker Kakao Kilitli Ambalaj 100 g,125.0
Pakmaya Toz Kakao 2x25 g,56.9
Dr.Oetker Bitter Çikolatalı Sos 122g,57.9
Kent Boringer Pasta Kreması 150 G,39.9
Sütaş Çilekli Puding 200 G,20.0
Dr.Oetker Toz Kakao 2x25 g,64.9
Dr.Oetker Şekerli Vanilin 5x5 g,11.9
Marifet Toz Kakao 1 kg,530.0
Dr.Oetker Puding Vanilyalı 120 g,33.9
Dr.Oetker Muzlu Puding 120 g,33.9
Pakmaya Kakaolu Puding 155 g,876.0
Ülker Pul Çikolata Sütlü 100 g,129.0
Kent Boringer Çikolatalı Topping Sos 750 g,165.0
Dr.Oetker Orman Meyveli 81 g,33.9
Bizim Krem Şanti Bitkisel Yağlı 1 L,125.0
Kent Boringer Krem Şanti 3x75 G,59.9
Dr.Oetker Kuru Hamur Mayası 3x10 g,26.9
Nuh Un Ankara İrmik 500 g,37.9
Ülker Toz Kakao 25 g,24.25
Dr.Oetker Kakaolu Kek Karışımı 350 g,81.9
Pendik Mısır Nişastası 25 Kg,745.0
Pakmaya Instant Kuru Hamur Mayası 3x10 g,636.0
Pakmaya Şekerli Vanilin 10x5 g,18.9
Pakmaya Sade Krem Şanti 75 g,35.9
Pakmaya Çikolatalı Sos 125 g,197.6
Dr.Oetker Çikolatalı Muffin 345 g,155.0
Dr. Oetker Çikolatalı Sos 123 g,57.9
Dr.Oetker Sade Krem Şanti Eko 4x72 g,139.0
Dr Oetker Profiterol 305 G,880.0
Dr.Oetker Pudra Şekeri 250 g,52.9
Dr.Oetker Kakaolu Puding 147 g,40.91
Yuva Instant Kuru Hamur Mayası 3x11 g,19.9
Marifet Toz Kakao 50 g,29.5
Pakmaya Çikolatalı Puding 115 g,36.5
Dr.Oetker Waffle 210 G,36.9
Dr.Oetker Puding Çikolatalı Bademli 104 g,42.9
Kent Boringer Beyaz Çikolatalı Topping Sos 750 g,165.0
Dr.Oetker Çikolatalı Krem Şanti 77 g,25.0
Sütaş Puding Kakaolu 200 G,20.0
Kent Boringer Karbonat 1 Kg,74.9
Yuva Aktif Kuru Hamur Mayası 100 g,YuvaAktifKuruHamurMayası100gStoğagirincehaberver
Dr.Oetker Çikolata Parçalı Puding 115 g,DrOetkerÇikolataParçalıPuding115gStoğagirincehaberver
