product_name,price (TL)
Washington Portakal kg,29.9
Yerli Muz kg,99.9
Avokado İthal Adet,39.9
Murcot Mandalina kg,39.9
Blueberry-Yaban Mersini İthal 125 g,129.9
Limon Lamas kg,89.0
Starking Elma kg,109.9
Nar kg,119.9
Mango Adet,79.95
Ahududu Paket 125 g,199.95
Avokado Yemeye Hazır 2 Adet,89.9
Çilek kg,199.0
Ananas Adet,159.95
Kivi kg,139.9
Kavun Galya Kg,219.9
Misket Limonu 3'lü Paket,99.95
Sıkma Portakal kg,39.9
Altın Çilek 100 g Adet,179.95
Hindiba,259.95
Verita Dr. Blue Yaban Mersini 125 g,294.95
Verita Redberry-Frenk Üzümü 125 g,339.95
Taze Hindistan Cevizi Adet,179.95
Zerdeçal Paket 100 g,109.95
Papaya Gurme Yemeye Hazır Adet,399.95
Tamarind Demirhindi 225 g,249.95
Pomelo adet,219.95
Üzüm Beyaz İthal kg,399.95
Çarkıfelek 130 g,219.95
Mango Gurme Yemeğe Hazır Adet,179.95
Avokado Gurme Yemeye Hazır Adet,129.95
Taze Hindistan Cevizi Adet,179.95
Zencefil Taze kg,279.95
Mango Gurme Yemeğe Hazır Adet,179.95
Hindistan Cevizi Adet,79.95
Avokado Gurme Yemeye Hazır Adet,129.95
Pomelo adet,219.95
Granny Smith Elma kg,119.9
Zerdeçal Paket 100 g,109.95
Üzüm Beyaz İthal kg,399.95
Karpuz Kg,99.9
Kivi Paket 250 g,109.9
Finike Gurme Portakal kg,89.95
Kanlı Greyfurt kg,54.9
File Sıkma Portakal kg,49.9
Böğürtlen 125 g,369.9
Çarkıfelek Meyvesi 3 Adet,124.9
Elma Fuji Gurme,139.9
Elma Starking Gurme,134.9
Elma Pink Lady Gurme,159.95
Gala Elma Kg,109.9
Çilek Paket 500 g,139.9
Ayva Gurme,229.95
Armut Deveci Gurme Kg,129.9
Pitahaya Ejder Meyvesi Adet,84.9
Elma Granny Smith Gurme,139.9
Blueberry-Yaban Mersini Yerli 125 g,149.9
Armut Santa Maria kg,129.9
Kumkuat 250 g,39.9
Elma Golden Gurme,119.9
Nar Gurme,129.95
Patates Yemeklik Kg,23.9
Soğan Kuru (Yeni Hasat) Kg,14.9
